the	det.定冠词;表示特指
precedent	adj.在前的n.惯例;先例
twist	n.转弯v.捻;转动
bully	adj.霸道的;快活的n.流氓;开球v.威吓;欺负
vacation	n.假日;休息v.度假
aisle	n.通道;侧廊
click	n.棘爪;吸气音v.进行顺利;完全一致
oval	adj.椭圆形的n.椭圆形
cedar	n.柏;柳杉;雪松
contradict	v.反驳;否认
soften	v.使变暗;使软
servitude	n.劳役;奴役
comely	adj.标致的;合宜的
stump	n.残余部分;树墩v.清除...中的根茬
redeem	v.偿还;赎回
elastic	adj.弹回的;能恢复的
poultry	n.家禽
horseman	n.骑马的人;骑手
dictionary	n.词典;术语大全
adoration	n.崇拜
wager	n.打赌;赌注v.押;打赌
wistful	adj.憧憬的;渴望的
advent	n.出现
gear	n.齿轮;工具v.啮合;适应
drown	v.淹没;沉没
ware	adj.精明的;留神的n.商品;陶器v.当心;花
rendezvous	n.集结之地;约会v.约会
snug	adj.温暖舒适的n.温暖舒适的地方v.使紧身;隐藏
watery	adj.水的;像水的;淡的
chap	n.皲裂;颌;小伙子v.使皲裂;皲裂
crawl	n.爬;爬泳v.责备;爬
lumber	n.成材;隆隆声v.占满;伐木制材
publish	v.出版;发表
customer	n.顾客
mediaeval	adj.中世纪的
print	n.印刷;印刷品v.打上;印
lavish	adj.过分丰富的v.滥花
genesis	n.形成
rug	n.小地毯
eleventh	n.第十一
galley	n.厨房;大型划艇
partition	n.部分;分开v.分割;分隔
blunder	n.大错v.笨拙地做;犯大错误
fanciful	adj.爱空想的;空想的
ham	adj.业余无线电的n.后腿;火腿v.过火地表演
rainbow	n.彩虹;幻想
sentinel	n.标记;步哨v.警戒;在...放哨
hereby	adv.以此方式;在附近
outlook	n.观点;景色
install	v.安顿;安装
mark	n.马可福音;马可n.短线;符号v.标明;评分
aesthetic	adj.美的;美学的
consume	v.吃完;毁灭
resent	v.对...表示忿恨
pose	n.态度;样子v.提出;造成
sterling	adj.英币的n.标准成分;标准纯银
bark	n.树皮;吠声v.吠;咳嗽
organism	n.机体;生物
emphatic	adj.坚决的;强调的
factor	n.系数;因素v.代理经营;做代理商
guise	n.外表;相似
editorial	adj.编辑的;社论的n.社论
midday	n.正午
corporal	adj.个人的;躯干的n.下士;圣餐布
aright	adv.正确地
lily	adj.白皙的n.百合;百合花
noun	n.名词;名词词性
scout	n.侦察员;侦察者v.搜索;侦察
spit	n.吐;岬v.喷;捅
manifest	adj.显然的n.船货清单;提货单v.表露;显示
battalion	n.队伍;营
heritage	n.继承物;遗产
nun	n.修女
wad	n.卷;填块v.使成一团
fold	n.教会;褶v.交叠;收拢
discern	v.看出;认识
powerful	adj.浓烈的;强壮的
helpful	adj.建设性的
persist	v.持续;坚持说
frigate	n.护卫舰;驱逐领舰
atom	n.微粒;原子
curve	n.曲线;弯曲v.投;弯曲
outlet	n.出口;出水渠道
erroneous	adj.错误的;游荡的
inherit	v.继承;接过
sledge	n.重型运输雪橇v.乘雪橇
butt	n.残端;靶v.捻熄;碰撞
handsome	adj.好看的;慷慨的
tank	n.池塘;箱v.击败;大量喝酒
velocity	n.速度;迅速
arctic	adj.北极的;极冷的n.北极
colleague	n.同事
pin	n.饰针;销子v.按住;别住
butcher	n.肉商;屠夫v.残杀;屠宰
drowsy	adj.催眠的;困倦的
butterfly	n.蝶泳;蝴蝶
chart	n.地图;图v.制订...的计划
twin	adj.孪生的n.双子座v.怀;孪生
narrow	adj.勉强的;狭的n.狭谷;狭窄部分v.变狭;缩小
insult	n.攻击;损伤v.损害;攻击
deficiency	n.缺点;缺乏
gallows	n.绞刑;绞刑架
diligent	adj.勤勉的
blunt	adj.迟钝的;钝的v.使钝;变钝
omen	n.预兆;预兆性v.预测;预示
bleak	adj.无遮蔽的;阴冷的
vehement	adj.激情的;强烈的
ensure	v.保护;保证
denote	v.表示;代表
unfair	adj.不公正的;不正当的
absorb	v.把...并入;吸收
descendant	adj.传下的;下降的n.后裔;派生物
sub	n.潜艇;部下v.编辑;审订
engineer	n.工程师;机工v.设计
bucket	n.水桶;桶v.催...拼命跑;用桶提
clerical	adj.牧师的;职员的
ache	n.疼痛v.哀怜;痛
glitter	n.光亮;闪光v.使闪烁;光彩夺目
ordinance	n.法令;既定规则
bamboo	adj.疯狂的;竹的n.竹;竹竿
vocation	n.神召;职业;才能
limp	adj.软的;软面的n.跛行v.格律不顺
pallid	adj.无生气的;无血色的
mild	adj.味淡的;温和的n.淡味啤酒
dealer	n.发牌者;商人
auspicious	adj.吉利的;兴隆的
emblem	n.符号;类型v.用徽章装饰
primarily	adv.首先;首要地
ritual	adj.礼节性的n.程序;仪式
decoration	n.勋章;装饰
thigh	n.股;股节
groan	n.抱怨;呻吟声v.呻吟;受重压
scant	adj.不足的;缺乏的adv.勉强地v.减少;少给
fiscal	adj.财务的;国库的
mien	n.风度;面
rail	n.横档;横条v.威胁;嘲弄
peer	n.贵族v.出现;隐现
sanctity	n.神圣;圣洁
cynical	adj.挑剔挖苦的
inspector	n.检查员;巡官
wardrobe	n.服装部;全部服装;衣柜
texture	n.质地;纹理v.使具有特定结构
adjustment	n.调节;调解
epistle	n.使徒书信;书信
adventurer	n.雇佣兵;冒险家
seaman	n.水兵;水手
turbulent	adj.狂暴的;骚乱的
marsh	n.沼泽
unaware	adj.未觉察的
vase	n.花瓶;瓶饰
initial	adj.开始的;声母的n.首字母;原始细胞v.草签
bath	n.浴;浴水
weighty	adj.严肃的;重要的
minimum	adj.最低的n.极小;最低极限
correction	n.惩治;改正
morsel	n.小吃;小片v.把...分成小片
overlook	n.忽视v.忽视;宽恕
meagre	adj.不丰富的;瘦的
magician	n.魔术师;巫师
inhabit	v.存在于;居住
shaggy	adj.粗浓的;邋遢的
nightmare	n.梦魇;睡魔
carbon	n.复写纸;碳
coil	n.卷;盘管v.卷
lawless	adj.难驯的
stairway	n.楼梯
sarcasm	n.讽刺;讽刺话
crisp	adj.脆的;挺括的n.松脆物v.使鬈;变脆
jerk	n.颠簸;反射v.颠簸;猝然一动
tout	n.兜售者;间谍v.吹摔;兜售
vocabulary	n.词汇;词汇表
stroll	n.散步v.沿...散步;散步
poorly	adj.身体不舒服的adv.贫穷地;拙劣地
fitness	n.合格;健康
temperance	n.节欲;节制
martyrdom	n.殉难;折磨
mellow	adj.陈的;熟的v.变熟;陈化
jam	n.困境;拥挤v.堵住;压碎
austere	adj.简朴的
shoot	n.射击;芽v.发射;开
casual	adj.非正式的;偶然的
pensive	adj.冥想的
net	n.网;网罗v.捕获;织网
dice	n.小方块;骰子v.冒险;掷骰子
administer	v.给予;施行
listener	n.收听者;听者
museum	n.博物馆;收藏物
benefactor	n.捐助人
alphabet	n.初步;符号系统;字母表
rout	n.溃退;骚乱v.击溃;翻
scatter	v.撒;散射
extant	adj.突出的;现存的
rag	n.破布;破布料v.打扮;责骂
punch	n.力量;一拳v.挥击;冲
brazen	adj.黄铜制的;无耻的v.使变得无耻
economical	adj.经济的;经济上的
pernicious	adj.险恶的;有害的
mythology	n.神话;神话集
drain	n.排水;排水沟v.消耗;滴干
bolt	n.插销;螺栓v.闩;筛
stride	n.步态;大步v.跨过;跨越
meddle	v.干预
axis	n.枢椎;轴
gum	n.树胶;龈v.粘合;讲话
close	adj.紧的;近的adv.接近地n.结束;终止v.关;关
ferocity	n.凶恶
giddy	adj.轻率的;头晕的v.头晕
resist	v.抵抗;抗
satisfy	v.符合;满足
reliable	adj.可靠的
disgust	n.厌恶;作呕v.使厌恶;使作呕
ethical	adj.道德的;伦理的n.凭医师处方出售的药物
crouch	n.蹲v.低;蹲
lash	n.鞭打;鞭子v.鞭打;猛击
recital	n.背诵;详述
collapse	n.崩溃;倒坍v.崩溃;倒坍
lore	n.教导;学问
mainland	n.大陆
repute	n.好名声;名气v.把...称为
cushion	n.垫枕;垫子v.将...置于垫上
confound	v.混淆;使混乱
scrub	n.擦洗;擦洗者v.擦;擦掉
myth	n.编造的话;神话
flight	n.飞翔;抽逃
layer	n.层;放置者v.混穿;倒伏
ownership	n.所有权;占有
cape	n.斗篷;海角
glimmer	n.炉火;微光v.发微光;逐渐消失
scare	n.惊吓;恐慌v.吓;吓走
scrupulous	adj.细致的;有顾忌的
equal	adj.平等的;平均的n.匹敌者;同等的人v.比得上;相等
redress	n.补偿;纠正v.补偿;纠正
brake	n.闸;揉面机v.刹住;碎
nut	n.干果;核心
stability	n.稳定;稳固
bough	n.绞刑架;树枝
momentous	adj.重大的;重要的
enlarge	v.放大;扩大
hardness	n.坚硬;硬件
solar	adj.太阳的
heartless	adj.没心肝的;无生气的
mat	n.衬垫;地席v.使缠结
shun	v.避开
raid	n.侵吞;袭击v.侵吞;袭击
disclose	v.揭露;展开
puff	n.喘息;吹v.吹熄;喘息
juncture	n.接合;情况
beak	n.喙
unjust	adj.不诚实的;非正义的
rot	n.腐败;腐烂v.腐败;腐烂
aggressive	adj.侵犯的
predict	v.预言;作预言
grate	n.壁炉;花栅v.磨碎;使气恼
lease	n.租借;租约v.出租;使分经
ponderous	adj.沉重的
chilly	adj.冷淡的;相当冷淡
friction	n.不和;摩擦
pier	n.桥墩;支柱
stale	adj.陈腐的;污浊的n.尿;笑柄v.低估;撒尿
commission	n.授权;委任状v.委任;委托制作
ratio	n.比率;金银比价
comb	n.浪尖;梳v.精梳;梳
wholesale	adj.大批的;批发的adv.大批地n.批发;批发商v.批发;成批售出
embrace	n.接受;拥抱v.接受;信奉
translate	v.翻译;翻译
mortar	n.臼;砂浆v.用砂浆砌合
recreation	n.课间休息;消遣
rite	n.圣餐式;仪式
truthful	adj.诚实的;真诚实
cavalier	adj.傲慢的n.骑士
caress	n.爱戴;爱抚v.爱抚;善待
curl	n.卷曲;鬈发v.缠绕;卷
rivalry	n.竞争;竞争行为
whim	n.绞绳滚筒
abreast	adv.朝同方向并列
peg	n.小钉;桩v.用桩标出;疾行
pestilence	n.有害的事物;瘟疫
ceremonial	adj.礼节的;正式的n.典礼;礼节
receiver	n.收受者;听筒
sample	n.实例;样本v.品尝;浏览
consummate	adj.造诣极高的v.完;完成
matron	n.胖妇;妻子
claim	n.权利;要求v.要求;主张
plural	adj.多于1的;复数的n.复数
initiative	adj.开始的n.首创精神;主动权
spider	n.星形轮;蜘蛛
re	prep.关于;兹就...
streak	n.光带;矿脉;条纹v.飞跑;形成条纹
block	n.大块;街区v.堵塞;阻碍
smash	adj.轰动一时的adv.以哗啦一响n.猛击;钱v.打碎;压扁
populous	adj.数量多的;拥挤的
baronet	n.准男爵
commodore	n.海军准将
jelly	n.果冻;胶冻
advocate	n.辩护者;基督v.拥护
salutation	n.问候;招呼
mutiny	n.反叛;骚乱v.反叛
chronicle	n.编年史v.记录
comfort	n.安慰;盖被v.安慰;帮助
playful	adj.爱玩耍的;开玩笑的
potato	n.甘薯;破洞
transient	adj.短暂的;临时的n.过境鸟;过往旅客
anarchy	n.无政府状态;混乱状态
barber	n.理发师v.剪短;饶舌
revision	n.复习;修订
farce	n.滑稽;闹剧
germ	n.微生物;芽孢
profile	n.侧面;轮廓v.描...的轮廓;写...的传略
provide	v.供给;规定
not	adv.并非;不
disorder	n.骚乱;杂乱v.使凌乱;使紊乱
heighten	v.加高;增加
finance	n.财源;财政v.供资金给;赊销
averse	adj.反对的
azure	adj.青色的;无云的n.碧空;钴蓝
bathe	n.游泳v.浸洗;沉浸
campaign	n.运动;战役v.参加运动;作战
lessen	v.贬低;变小
slate	n.板岩;石板v.提;预定
acquaint	v.使认识
gin	n.酒类;罗网v.喝醉;诱捕
conveyance	n.传送;运送
capricious	adj.变化无常的
tribune	n.保民官;台
pilgrim	n.朝圣者;旅行者
womanly	adj.妇女的;女子气的
paltry	adj.可鄙的;没价值的
sport	n.玩笑;游戏;运动v.夸示;浪费
maker	n.出票人;上帝;制造商
infamy	n.丑恶;臭名
lamb	n.羔羊;羔羊皮
gap	n.豁口;间隔v.使成豁口;豁开
periodical	adj.期刊的;周期的n.期刊
standpoint	n.立场
amorous	adj.求爱的;性爱的;多情的
tub	n.木盆;桶v.给...洗盆浴;洗盆浴
luxuriant	adj.肥沃的;丰富的
basic	adj.基础的;碱的n.基本训练;基本原理
mutual	adj.共同的;亲密的
greed	n.贪食
premature	adj.不成熟的;早产的n.早产儿
boiler	n.锅炉
scandalous	adj.造谣中伤的
oratory	n.演讲术;小礼拜堂
banish	v.放逐;开除
electrical	adj.发生电的
herb	n.草药;芳草
multiply	adv.多样地v.乘;繁殖
prosper	v.使兴旺;兴旺
nightly	adj.每夜的;晚上的adv.在晚间
monkey	n.猴v.嘲弄;模仿
enjoy	v.经历;享有
similarity	n.相似点;相似性
riddle	n.谜;粗筛v.解;筛
clean	adj.纯洁的;清洁的adv.干净地;完全地v.剥光;被打扫
copious	adj.多产的;丰富的
exclaim	v.大声说出;呼喊
scourge	n.鞭子v.鞭打;驱赶
dark	adj.黑暗的;深黑n.黑色;黑暗
privacy	n.秘密;隐退
arena	n.场地;角斗场
beard	n.胡须;芒v.公然反对;充当掩护
alacrity	n.乐意;敏捷
sensual	adj.官能的;肉感的
spin	n.疾驰;旋转v.纺;吐
neutrality	n.中立;中性
flannel	adj.法兰绒制的n.法兰绒v.奉承;言行虚伪
fast	adj.快的adv.快n.禁食;禁食期v.节制饮食;禁食
trailer	n.拖车;拖曳者
avert	v.挡开;转移
puff	n.喘息;吹v.吹熄;喘息
mirror	n.镜;镜子v.反射;反映
conform	v.顺从;相似
particle	n.粒子;微粒
railway	n.轨道;铁轨
stupendous	adj.惊人的
paddle	n.短桨;划桨v.鞭打;涉水
innate	adj.底着的;天赋的
volley	n.连发;群射v.截击;群射
statistics	n.统计;统计学
agree	v.承认;表示同意
lid	n.盖;帽子
muse	n.沉思;惊异v.沉思;感到惊异
inhabitant	n.居民
rustle	n.沙沙声;赶忙v.偷;觅食
clump	n.丛;堆v.打;使成一丛
calendar	n.历法;日历
flute	n.长笛;长形物
yore	n.昔日
fray	n.吵架;惊吓v.吵架;磨擦
nomination	n.被提名;提名
conclusive	adj.决定性的;最后的
peaceable	adj.和平的;平和的
emerald	adj.翠绿色的n.祖母绿;翡翠
lava	n.岩浆;火山岩
trillion	n.大量;万亿
arduous	adj.艰巨的;费力的
lyric	adj.歌的;抒情的n.歌词;抒情诗
downright	adj.清楚的;直率的adv.彻底地;清楚地
foresight	n.预见;展望
ape	n.猴;模仿者v.模仿
senator	n.参议员;理事
pallor	n.苍白
salad	n.色拉;生菜
snuff	n.生气;烛花;鼻烟v.扼杀;嗅
droop	n.低垂;消沉v.低垂;沮丧
chestnut	adj.栗的;栗色的n.栗木;栗子
attic	n.顶楼
savings	n.存款
ill	adj.不利的;坏的n.病;坏
dye	n.染料;颜色v.给...染色;染上
nominal	adj.名义上的;名字的
dispense	v.分配;配
merciless	adj.冷酷无情的
trusty	adj.可信任的n.可信的人
color	n.颜色v.变色;脸红
plaintive	adj.表示痛苦的
discard	n.丢弃;丢弃的牌v.打出;丢牌
precarious	adj.不牢靠的;碰机会的
infection	n.传染;影响
bolt	n.插销;螺栓v.闩;筛
arithmetic	adj.算术的n.估计;算术
lark	n.鹨;事情v.愚弄;嬉戏
ethics	n.伦理学;行为准则
convention	n.会议;召集
pitcher	n.罐;投手
slip	n.失脚;片v.滑落;滑行
official	adj.公职的;正式的n.官员;行政人员
annoy	v.打搅;使恼怒
glide	n.滑行;滑音v.使滑动;滑行
impunity	n.免除
amend	v.改进;纠正
convey	v.表达;传送
tinge	n.色调;些许味道v.给...着色
brim	n.边;帽檐v.使满;满
forenoon	n.午前
sparkle	n.发泡;火花v.闪烁;焕发
syllable	n.片言只语;音节
shrug	n.耸肩v.耸;缩拢
trait	n.特征;一笔
bribe	n.贿赂v.向...行贿;行贿
composer	n.调停者;作者;作曲家
audacious	adj.大胆的;鲁莽的
outskirts	n.郊区
soil	n.大地;国土v.腐蚀;弄脏
fiddle	n.餐具框;小提琴v.浪费;胡来
football	n.足球
pioneer	adj.拓荒者的;先驱的n.拓荒者;先驱者v.开拓;为...开路
vest	n.背心;汗背心v.覆盖;授予
bass	adj.低沉的;低音的n.椴树
quarry	adj.方形的n.采石场;方形石v.努力发掘
dizzy	adj.困惑的v.使困惑;使头晕
abnormal	adj.变态的;反常的
omission	n.省略;遗漏
idolatry	n.盲目崇拜;偶像崇拜
sequence	n.次序;连续v.确定...的化学结构序列
squeeze	n.紧握;榨v.紧握;榨
cabbage	n.顶芽;卷心菜
canopy	n.顶篷;华盖v.用天篷遮盖
athletic	adj.健壮的;体育的
assign	n.受让人v.分配;指定
tackle	n.索具;用具v.对付;抓获
exact	adj.精密的;精确的v.索取;要求
parch	v.烘;使干透
eddy	n.旋涡v.使起旋涡;起旋涡
percentage	n.百分比;所占比例
twinkle	n.闪闪;闪烁v.闪出;闪亮
curb	n.控制;路缘v.控制;勒住
sandstone	n.沙岩
invaluable	adj.没有价值的
fathom	n.理解力;拓v.理解;测深
preferable	adj.更可取的
scrap	n.片断;少量v.报废;废弃
lever	n.杆;手段v.撬动;使用杠杆
muster	n.赶拢;集合v.搜集;召集
cavity	n.洞;腔
barbarian	adj.不文明的;异邦的n.未开化的人
sleepless	adj.不眠的;警觉的
forefinger	n.食指
spade	n.铲;黑桃v.用铲挖掘;铲
scorn	n.嘲弄;轻蔑v.嘲弄;拒绝
pail	n.桶;一桶的量
withdrawal	n.撤回;收回
senator	n.参议员;理事
mortgage	n.抵押;抵押借款v.抵押;以...作担保
succour	n.解救;解救物v.解除;解救
repress	v.压抑;抑制
spouse	n.配偶v.和...结婚
valid	adj.有根据的;正当的
witchcraft	n.巫术;魅力
legacy	n.遗产;遗赠
proximity	n.接近
muzzle	n.口套;枪口v.使缄默;吸
cluster	n.串;辅音丛v.使成簇;丛生
valve	n.瓣;阀
flicker	n.火星;摇曳v.颤动;瞥视
sup	n.量;一啜v.吸收;喝
tarry	adj.柏油的;黑的n.逗留v.等待;耽搁
vehicle	n.传播媒介;交通工具
iris	n.虹;虹膜
ant	n.蚂蚁
heath	n.低矮灌木
bug	n.病菌;虫子v.烦扰;突出
vocal	adj.歌唱的;嗓音的n.声乐作品;元音
downfall	n.垮台;落下
construct	n.观念;建造物v.建造;作
undue	adj.过度的
vapor	n.蒸气;雾;气化物
bat	n.短棍;球棒;蝙蝠v.行进;眨
whimsical	adj.心血来潮的
unlock	v.揭开;开启
automatic	adj.必然的;自动的n.自动机械;自动手枪
explicit	adj.详述的;直言的
indolent	adj.懒惰的;无痛的
mate	n.偶;配偶v.使交配;交配
artful	adj.狡猾的;巧妙的
downcast	adj.向下的;垂头丧气的n.推翻;下风井
ordinance	n.法令;既定规则
effective	adj.生效的
mission	n.传教团;外交使团
stalk	n.柄;茎v.在...蔓延;蔓延
indistinct	adj.不分开的;不清楚的
pregnant	adj.充盈的;怀孕的
covet	v.渴望;贪求
fret	n.苦恼;品v.侵蚀;形成
peep	n.初现;窥孔v.窥;隐现
buck	adj.雄的adv.完全地n.鹿皮;男人v.顶撞;反抗
sumptuous	adj.奢侈的
indefinite	adj.不明确的;不确定的
reliance	n.信赖
cock	n.公鸡;龙头v.竖起;堆
dad	n.爸爸;老头
everyday	adj.每天的
aghast	adj.吓呆的
turmoil	n.骚动
forfeit	adj.丧失了的n.罚物游戏;丧失v.丧失
chasm	n.缺口;陷窟
inspect	v.检查;检阅
perverse	adj.任性的
ambush	n.伏击者;埋伏v.伏击;打埋伏
evermore	adv.将来;肯定;永远
blot	n.墨水渍;污点v.弄脏;污损
nook	n.凹处;角落
parapet	n.低矮挡墙;胸墙
cessation	n.停止
ankle	n.踝
fervent	adj.炽热的;热情的
oddly	adv.奇特地
haul	n.拖v.拖;拖运
embarrass	v.妨碍;使窘
hairy	adj.盖满毛的;手的
northwest	adj.在西北的adv.向西北n.西北;西北部
laurel	n.桂冠;月桂枝叶v.给...戴桂冠
arrogant	adj.傲慢的
hurt	n.打击;伤v.弄痛;痛
splash	adv.以扑通一声n.溅;溅起的水v.溅;飞溅
curl	n.卷曲;鬈发v.缠绕;卷
livelihood	n.生活
wary	adj.谨防的;谨慎的
scatter	v.撒;散射
brace	n.背带;托架v.使防备;支撑
convert	n.归附者v.使转变;转变
abandon	n.放任;狂放v.放弃;离弃
weakly	adj.虚弱的adv.弱地;虚弱地
clothe	v.覆盖;赋予
gem	n.宝石;宝物v.开
tremor	n.颤动;战栗
survey	n.测量;调查v.测量;调查
variable	adj.变异的;可变异n.不定风;元
wrap	n.毯子;外衣v.包;覆盖
curly	adj.波纹的;卷曲的
diversity	n.差异;多样性
prestige	n.威信;影响力
heedless	adj.不加注意的
sentry	n.步哨;警卫
ram	n.白羊座;公羊v.冲;夯
row	n.路;一排v.划;划运
cool	adj.冷静的;凉的n.冷淡;冷静v.变凉;减缓
flower	n.花;精华v.发育;开花
meridian	adj.顶点的;子午线的n.顶点;子午线
win	n.胜利;赢得物v.赢得;成功
beast	n.动物;畜生
nuisance	n.妨害行为;讨厌的人
abstain	v.戒绝;弃权
target	n.靶;目标v.规定...的指标
whit	n.一点点
stall	n.货摊;马厩v.熄火;拖延
sham	adj.仿造的;虚假的n.假冒物;假装v.哄骗;假装
dictate	n.命令v.口授;口授
empress	n.皇后
gout	n.爱好;滋味
job	n.工作;职业
manure	n.肥料v.耕种;施肥于
sidewalk	n.人行道
grievance	n.不平;申诉
axe	n.斧;战斧v.解雇;用斧砍断
bony	adj.多骨的;骨的
invest	v.覆盖;投
ebb	n.低落;低潮v.低落;落
rabble	n.下等人;一大堆v.聚众袭击
cruise	n.航行;旅行v.航行;漫游
rally	n.群众集会;重新集合v.召集;集合
hysterical	adj.歇斯底里的
girlish	adj.女孩子的
active	adj.活跃的;积极的n.活跃的人;主动态
cheque	n.支票;总收入
disregard	n.忽视;漠视v.不理会;漠视
retort	n.反驳;反击v.驳回;反驳
rock	n.大石;矿石v.轻摇使;轻摆
emerge	v.发生;浮现
perch	n.高处;鲈v.飞落;稍坐
flask	n.瓶;热水瓶
countryman	n.某地人;同胞
lonesome	adj.寂寞的;想念的n.自己
frog	n.蹄楔;蛙
yarn	n.故事;纱v.讲故事
outrageous	adj.无耻的;凶暴的
adversity	n.厄运;灾祸
salutary	adj.有益的
hurricane	n.风暴;飓风
iron	n.铁;熨斗v.熨;熨衣
canyon	n.都市街道;峡谷
vapour	n.吸入剂;蒸汽
atrocious	adj.凶恶的;糟透的
leap	n.跳;跳跃距离v.使跳;跳
tapestry	n.花毯;绒绣
impotent	adj.无力量的;阳痿的n.无力量的人
smite	v.打出;打倒;深感不安
tumultuous	adj.吵闹的;狂暴的
barge	n.专用艇v.闯出;专撞
palpable	adj.可触知的;可感知的
apprentice	n.初学者;学徒v.当学徒;使当学徒
lance	n.捕鲸矛;长矛v.切开;投
god	n.上帝n.男神;神
sarcastic	adj.讽刺的
framework	n.构架;结构
sponge	n.海绵;纱布v.采集海绵
annoy	v.打搅;使恼怒
cot	n.棚;套
squirrel	n.松鼠
wand	n.棒;魔杖
grind	n.磨;磨擦声v.磨;磨快
bang	adv.砰;砰然n.轰声;巨响v.奔;猛击
unreal	adj.假的
blacksmith	n.铁匠
injunction	n.禁制令;命令
scarcity	n.罕见;缺乏
withhold	v.拒给;克制
outright	adj.全部的;无保留的adv.全部地;无保留地
cement	n.胶结材料;水泥v.巩固;黏结
growl	n.低鼾声v.发轰隆声;发狺狺声
aggregate	adj.聚合的;聚集的n.集聚体;总数v.聚集;使聚集
fraction	n.分割;些微
exaltation	n.晋升;升高;得意
inexorable	adj.不为恳求所动的
jug	n.大罐;监狱v.煮;鸣叫
sap	n.液;元气v.削弱;挖坑道
illegal	adj.不合法的
dissolve	n.叠化v.解散
volcano	n.火山;喷火
obstinate	adj.顽固的;顽强的
sullen	adj.沉闷的;阴沉的
commission	n.授权;委任状v.委任;委托制作
base	adj.基础的;卑劣的n.基;基础v.驻扎;作...的基础
resound	v.传扬;被传扬
embroidery	n.刺绣;渲染
gunpowder	n.黑色火药
reproof	n.责备;责备之词v.重新给...打样
earnings	n.赚得的钱
indoors	adv.在室内
pitiless	adj.无同情心的
scarf	n.鸬鹚;领巾v.围;吃
picnic	n.郊游野餐v.去野餐
pompous	adj.虚夸的;壮观的
respite	n.暂缓;暂息v.使暂缓;使暂息
exploit	n.业绩v.开发;利用
passport	n.护照
confine	n.边界;地区v.关押;限制
dishonour	n.不名誉;侮辱v.不尊重;拒付
vacancy	n.空;空房
needy	adj.贫困的
stationary	adj.定居的;固定的
disconcert	v.挫败
beaver	n.海狸毛皮;河狐v.努力工作
lookout	n.观察所;观察员
onion	n.洋葱;洋葱头
depict	v.描画;描写
boisterous	adj.粗鲁的;狂暴的
couple	adj.两个n.夫妻;一对v.联想;连接
speaker	n.代言人;说话者
toleration	n.忍受;容许
scar	n.疤;痕v.在...上结疤;结疤
bohemian	adj.放荡不羁的n.放荡不羁的人
vest	n.背心;汗背心v.覆盖;授予
affinity	n.类同;相似;喜好
penitent	adj.悔罪的n.悔罪者;忏悔者
immoral	adj.不道德的;放荡的
dishonest	adj.不光彩的;不老实的
yawn	n.呵欠;裂口v.打呵欠;裂开
supplement	n.补遗;增补v.增补
whirlwind	n.旋风
clash	n.不协调;冲突v.猛力扔;撞击作
speck	n.斑点;烂斑v.使产生斑点
biscuit	n.饼干;淡褐色
reserve	n.藏量;储备v.保留;预订
uncouth	adj.笨拙的;荒凉的
armchair	adj.空想的n.扶手椅;空想
greasy	adj.滑溜的;油污的
ascetic	adj.苦行的n.禁欲者;苦行者
clutch	n.把握;攫取v.紧抓;孵
embark	v.投;从事
quotation	n.报价;引文
liberal	adj.大量的;慷慨的n.自由主义者
trance	n.恍惚;狂喜v.使昏睡
wintry	adj.冬天的;冬天似的
stalwart	adj.坚定的;强壮的n.坚定分子;健壮的人
meat	n.肉;食物
stamp	n.标志;印v.被捣碎;跺脚
variance	n.不同;分歧
apiece	adv.按各个计算
firmament	n.基础;天
absorption	n.合并;吸收
terminate	v.停止;限制
wilful	adj.故意的;任性的
convenient	adj.近处的;省力的
collective	adj.集体的;总的n.集体农场;团体
filth	n.肮脏;秽亵
timely	adj.及时的;早的adv.及时地;早
ignoble	adj.卑鄙的;低级的
moslem	adj.穆斯林的n.穆斯林
ware	adj.精明的;留神的n.商品;陶器v.当心;花
adjective	n.形容词
glen	n.峡谷
invade	v.侵犯;侵入
livid	adj.带红色的;青灰色的
prolong	v.推迟;延长
weaken	v.变弱;弱化
quay	n.码头
enchant	v.对...用魔法;使陶醉
heave	n.举;平错v.发用;举起
film	n.薄层;胶片v.拍摄;拍摄电影
repress	v.压抑;抑制
sequel	n.后果;继续
calve	v.生;裂冰
kindle	v.点燃;照亮;激动起来;生育
southwest	adj.在西南的adv.向西南n.西南;西南部
roam	n.随便走v.在...随便走;随便走
havoc	n.大破坏;混乱v.严重破坏
lunatic	adj.精神错乱的n.狂人
tablet	n.便笺簿;匾;药片
assassin	n.暗杀者;诋毁者
awkward	adj.笨拙的;不雅观的
publicity	n.宣传品;名声
suspension	n.悬;悬浮
throb	n.抽动;跳动v.抽动;跳动
relaxation	n.放宽;松弛
ardent	adj.热心的
tan	adj.棕黄色的;鞣革的n.马戏团;鞣料v.硬化;鞣
expand	v.扩大;张开
stronghold	n.堡垒;大本营
tumble	n.暴跌;倒塌;跌倒v.乱扔;倒塌
forge	n.锻铁炉;锻造车间v.打;锻造
covert	adj.掩盖的;隐蔽的n.覆羽;隐蔽
imprudent	adj.不谨慎的
quote	n.牌价;引号v.报;引用
impulsive	adj.冲动的;冲力的
degenerate	adj.变性的;衰退的n.堕落者v.变性;衰退
sweep	n.扫;扫荡v.扫;扫去
abash	v.使不安;使惭愧
loathsome	adj.讨厌的
dart	n.猛冲;镖v.投射;投掷
affront	n.公开侮辱v.公开侮辱;面对
fossil	n.化石
atom	n.微粒;原子
constraint	n.克制;强迫
