#word,meaning,option1,option2,option3
使喝醉,intoxicate,intoxicant,intricate,wither
教员,trainer,trainee,trailer,trawler
台面呢,baize,bide,bile,gaze
喷发,effusive,effusion,elusive,overflow
陆围,landlocked,onus,convent,Thursday
退出,abdicate,fabricate,dedicate,indicate
非永久的,deciduous,beard,spiritual,rainy
吃完,demolish,devilish,sleek,deft
迂腐,bookish,foolish,overbearing,fall behind
毂,hub,tub,hug,dun
绝对性,absolutism,absolution,variety,limitations
狂饮作乐,spree,spike,serene,supreme
电报学,telegraphy,telegraph,surety,bayonet
附加物,codicil,conical,council,comical
逃避,evasive,evasion,pervasive,elusive
转交,mediate,deviate,meditate,sedate
给装上后膛,breech,breeze,beseech,breeches
特点,speciality,specialty,specially,specialize
产生,generate,general,venerate,enervate
理解,perceptive,perceive,perception,receptive
壁画,mural,aura,metal,rural
唱片,disc,disk,dish,din
癫痫患者,epileptic,improve,unlimited,stainless
使脱离,secede,cede,decade,recede
偏僻,unsociable,sociable,calm,noiselessly
白兰地,cognac,cognate,brandy,white spirit
概要,compendium,to talk,meaning,summary
明星,stellar,teller,seller,cellar
狂欢会,orgy,orb,pray,podgy
侵犯,usurp,usurer,user,usury
蛤,clam,clang,clasp,clammy
可原谅的,venial,ventral,veil,menial
张贴,placard,placid,placate,bath
放任,abandon,to deceive,to ingratiate oneself,flatter
败坏,tarnish,varnish,garnish,burnish
闩,bolt,gout,dole,salt
包袱,trousseau,conference,heavy,volunteer
椰子,coconut,grape,plum,pear
抵挡,fend,mend,seed,vent
停顿,comma,commit,coma,common
合法,legitimate,suspicious,intense,in the rear
聚集,amass,mess,glass,amiss
单调,monotone,moonstone,common,pitiful
痉挛,cramp,rump,ram,stamp
玉米片,flake,aflame,blare,fake
刈草,mow,top,maw,mot
足迹,spoor,spool,soot,spoof
紧身衣,tights,tight,tighten,night
托付,commitment,to give ,my presumptuous request,request sb
基因,gene,deny,ten,see
土布,homespun,material,cotton and silk textiles,odd
结束语,peroration,decoration,probation,article
包住,envelop,envelope,develop,plutocrat
纺织品,textile,tactile,texture,fertile
旋风,tornado,torpedo,head wind,tempest
假的,fake,joke,bake,Yale
出,egress,dress,express,stress
小提琴手,violinist,scenarist,clothes,effect
东西,tack,stack,pack,tap
分泌,secrete,secret,secrecy,secede
无害,innocuous,disadvantageous,fire control,to prevent
烦躁状态,fidget,fudge,midget,ridge
警告,admonish,astonish,lesson ,alarm bell
赤道,equatorial,the Arctic Pole,east longitude,latitude
小别墅,casino,calico,canine,basin
提升,exalt,extant,exact,exult
大场所,emporium,monograph,sacrament,versatile
唾液,saliva,salvo,saline,alive
决断,fiat,fist,gnat,sift
热情,torrid,horrid,torpid,sordid
萎蔫,flaccid,placid,mature,to have the ears of grain come up
庸医,charlatan,veterinary,the author,reporter
青少年,adolescent,adult,irises and orchids,father-in-law
鲁莽,blindfold,smooth and steady,elegant,patient 
塔式寺庙,pagoda,parody,panda,ratify
铁匠,smithy,smith,pithy,smite
形成皂沫,lather,panther,later,gather
最高点,noontide,settlement,starting point,empty space
入迷,spellbound,engrossed,be attached to one's native land and unwilling to leave it,be driven to join the Liangshan Mountain rebels
过去,bygone,bone,begone,die suddenly
爱哭,leaky,beak,leak,least
教科书,textbook,almanac,a book on the art of war,copybook 
气管,windpipe,kidney,gizzard,heart
唇管,flue,fluke,flee,flu
画室,studio,stucco,stupid,studious
通知者,informer,former,inform,informal
岛民,insular,angular,annular,insulate
理论家,theorist,theorize,producer,musician
怀疑,skeptical,sceptical,jealous,take to heart
一字不差,verbatim,sophist,quack,leave
敲诈,blackmail,be a speculator ,to invade and occupy ,to cheat
蝗虫,locust,lout,oust,focus
白喉,diphtheria,pneumonia,measles,arteriosclerosis
结尾部分,epilogue,collier,nutshell,bootleg
海岸,coast,cash,east,roast
有用,useful,tuneful,lustful,volunteer
睑,eyelid,eyelet,sophistry,decisive
学者,sophist,sophism,sophistry,soloist
污点,slur,slab,sir,lurk
长丝,filament,firmament,lament,figment
留声机,phonograph,photograph,monograph,phonogram
征服,subjugate,annihilated,subdue,be defeated
氯,chlorine,chloride,chlorinate,calorie
污垢,grime,urine,crime,grimy
飞机,aircraft,airliner,aboard,spaceship
有害生物,pest,chest,pet,jest
美洲豹,jaguar,jugular,bear,tiger
丰富,bounteous,courteous,to increase,rise in value
引证,adduce,deduce,addle,addict
咕哝,mumble,rumble,bubble,gamble
不合法的,illegal,legal,craven,derrick
渴望,wishful,wistful,bashful,wilful
陷阱,pitfall,the only proper course to take,path,tie
卫生学的,hygienic,hygiene,parabola,curfew
好色,lascivious,nondescript,full of tenderness or affection,elegance
文字记录,transcript,transcribe,obstruct,date
倒转物,invert,invent,covert,inset
天然金块,nugget,rugged,suggest,nudge
茂盛,prosperous,prospectus,most,respectively
尚武精神,militarism,militarize,snigger,genocide
计算,compute,commute,computer,compete
变动,shifty,shift,thrifty,fifty
营火会,campfire,vampire,joint conference,dinner party
堰堤,weir,war,hear,whip
一致,consensus,of the same age,peer,to belong to
欺骗,sucker,pucker,summer,suffer
悲伤,sadden,redden,laden,madden
鼻音,twang,twine,bang,than
悦耳,dulcet,bullet,dunce,mulct
绑架,kidnap,kidney,broken circuit,snap
盥洗盆,washstand,withstand,supine,hypnotize
正式批准,ratify,gratify,ramify,ratio
充血,injection,infection,intention,inception
职责,dutiful,pitiful,sovereignty,privilege
扒手,pickpocket,kidnapper,swindler,hacker 
奎宁,quinine,aquiline,irate,sidelight
塞满,bulge,bilge,pulse,nudge
侵略者,aggressor,aggression,cheater,hacker 
舌背音,dorsal,mortal,morsel,moral
讲蠢话,twaddle,waddle,twiddle,addle
污点,sully,sulky,sally,hilly
限制,constrain,contain,constraint,put an end to
散漫,discursive,flatly,frail,natural
疯子,bedlam,beam,pedlar,deformity
邮寄,mail,jail,wail,bail
茧,cocoon,croon,tycoon,colon
猜疑,jaundice,to believe ,jealous,earnest
合作,concurrent,to put out,make a hasty last-minute effort,fully displaying one's capabilities
懒怠,sluggard,reassure,brawl,devise
丧失名誉,disrepute,dispute,porcelain,object
草本,herbaceous,house pet,crops,animals and plants
痰,phlegm,hormone,blood shed in a just cause,gall
鱼叉,harpoon,lampoon,cartoon,razor
操作,operative,imperative,operation,operate
克,gram,ram,brag,game
衬衣,underwear,pants,shorts,a sleeveless garment
扎,truss,tress,trust,crust
短号,cornet,coroner,corner,cornea
昼夜平分二分时刻,equinox,equine,hairpiece,homicidal
征服,vanquish,anguish,vanish,languish
清除...中的根茬,stump,stamp,stumpy,plump
吸入,inhale,exhale,hale,innate
强夺,ravish,vanish,radish,garish
可担任的,tenable,enable,table,unable
生气,umbrage,embrace,mirage,umbra
槽车,tanker,maker,wander,canker
濯身,lotion,notion,portion,nation
糜烂,erosion,evasion,emotion,version
大学,collegiate,faculty,school,junior high school
窥见,espy,spa,spy,empty
要人,magnate,magnet,agate,cognate
小装饰物,trinket,thicket,cricket,triplet
撤回,recant,recall,recast,resent
解开,untie,entire,uncle,entice
责骂,trimming,abuse,to compete,curse
歌词,libretto,antithetical couplet,ballad,slogan
悸动,pant,gait,want,part
小费,gratuity,gratify,gravity,fare
啄木鸟,woodpecker,myna,peacock,pelican
妙语,witticism,asthma,stuffy,gaze
退落,subside,subsidize,outside,seaside
小妖精,goblin,bobbin,robin,goblet
失职,delinquent,distort,haunt,to violate a prohibition or ban
户外,outdoors,outdoor,domestic,outskirts
砍,whack,crack,rack,chick
废除,annul,annual,annular,anus
合并,merge,wedge,midge,verge
否认...是自己的,disown,down,bison,drown
杂色,pied,seed,piss,pi
行事吝啬,niggard,haggard,niggardly,laze
海外,overseas,overhear,overstay,oversee
集中,focus,bonus,forum,opus
哭肿,blubber,slumber,bluster,plumber
垫上运动,groundwork,skiing,to exchange toasts,membership
一阵,waft,wash,art,fact
钳子,pincers,pieces,sincere,princess
使麻痹,paralyze,immense,doorbell,ruffian
珍馐美味,ambrosia,strain,pacifism,pavement
装潢,upholster,upholstery,holster,make
独木舟,dugout,devout,dugong,gout
锁匠,locksmith,blacksmith,perception,libretto
假的,bogus,bout,onus,magus
吗啡,morphine,poisonous,cigarette,marijuana
爱抚,fondle,dandle,handle,fond
琴键,digital,digit,a small drum for marking time,flute
证明,certify,rectify,mortify,terrify
挫败,disconcert,discontent,disconnect,success
浆,lymph,lumpy,lamp,limp
男教师,pedant,peanut,pendant,decant
草案,protocol,proposal,enclosure,image
精馏,rectify,ratify,certify,testify
花冠,corolla,gorilla,corollary,corona
诽谤,malign,align,main,malice
吝啬,stingy,tinge,singe,skinny
女郎,slut,flout,cut,clout
斜的,squint,squib,splint,squirt
堕胎,abortion,portion,apportion,absorption
吵架,wrangle,wangle,wrinkle,spangle
使旋转,swivel,drivel,shrivel,shiver
轮廓,silhouette,market,fact ,antecedents
雄蜂,drone,drive,irony,dote
锁柜,locker,flicker,pocket,pucker
词典,lexicon,lexical,legion,booklet
抵押品,gage,date,lace,tale
偶然,fortuitous,afraid,be unlikely,approximate
防波堤,breakwater,channels,snare,name of a place, Gezhouba Dam on the Changjiang River, in Sichuan
滤出,filter,mister,titter,falter
分析,analytical,analytic,weighing every word,quest
蜷缩,cower,hover,caper,tower
使荒芜,ravage,salvage,savage,rave
合作,cooperate,corporate,operate,be faced with
文具,stationery,stationary,stationer,thumbtack
使再现,evoke,evade,revoke,choke
楼层,storey,store,stoke,sore
帖,quire,fire,juice,pure
妨碍,handicap,blockage,spoil things through excessive enthusiasm,range
四等,delta,deity,debt,dell
斗拳狗,boxer,bother,bier,bore
对...估计过低,underrate,understate,underwrite,undertake
挖苦,scorch,scotch,smirch,torch
火的,igneous,astronomy,rider,wild
官能,function,unction,functional,faction
坚硬,adamant,harden,flaky,ragged
用短剑刺死,poniard,onward,pollard,wheelchair
桃尖拱,lancet,lance,dancer,cancel
纪念物,memento,moment,cement,materials
剧作家,playwright,geologist,banker,investigator
沉湎,grovel,drivel,grove,gravel
制鞋工人,shoemaker,absorption,recipe,patrol
港湾,estuary,ice-free port,station,route 
口令,watchword,catchword,matchwood,symptom
战胜,outdo,undo,auto,outgo
鼬,mink,muck,mid,milk
用长牙抵,tusk,dusk,rusk,musk
细说,expatiate,expiate,expatriate,utterance
敲击,percussion,persuasion,permission,to touch
鸭,duck,duct,luck,dunk
多彩浮雕,cameo,camel,fame,comet
梭,shuttle,subtle,scuttle,spittle
骗取...的钱,rook,root,book,roam
十几岁,teens,lens,teem,tennis
轻视,belittle,little,brittle,discrimination 
使恢复原职,reinstate,propitious,eagle,agio
嘲笑,deride,stride,eerie,ride
沼泽地,quagmire,open land,North America,archipelago
完成,complete,compete,compute,incomplete
目的,objective,objection,subjective,adjective
取代...的位置,displace,misplace,disgrace,displease
小孩,tot,not,mot,bolt
红树,mangrove,ipecac,Chinese ilex,arbor
长出,sprout,sport,spout,proud
独裁统治,autocracy,plutocracy,autocrat,optimist
不在的,absentee,absence,absent,firmness
笨蛋,booby,goody,roomy,bomb
体力,main,mine,gain,bin
滑轮,pulley,pollen,pallet,volley
削弱,shatter,latter,shutter,chatter
节俭,economize,economist,economics,economic
一伙,troupe,trouble,arouse,truce
使有生气,enliven,eleven,intake,adolescent
沾上,reek,freak,rend,beer
抱怨,squeal,squeak,squall,steal
美洲狮,puma,plum,pump,puke
六分周,sextant,extant,servant,extent
溃疡,ulcer,ruler,flyer,dulcet
化验,assay,allay,ashy,ass
新入会的人,initiate,imitate,intimate,initial
释义,paraphrase,directions,postscript,quote
狂吹,bluster,blister,cluster,blubber
环绕,encircle,circle,surround,to mix
土,agrarian,zephyr,jealousy,jetsam
信任,credit,accredit,remit,predict
唱小夜曲,serenade,serene,grenade,foible
行话,lingo,lunge,lint,tango
使缺席,absent,resent,assent,advent
屠宰场,shambles,shamble,shameless,meeting place
铝,aluminium,copper-nickel alloy,bronze,silver
挨次轮换,inning,cunning,spinning,inkling
鹊,magpie,magic,maple,tow
盔甲,armature,premature,immature,mature
有许多习语的,idiomatic,idiotic,axiomatic,forcible
粘着,adherent,adhere,coherent,inherent
先驱,precursor,grandson ,daughter's daughter,posterity
金库,coffer,confer,duffer,offer
使人厌恶,nauseous,gaseous,repose,hoary
倒转,retrograde,confront,too,pure and simple
向东,eastward,westward,dastard,bastard
间谍行为,espionage,postdate,vehicular,fridge
秘传,esoteric,article,feature article,diary
力量,vim,vie,time,evil
枣红色的,bay,ray,wan,bog
失眠,insomnia,insignia,intoxicated,thirst
掩饰,palliate,palliative,palpitate,palate
射程,gunshot,upshot,sum,trip
歪曲,falsify,calcify,gasify,take the branch for the root
照顾者,caretaker,copious,embroidery,negative
离,vacate,vacant,acute,facade
拉拢,lasso,ass,bass,class
过量,surfeit,forfeit,to appear,following
会计人员,accountant,croquet,hollow,ahead
激感,excitation,exaltation,recitation,citation
把...打昏,stun,scum,stub,scan
三脚凳,tripod,triple,trio,trip
预示,portend,portent,pretend,contend
被激怒的,exasperate,exaggerate,titular,schoolmate
妓院,brothel,brother,bother,broth
骑马步兵,dragoon,dragon,patent,misbehave
发怒,irascible,angry,extremely angry,feel wronged and act rashly
至,solstice,livery,hawk,article
棘手,touchy,torch,touch,vouch
烧杯,beaker,bearer,beaver,baker
比...活得长,outlive,outside,outline,olive
最高点,acme,ache,face,acumen
滑冰,skate,state,spate,scare
操作,manipulate,diction,contract,military 
气候,climatic,climate,omen,whereabouts
闲逛,saunter,shutter,banter,hunter
欢呼,acclaim,reclaim,exclaim,claim
脚的,pedal,penal,petal,phial
温热,tepid,stupid,rapid,tend
石棉,asbestos,ingot,scheelite,bean dregs
胜过,trump,rump,thump,troop
雇佣工,journeyman,saddle,liquidate,revision
装运,shipment,shipping by sea,to traffic ,carry
提供,proffer,offer,prefer,proper
夸夸其谈,bombastic,dialog,tell ,speak out of turn
流行性感冒,influenza,influence,cross-eyed,cholera
蹲,crouch,couch,grouch,crush
下水,offal,oval,opal,offer
口径,calibre,calibrate,caviare,predicative
贬义,derogatory,clue,put down,standpoint
装饰,gild,guilt,geld,bold
争执,tussle,muscle,hassle,rustle
喷射流,spurt,spur,sport,spout
一会儿,jiffy,jiff,tiff,fifty
爬,clamber,slumber,lumber,camber
极不公正,iniquitous,ubiquitous,monotone,escort
胫,shin,skin,hi,chin
气喘,asthma,to take a breather,beaten,lazily
鞣皮工,tanner,banner,banker,tatter
污水,sewage,stage,wage,silage
取消,cancel,dancer,camel,lancet
乞求,bum,bull,tub,buck
绞病,colic,comic,clip,toxic
渐强,crescendo,crescent,market,reservoir
民众领袖,demagogue,pedagogue,thick,please
瘦的,scraggy,shaggy,craggy,backbone
敲,jowl,goal,pool,jaw
一条,pair,far,maid,pap
阻止,stunt,stank,stony,stint
鼓出,baggy,foggy,shaggy,bang
炽热体,glower,flower,tower,lower
阴湿,dank,ark,day,tank
欺骗,gaff,calf,tiff,gate
盖,append,appeal,expend,attend
保人,sponsor,sensor,spoor,sponger
出击,sortie,forte,mortise,sportive
娶,espouse,spouse,expose,response
猛扑,pounce,pouch,ounce,bounce
苹果,apple,axle,dapple,apply
琐事,gnat,meat,gnu,coat
意识到的,sentient,sentiment,lenient,friendship
挂襻,tag,raw,stage,ad
臭鼬,skunk,spank,bunk,dunk
交织字母,monogram,monogamy,monograph,phonogram
说法,parlance,variance,palace,balance
地狱,underworld,predicament,stock market,case
超载,overload,overlook,overcoat,overboard
怕,dread,dream,rear,tread
高地人,highlander,highland,yell,certainty
使迷路,bewilder,builder,adjustment,infiltrate
鲜明,trenchant,enchant,general,faint
肉红色的,carnation,narration,variation,creation
强制,coerce,cohere,pierce,core
课程,curriculum,dynamics,political science,engineering
辩论学,forensic,obscure,jobless,scald
好开玩笑,facetious,fractious,collective,jubilation
闲混,dalliance,alliance,drift,flue
小缺点,foible,fable,hobble,forcible
把...塞进,cram,tram,crass,cramp
补习,remedial,be a visitor ,to simulate,take lessons after school or work
接近,nudge,dude,nurse,badge
妒忌,begrudge,grudge,refuse to obey or comply,admire
听的,auditory,supporter,spindle,axis
恰当,felicitous,delicious,solicitous,obligation
滑稽的人,buffoon,postdate,zigzag,guess
拉毛粉饰,stucco,studio,begin,circuitry
轮齿,cog,so,tug,son
使确信,convince,convene,convict,confine
舔,lap,cap,lax,lag
安装,install,instant,stall,instil
十分,canny,any,granny,tawny
捣碎,crumb,crime,rum,trump
细阅,canvass,carcass,canvas,repugnant
提高,hike,wine,hie,side
并发,complicate,implicate,complicity,watery
资本主义,capitalism,capitalist,capitalize,patriotic
咯咯地笑,giggle,jingle,girdle,waggle
治百病的灵药,panacea,palace,midnight,icy
擦伤,chafe,chime,case,chase
静息,quiescent,offence,tomb,cold
真空吸尘器,hoover,hooves,lover,hover
调色板,palette,epaulette,palate,gazette
堵漏人员,plumber,blubber,lumber,slumber
不同,disparity,dispirit,almost, nearly,inequality
甜饼,bun,bus,inn,mum
往...的上游,up,dub,upon,gut
稻草人,scarecrow,skeleton,fairy,fatty
大蕉,plantain,plantation,now,pulsate
掘出,burrow,barrow,harrow,borrow
吹毛求疵的意见,cavil,carol,civic,evil
消磨,loiter,litter,pointer,lower
凶恶,atrocity,ferocity,kindly ,good and honest
速度,tempo,temper,tempt,typo
丑角,harlequin,lead,ordinary members of theatrical troupe,singer
正式写成,engross,egress,gross,cynical
欢腾,jubilation,mournful,kowtow,gay, happy
已往,foregone,forebode,original,old-time
赶上,overtake,overtax,overawe,overstate
使断奶,wean,mead,vein,weak
弯曲着,akimbo,limbo,thrifty,voluble
查帐,audit,audio,aunt,addict
第四十,fortieth,fiftieth,charter,restore
要求,postulate,postdate,populate,to yearn for
加宽,widen,waken,warden,video
菱形拒马,hedgehog,elm,muffle,forthright
同义词,synonym,particle ,pronoun,numeral
半吊子,dilettante,ignorant,answer fluently,arise from the dead
磨坊,mill,mist,mile,file
喇叭筒,megaphone,telephone equipment,phonograph,speaker
溺爱,dote,dole,dour,fete
桧,gorse,moose,gorge,curse
使陷于危险,imperil,imperial,peril,impel
大罐,jug,cub,hug,jig
胡闹,prank,shank,rack,prone
变白,blanch,blench,lynch,lunch
和风,zephyr,iceberg,hurricane,east wind
硼砂,borax,bray,boa,boar
蜜蜂巢,honeycomb,coconut,testy,governor
蟒蛇,python,pylon,potion,patron
眼的,ocular,jocular,secular,popular
保修单,warranty,warrant,arrant,plain
围腰,corset,consent,cornet,curse
清除,clearance,perish,brush,extinguish
使惊呆,dumbfound,whimper,roulette,turmoil
人身自由,autonomy,astronomy,jolly,unmanned
拖,tow,top,hot,low
游荡,dally,ally,palmy,daily
语调,modulation,population,adulation,undulation
把...引进密室会谈,closet,loser,close,covet
击溃,rout,route,row,clout
罪犯,malefactor,gray,borrow,illiterate
供物,oblation,ovation,oration,relation
迟误,dilatory,to come to an end,tarry,make good
女子气的,womanish,concept,amplifier,piano
表示同意,ok,TV,yoke,rob
软骨部分,cartilage,carriage,rifle,activate
使变红,redden,sadden,rudder,reader
谚语,adage,usage,abate,manage
象限仪,quadrant,monoxide,stalagmite,monotone
选择性的,selective,elective,detective,selection
离题,diverge,diverse,divulge,divert
毛石,rubble,babble,stubble,rabble
涂片,smear,smell,sear,dear
流浪,migratory,signatory,to make a living as a traveling performer, etc.,to work hard
二氧化物,dioxide,divide,oxide,diode
漏,leakage,cleavage,breakage,jump
劝诱,cajole,parole,castle,cable
车床,lathe,late,lath,lithe
扼制,suffocate,carry noodles,hydraulic pressure,support
镌,engrave,engage,grave,enslave
擦,scour,scar,scowl,sour
翻找出,rummage,rampage,retrace,jackal
能燃烧的,incendiary,salvo,budge,parsimony
找茬儿,carp,car,carve,cad
被保护人,protege,protect,protein,protest
姥姥,goody,woody,moody,broody
上坡,uphill,phial,spill,chill
控制者,controller,leader,head of a committee,Mao Zedong
准则,norm,form,yore,germ
恶臭,noisome,noise,variegated,balmy
奏鸣曲,sonata,senate,sonar,donate
预先假定,presuppose,turncoat,opal,auxiliary
宣誓书,affidavit,pretty,orchard,cyclist
向...提供食物,aliment,salient,lament,element
在...里面,inside,insane,invite,insure
吃完,consume,censure,console,consumer
魔鬼,diabolic,spirit,the Eight Immortals,god of longevity
集约,intensive,intense,intensify,incentive
同班同学,classmate,shove,peppermint,streamline
给...穿罩衣,smock,suck,smoke,shock
时尚,craze,cloze,maze,crime
极坏,abysmal,boudoir,orderly,whenever
私奔,elope,lope,elapse,nope
解放,emancipate,civil strife,to fight,revolution
雄鹅,gander,banner,pander,ladder
枝形吊灯,chandelier,chandler,territory,trader
小钱,dime,pine,die,dire
折痕,crease,crave,cease,breast
把...排挤掉,supplant,supplicant,jester,forehand
成分,component,opponent,competent,amino
按照,per,set,peter,peer
凿,peck,speck,pact,neck
教师,pedagogue,pedagogy,demagogue,a teacher in charge of a class
孤立,sporadic,isolate,to harm,to gang up
鞭打,slash,smash,flash,sash
释放,evolve,revolve,solve,involve
趋向,trend,breed,arena,tread
盘,disk,dusk,link,duck
给...标记号,tick,rink,ticket,pick
看到,sight,might,right,eight
自由主义者,liberal,literal,mineral,liberty
逾越,trespass,well-being,dominate,restrict
生坏疽,gangrene,force,assignment,expense
心满意足,gloat,goat,lot,global
社会党的,socialist,socialism,vocalist,socialite
传单,leaflet,declaration form,order,leaflet
嘲笑,derisive,decisive,derive,unconstitutional
甲状腺,thyroid,valve,blood,membrane
缺席,absence,essence,absent,ambience
指针,pointer,painter,printer,counter
下大雨,pelt,jest,put,punt
死气沉沉,glum,plum,sum,gnu
妨碍,encumber,cucumber,number,put an end to
刻划,delineate,delicate,deliberate,attempt
缓和物,palliation,palliative,medallist,garble
相关联的,relevant,reliant,elegant,irrelevant
用绞盘吊起,windlass,mindless,teaspoon,genetic
废话,palaver,slaver,palace,player
啪地打,clink,blank,clank,slink
监狱,limbo,limb,lingo,limit
聚集,condense,condenser,converse,nonsense
叠代,iteration,alteration,liberation,operation
促进,accelerate,exert ,urge,excited
卡他,catarrh,twin,heartily,prodigal
失球,fumble,mumble,foible,humble
遗嘱检验,probate,reprobate,primate,private
浑噩无知的人,ignoramus,convoke,tall,twill
咬,gnaw,gnat,snap,anew
隐蔽,covert,overt,convert,coverlet
开始,inception,infection,intention,exception
发源,emanate,mandate,emulate,manage
小提箱,suitcase,nutcase,condom,journeyman
使醉,fluster,cluster,duster,bluster
微波,microwave,billow,ripple,wave crest
聊天式的,chatty,chancy,chaste,chary
遗失者,loser,rose,lose,boxer
未受挑衅,unprovoked,showcase,crossword,liquefy
锰,manganese,overall,ruminant,senile
实验,experiment,expedient,end of term examination,experiment
计票人,teller,welter,stellar,seller
潜在,potential,obscurity,government,not turn a hair
用锄干活,hoe,pie,home,hone
关闭,padlock,wedlock,paddock,haddock
大量照射,downpour,annular,precision,shipwreck
渴望着,agog,clog,among,ago
黏合,cohesion,nylon,father,ransack
赦免,absolve,above,solve,resolve
记录者,recorder,reporter,record,recover
能说会道,glib,lab,crib,grit
揭去盖子,uncover,recover,cover,unmoved
同国人,compatriot,plebeian,greed,meteorite
生气,pout,our,pour,lout
无字,unlettered,prohibit,carat,sully
恶心,qualm,quay,realm,quail
潜水艇,diver,dive,divert,dine
驱使,flog,float,dog,slot
轻骑兵,hussar,hussy,bursar,gunner
变化无常,capricious,capacious,circle,to develop
六角盘,wince,mince,pine,hinge
共谋,collusion,collision,illusion,conclusion
优等,alpha,aha,first-class,to pass a test
闯入者,interloper,ship,programme,drunken
物理学家,physicist,physics,physician,pianist
痴迷,besotted,uncertainty,be attached to one's native land and unwilling to leave it,fascinate
用短剑刺,dirk,bird,dark,dire
笨蛋,duffer,offer,buffet,buffer
凿沉,scuttle,settle,scuffle,subtle
酒鬼,lush,bushy,lurch,brush
符合,sort,forty,strut,short
越轨行为,escapade,escalate,escape,kettle
标语,slogan,login,loan,daydream
海豚座,dolphin,bladder,unlikely,outlay
二重唱,duo,drop,dam,dun
错过,balk,beak,pale,barn
渠道,conduit,conduct,conceit,consult
双关语,quibble,bubble,squabble,nibble
足迹,slot,slam,hot,bloc
数词,numeral,numerical,funeral,numerable
专业词汇,glossary,cigarette,darn,corrupt
蜘蛛网,cobweb,cower,microwave,hanger
疯狂,demented,detente,stoppage,paralysis
不友好的,offhand,offend,contest,shuffle
涂掉,deface,defect,defiance,debate
最外面的,outermost,brassiere,sublet,strand
树篱,haw,thaw,par,mar
达到最低值,minimize,maximize,enigmatic,edible
素食者,vegetarian,vegetation,putrefy,promote
胡乱摆动,flail,flair,avail,fail
拷问,grill,trill,spill,frill
突出部,jetty,petty,deity,jerky
辫子,pigtail,discipline,reason,classical
定期船,liner,later,winner,miner
博学,erudite,incorrigible,incapable,answer the questions without any hitch
偏常者,deviate,decimate,debate,deflate
有辐射的,radiate,eradicate,graduate,irradiate
使胆怯,daunt,shunt,gaunt,haunt
开士米,cashmere,cashier,furniture,unerring
欺骗,hoax,heal,foam,hoard
发出,expedite,spring up,to reappear,to come out one after the other
腐烂,putrid,outbid,lurid,cool off
共产主义,communism,communist,communion,community
椭圆,ellipse,eclipse,elapse,ellipsis
混杂,mongrel,transport,intersect,surround
拖,lug,leg,tug,blur
泥土,clod,cloak,slow,cold
不明飞行物,ufo,pro,do,auto
红利,bonus,bogus,onus,minus
漂亮,chic,child,chick,hit
推断,construe,conserve,construct,assumption
作品,opus,onus,out,plus
癫痫,epilepsy,appendicitis,paralysis,moisture
发誓弃绝,abjure,azure,assure,absurd
喇叭裤,pyjamas,shorts,petticoat,underwear
漆器,lacquer,tie,craft,lightning arrester
管弦乐队演奏的,orchestral,orchestra,ashore,arguable
做得过分,overdo,overdue,over,overt
指责,obloquy,oblique,colloquy,take the blame
痢疾,dysentery,cholera,feather screen,malaria
把...打扮得漂漂亮亮,dike,bike,tire,bite
乳头,pap,rap,pat,nap
打击,tit,win,tilt,dig
汇编者,compiler,compile,copier,computer
大口水壶,ewer,ear,pier,refer
飞奔,scud,scour,spud,sub
把...堆成垛,rick,chick,hack,reek
宿命论,fatalism,fatality,atheism,Marxism
排,platoon,patron,pontoon,elation
骑自行车,bicycle,icicle,recycle,cycle
呕吐,vomit,comic,volt,admit
奇特,oddity,oddly,deity,state in writing
相交,intersect,interject,intellect,interest
硬挤,squash,smash,slush,squat
哺乳动物,mammal,mamma,mama,madman
影响,react,realm,yeast,pact
光的,luminary,culinary,urinary,seminary
病变,pathology,mythology,anthology,diversification
女性家属,kinswoman,kinsman,teacher,rehearsal
戴桂冠的,laureate,nauseate,genteel,rarity
漂亮的孩子,cherub,chorus,shrub,cheque
排列,dispose,disease,disprove,disrobe
区,regional,region,rational,elevate
变得美,beautify,beautiful,beauty,uproarious
运送,consign,consignee,ensign,consist
挤,jostle,joggle,rustle,hostile
闲话,comment,commence,commend,torment
养育,nurture,future,suture,vulture
诋毁,crucify,calcify,crucial,tease
卵,ovum,plum,bum,forum
边远蛮荒林区,backwoods,backwards,sinew,bouquet
推断,corollary,corolla,publicly known,preside over
脚印,footprint,scar,a person's handwriting,wrinkle
摆脱,unload,unlock,inroad,load
书呆子,dunce,fence,dense,nonce
灾变,cataclysm,catalyst,resolute,paragon
物体,object,abject,inject,eject
薄翳,nebula,mire,crux,activist
立即,forthright,fortnight,unlimited,purely
打油诗,doggerel,carol,song lyric,ballad
黑莓果,bramble,ramble,crumble,rabble
教条主义,dogmatism,dogmatize,dogmatic,act at one's discretion
结肠,colon,colony,pylon,cool
同源,cognate,connote,donate,cogitate
卖牛奶的人,milkman,walkman,milkmaid,tobacco
易变,versatile,sit,cupboard,torpedo
喝彩,plaudit,audit,howl,to yell
会合,converge,converse,convert,coverage
贪吃,voracious,veracious,vivacious,gracious
打旋,swirl,twill,whirl,stir
有目的的,purposeful,taxi,testator,jumper
灌木林,coppice,compile,caprice,hospice
削弱,dilute,deluge,dilate,disuse
铺沥青于,asphalt,autoimmune,disdain,disqualify
灵丹,elixir,elicit,juridical,knack
法定人数,quorum,forum,quota,balance 
