#word,meaning,option1,option2,option3
低估,underestimate,reasoning,to estimate,unexpectedly
不同,diverse,divorce,reverse,diverge
潜能,potentiality,a helping hand,strength,vigor of strokes in calligraphy or drawing
坚定,inflexible,flexible,knowledge,absolutely
闪现,flash,blush,flashy,flake
不遵照传统生活的（人）,nonconformist,racketeer,wrecker,fat
无嗅,odorless,citron,raft,finance
空间,dimensional,firmament,opposite,outer space
流行,prevailing,hereditary,legend,implicated
（乐器的）弦,string,sting,stringy,during
通货,currency,current,currently,urgency
在…下面,below,blow,belt,melon
即席创作,improvision,mutiny,glacier,heal
扰乱,disorganize,vex,to obstruct,contradict 
不断,constantly,unbounded,to link,first
犹豫,hesitate,meditate,estate,testate
驳船,barge,bare,bulge,bar
授粉,pollination,pollination,butcher,to release
混合（物）,blend,lend,bland,gland
最终,ultimate,estimate,ultimatum,climate
奇迹,miracle,mirage,manacle,circle
牧场工人,rancher,saviour,gourmand,lawn
毛细管,capillary,acupuncture point,vein,afterbirth
使溶解,dissolve,dissolute,spangle,town
重复,repetition,reputation,petition,at last
直言不讳,blunt,stunt,daunt,blurt
使团结,solidify,solidity,scenario,similarity
从前,former,farmer,format,forge
小型立式钢琴,spinet,amputate,skittish,estimate
姿势,pose,host,post,ooze
代表,typify,typist,mark,common name
疯狂,crazy,cramp,crack,cram
形成,formation,oration,discolor,to develop
反讽,irony,crony,prosy,ironic
不识字的,illiterate,obliterate,literate,blizzard
缝,stitch,switch,witch,smith
建筑,construction,break ground,to hold or attend a meeting,to change
（使）枯萎,shrivel,shrine,thrive,strive
猎鹰,falcon,gallon,felon,fallow
逐出,eject,elect,erect,exert
不赞成,disapproval,flywheel,refuel,brine
致命,deadly,early,measly,dearly
没有偏见,unbiased,marmalade,quantity,encroach
分层堆积,layering,gorilla,laugh,firmness
抽屉,drawer,draper,drawl,draw
饥饿,starvation,salvation,thirst,hibernate
激起…的兴趣,intrigue,elliptic,purgative,morose
回忆,recollection,stake a claim,concerned,woo
宗教,religion,region,religious,revision
使成为整体,integrate,integral,intestate,integrity
最初,primal,late stage,New Year,session
发觉,unearth,earth,hearth,unearthly
被提名的人,nominee,nominal,nominate,redundant
例行公事,routinely,to build,routine,issue for enforcement
敌对状态,rivalry,revelry,cavalry,rival
阶层,layer,later,lager,player
原子,atom,too,actor,am
生理上的,physiological,bump,just,recline
航空,navigate,navigator,navigable,travel along a route
说话,utterance,to say more than is necessary,grunt,speak out of turn
缺点,defect,prefect,defend,desert
可食用的,edible,enable,audible,credible
沉闷,dreary,dreamy,treaty,dream
欺骗,deceptive,to hoodwink,to gain by cheating,give shade
注射,inject,insect,abject,inept
重大,fateful,diaphysis,scratching the surface,ruined
垃圾倾倒,disposal,dispose,volunteer,hit
幻灯片,slide,elite,glide,slice
（使）减少,diminish,wrap,masterly,man
强壮,robust,robot,rouse,bust
想象,envision,division,invasion,vision
最初,original,origin,criminal,ordinal
萎缩症,atrophy,detest,capacity,volley
钝的,dull,duly,duct,dumb
驾驶,steer,step,sheer,sober
坚持不懈,persevere,publicly known,estimate,to find
发生,occurrence,recurrence,distribute,to appear
配料,ingredient,spice,sink,makings
分解,decompose,discompose,compose,quote
纯化,purification,gild,cover with gold leaf,galvanizing
硅石,silica,wood,rock,stone
附件,adjunct,proposal,enclosure,duplicate 
专门技术,expertise,exercise,literary talent,stunt
可预言,predictability,goal,tireless,occult
盛行,prevail,retail,rumor,hereditary
农艺,agriculture,strength,craft,trick
活泼,brisk,brink,bride,brook
完成,achieve,thieve,active,to pursue 
失望,disappointment,conspiracy,to plot,be very disappointed
旅游胜地,resort,reform,record,retort
违背,breach,blench,react,reach
加强,fortify,mortify,forty,horrify
弄湿,moisten,mister,mitten,glisten
拱状,vaulted,neat,gibe,quiet
短暂,temporary,temporal,ice-cold,adult
发作,outbreak,derivative,become extinct,to send out
刮削下的碎屑,scraping,her,azimuth,cot
发芽,bud,sun,bad,gut
差异,variance,parlance,variable,variant
分程传递,relay,inlay,real,repay
延长,elongate,shrink,to extend,concentrate
小心翼翼,wary,wand,ear,darn
飓风,hurricane,iceberg,blizzard,hail
蜂拥,flock,flick,bloc,flow
创造（一个新的词语或短语）,coin,chip,cock,soon
发出低沉的隆隆声,rumble,fumble,jumble,ruffle
使制度化,institutionalize,thousand,memorable,viral
增加,augment,aliment,agent,segment
级别或地位更高的,superior,freakish,subjective,rouse
不充分的,inadequate,inadequacy,adequate,mouthful
消失,extinction,to lose,to explode,to destroy 
贫民窟,slum,plug,mum,stem
特权,privilege,privileged,copyright,a  mission
颁给,confer,counter,cower,coffer
装饰,embellishment,assemble and install,to install,clone
（动物）仿声鸟,mockingbird,animation,quack,lime
不足以令人相信的,unconvincing,angel,itemize,gold
酸度,acidity,acidify,rapidity,validity
(使)返老还童,rejuvenate,visa,gunboat,gingerly
停止,cease,please,cheese,coarse
笨拙,awkward,backward,award,to understand
螺旋形的,spiral,swirl,spirit,spinal
未失真的,undistorted,knack,sour,forgive
显眼,conspicuous,illegal,useful,indistinct
都市生活,urbanism,liquefy,make more youthful,to commercialize
争论,debate,demote,rebate,defame
侵略,invade,innate,inside,invite
文明,civilization,ice-cold,be concerned about face-saving,tactful
简洁,conciseness,really,sag,closely
匙,spoon,spook,spool,sport
光泽,polish,relish,publish,punish
谴责,condemnation,accept responsibility ,criticize,keep secret
忆起,recall,recoil,call,real
贸易保护主义者,protectionist,termite,easily,pillar
典范,exemplary,exemplify,to guide,typical
认真,seriously,firm belief,refuse to accept as final,confidence
十进制的,decimal,decimate,decibel,recital
翻倒,overturn,overture,overrun,faithless
色球,chromosphere,inflict,easel,anus
传统,custom,accustom,gusto,castor
（气候等）温和的,temperate,desperate,temperance,capitalize
哲学,philosophy,botany,physics,dynamics
使发酵,ferment,fervent,cement,segment
传送者,transmitter,mould,deer,guilt
恢复,rehabilitation,destroy,extinguish,to lose
学徒,apprentice,holder,mainstay,arm
传统,convention,conception,invention,connection
恐龙,dinosaur,seal,dinosaur,tiger
迷惑人的,illusive,elusive,inclusive,illumine
（语调的）抑扬顿挫,cadence,cayenne,credence,decadence
使硬,stiffen,stifle,stiff,fusty
疏忽,negligent,usual practice,be driven to join the Liangshan Mountain rebels,unable
相当,fairly,totally,at best,although
削,whittle,whistle,shuttle,brittle
立即,immediate,mediate,when all is said and done,gradually
山地内部的贫农,hillbilly,city resident,overseas Chinese,foreigner
独一无二,unique,pique,antique,clique
谱,spectrum,spectre,spectral,cookbook
最初,initially,initial,inside,session
废料,scrap,scrape,strap,crop
遗传上,genetically,listless,surfboard,escape
赞助,patronage,patronize,consolation,express sympathy, greetings, consolation, etc.
奇怪,quaint,paint,squint,quart
面纱,veil,vein,veal,bell
竞争,vie,ripe,foe,vim
危险,hazard,hard,lizard,halyard
稳的,steady,steadily,seedy,steamy
狂欢节,carnival,cardinal,cannibal,carnal
打开包裹（或行李）,unpack,pack,unlock,knack
艰辛,strenuous,tenuous,linger on faintly,confront a powerful enemy
城市,urban,urbane,turban,organ
玷污,contamination,vow loyalty and devotion to,take a risk,to be ready to risk one's life 
冬眠,hibernate,liberate,asleep,hibernate
不尊敬,irreverence,bradawl,sustain,biology
水生,aquatic,breeding,lay ,grow
卵形,oval,avail,zonal,total
公牛,oxen,calf,antelope,ass
紧张（状态）,tension,tensile,mansion,pension
条目,entry,sentry,gentry,entity
小孔,pore,sore,coke,perm
牙齿,dental,rental,menial,metal
提醒者,reminder,remainder,remind,render
芬芳,aroma,atom,drama,rota
指尖,fingertip,forefinger,thumb,double tactics
相当,comparatively,how many,totally,more than
新闻广播,newscast,wrestle,cooker,amicable
措辞,diction,direction,section,fiction
肆无忌惮,unscrupulous,to start a fit,imaginary,to forge
按说,supposedly,along with,rely on,in the wake of
促进者,promoter,creditor,cabinet,flash
反对,opposed,to put up with,to consent,to accept sth. as true
毁灭,destruction,to rest,quench,help relieve 
生物,organism,organist,orgasm,organic
君主,sovereign,tyrant,stockholder,shop owner
事件,incident,indent,ancient,accident
陪审团,jury,pure,burn,airy
特别,extraordinary,according to one's wishes,deliberately,jolly
异国,exotic,erotic,emetic,nationwide
快的,speedy,speedway,needy,seedy
定契约,contract,contrast,contralto,contractor
凶猛,fierce,pierce,farce,fiery
避免,avert,averse,pert,ever
忠诚,faithfulness,not resigned to,false,filial piety
大小,bulk,bust,bark,balk
思家病,nostalgia,to ponder,forget,recollect
使脱水,dehydrate,mobile,vengeful,idiomatic
瘟疫,plague,plaque,plate,page
功绩,feat,dean,heat,flat
具体,specific,pacific,specify,neat
忿恨,resentful,respectful,eventful,dreary
分别,respective,therefrom,personally,have no choice or option but to
偶然,occasional,occasion,inadequate,definitely
透明,transparent,next to,fail to understand,distant
防腐剂,antiseptic,poison bait,heroin,poisonous
真实,substantive,not just in name only, but also in reality,titular,live ammunition
围绕,enclosure,enclose,closure,intersect
干燥,dehydrated,laughable,abnormal,normalization 
在高处,aloft,clot,loft,float
大黄蜂类,hornet,cornet,horse,bonnet
同义,synonymous,subordinate,synchronous,agree without prior consultation
触须,tentacle,tenable,bear paw ,tail
落后,lag,tag,gay,play
坦白,frank,tank,franc,crank
切成薄片,slice,sauce,olive,alike
易碎,brittle,belittle,whittle,bristle
作曲,compose,comprise,compote,composer
顺时针方向的（地）,clockwise,calcify,virus,clear
烟雾,smog,flog,son,slow
辅助,tributary,express sympathy, greetings, consolation, etc.,offer,drum up support
复员,demobilize,demoralize,mobilize,deoxidation
海底,seabed,below zero,at the back,righthand
桑树,mulberry,hemp,hemp,cotton
聚集,assemble,assembly,assembler,resemble
倾向…的,inclined,six,frisk,audible
不顾,ignore,inure,snore,ignoble
专制,arbitrary,arbitrate,arbitrage,to launch
火山,volcano,volcanic,foot of a mountain,Fragrance Hill 
汗水,perspiration,leucocyte,hormone,phlegm
通常,accustomed,a certain,specialist,unprecedented
利用,utilize,utility,in order to,identify
消遣,recreation,reception,secretion,recitation
胜利,victory,factory,vector,history
牧师,clergyman,Apollo,apostle,missionary
相互作用,interaction,quick results,response,ferment
芦苇,reed,discover,nativity,pipeline
近郊化,suburbanization,conception,rider,ideology
使逐步上升,escalate,excavate,escalator,escapade
拱顶,vault,jaunt,daunt,taunt
器具,instrumental,monitor ,output,converter
教育学的,pedagogical,dainty,picket,submerge
磁气圈,magnetosphere,ungrateful,choose,single
举止,behavior,movement,activity,shortcomings
尖端细的,tapering,detainee,impregnate,metabolism
蒸发（作用）,evaporation,trimming,controller,impostor
弧形,arc,part,re,arch
阳台,terrace,retrace,terrain,trace
适当,aptly,portable,convenient,timely
妒忌,jealousy,zealous,jealous,envy
天文学的,astronomical,establish,monopolist,harpoon
从容,leisurely,leisured,leisure,calm
（文艺）批评,critique,roll call,to evaluate ,oversee
分数,score,core,scope,corn
谋反,rebellion,rebellious,to usurp,subversion
令人难以亲近的,forbidding,not enjoy popular support,narrow,troublesome
一致,consistent,insistent,take the same action or view without prior consultation,the corresponding time period 
碳水化合物,carbohydrate,nourish,adverbial adjunct,predicate
振动,vibration,liberation,migration,to beat
赤裸,bare,cane,blare,barn
（生物）拟态,mimicry,mimic,incognito,bind
腺体,gland,glad,guano,land
失事,wreck,week,rock,wreak
主张,allegation,reasoning,to sense,consideration
不利,adverse,averse,verse,obverse
吞,gulp,gun,full,pulp
市的,municipal,a matter of no great urgency,internal affairs ,commercial affairs
(物)耐久,survive,service,furtive,survivor
雏菊,daisy,daddy,dairy,dais
提案,proposal,propose,enclosure,diagram
熄灭,quench,hunch,wrench,blench
时髦,fashionable,hereditary,rumor,transition
团结,solidarity,solidity,merge,fission
人类学,anthropology,virology ,statistics,anatomy
附件,accessory,accessary,memorandum,map
图解,iconographic,comment,to explain,quote
可见度,visibility,hardness,openness,level
神经,nervous,fervour,ferrous,onerous
有效性,validity,rapidity,acidity,solidity
冲突,collision,collusion,coalition,to bow
前所未有,unprecedented,vile,not stick to one pattern,have an original style
居住,dwell,dell,bell,swell
空气传播,airborne,airforce,hash,teenager
使人难忘,imposing,currently existing,pretty and flirtatious,handsome
虽然如此,nonetheless,although,not only ,still
成果,outcome,attain a result,track record,exploit
紧握,grip,gripe,quip,lip
设置,locate,loathe,late,loath
雪花,snowflake,iceberg,icicle,snowstorm
氦,helium,medium,tedium,helm
画廊,gallery,galley,alley,valley
延期,defer,fever,deer,debar
古怪,erratic,erotic,erratum,state in writing
将…分类,systematize,impute,beeswax,immovable
复活,renaissance,cure,to heal,analgesic
钦佩,admire,aspire,mire,adhere
捐赠,donation,damnation,duration,ovation
参议员,senator,sector,mentor,sensor
罢工,strike,strive,striker,tripe
都市化,urbanization,automation,industrialization,diversification
冲突,conflict,convict,inflict,to bow
难忘,memorable,removable,to consider,forget
肢,limb,lilt,lamp,time
下水道,sewer,fence,terrace,courtyard
宁静,tranquil,concentrate one's  attention,prove oneself to be,be sorry
北极熊,polarbear,to scold,panther,leopard
音符,note,north,pole,code
水道,watercourse,alley,ice-free port,Haikou
狂热,mania,mini,mantis,maniac
身份,status,statute,statue,stature
家具,furniture,spice,get the materials ready,fuel
语音学,phonetics,phonetic,high technology,linguistics
可出租的,rentable,final,tone,unwind
有害,detrimental,to prevent,harmless,step over
酒吧,bar,tar,bier,say
湿地,marsh,harsh,march,mash
反驳,refute,refuse,route,refuge
镀锌,galvanization,to process,gilt,-plated
使残废,cripple,crumple,ripple,triple
立体主义,cubism,completion,hypocrisy,tango
不同意者,dissenter,candidate,supporter,servant
地震学,seismology,astronomy,politics,engineering
为…悲痛,lament,amend,garment,agent
修复,renovation,cure the sickness to save the patient,see a patient,rescue
复制品,facsimile,semi-finished products,product,output
平台,platform,courtyard,a public square ,stoop
传记作家,biographer,biography,dissolve,contend
离题,digression,isobar,automate,specimen
令人不满意的,unsatisfactory,ermine,misreport,foe
深恶,detest,detect,deter,desert
不再流行,outmoded,good-looking,currently existing,old
养老金,stipend,bankbook,match,betake
冒险（事业）,venture,denture,ensure,censure
有读写能力,literacy,literal,literary,literate
债务,debt,heat,debut,west
湿气,humidity,cataract,summertime disease,to sleepwalk
转移,diversion,aversion,dimension,division
预演,rehearse,release,rehearsal,hearse
熔融,molten,distill,gilt,galvanizing
挚爱,affection,affliction,infection,do not understand a certain thing
图表,diagram,announcement,aide-memoire,proposal
燃烧,combustion,burst,burn down,singe
谈话,converse,converge,convulse,conserve
刺激,activate,actuate,active,motivate
悲恸,mourning,suffering,to the satisfaction of everyone,miserable
萧条时期,recession,procession,cession,repression
适应环境,adaptation,detract,wan,facility
互相依赖,interdependence,bigamy,burner,fragment
跳进,plunge,lunge,plume,plumage
相应,corresponding,supply and demand,to meet ,supply
难懂,elusive,exclusive,evasive,abusive
遭遇,encounter,counter,get a thrashing,as many as
抛弃,abandonment,to give up,oblivion,to involve
提供,furnish,punish,burnish,furbish
定义,definition,definitive,put down,pathology
整合,integrated,connected by air, sea traffic or service,to interoperate,set something against
地幔,mantle,pantile,gentle,battle
建筑,architecture,to hold or attend a meeting,to alter,start building
作为结果,consequent,disorder,sluice,famous
忽略,overlook,overwork,overload,be forced to do something desperate
援救,rescue,reside,recur,resume
人行道,footpath,tunnel,highway,Nanjing St., large commercial street in Shanghai
喧嚣,turbulence,not throw the troops into battle,bustling with noise and excitement,in succession
转换,convert,concert,convent,concept
可预见的,predictable,couch,over,ply
抓住,grasp,rasp,grass,cramp
祖先,ancestor,ancestry,investor,ape man
(人)强健的,sturdy,storey,stray,stuffy
灿烂的一群,constellation,mainstream,invitation,bouquet
风景如画,scenic,scene,scent,sonic
新闻记者,journalist,journalism,editor,author
公民,civil,vigil,civic,rival
耀眼,dazzling,interesting or pleasant to listen to,brightness,gloom
间歇,intermittent,to relieve pain,weaning,expand
原子化,atomization,adorn,sleeper,genocide
统治,govern,cavern,oven,overt
使敏锐,sharpen,sharper,sharp,smarten
变异,variation,vacation,carnation,narration
寓言,allegory,fairy tale,short story,fable
阴天,overcast,overpass,overcoat,overact
沉积,sedimentary,to extend ,pile up,overflow
掠夺,depredation,kidnap ,broken circuit,theft
迅速,swift,stint,sift,swing
乐观者,optimist,optimistic,optimism,spectral
寄生者,boarder,article,scullery,thatch
分离,segregate,aggregate,congregation,leave one's native place 
提示,cue,cub,tube,run
精神错乱,insanity,not benevolent,craze,paralysis
抹泥,plaster,paste,latter,pastor
使误入歧途,mislead,misread,mislay,misdeal
汇集,compile,couple,comply,compiler
裁缝师,tailor,sailor,trailer,traitor
雪崩,avalanche,snap,tear up ,break
约定,stipulate,simulate,stimulate,to break a promise
(演说、文章等)冗长的,lengthy,length,lengthen,lamppost
不规则的,irregular,regular,perform,she
有知识的,acquainted,mourning,consciousness,proficient
无脊椎动物,invertebrate,orangeade,elementary,divisor
残余,remnant,bald,short and small,chip
温文尔雅,urbane,urban,bane,crane
蝴蝶,butterfly,wasp,bumblebee,fiery dragon
激发,motivate,mitigate,activate,mutilate
超音波学,ultrasonics,jean,fetid,workshop
发光,radiant,radiate,rampant,valiant
脱盐作用,desalination,bloodbath,intrigue,yearbook
追随,adhere,adore,cohere,adherent
论文,dissertation,to excerpt,editorial ,an inscription on a tablet
终于,eventually,eventual,be bound to,and then 
使再循环,recycle,cycle,bicycle,tricycle
精英,elite,belie,elide,lime
探险,explore,explode,explorer,expire
相当可观,considerable,BC,prestige,gem
用辞,terminology,terminology,sentence,particle 
饥饿,hunger,hunter,hanger,bunker
膜,membrane,embrace,blood,valve
发出嗡嗡声,buzz,bust,fuzz,buff
尼古丁,nicotine,opium,hemp,tobacco
机会,opportunity,key,pertaining to time,at the same time
调停者,mediator,tartan,mute,retreat
显现,emerge,merge,emergent,mere
尽职,diligently,clasp Buddha's feet - profess devotion only when in trouble,to be confronted with,remedy
装饰,embellish,make,assemble and install,brew
严格,rigor,generous,revolution,petty
学者气质,scholarly,scholar,talent and learning,jurisprudence
临床,clinical,critical,conical,clinic
迟钝,slothful,intelligent,sensible,machine
活跃,actively,naughty,unruly,pessimistic
维修,maintenance,to repair earthworks,mend,guarantee to keep in good repair
像,resemble,assemble,similar,act in a way that defeats one's purpose
目标,goal,glad,gore,toil
有影响的,influential,strange,piano,boil
井然,methodically,impoverished,filthy,rich
雕刻,sculptural,feel  the pulse,sculpture,fax
片断,segment,regiment,pigment,serpent
重要,significant,defeated,secondly,treasure
参与者,participant,party,companion,a stranger
欢乐,convivial,rapt,kneel,great celebration
加强,reinforce,enforce,consolidate,grasp
不可能的,improbable,probable,cry,raider
合子,nucleus,nuclear,invaluable,precious
遗迹,relic,raindrop,remain,pool
侮辱性的,insulting,attorney,mesh,slippery
神经元,neuron,nerve,marrow,artery
胆怯,timid,mimic,amid,limit
栖息处,roost,robust,loose,root
发动,launch,lunch,lurch,laugh
燃烧（的）,burning,during,burnish,turning
通信,communicate,shoot off one's mouth,to communicate,whisper
发出,emit,evil,merit,omit
用手,manually,amazement,air,ford
歌剧,opera,sperm,omega,open
风景,scenery,sentry,scene,celery
传染（病）,infection,intention,injection,inaction
指示,denote,depose,senate,decode
自卫,defensive,defective,offensive,defense
（使）枯萎,wither,twitter,hither,within
即将发生,impending,pending,approaching,to rotate
动人,appealing,narrow,not enjoy popular support,extensive
传记,biography,geography,biographer,children's fairy tales
动力学,dynamics,dynamic,dynamite,dynamism
静脉,vein,verb,rein,skin
（令人）不愉快的,distasteful,plaintive,beconme excited,dreary
不了解的,ignorant,ignorance,island,tibia
黎明,dawn,pawn,damn,dew
共有,mutual,ritual,usual,mural
指定,designate,desiccate,legislation,establish a capital
容许,tolerate,tolerable,moderate,tolerant
模拟,mime,hike,mote,some
新陈代谢,metabolic,modified tone,reshuffle ,to correct oneself
立体摄影,stereophotograph,antibody,noon,underdog
螺旋,screw,scrawl,crew,spree
行动,proceeding,with one's hands clasped behind one's back,to shake hands,to go for a walk
减少,subtraction,to die out,buy one's ticket after the normal time,fill a vacancy
美化,glorify,glory,clarify,boast
狂怒,frenzy,freeze,freely,frowzy
相互连接,interconnecting,safeguard,toll,magnetic
消化,digestive,directive,pain killer,to cough
使显著,highlight,suspend,depressed,barefoot
崩溃,crumble,fumble,stumble,tumble
通常,normally,original,upper class,tip
不感兴趣,indifferent,not care,hedge,refuse to acknowledge
驯养,domesticate,rear,graze,to raise
接合,juncture,tincture,hereditary,network
展示,spectacle,origin,omen,it can clearly be seen
有营养成分的,nutritious,adverbial adjunct,predicate,poison
静止,stationary,stationer,stationery,vivacious
包含,contain,captain,container,contact
离开,departure,be separated by ,to rotate,close to
令人不安,troubling,ashamed,be outraged by an injustice,discontented
设想,conceive,contrive,concise,concave
无止境的,endless,godless,heedless,unless
暴风雪,blizzard,lizard,icicle,ice raft
通常,customarily,give prominence to,qualified,first-class
核心,nuclei,inexpensive,put emphasis on,indifferent
拖动,drag,snag,swag,brag
装饰物,ornament,tournament,ointment,armament
重点,spotlight,invaluable,costly,negligible
无力,faint,fault,flint,jaunt
婚礼,wedding,pudding,pending,webbing
不拘礼节,informal,normal,formal,informer
管道,tract,trail,strict,trace
多汁液的,juicy,icy,quick,juice
反对,averse,reverse,verse,avert
检查,inspection,insertion,injection,inspector
表演,rendition,perform conjuring tricks,operate on somebody,deliver
分歧,divergence,honor,be at odds,resentment
事实,factual,cataract,strong current,antecedents
温度,temperature,air temperature,regulations,temperature
边,brim,rum,drip,brig
养育,breed,bleed,greed,rend
次要,secondary,secondly,in high spirits,just middling
一致,coherence,subordinate,take the same action or view without prior consultation,all things tends in one direction
非专业的(人员),nonprofessional,pillage,relate,assassin
持续时间,duration,adoration,nutation,adulation
空白,void,god,good,fold
考古学的,archaeological,concur,pedagogue,extremist
破坏,demolition,peel off,slide,sink into
响应,responsive,response,to yell,shout
大陆,continent,contingent,content,confident
发散,shed,set,sled,stead
统一,uniform,inform,crumble,married
批发商,wholesaler,tradesman,publisher,peddler
被抛弃的,abandoned,non-participant,treat something lightly,take no notice of
非决定的,inconclusive,diversion,emanate,supporter
持续,persist,resist,desist,perish
启迪,enlightenment,to conduct,to show,correspondence course
到期,due,dupe,dune,fume
潜水,dive,date,five,time
轻率的,reckless,feckless,recess,trackless
形态学,morphololgy,variable,romanticism,learning
倾泻,dump,dumb,damn,rump
半身像,bust,bash,fuss,test
饰演,portrayal,portray,concert,lower the curtain
饮食,dietary,humanity,livelihood,lunch
大规模购物中心,mall,dull,tall,small
航海,navigation,aviation,navigator,to navigate
微小,minute,inure,dilute,minuet
浅的,shallow,hallo,swallow,shall
礁,reef,reek,seek,keep
检查,inspect,infect,insect,inset
消过毒的,sterile,stele,startle,stride
牵引,traction,extraction,action,attraction
货站,depot,despot,spot,debut
明确,explicit,explicate,exploit,implicit
在市区（的）,downtown,local,trigger,minor
走私,smuggle,smudge,snuggle,juggle
狭窄,cramped,harmony,wide range,extensive
兼并,annex,anger,annexe,apex
视野,ken,rend,win,pan
开始,outset,upset,outlet,offset
范围,scope,slope,scale,scowl
全面,comprehensive,specific,tentative,neat
夺取,despoil,obtain,so as not to,prize
吝啬,skimp,skip,slump,skim
费力,laborious,very difficult ,first-class,optimal
自制,homemade,brew,have something made to order,moviemaking
装模作样,affected,to pant,outstanding,feign
火腿,ham,vim,nay,saw
声望,stature,statute,suture,statue
（数量或力量上的）优势,preponderance,own,virus,plight
眩晕,dizzy,diary,muzzy,ditty
起义,revolt,revert,revile,revolve
刮掉,scrape,scrap,escape,stripe
代替,replace,replica,replete,relate
皮带扣环,buckle,suckle,bundle,truckle
危急,desperately,Lawton,sweetness,helpless
使熟知,acquaint,quaint,acquit,to present
歧视,indiscrimination,spectator,ignore,appreciation
放大,amplify,simplify,to cut over,to revise
勇敢,gallantry,gallant,weak,intelligent
使变硬,harden,sadden,madden,pardon
相容,compatible,comparable,corruption,quick-freeze
平衡,equilibrium,dynamic equilibrium,loss,surplus
嫩的,tender,wander,temper,gender
准确,accurate,inaccurate,accuracy,actuate
遵守纪律,disciplined,horror,dissemble,traverse
不稳定的,unstable,notable,stable,unsuitable
减去,subtract,to eliminate,buy one's ticket after the normal time,disarmament
大约,approximate,can it be possible that,odd,to not have
磨碎,grind,find,grand,grid
小说,fiction,diction,section,fraction
花的,floral,global,flora,moral
铁磁,ferromagnetic,jacket,sleepy,inevitable
等于,equal,squall,equip,squad
容器,receptacle,special local product,minerals,fire hydrant
喷出,squirt,squirm,quiet,squint
表层土,topsoil,lyric,grandma,refinement
汇合处,junction,suction,function,sanction
荒芜,deserted,fertile,dense,blank space
不变,fixed,frantic,mechanical,cope with
（权利、传统）确立的,entrenched,tough,surging forward with great momentum,be a cinch
精细,elaborately,male and female,male,female
禁止,forbid,ford,morbid,torpid
综合,synthesis,synthetic,synthesize,research
超越,exceed,excess,extend,excel
生产,bear,ear,wear,beam
征服,subdue,subtle,sundae,undue
尽力,exertion,never ,customized,jolly
无限制的,unrestricted,great effort,simply  not,to the greatest extent
(数量或变化)很大的,appreciable,geometry,integral,fellowship
（供水）管道系统,plumbing,gleam,bison,tissue
行使,exert,pert,revert,expect
短暂,fleeting,moment,real time,overnight
口琴,harmonica,a bowed stringed instrument with a thin wooden soundboard,chord,set
苦（味）,bitter,litter,bother,fitter
节食,diet,deep,drier,dim
下,subterranean,sketch,chemical,tyrannical
风化,weather,feather,leather,father
离开,depart,dart,depot,deport
电离层,ionosphere,cone,story,corner
解开,unravel,navel,travel,ravel
危险,precarious,precocious,gregarious,precious
朦胧,dimly,remote,indelible,darkly
加浮雕花纹于,emboss,fool,critic,scratchy
沙漠,desert,despot,exert,defect
奇怪,peculiar,pecuniary,secular,abrupt
麻醉,anesthesia,be more of a hindrance than a help,to infringe on,to avenge
衰弱,feeble,feel,fumble,treble
评论员,commentator,act as referee,veterinary,seed
负的,negative,negation,native,sedative
确认,confirmation,publicly known,negative,to deny 
不墨守陈规,nonconformity,how,shame,grocer
立方体,cube,curb,case,cape
沉积物,sediment,sentiment,regiment,segment
垃圾,garbage,garage,barrage,gasbag
对角线（的）,diagonal,theirs,mellow,fail
磁,geomagnetic,nuclear power,opto-electrical,electromagnetic
半岛,peninsula,peninsular,Asia,hidden shoal
多数,majority,maturity,minority,"not even a blade of grass grows"
选项,option,optional,notion,oration
郡政府所在地,courthouse,perspire,infinitive,ascension
非传统的,unconventional,fourteen,lingerie,buffer
藏或贮存于一秘密处所,stash,pink,inroad,vigour
沙的,sandy,sand,send,candy
空气动力学,aerodynamics,Mercury,executive,spike
熟练,proficiency,be unable to tell beans from wheat - have no knowledge of practical matters,having experienced the hard ship of life,try hard
回答,respond,despond,response,resound
不明确的,indefinite,infinite,definite,adorn
令人向往,desirable,hedge,undress,respire
呕吐,sickness,thickness,cold,to cough
熟练,proficient,passive,positive,weather-beaten
蔓生,rampant,radiant,rampage,know one's place
通风孔,vent,lend,tent,vest
完全相同,identical,attribute,debility,midway
冬眠,hibernation,hibernation,asleep,intoxicated
可逆,reversible,bastard,scullery,inanimate
撤退,withdrawal,withdraw,to resolve,captive
（一批）供应品,provision,profusion,revision,proviso
每年落叶,deciduous,tireless,devolve,tolerable
鞋底,sole,home,joke,bole
破坏,demolish,devilish,tear up ,pour
深刻,profound,pronoun,propound,sweeping
轮轴,hub,hour,dab,hush
判决,judgement,judgment,begin a  court session,a  trial 
推动,impulse,pulse,impulsive,impure
使稀少,rarefy,bespeak,omit,flimsy
毗邻,adjoining,blockage,close to,seepage
豪猪,porcupine,beast,farm animal,ravenous beast
使混乱,disrupt,disgust,distrust,green
巨大,staggering,small and weak,coarse,consolidate
旋转,gyration,aftershocks,shake,rove around
折光,refraction,shine,whimper,diffraction
冷凝器,condenser,condense,ascend,rook
诗,verse,gorse,terse,verve
斡旋,mediate,dedicate,radiate,meditate
恳求,solicit,solidity,solicitor,elicit
欺骗,deceive,decline,decease,receive
护城河,moat,coax,loan,soft
表皮,cuticle,scalp,involuntary muscle,wing
转变,transition,tradition,transitive,metamorphism
