#word,meaning,option1,option2,option3
重新点燃,rekindle,saucer,jerk,emancipate
(军人)休假,furlough,russet,captious,mosquito
捐款,contribution,cost,loan,home-use
畜群,drove,rote,crave,derive
深思,cerebral,cerebrum,cereal,recollect
速记,stenography,handwriting,dictate,writing on the blackboard
倦怠,lethargy,to gasp for breath,wearily,lazily
热心,avid,evil,cavil,avoid
有节奏的,rhythmic,derisory,centimetre,gravity
表演,performance,prescribe,indeced abortion,deliver
侵犯,incursion,infusion,excursion,incision
极坚硬的,flinty,emetic,prude,tendon
毗连,coterminous,close to,block the traffic,draw near
勤勉,diligence,haul,switch to a job one was not trained for,shortsighted
直言不讳,outspoken,to take in and send out ,pour,tell 
(嘴)大张着地,agape,abate,grape,again
神学家,theologian,writer,creator,producer
积云,cumulus,dew,frost,stratus 
悲哀,bewail,detail,wail,befall
查明,ascertain,uncertain,appertain,certain
无可非议,unexceptionable,queer,all-inclusive,not to be taken as an example
加冕,coronation,student's strike,teacher's strike,hold a  demonstration
令人轻视,contemptible,jerky,diminish,perplex
同谋者,accomplice,accomplish,to encroach on,to jeopardize
起皱纹的,corrugated,reasonable,shutter,fasten
轻而薄的,flimsy,whimsy,clumsy,slimy
旧石器时代的,paleolithic,bung,murrain,homonym
脱离,abscission,retire from the military,to get rid of,to enter
千变万化,kaleidoscopic,vicious circle,transform,to evolve
禁酒,temperance,temperate,to prohibit,survey
不可获得,unavailable,amputate,deficient,portable
空中的航行,flight,plight,slight,light
公理,axiom,idiom,atom,aim
利用,harness,hardness,caress,harmless
厌恶,loathing,detest,patriotic,dreary
继续,continuity,power failure,to repeat,develop simultaneously
同种,homogeneity,churchyard,typewriter,paralysis
卑鄙,scurvy,worldly,majestic,open
(小说的)结尾,denouement,cause of disease,line of reasoning,origin
易碎,fragile,frail,agile,facile
清楚,definite,finite,define,infinite
趾高气扬地走,strut,shrub,slut,strew
教唆,abet,avert,abut,abort
占卜,augur,augury,auburn,august
死水,backwater,filtrate,juice,plain boiled water
镇定剂,tranquilizer,deference,eczema,imply
神经学,neurology,showroom,litigate,schedule
极端性,polarity,subscribe,resent,pedantry
不幸,hapless,break out,reciprocal,to rise to power and position
粗糙,crudity,female,slippery,luxurious
俗丽,gaudy,dandy,bawdy,daddy
指责,impugn,impure,impute,disclose
(使)变皱,crinkle,prickle,wrinkle,tinkle
捣实,tamp,quarry,watershed,incest
抱怨,crab,gray,era,cab
欢乐,rejoicing,solemn and stirring,to the satisfaction of everyone,greet
无重要之人或事,nonentity,free,however,xerography
减弱,relenting,increase,to alleviate,transfer
传讯,arraign,arrange,reexamine ,put  to trial
灵巧,cunning,burning,inning,turning
幼稚,puerile,sterile,peril,purple
食草,herbivorous,repute,disconnect,produce
精神分析,psychoanalysis,sunrise,evince,pallid
用脑,cerebration,thanksgiving,associate,day dream
塔楼,turret,target,turner,torrent
战役,campaign,infantry,commando,fighting
拱廊,arcade,stay,crockery,semicolon
玷辱,desecrate,remedy,struggle,to be ready to risk one's life 
惹人反感,invidious,insidious,carnival,personage
把...放错位置,misplace,displace,relieve,guaranty
混合,meld,cross,transport,to propagate
渗透,infiltrate,be near to,traffic jam,short circuit
徒劳,vain,vein,via,dais
谷仓,granary,canary,urinary,gantry
舞弊,rig,rip,ail,nil
不适于居住的,uninhabitable,doom,excite,migratory
撤退,evacuate,vacate,evaluate,ejaculate
无精打采,lackadaisical,maybe,do at all costs,exhaustion
逗留,sojourn,adjourn,custom,have spent
长诗,ode,dose,jade,code
暂停,intermission,stanch ,adjourn,to stop pain
(治疗过敏的)抗组胺剂,antihistamine,capricious,applicable,first
发生故障,malfunction,foist,permanent,condone
强索,extort,extol,exhort,extent
(声音)沙哑的,raucous,female,delicacy,male
瞎扯,prate,drake,pate,state
干燥剂,desiccant,desiccate,assault,postpaid
命令,decree,degree,decrease,decade
使同步,synchronize,tingle,jackass,fly
未下定义,undefined,dandle,censer,sanctity
松树,pine,mink,pore,bike
芭蕾舞女演员,ballerina,ant,squabble,almanac
转折点,milestone,limestone,millstone,meanwhile
乏味,insipid,comical,ordinary,novel
衰弱,floppy,sloppy,poppy,flop
颤动,tremulous,aftershocks,falter,to operate
猪的,porcine,mouthful,measles,primary
荒唐可笑,ludicrous,judicious,mirth,clip
活门,valve,halve,value,vase
全体共用,communal,commune,obtain one's share,accept
沉默不语,reticent,regiment,recent,resident
变松,loosen,loose,lessen,loser
有说服力,cogent,moment,covert,potent
误解,misperceive,to be familiar with,know ,pay attention to
愚蠢,folly,lowly,jolly,sully
雀科鸣禽(如燕雀、金丝雀等),finch,founder,facsimile,float
刁滑,deviousness,turn ,to rebel,to hear told
道歉,apologize,analogize,to abdicate,dedicate oneself to the service of one's country
石灰岩,limestone,milestone,lodestone,Iceland spar
砌砖盖房者,bricklayer,performing artist,gardener,dressmaker
好战者,warmonger,bishop,butcher,unusual
奉承,fawning,despite,become reconciled,to talk sb. over
高架桥,viaduct,oviduct,arable land,temporary bridge
(高位的人)否决(低位的人或事),overrule,override,overrun,overdue
洁净,immaculate,could happen at any moment,sag,fluffy
词缀,affix,affirm,suffix,affair
本质,essence,absence,to fake,external part
悲伤,woeful,joyful,suffering,to worry
发辫,plait,hair ,wig,hair on the temples
发呆,vacuous,fatuous,vacuum,various
定向,orientation,be doomed,unmarried,directional
野兽,bestial,bestir,festival,farm animal
歌剧中的女主角,diva,habitual,deduction,betimes
船舵,rudder,reader,udder,redden
彗星,comet,comely,compete,come
使...恼火,rile,tilt,oily,mile
抑制,repress,impress,regress,depress
无伸缩性,inelastic,minimal,impart,antidote
麻疹,measles,measly,epidemic disease,leukemia
暗指,insinuate,insensate,to indicate,to publish
不引人注目的,unobtrusive,slate,full,cubicle
未婚女人,spinster,tray,abstract,filament
散布(谣言),bruit,bifocals,rip,barium
显微镜,microscope,telescope,broom,scrubbing brush
畏缩,flinch,clinch,lunch,pinch
相互影响,interplay,spoke,consent,decision
多样,multiple,multiply,a little,polysaccharide
犬的,canine,canoe,candle,cabinet
重要,magnitude,diaphysis,base,worn out
哀歌、挽歌,elegy,levy,celery,every
清真寺(伊斯兰教的寺庙),mosque,torque,definition,inventor
严行纪律的人,disciplinarian,refusal,commune,thyroid
氧化,oxidize,oxide,automation,change
幼兽,cub,bob,cue,mug
长凳,bench,bleach,lunch,quench
令人振奋,bracing,frankly,innate,media
冷血,cold-blooded,beguile,outwards,scoop
细浪,ripple,nipple,topple,rifle
奖品,trophy,trashy,tropic,antique
慷慨,generous,onerous,red,miser
传染(病),contagion,contagious,contain,audible
烦忧,nettle,nestle,kettle,mettle
炮弹,shell,shall,spell,steal
音乐学者,musicologist,echo,ream,sanctify
化名,alias,axial,align,allay
一针见血,incisive,incise,decisive,incision
不真诚的,feigned,fortune,sear,freakish
机警,vigilant,vigilance,not stop until one reaches the Huanghe River - not stop until one  reaches one's goal,awkward
分裂,fragment,raiment,fragrant,figment
借口,pretext,preset,protect,prevent
无尽头的,interminable,tenacious,dispatch,deciduous
辞职,resign,design,resin,ensign
吹嘘,vaunt,haunt,jaunt,shunt
祖宗,forebear,old people,peer,aunt
不喜欢,disfavor,plutocrat,bravado,mammoth
削减,curtail,certain,curtain,supply again
所有物,belongings,immovables,real estate,rate of exchange
弱小,puny,punk,gun,run
农学,agronomy,architecture,economics ,psychology
沉默寡言,taciturn,to sigh ,to excite,stun
礼节,propriety,proprietor,custom,wedding ceremony
波动,undulate,insulate,modulate,adulate
表明...是正当的,justify,justice,mystify,testify
有权威的,magisterial,liberty,pi,expense
扣押,sequestrate,extort a confession,search,honest
畸齿矫正学,orthodontics,ah,deadly,surge
反驳,retort,report,extort,restart
有派性的,factious,girth,drama,ours
支持或证实,corroborate,salver,oblivion,success
内讧,internecine,come to blows,fight with one's back to the river - fight to win or die,send troops
秘密,secret,beret,socket,secrete
施肥,fertilize,fertility,fertilizer,fertile
传送,transmit,transit,transact,transfix
桦树,birch,sailor,toil,especial
经受住,withstand,washstand,shroud,rational
家属,kin,din,kink,kid
(皮肤等)黝黑的,swarthy,desiccant,guess,chain
多种,manifold,percentage point,old and new,twelfth
赞同,endorse,encore,endure,enforce
家庭生活,domesticity,spy,marshal,natal
佯攻,feint,flint,fend,paint
媚人,winsome,income,narrow,not enjoy popular support
卖弄风情的女子,coquette,titular,violent,waggle
自由自在,footloose,comfortable,desirable,to intend
加在上面,superimpose,magnesium,dung,overdue
水手,mariner,marine,manner,marker
干皱,wizened,spade,early,burp
控制,yoke,wake,coke,come
举止粗野的人,boor,invidious,shorten,verifiable
旋律,melody,moody,malady,melon
被动性,passivity,sculpture,hereditary,olive
可取之处,asset,stet,aspen,assert
包围,hem,hen,her,ahem
欺骗,fraudulent,despite,to dupe,to gain by cheating
内爆,implode,to lay off employees,to cut down,reissue
(银河)星群,galaxy,gala,galley,malady
活力,dashing,force,troops,animal powered 
过分,exorbitant,although,accept,particular
颂扬,eulogistic,joke,offend,unconstitutional
岩石雕刻,petroglyph,vowel,bevel,stylish
糖精,saccharin,white sugar,maize or millet pancake,pastry
诱入陷阱,ensnare,resurrect,landscape,coffin
伤亡者,casualty,casual,lame person,ordinary people
重现,recurrence,recurrent,occurrence,to emerge
站姿,stance,sector,incapacity,yap
(人)温和的,subdued,jeweller,pigtail,concert
倒转,inverse,incense,invert,intense
露齿而笑,grin,grief,gain,grind
夹子,clip,tulip,clap,chop
组织系统中的等级,echelon,fiord,tollgate,rose
听力所及范围,earshot,hitch,albatross,gallery
不幸,untoward,no good,good luck,victory
有钱有势的企业家,tycoon,cocoon,typhoon,gentry
口角,spat,contradict,damn,noisy
有恶臭的,fetid,fetch,feed,fete
摇晃,falter,farther,halter,master
精致,polished,superficial,slippery,male and female
受感染的,septic,issue for enforcement,to take drugs,make more widespread
危急关头,exigency,profound,unwilling,governess
蜂房,hive,live,rice,hide
拘禁,internment,captivity,catch,to bring a lawsuit against
高射炮,flak,bullet,pike,a gun salute
(绳)松弛的,slack,stock,stank,slake
装修,renovate,innovate,to make,put
小官,functionary,remind,seaport,readdress
孔隙,aperture,overture,perjure,perturb
可燃,inflammable,vault,mausoleum,candle
奠酒(给神献酒),libation,earshot,congregate,fiftieth
细蜡烛,taper,upper,lapel,rape
发霉,musty,rusty,dusky,misty
蜿蜒,sinuous,tenuous,sensuous,mulberry
剧情说明书,scenario,fable,prose,literature and art
滴酒不沾,teetotal,chord,secretary,insane
收养,adopt,dolt,adapt,adept
享乐主义,epicurean,nationalism,selfish departmentalism,-ism
简洁,compendious,sag,tight ,numb with cold
鲁莽,impudent,stately,neglect,consolidate  at every step
古文字学,paleography,overland,guano,canary
滔滔不绝的说话者,gusher,alone,alcohol,fridge
探索,probe,propel,robe,phone
发掘,excavation,bury,snap,pick
放逐,ostracize,execute ,to break the law,behead
死路,impasse,impale,impose,impassive
有罪,culpable,palpable,curable,capable
置(某人)于不利地位,penalize,canalize,realize,legalize
教条,dogma,competent,by following up a clue,act at one's discretion
难以克服,insuperable,treaty,peter,citizen
误用,misuse,disuse,muse,minute
不同,diverse,obverse,disease,diver
肯定,positiveness,once again,when all is said and done,as expected
不可弯曲,inflexible,flexible,woo,Greenwich
衰落,decadence,decadent,cadence,to be
轮轴(连接两个车轮的轴),axle,able,fable,ail
轻视,disdain,to discard,disregard,take care of oneself
逐出,dislodge,give up halfway,stanch ,closed doors
向阳植物,heliotrope,daub,polling,hamper
不遵照传统生活的(人),nonconformist,certain,congress,assurance
理发师的,tonsorial,nice and cold,to put on make-up,take good care of  one's health
(有共同兴趣的)小团体,coterie,frock,confession,semen
喧闹,hurly-burly,lively,desolate,to crowd
衬垫,padding,veil,knell,alarm bell
切断,sever,never,beaver,seven
浮肿,turgid,arise from the dead,to cough,to tickle
盛行,prevailing,hereditary,implicated,they say
呻吟,groan,loan,brown,group
首要,primacy,privacy,primary,grimace
淘气,puckish,nature,unfold,uninhibited
平底货船,barge,badge,bare,wage
咒语,imprecation,Proverbs,pledge,advise
狂欢,revelry,revel,rivalry,revere
祖先,progenitor,later generation,aunt,senior
杀,slay,slaty,splay,stay
掠过,flit,fleet,gait,fort
诅咒,anathema,scold,abuse,to compete
未掺杂的,unalloyed,hopeless,more than,further
摇曳的微光,glimmer,shimmer,climber,glitter
休息,recumbent,recurrent,incumbent,stage a comeback
毛细血管,capillary,artery,artery,arch of aorta
卖国贼,traitor,tractor,tailor,orator
可容许的,admissible,conundrum,prodigy,patriotism
遗弃,forsake,forage,to risk one's life,to abandon
使固体溶解,dissolve,dissolute,ban,funeral
特殊癖性或行为,idiosyncrasy,dote,anxiety,passkey
是变钝,blunt,blank,blend,hunt
凌辱,hector,entice,plot against,anti-foreigner
造作,pose,post,pike,loose
轻声地笑,chuckle,cackle,shackle,truckle
遗传学家,geneticist,novelist,scientist,linguist
动摇,wobble,cobble,hobble,gobble
(军队)编队,formation,oration,listen,strip
显要人物,dignitary,dignity,withdrawal,complex
消音器,muffler,duffer,muffle,ruffle
出人意料的事情或情况,irony,agony,drone,crony
文盲,illiterate,obliterate,literate,critic
制服,overpower,bathing suit,bathrobe,blouse
雨衣,mackintosh,swimsuit,Chinese tunic suit,jacket
满怀嫉妒,envious,anxious,obvious,devious
扼要重述,recapitulate,manlike,hiccup,pet
博爱,philanthropic,loathe,feel deeply attached to,preference
赞美诗,carol,enrol,carnal,carrot
(缝纫时的)一针,stitch,switch,twitch,stanch
重步走,plod,pilot,food,clod
枯萎,shrivel,drivel,shrill,swivel
反对,deprecate,depreciate,to endure,confide
(人)强壮的,brawny,gas,throng,serious
猎鹰,falcon,halcyon,balcony,felon
省略,ellipsis,ellipse,elliptic,harmony
喷出,eject,exact,reject,evict
不赞同,disapproval,restrict,confide,love and esteem
丰富,profusion,profession,propulsion,provision
分散,disaggregate,head,break up in discord,to rush 
(天气)闷热而潮湿的,muggy,dialogue,trifle,petulant
憎恶,execrate,execute,excrete,execrable
没有偏见,unbiased,here,gravity,wastage
退步,regressive,to take drugs,to build,degenerate
虔诚,piety,party,ninety,piece
饥饿,starvation,salvation,intoxicated,thirst
功能失调,disfunctional,cascade,havoc,relate
长队,queue,quest,quite,quote
妨碍,stymie,excited,bind,blockage
脾气坏的,crotchety,goose,brassy,solicitous
密谋,intrigue,disappointed,program,pleased
肿瘤学家,oncologist,caption,hew,obtrude
讣闻,obituary,poster,taxation form,announcement
记忆中的往事,recollection,rice,pedestal,cub
壁垒,rampart,underline,the Tropic of Cancer,basis
妨碍物,encumbrance,trivial,unlimited,well shaped
恳求,entreat,to find a path,to participate ,inquire about
爱抚或抚摸某人,caress,cress,cypress,dress
敲击乐器乐师,percussionist,encourage,saturate,recover
斥责,upbraid,braid,hide behind,revelation
过度,inordinate,largest,very,least
艰苦劳动,travail,jubilation,gloomy,mixed feelings of grief and joy
使成整体,integrate,iterate,integral,integrity
综合症状,syndrome,charity,encounter,ray
大破坏,havoc,halo,avow,have
送秋波,ogle,erase,summons,quart
羽毛,plume,plumb,clue,plate
揭穿真相,debunk,fall through and stand exposed,not exert oneself,fall apart
愚昧而不自知的,fatuous,famous,fabulous,vacuous
发现,unearth,dearth,hearth,earth
竞争,rivalry,revelry,cavalry,rival
灿烂的光华,glitter,litter,glimmer,platter
修道院,cloister,canister,blister,cluster
反驳,rebuttal,to quibble,dispute,offer an explanation
航海,navigate,navigator,navigable,cruise
称赞,approbation,cynical,lit.: slap the table and shout with praise,withstand
绞刑架,gallows,callous,allow,gallon
愤世嫉俗,cynicism,love and hate,loathe,grumble
难以置信,implausible,earnest,have confidence in,half-believe, half-doubt
陷入困境,morass,harass,morale,mores
缺点,defect,defend,defeat,depict
有风,windy,window,weedy,wordy
轻率,levity,verity,cavity,laity
使习惯于,habituate,habitual,habitat,vanity
沉闷,dreary,diary,dreamy,dearly
令人捧腹大笑的,sidesplitting,sign,bowdlerize,bedtime
下狱,incarcerate,be more of a hindrance than a help,scrub,be under arrest
阁楼,loft,lose,loaf,lint
紧急事件,emergency,emergent,emergence,geriatrics
轻舟,skiff,sail,large wheel,lighter
压倒性的,overpowering,recourse,genial,shrimp
欺骗,beguile,guile,harbor,to fool
不高兴的,dyspeptic,verbose,gratify,password
不能解决,insoluble,soluble,polygon,worry
勇气,mettle,nettle,little,kettle
清除,disposal,dispose,put an end to,to sweep away
变小,diminish,curt,lately,media
暴躁,crabbed,fervent,filial piety,gentle and soft
使随机化,randomize,majority,fluorine,darkroom
健壮,robust,rebut,roast,roost
天空,empyrean,the buidling or room opposite,region,outer space
萎缩,atrophy,is,decay,newly developing
变迟钝,dull,doll,lull,dolt
平淡无奇,corny,among,may,difficulty
吝啬,miserly,grim,not stint,generous
(指毛发或衣服)凌乱的,disheveled,seventeen,marrow,pave
操舵,steer,steep,super,stele
舒适地安顿,nestle,nettle,mettle,rustle
磨刀石,grindstone,lever ,filter,to plaster
坚忍,persevere,casual,weak,stupid
事件,occurrence,recurrence,internal affairs ,finance and economics
成分,ingredient,element,predicate,adverbial adjunct
(使)腐烂,decompose,discompose,compose,device
净化,purification,ease,pollution,tidy
附加物,adjunct,communique,white book,diagram
阴暗,gloomy,gloom,goody,groom
做作,mincing,suspend,to feign,to pant
充当...的替角,understudy,abscond,attachment,knickers
慷慨,liberality,liberalize,not care,atmosphere
假装,feign,reign,deign,benign
阴郁,morose,mouse,rose,mores
专技,expertise,exercise,vow,corpulent
陈列品,showpiece,remnant,contraband goods,sample
无,nil,win,kill,fin
河马,hippopotamus,frog,long-nosed pit viper ,whale
前提,premise,precis,premier,praise
监管,custody,custom,to supervise,operate
卑躬屈膝者,lackey,blacken,lace,lack
不禁止的,licit,on the sly,in effect,outstanding
热量计,calorimeter,musk,jade,sardonic
盛行,prevail,retail,hereditary,rumor
不加选择,indiscriminate,homelike,barium,signaller
文字以前,preliterate,tuck,crouch,indulgence
敏捷,brisk,brim,risk,prick
间接,oblique,clique,obloquy,oblige
台风,typhoon,tycoon,breeze,manner
性急,petulant,polite,venerable,refined and courteous
求助于,resort,report,revert,retort
违反,breach,beach,preach,reach
加强防卫,fortify,mortify,forty,horrify
琐碎,niggling,overlapping,incisive,equilibrium
逃避,evade,glade,elude,wade
(马)普通速度跑,canter,dancer,danger,cater
短暂,temporary,temporal,a while,ice-cold
昂首阔步,prance,cause to develop,to take drugs,to move forward 
背教者,apostate,cave,neuralgia,aggro
创口上所结的疤、痂,scab,booklet,amid,litigious
胃的,gastric,the large intestine,heart,appendix 
花蕾,bud,bay,rum,bat
矛盾,variance,variable,variant,parlance
延长,elongate,to extend,tighten,soak
头脑糊涂,muzzy,fuzzy,muzzle,muddy
谨慎,wary,harm,navy,vary
飓风,hurricane,breeze,iceberg,blast
名称,appellation,trademark,nuclear energy,kinetic energy
微不足道,trifling,elation,secondly,trunk
羊群,flock,flick,fleck,flank
中提琴,viola,vista,villa,violin
发出低沉的隆隆声音,rumble,fumble,mumble,rumple
磨损,abrade,ablaze,abide,aerate
有效,telling,lawful,unlawful,vague
增大,augment,argument,agent,pigment
吟游诗人,bard,concentric,concerning,pernicious
不容置疑,indubitable,speak or act on hearsay evidence,in  name,live ammunition
误传,misrepresent,garble a statement, etc.,rationale,not to be taken as an example
熄灭,extinction,to destroy ,to lose,to occur
特权,privilege,privileged,possession,intellectual property rights
变形,metamorphosis,covert,gear shift,frequency conversion
赠予,confer,yonder,conquer,coffer
卑鄙,base,ease,bye,boss
装饰,embellishment,make,assemble and install,to set up
弹性,resilience,limitations,neutral,flexibility
威胁,minatory,press for payment of debts,enforce,rape
不易令人信服的,unconvincing,racketeer,comedian,cloakroom
酸味,acidity,acidify,validity,rapidity
减轻,abate,date,adage,abase
使返老还童,rejuvenate,marvellous,pie,thrice
笨拙,awkward,backward,award,handy
［贬］长篇指责性演说,harangue,temperate,deathless,economize
责斥,reproof,proof,fireproof,reprove
显著,conspicuous,indistinct,useful,illicit
(药物)过度剂量,overdose,month,queasy,manhandle
正式的辩论,debate,debase,debut,depute
恐惧,trepidation,appall,waken,lingering fear
侵犯,invade,inane,inside,innate
极端主义者,extremist,extremity,bask,aggro
仇外,xenophobia,rape,isolate,extract
吞噬,engulf,gulf,sexual harassment,to encroach on
独裁者,autocrat,automat,plutocrat,autocracy
上光剂,polish,parish,perish,poise
无菌,aseptic,sanitation,sag,out of tune
唤回,recall,retail,real,befall
感觉迟钝,insensitive,throng,grandstand,vacuum
施舍物,alms,arm,alas,anus
引起(社会或政治的)动乱的人,firebrand,stainless,hie,crypt
催眠,somnolent,fluid infusion,to give or have an injection,massage
乱哄哄,tumult,tumble,tidy,stony-broke
精英论,elitism,malodorous,shroud,gobble
诽谤,calumny,column,clumsy,answer back sarcastically
可作楷模,exemplary,exemplify,depute,mid
宰牲祭神,sacrifice,rally,tribe,masonry
杂色,variegation,public,made in China,imperial
令人发腻,pall,heal,ballot,lozenge
(人)风骚的,sultry,salary,sundry,sully
繁重而累人的,grueling,cycle,respect,defrost
建筑物或森林大火,conflagration,coastguard,jade,spaceship
岩石学,petrology,scuttle,sanity,groundnut
推翻,overturn,overture,overrun,overthrow
(动植物的)分类学,taxonomy,commitment,estimation,rucksack
兽医,veterinary,nurse,veterinary,journalist
杂乱,promiscuous,unsuitable,dirty,fluffy
(蛇)滑动,slither,hither,lather,either
放弃,forgo,gorge,fore,fog
自制,temperate,desperate,temperance,moviemaking
主动脉,aorta,area,abort,forth
骚动,ferment,fervent,figment,torment
超然,detachment,attachment,great amount,not feel ashamed to ask and learn from one's subordinates
被告,defendant,descendant,dependent,arbitrator
典型,epitome,episode,exception,specialist
颠覆,subvert,sublet,subject,culvert
学徒,apprentice,factory owner,adviser,landlord
暴乱,riotous,rigorous,upheaval,rebellion
大会,convention,confection,conversion,convection
链轮,sprocket,key,electronic component,lock
奉承,flattery,to yield,put under one's protection,to fawn on
扭伤,sprain,strain,stain,sprawl
动人,comely,homely,timely,compel
虚弱,effete,fete,efface,effect
节奏,cadence,cayenne,decadence,credence
半生不熟,half-baked,penetrating,softly,tender
(火车车轮的)凸缘,flange,flag,slang,lane
干涉,meddle,fiddle,peddle,module
古鲁(印度的宗教领袖),guru,waggon,aphorism,doll
疏忽,negligent,incapable,to take care,fascinated
削减,whittle,whistle,while,shuttle
浮游生物,plankton,crops,atomic nucleus,quantum
觉察不到,imperceptible,voltage,execrate,noiseless
避邪物,talisman,snare,channel,the Long March
花栗鼠(像松鼠的美洲小动物),chipmunk,unseemly,mount,guess
一件一件,piecemeal,complicated,as incompatible or irreconcilable as ice and hot coals,overlapping
势利,persnickety,to moderate,craft,turn 
个人长篇演说,monologue,normal,those,min
独特,unique,antique,pique,clique
光谱,spectrum,spectre,spectral,statistical form
装入胶囊,encapsulate,postcard,studious,advance
滔滔不绝地讲,spout,stout,sport,sprout
谨慎,modestly,dignified,sensitive,to float
数字命理学(通过数字算命),numerology,expand,engagement,pasty
废弃,scrap,crap,trap,stray
测径器,calipers,longitude,stringent,dross
解剖,dissect,bisect,direct,dissent
诽谤,calumniate,written polemics,debate,answer back sarcastically
盼望,yearn,earl,darn,earn
赞助,patronage,patronize,express sympathy, greetings, consolation, etc.,subsidize
庸人,philistine,sucker,rubbish,fool
记忆法,mnemonics,menace,agony,implement
虚情假意,fulsome,sentiment,popular will,real intention
离奇有趣,quaint,saint,quoit,squint
以面纱掩盖,veil,veto,very,venial
(拴牲畜的)绳或链,tether,weather,whether,leather
竞争,vie,pie,due,six
鸟类学,ornithology,triplet,prosecutor,expect
善意的嘲弄,raillery,gallery,artillery,erosion
危险,hazard,lizard,hard,hoard
精致,delicacy,delicate,simple and unadorned,artificial
移植,transplantation,to cultivate,sow seeds,sow
为...悲伤,bemoan,moan,lemon,demean
甜菜,beet,beast,bolt,next
阻止,containment,perplex,infest,provocation
健壮,hale,whale,pale,cage
狂欢节,carnival,cannibal,arrival,carnal
(口头或书面猛烈的)抨击,diatribe,within,emir,notorious
僵局,logjam,balance of power,dominant,offensive
费力,strenuous,tenuous,medium,profound
城市,urban,turban,urn,roan
冬眠,hibernate,liberate,sleep peacefully,thirst
不敬,irreverence,boulder,coalition,longitude
小步舞,minuet,inlet,mint,minus
水生,aquatic,lay ,breeding,adult
残暴,cruelty,crusty,cruel,harsh
隔间,compartment,ward,carriage,editorial office
张力,tension,pension,torsion,tenpin
激烈的辩论,hassle,tussle,haggle,handle
乐观,sanguine,dignified,filial piety,pessimistic
毛孔,pore,ford,pare,horn
颂词,panegyric,advice,point out,gossip
除去盐分,desalinize,salient,concede,filial
提醒人记忆之物,reminder,remind,remainder,render
侍从,retainer,despotic landlord,left and right,auntie
芳香,aroma,army,rota,drama
蒸馏,distillation,gild,cover with gold leaf,distill
慷慨激昂,impassioned,to excite,to take a breather,exhausted
卖弄,ostentatious,to act as a go between,to forge,bluff
半径,radius,Ladies,radish,radio
抢劫,maraud,open circuit,kidnap,to break the law
作证,depose,debase,repose,devise
肆无忌惮,unscrupulous,proudly,provoke,to forge
补充,addendum,pay retroactively,lengthen,widen
隐藏、掩饰,dissimulate,cosine,watermelon,repository
试剂(导致化学反应),reagent,resort,lively,stoneware
全音阶,gamut,game,smut,gout
袖口,cuff,buff,huff,chef
领导者,bellwether,Defense secretary,chairman,team leader
渴望,desirous,chase,to look forward to,forecast
强夺者,extortionist,gasify,dandle,zeal
重新组合(排列),realign,cranky,linear,expound
毁坏,destruction,decay,peel off,land oneself in
有机体,organism,organist,organize,organic
旋转,gyrate,grate,aerate,garage
最高统治者,sovereign,a  mission,Zhou Enlai,prime minister
(为使某政党在选举中取得优势)不公正地将(某地区)划成选区,gerrymander,beatific,transfer,active
生产力,productivity,electricity,impulse,charm
巴结,fawn,saw,frown,fact
陪审团,jury,jerk,spry,wry
坟墓,cemetery,stage,altar,battery
(非正式的)交谈,colloquy,obloquy,soliloquy,to yield
胆小,timorous,rigorous,humorous,amorous
不平常的,extraordinary,torture,smallest,receive commands
魔术,wizardry,wushu, martial arts such as shadow-boxing, swordplay, etc.,meteor,judo
珍奇,exotic,erotic,emetic,won't work
尖叫,shriek,shrink,shrimp,shrivel
原始居民,aboriginal,colony,workers,Chinese people
毁容,disfigure,reciprocation,judgment,to avenge
善心,benevolent,original idea,opinion,popular will
不注意的,inadvertent,sag,intently,too far away for one to be able to help
收缩,contract,contact,contrast,contralto
避开,avert,alert,aver,agent
赎回,ransom,random,guarantee to pay compensations,levy
忠实,faithfulness,to revolt,rough,to hear told
界限,compass,compact,company,compare
镇定,composed,panic,feel apologetic,ashamed
大身躯,bulk,buck,bull,July
怀旧之情,nostalgia,contour,tortuous,dogmatism
除去水分,dehydrate,plentiful,annex,to increase
连字号,hyphen,hymen,happen,out
女裁缝,seamstress,complicity,assemblage,love
骚动,tempest,tempt,temper,sporadic
贵族,baron,barn,carbon,mason
(猪等)在泥水中打滚,wallow,wallop,hallow,fallow
讨厌的人或物,plague,vague,plate,plaque
功绩,feat,fat,lead,at
个别,respective,accidental,on one's own,at every step
障碍物,blockage,protoplasm,cultural relic,medium
直率,transparent,frank,to moderate,sly
杀菌剂,antiseptic,erudite,survival,fortune
独立存在,substantive,pigment,ostrich,consist
加重,exacerbate,loosen,soften,hurriedly
削弱,emasculate,ejaculate,relax,to make better
圈地,enclosure,enclose,closure,photograph
束发带,fillet,pallet,mallet,billet
在空中,aloft,blot,aloof,loft
同义,synonymous,to depend on,peer,be classified as
颜色,coloration,painting,indigo,dye
横穿过,traverse,reverse,averse,transverse
可鄙,despicable,narrow,laughable,dreadful
落后,lag,jaw,rag,war
中看不中用的,trumpery,trumpet,lineman,grandson
指数,exponentially,frequency,rainfall,ration
薄片,slice,splice,live,spike
弄乱(头发),tousle,louse,mouse,couple
声音尖利,brittle,bristle,gristle,battle
书生气的,pedantic,pedant,pedantry,tasteless
诽谤,defamatory,tease,to defile,controversy
和好,rapprochement,to fawn on,compromise,curry favor with
组成,compose,composer,compote,comport
