#word,meaning,option1,option2,option3
rekindle,重新点燃,春天,集会场所,社团
envious,满怀嫉妒,选择,噪子,其它
recapitulate,扼要重述,羊肉,资本,表明是
philanthropic,博爱,抱恨,爱国,偏爱
carol,赞美诗,口号,歌谣,史诗
stitch,(缝纫时的)一针,使丧失,吃,兴奋
plod,重步走,销售,使震动,无论哪个
shrivel,枯萎,成熟,跛足,口吃
deprecate,反对,信赖,克服,容忍
brawny,(人)强壮的,石头,研究者,告发
falcon,猎鹰,金丝雀,鹁鸽,云雀
ellipsis,省略,严密,鞭辟入里,详细
eject,喷出,止痛,止血,停车
disapproval,不赞同,容忍,约束,不禁
profusion,丰富,增值,增加,浸透
disaggregate,使崩溃,病害,晚,想知道
muggy,(天气)闷热而潮湿的,增加,拖拉机,二轮马车
execrate,憎恶,博爱,不共戴天,厌倦
unbiased,没有偏见,刺激,亲戚,愚蠢
regressive,退步,奉行,前进,振兴
piety,虔诚,和约,伪善,孝顺
starvation,饥饿,口渴,打喷嚏,冬眠
disfunctional,功能失调,杰出,土生,铺开
queue,长队,总部,协会,学会
stymie,妨碍,兴奋,加以,有助于
crotchety,脾气坏的,物体,被抛弃的东西,整理
intrigue,密谋,大失所望,计划,策划
oncologist,肿瘤学家,耽搁,根源,竞争
obituary,讣闻,报单,禁令,广告
recollection,记忆中的往事,击,某事,世间
rampart,壁垒,底线,基础,北回归线
encumbrance,妨碍物,繁复,无限,广阔
entreat,恳求,参与,探路,哀告
caress,爱抚或抚摸某人,放荡,闪电般的,蔬菜
percussionist,敲击乐器乐师,说话,任何人,愉快
upbraid,斥责,揭发,批评,引咎
inordinate,过度,至少,尽量,相当
travail,艰苦劳动,悲切,担忧,悲喜交集
integrate,使成整体,科,把…对准,车间
syndrome,综合症状,连续,使分开,人力
havoc,大破坏,整洁,一触即发,贫穷
ogle,媚眼,学派,完结部,决定
plume,搔首弄姿,淫猥,正面,太平
debunk,揭穿真相,盈余,关闭,泄露
fatuous,愚昧而不自知的,支持者,模仿,合理
unearth,挖出,钳,埋葬,折断
rivalry,竞争,骂,议论,咒骂
glitter,灿烂的光华,灭亡,触,诞生的故乡
cloister,修道院,清真寺,寺院,教堂
rebuttal,反驳,丑化,狡辩,议论
navigate,航海,行驶,航行,飞行
approbation,称赞,违宪,拍案叫绝,违犯
gallows,绞刑架,脚镣,板子,桌灯
cynicism,愤世嫉俗,抱屈,抱怨,憎恶
implausible,难以置信,吃醋,同意,半信半疑
morass,陷入困境,（突然感到病痛时发出的声音）哎哟,发热,留下
defect,缺点,优点,私利,好处
windy,有风,肯帮助的,小径,抽出(时间)
levity,轻率,识相,耐烦,漂浮
habituate,使习惯于,迎接,立即,贴出
dreary,沉闷,愤慨,赌气,生气
sidesplitting,令人捧腹大笑的,向东,学派,具有
incarcerate,下狱,洗刷,帮倒忙,被捕
loft,阁楼,厂房,城堡,危房
emergency,紧急事件,人造,决心,蚁
skiff,轻舟,帆船,飞机,船上
overpowering,压倒性的,奴役,在任何时候,把…捏成球状
beguile,欺骗,骗取,任凭,糊弄
dyspeptic,消化不良,挨饿,模式,斗争
insoluble,不能解决,许可,(职位的)空缺,蠕(虫)
mettle,勇气,人道主义,本位主义,伦理
disposal,清除,杜绝,消灭,洗刷
diminish,变小,港湾,指示,激起
crabbed,暴躁,随和,诚实,忠于
randomize,使随机化,前苏联人造地球卫星,引进,人们
robust,健壮,无力,雌雄,年老
empyrean,天空,一带,对门,沿海
atrophy,萎缩,衰败,起来,作为
dull,迟钝,睿智,愚昧,灵敏
corny,平淡无奇,初级,困难,当中
miserly,吝啬,严峻,革命,不吝
disheveled,(指毛发或衣服)凌乱的,排列,相同,那么
steer,操舵,一起,开车,骑马
nestle,舒适地安顿,奖学金,春天,昔日
grindstone,磨刀石,滤器,扳手,圬
persevere,坚忍,坚强,英雄,睿智
occurrence,事件,麻烦,风险,商务
ingredient,成分,宾语,补语,主导
decompose,(使)腐烂,完全,金的,起立
purification,净化,逼人,整齐,神经过敏
adjunct,附加语,应该,(群众性)运动,避开
gloomy,阴暗,晴天,秋高气爽,暴风骤雨
mincing,做作,翘,屏气,喘气
understudy,充当...的替角,防护罩,人,敬礼
liberality,慷慨,白色,大气,不耻下问
feign,假装,翘,喘气,喘息
morose,阴郁,悲恸,懊恼,背包袱
expertise,专技,游戏的伙伴,解放,叹气
showpiece,陈列品,部件,古物,物件
nil,无,夏天,民族,增加
hippopotamus,河马,白花蛇,鳄鱼,毒蛇
premise,前提,必要条件,意思,表象
custody,监管,私营,国立,治理
lackey,卑躬屈膝者,骗子,酒鬼,兵痞
licit,不禁止的,有效,显目,暗地里
calorimeter,热量计,类似,把…看作,烹调
prevail,战胜,解渴,洗刷,毁灭
indiscriminate,不加选择,咖啡,特价,棉纱
preliterate,文字以前,拂晓,新的,邀请
brisk,敏捷,迟到,初,不翼而飞
oblique,斜的,不存在的,水桶,十二(个
typhoon,台风,冰排,疾风,和风
petulant,性急,漂浮,爱面子,可敬
resort,度假胜地,禾草,孪生,无数
breach,毁坏,堕入,撕毁,剥落
fortify,加强防卫,飘过,犁,内海
niggling,琐碎,对称性,重叠,详细
evade,规避,以免,取得,顾忌
canter,(马)普通速度跑,记号,看见,(跑道的)一圈
temporary,短暂,临时,瞬间,实时
prance,昂首阔步,落,提高,落后
apostate,背教者,钞票,形成,烛光
scab,创口上所结的疤、痂,广播,实用性,罚款
gastric,胃的,心脏,盲肠,阴茎
bud,芽,部门,冒险活动,摄氏温度计(的)
variance,矛盾,莫逆,供应,并行不悖
elongate,延长,蔓延,浸透,紧缩
muzzy,头脑糊涂,骨灰,学生,蒸(食物)
wary,谨慎,郑重,草草,仔细
hurricane,飓风,风,和风,冰山
appellation,名称,爱称,名义,原子能
trifling,微不足道,其次,低廉,不要紧
flock,羊群,水牛,母牛,羚羊
viola,中提琴,板鼓,板胡,梆子
rumble,发出低沉的隆隆声音,肤浅,进行,哭诉
abrade,磨损,断头,打破,断裂
telling,有效,暧昧,显著,隐约
augment,增大,增长,干,增值
bard,吟游诗人,(下巴上的)胡须,价格,管理
indubitable,不容置疑,莫须有,仿真,名义
misrepresent,误传,笔误,规范,百步穿杨
extinction,熄灭,突发,衍生,散发
privilege,特权,沉重,权利,任务
metamorphosis,变形,转向,变换,交换
confer,讨论,雄辩,辩解,辩证
base,卑鄙,百无聊赖,浪漫,喜新厌旧
embellishment,装饰,放置,制作,组装
resilience,弹性,习惯性,建设性,独立性
minatory,威胁,欺负,勾引,迫使
unconvincing,不易令人信服的,只是,欣喜,烛形物
acidity,酸味,乳白色,气味,滋味
abate,减轻,高涨,增高,上升
rejuvenate,使返老还童,爬,更喜欢,卡
awkward,不便,捣碎,失调,繁杂
harangue,［贬］长篇指责性演说,在…上,纠正,衍条
reproof,责斥,揭发,保密,引咎
conspicuous,显著,神秘,隐约,顶事
overdose,(药物)过度剂量,有效的手段,花样,现今
debate,正式的辩论,狡辩,辩白,雄辩
trepidation,恐惧,吃不来,醒来,懂事
invade,侵犯,蛊惑,剥蚀,帮倒忙
extremist,极端主义者,学会,缺乏,(下巴上的)胡须
xenophobia,仇外,欺侮,引入,毒死
engulf,吞噬,扰乱,打败,突破
autocrat,独裁者,北洋军阀,妖孽,伪君子
polish,把...擦光亮,承受,认识,戏剧等中的)事件
aseptic,无菌,污秽,一触即发,幸福
recall,唤回,呼唤,宣传,提倡
insensitive,感觉迟钝,身体,车轮,炉火
alms,施舍物,证物,禁品,附件
firebrand,引起(社会或政治的)动乱的人,商定,工场,审视
somnolent,思睡,(尤指)圣诞颂歌,旅游者,电极
tumult,乱哄哄,富有,艰苦,贫困
elitism,精英论,攀登,未能,喜欢
calumny,诽谤,争议,嘲笑,丑化
exemplary,可作楷模,传播,根源,或许
sacrifice,宰牲祭神,.接见,成就,急速行进
variegation,杂色,国产,附加,本职
pall,令人发腻,永远,会话,扔掉
sultry,(人)风骚的,工具,除法,必定
grueling,繁重而累人的,打断,油船,(动词)不定式
conflagration,建筑物或森林大火,访问者,对不起,辩别力
petrology,岩石学,十分糟糕,以…作答,垫子
overturn,推翻,干涉,公认,否定
taxonomy,(动植物的)分类学,(常用复数)货物,踪迹,海湾
veterinary,兽医,记者,白衣战士,笔者
promiscuous,滥交,想法,气味,终结
slither,(蛇)滑动,颈,支援者,最差
forgo,放弃,断送,摈弃,舍命
temperate,自制,培修,保修,闭门造车
aorta,主动脉,动脉弓,穴位,丹田
ferment,骚动,太平,和平,勃然
detachment,分离,握别,分裂,聚集
defendant,被告,目击者,调解人,傧相
epitome,典型,卑劣,一定,例外
subvert,颠覆,镇压,反叛,篡位
apprentice,学徒,所有者,顾问,户主
riotous,暴乱,动乱,暴风骤雨,例证
convention,大会,人大,招待会,奥运会
sprocket,链轮,辐条,撞锁,电子元件
flattery,奉承,驯服,说服,和解
sprain,扭伤,扭,好转,出院
comely,动人,可怕,紧张,可爱
effete,无生产力,抖动,裂缝,实力增强
cadence,节奏,低调,叠韵,灰尘
half-baked,半生不熟,细小,笨重,尖锐
flange,(火车车轮的)凸缘,被想起,税(款),应用
meddle,干涉,确认,狡赖,推翻
guru,古鲁(印度的宗教领袖),开发,围棋,堵塞
negligent,疏忽,迷惑,全心全意,当心
whittle,削减,裁员,裁军,补偿
plankton,浮游生物,动物,原子核,电子
imperceptible,觉察不到,右的,范例,运动
talisman,避邪物,陷阱,长征,途径
chipmunk,花栗鼠(像松鼠的美洲小动物),褐色,地球,礼貌
piecemeal,一件一件,对称性,简易,协调
persnickety,势利,叛逆,转弯,缓和
monologue,独白,答词,中心语,不易之论
unique,独特,一定,别具一格,唯一
spectrum,光谱,名片,卡片,表册
encapsulate,压缩,添补,补票,裁员
spout,滔滔不绝地讲,夸奖,具有共同目标的人,发明(创造)的才能
modestly,谨慎,负责,疏忽,含糊
numerology,数字命理学(通过数字算命),整洁,运行,议论
scrap,小片,古怪,为了,在...附近
calipers,测径器,木头似的,复述,使分开
dissect,解剖,按摩,注射,补液
calumniate,诽谤,争论,丑化,笔战
yearn,盼望,预计,渴望,向往
patronage,赞助,慰藉,慰问,资助
philistine,庸人,宝贝,半吊子,废物
mnemonics,记忆法,筑巢,到处,少女
fulsome,虚情假意,情绪,民意,意思
quaint,离奇有趣,完整,怕羞,无党派者
veil,以面纱掩盖,(较)大的,认真,诞生地
tether,限度,北回归线,终端,八度
vie,竞争,责骂,骂,诅咒
ornithology,鸟类学,迅速,奴隶,向北
raillery,善意的嘲弄,市场,便条,把(钉、桩等)打入
hazard,危险,辛苦,大喜,幸福
delicacy,精致,雌雄,浮华,鄙陋
transplantation,移植,播种,栽植,培植
bemoan,为...悲伤,引咎,向往,不共戴天
beet,甜菜,白苏,甘蔗,八角
containment,阻止,困扰,触怒,缠绕
hale,健壮,无力,虚弱,年轻
carnival,狂欢节,生日,圣诞,端午
diatribe,(口头或书面猛烈的)抨击,十二,无表情的,栅栏
logjam,僵局,大局,均势,气候
strenuous,费力,最佳,深奥,平凡
urban,城市,犄角,层,拐弯
hibernate,冬眠,安眠,口渴,嗷嗷待哺
irreverence,不敬,干(旱)的,工艺,逼真
minuet,小步舞,迅速,工会,游泳
aquatic,水生,生长,产卵,成人
cruelty,残暴,坦率,罪恶,苛刻
compartment,隔间,休息室,工作室,实验室
tension,紧张,遗憾,抱愧,安慰
hassle,激烈的辩论,观念,逗留,进展
sanguine,乐观,不羁,悲观,大方
pore,毛孔,鼻孔,无缝,裂缝
panegyric,颂词,忠告,玩笑,箴言
desalinize,除去盐分,把…弄糊涂,走,小圆点
reminder,提醒人记忆之物,保存,完满,发光
retainer,侍从,东家,雇主,左右
aroma,芳香,多姿多彩,花哨,恶臭
distillation,蒸馏,镀锌,镀银,镀
impassioned,慷慨激昂,喘息,疲惫,懒洋洋
ostentatious,卖弄,摆阔,虚张声势,伪托
radius,半径,保护,所有人,约定
maraud,抢劫,断路,犯法,盗窃
depose,作证,反映,预兆,可见
unscrupulous,肆无忌惮,杜撰,伪托,夸耀
addendum,补充,补遗,加长,增添
dissimulate,隐藏、掩饰,(一节)课,藏书,甚至
reagent,试剂(导致化学反应),恼火,幼儿园,大部分
gamut,全音阶,棉制品,触电,运动场
cuff,袖口,口袋,袖子,冠冕
bellwether,领导者,苏丹,总裁,罗斯福
desirous,渴望,求爱,预料,但愿
extortionist,敲诈勒索的手段,妥协,内服药,(友好、随便的)谈话
realign,重新组合(排列),翅膀,看守,不含酒精
destruction,毁坏,打破,裂缝,撕毁
organism,生物,原子,电子,动物
gyrate,旋转,回转,跳动,震动
sovereign,最高统治者,布什,马歇尔,总统
gerrymander,(为使某政党在选举中取得优势)不公正地将(某地区)划成选区,还钱给(某人),直到…为止,远离中心
productivity,生产力,动力,一臂之力,抵抗力
fawn,未满周岁的小鹿,秘密,究竟,贪吃的人)
jury,陪审团,教练,检察官,律师
cemetery,坟墓,祭坛,主席台,柜台
colloquy,(非正式的)交谈,将就,谈判,协定
timorous,胆小,敏感,坚决,明白
extraordinary,不平常的,最少,承受,多么
wizardry,熟练,孩子气,用功,勤勉
exotic,珍奇,高贵,高昂,重大
shriek,尖叫,念,怒吼,飞翔
aboriginal,原始居民,北京人,港人,中国人
disfigure,毁容,报仇,剥蚀,报复
benevolent,善心,本意,心情,意思
inadvertent,不注意的,一心一意,小心,入迷
contract,合同,操作,照搬,比量
avert,避开,避孕,防水,顾忌
ransom,赎金,贷款,邮费,借款
faithfulness,忠实,叛逆,粗暴,伪善
compass,界限,半边,顶峰,底线
composed,镇定,如饥似渴,对得起,迫切
bulk,体积,距离,体温,角度
nostalgia,怀旧之情,在上方,他(她、它)们的,重要人物
dehydrate,除去水分,收缩,浸透,附加
hyphen,连字号,插页,折叠,岩石
seamstress,女裁缝,早(期)的,输掉,维修
tempest,暴风雨,雨滴,遗迹,毛毛雨
baron,贵族,公爵,王子,殿下
wallow,沉溺于,(一份)电报,流动,烧着
plague,讨厌的人或物,共同,定价(或标价),销路
feat,功绩,贡献,大功,伟业
respective,个别,相互,一块,亲自
blockage,障碍物,整体,介质,文物
transparent,直率,敦厚,转弯,刚直
antiseptic,杀菌剂,脑浆,使完整,降落)
substantive,根本,每每,第一,原本
exacerbate,加重,巩固,转运,安定
emasculate,柔弱,有力,深厚,刚健
enclosure,圈地,回,奇怪,词
fillet,束发带,引起,相反(的),自动控制装置
aloft,在空中,还,免职,彻底地
synonymous,同义,同辈,同期,同步
coloration,颜色,靛青,焦油,染料
traverse,横穿过,骑车,点头,独立
despicable,可鄙,有趣,可怜,可怕
lag,落后,败坏,昂首阔步,振兴
trumpery,中看不中用的,尺寸,接来,精神
exponentially,迅速增长,形状,血统,雨伞
slice,切成片,垃圾,探索,难题
tousle,弄乱(头发),作品,出席,已故
brittle,声音尖利,(光、色等的)带、条,入学,冒失
pedantic,书生气的,市镇,现在,集成电路
defamatory,诽谤,讥诮,取笑,丑化
rapprochement,和好,说服,调停,妥协
compose,写,爱抚,扛,拍击
verve,(艺术作品的)神韵,舆论,问候,相当
banter,打趣,摆布,寻开心,勉强
excursive,离题,专程,尽量,努力
cringe,谄媚,媾和,说服,趋奉
relent,动怜悯心,牵,词汇量,放荡
tributary,进贡(的),特种饮食,快活,信息通路
pragmatic,实际,不免,确实,情愿
artifact,人工制品,画,低声说出,战船
demobilize,遣散(军人),退役,退学,脱离
quash,镇压,没收,赦免,剥夺
polygamy,一夫多妻制,除去..污垢,讨论,矿石
outrageous,无礼,婚礼,开幕式,葬礼
assemble,集合,纠集,密集,三位一体
cynic,愤世嫉俗者,护理,译文,游戏
malaise,不适,抱病,危笃,不安
inclined,倾向于,不予,信任,爱戴
remunerate,报酬,退休金,佣金,工钱
arbitrary,专横,开展,大公无私,革命
quotidian,每日,昨天,今日,后天
lank,长而软的,讯问,刚强,／
immunize,使免疫,伟大,大多数,自从
gargoyle,面貌丑恶的人,期,鸭,临终
idolatry,偶像崇拜,破坏,受支配的,请
oppose,反对,容忍,支持,拥戴
skirmish,小战,浓,动画片,称赞
succulent,多汁,教科书,有偏见的,法(律
subtlety,微妙(的感情),陡的,眩晕,奋斗
minaret,清真寺的尖塔,快速,仁慈,(小山)山腰
fastidiousness,精挑细选,非常,侍候,制剂
utilize,利用,挪用,用于,识货
recreation,娱乐,欣赏,打牌,展出
interaction,相互作用(影响),轻视,享受…的乐趣,科学性的
replacement,代替,露面,提名,咨询
pugnacious,好斗,行为,动作,毛病
rambunctious,骚乱,黄色,衰败,冷淡
polyandry,一妻多夫制,问候,划圈,精神
reed,簧片,齿轮,皮带,活塞
braggart,吹牛者,(一份)电报,排队,暴力(行为)
lunatic,疯子,跛子,隐士,老百姓
retard,妨碍,推动,加以,施加
irresolute,优柔寡断,不得已,尴尬,如饥似渴
escalate,扩大,改编,推广,膨胀
sinecure,挂名差事,国务卿,议长,队长
vault,拱顶,倾斜,选择,混合物
hilarity,欢乐,叩头,悲恸,不亦乐乎
disoriented,无判断力,烹调书,姑母,蜂
abstinence,禁绝(尤指食物或酒),友谊,节日,像地毯般的一层东西
monumental,纪念碑的,是,新闻提要,(比赛)得分
trident,三叉鱼叉,播音员,模糊不清,损害
unimpressive,给人印象不深的,简易,高级,深奥
instrumental,有帮助的,目标,个性,割
errand,差事,核工程,业务,工程
evaporation,蒸发,燃烧,焦,溶化
vindication,证实,来源,反映,在于
procure,取得,荣获,以免,夺得
uninitiated,外行的,案件,冻结,当时
terrace,阳台,屋檐,渗沟,走廊
hymn,赞美诗,十四行诗,民歌,歌词
earsplitting,震耳欲聋,动听,不绝如缕,细嫩
jealousy,忌妒,倾倒,信任,买帐
enervate,使虚弱,系,信心,非常
theism,一神论,法理,学术,才学
rubicund,(脸色)红润的,温室,在这时代,冷静
infallible,绝不会错,时常,判决,用刀切
interdict,禁止,调查,签证,许可
critique,批评性的分析,请客,引用,点菜
score,乐谱,商标,调号,标点
forbidding,(表情)冷峻的,缝补,调查,辅助物
consistent,前后一致,清澈,扫,全部
carbohydrate,碳水化合物,宾语,状语,滋养
literati,学者(复数),健美,蚁,契约
quixotic,不切实际,针锋相对,顺应,相配
hiatus,空隙,点,无缝,鼻孔
bare,暴露,倒闭,盈余,泄露
fatuity,愚蠢,胆小,明白,精明
lapidary,宝石工,舅父,姿势,窗子
disjunctive,分离,告别,握别,集合
mimicry,模仿,镀金,预习,阅读
blithe,快乐,狂喜,欢腾,叩头
abase,贬抑,搁置,不置可否,并重
supine,仰卧,依偎,弯腰,倚靠
stylus,铁笔,笔架,笔筒,毛笔
euphony,悦耳的语音,欺骗,体操家,给…深刻印象
antipathy,反感,滋味,恶意,视觉
statute,法规,誓约,不成文法,租约
haggle,讨价还价,协商,让开,会谈
debase,贬低,当选,得意,升迁
adverse,不利,侵蚀,不可逾越,无害
gulp,吞食,叼,喝,吮吸
masquerade,化装舞会,悲哀,合乎卫生,混合
splashy,溅水,午后,贸易,同事
skein,一束(线或纱),激增,考试,超出
retrace,回顾,要求,谋求,纪念
survive,幸存,满足,保温,容易
brazen,厚脸皮的,他自己,(尤指从一地到另一地的陆上)旅行,总是
hyperbole,夸张法,了解,伟大,使困惑
oration,正式演说,提出,诉苦,讲述
quench,熄灭(火),行车道,伯母,兴高采烈
persecute,迫害,不利,不可逾越,无害
gracefully,优雅,简朴,文明,破旧
solidarity,团结,崩溃,众志成城,三位一体
intern,实习生,选手,新生,寄宿生
propitious,吉利,暴发,发迹,不好
anthropology,人类学,高科技,科技,医学
stagy,不自然的,八(个,完整,躯体
transgress,冒犯,骗取,缠绕,激怒
accessory,附属,属于,一样,不谋而合
alluvial,冲积,分布,堆放,遍及
collision,碰撞,刺激,着,着陆
unprecedented,前所未有,卑下,不像话,典型
dissuade,劝阻,游说,鼓励,慰藉
contravention,违法,斩首,绑架,镇压
stereotype,固定形式,感受,在这一点上,眼窝
airborne,空气传播,否则,公斤,左面
imposing,壮丽,妖艳,锦绣,不兴
asphyxiate,(使)无法呼吸,威胁,病害,人造
locate,找到...的位置,注意,全部,失败
muniments,契据,厂规,条款,协定
unbend,弄直,不假,…得多,奖品
tarpaulin,防水油布,扫,仿佛,铺设
whistle,口哨,欢呼,咆哮,呼唤
crux,关键,宝贵,不痛不痒,其次
politic,有手腕的,明白,毒化,愚笨
pennant,(船上用的)信号旗,对抗,幸福感,中止
detached,分开,汇集,背井离乡,团聚
vaunting,吹嘘,吹牛,夸耀,解答
defer,推延,日落,提前,加快
erratic,古怪,不对,不可名状,莫名其妙
palpitate,(心脏)急速而不规则地跳动,决定,炊事用具(尤指炉、锅等),知识
systematize,使系统化,口授笔录,追捕,(道路上的)交通安全岛
renaissance,复兴,改进,软化,改善
admire,钦佩,信服,抱怨,令人钦佩
stratagem,谋略,五年计划,巧计,战略
regularity,规律性,阴性,政治性,历史性
standstill,处于停顿状态,断电,断奶,停车
histrionic,演戏,变戏法,音乐会,下台
hemophilia,血友病,肝炎,流行病,爱滋病
inconsonant,不协调的,句点,启航,小心
caustic,腐蚀性的,地位(现在很少用),清除,阻止
rail,咒骂,责骂,竞争,顶撞
pestilent,致死,驱动,免疫,引人注意
crass,愚钝,不识抬举,精明,糊涂
amulet,护身符,陷阱,道路,屏蔽
nonthreatening,不威胁的,强令,卷,决定
conflict,冲突,鞠躬,致敬,下跪
limb,肢(手或脚),体操,楼下,展览
cosy,温暖而舒适的,理智上,粗暴,进一步地
conventionality,因袭传统,开拓者,十四个,无言
sewer,排水沟,篱笆,平台,广场
litigant,诉讼当事人,环绕轨道运行,击剑,别的
tranquil,宁静,决心,迫切,动摇
debar,阻止,缠绕,搅乱,困扰
recast,重铸,公民,坚固,市民
mania,癫狂,狂热,不仁,堵塞
scandal,恶意诽谤,使惊奇,迫使,喷嚏
status,身分,位置,古风,世界
unblemished,无瑕疵的,加油,舞曲,决定于
frieze,(在墙顶与天花板间起装饰作用的)横条,男性服务员,城镇居民,拖
smelt,熔解,打耳光,救护,辅助
cloy,(吃甜食)生腻,家庭,电的,管理人员
detrimental,损害,预防,无害,不可逾越
clinch,钉牢,除法,操作,伐木工
exonerate,确定无罪,制图表,工艺,垂死
crutch,支撑,保温,陷入,在内
marsh,沼泽地,群岛,内陆,北美洲
refute,驳斥,争论,雄辩,非议
beget,产生,爆发,重现,消失
reverberate,起回声,声誉,名望,速效
detain,使延迟,秋,拖,(文章)段落
defiance,违抗,违例,拍案叫绝,取笑
cripple,(使)残废,嘘声,上演(戏剧等),指标
dissenter,持异议者,安装,射击,用秒表测定时间
contestant,竞争者,提名,短距离,困境
theatrical,戏剧,小夜曲,交响曲,京戏
lament,悲伤,欢喜,悲切,悲喜交集
tangy,强烈,明文,隐约,含糊
obsolescent,即将过时,服务员,痕迹,装备
self-deprecation,自我贬低,运动员,刷,题词
sliver,裂成细片,只...),纤维质,说
facsimile,复制本,样本,伪书,版本
incarnate,具有肉体,观点,涂(盖)上,作用
rapt,专心致志,迷住,习惯,入迷
loathe,憎恨,抱屈,尊敬,爱憎
detest,深恶,抱恨,不共戴天,哀怨
outmoded,不再流行,拉手,水坝,友情
stipend,薪俸,关税,工资,退休金
seraphic,如天使般,妖艳,古老,娇媚
offset,补偿,加长,增添,补票
embargo,禁运令,客人们,做礼拜,陈列
dowry,嫁妆,破烂,红宝石,寿礼
holster,手枪皮套,仪表,浓,决定性的
invective,猛烈抨击,骂,责骂,诅咒
sober,庄重,污染,悲惨,俨然
roguish,捣蛋,祝福,挑衅,伪造
summation,总数,篇幅,旅程,波长
immortal,不朽,吃不开,腐败,光明
tragedian,悲剧演员,关键,继承,以为
humidity,湿度,经度,频道,冰点
snatch,强夺,绑架,断路,偷窃
fastness,要塞,乐园,墓地,边卡
diversion,偏离,围绕,逼近,相隔
heave,用力举,炸药,招待会,摩
rehearse,详述,宣示,记载,讲述
rejoice,喜欢,百听不厌,爱慕,理会
courteous,彬彬有礼,漂浮,不耐烦,耐烦
molten,熔化,镀,蒸馏,镀银
theology,神学,高科技,科技,科研
affection,亲情,友谊,性关系,邦交
diagram,图解,附笔,介绍,注解
hydrate,水化物,金属,文物,有机体
executor,遗嘱执行人,想要,大宗,矿
fetus,胎儿,胞衣,睾丸,阴户
combustion,燃烧,闪亮,咆哮,燎
solace,安慰,慰问,归咎,支援
converse,逆向,这次,这儿,当年
cumulative,累积,转帐,结帐,报帐
activate,使活泼,海滩,形式,惊奇
untimely,不适时的,开端,导游书,行军
asparagus,芦笋,黄瓜,西红柿,大豆
subvention,补助金,保证金,罚金,损益
emulate,努力赶上或超越,挤满,等待,大大
recession,衰退时期,修面,五,前苏联人造地球卫星
jingoist,侵略主义者,挤满,跳舞,结果
clientele,(医生、律师的)顾客,正午,(天气)风雨交加的,梢
adaptation,改制物,醒着,生活(方式),障碍
impeccable,无瑕疵的,凋谢,不利,研究室
idiot,愚蠢的人,宝贝,榜样,废物
stigma,耻辱的标志,纪念奖,成就,耻辱
cellar,地下室,书房,图书馆,厕所
sagacity,聪慧,胆小,八面玲珑,敏锐
heartrending,令人心碎,离开,绘制地图,产生于
brusque,唐突,缠绕,兵不厌诈,激怒
plunge,投入,入门,进入,注入
euphemism,婉言,坦白,转弯,正直
ruffian,残暴,坦白,不道德,慈悲
apathy,漠然,热忱,大方,宾至如归
regiment,严格控制,检查,在…里面,察觉
feline,猫科,阳光(不可数名词),高的,扫视
bristle,短而硬的毛发,战斗机,称赞,信条
elusive,难懂,产生,叙述,原子弹
encounter,遭遇,多达,挨打,扭转
billowing,如波浪般翻滚的,除去,演奏者,外表
definition,(轮廓等)清晰,意思,本义,板眼
phenomenal,显著,合法,隐约,可行
atone,赎罪,税收,索赔,赔偿
leery,机警,八面玲珑,卑怯,眼尖
colonnade,柱廊,鞋,最小(少)的,染色
mantle,覆盖,展开,突出,屏蔽
enjoin,命令,遥控,发动,颁发
delinquency,失职,搅乱,画蛇添足,失误
crepuscular,朦胧,透明,黑暗,幽暗
upsurge,(情绪)高涨,经历,顾客,爱争执的
consequent,跟随,携带,跟进,军备
impel,驱使,致使,抓住,引人注意
warble,(尤指鸟)叫出柔和的颤音,渴望,崇拜,谎话
athletics,运动,外流,奔泻,潮流
overlook,忽视,入迷,松弛,逼上梁山
blighted,枯萎,吐穗,跛足,结果
rescue,解救,畅销书(货),措施,灰色
gabble,急促而不清楚地说,天生,把手,高兴
turbulence,骚乱,萧条,忘恩负义,不景气
repeal,废除(法律),尝试,仔细观察,尝试
pandemonium,喧嚣,隆重,寂寞,无声
sprig,嫩枝,目的,卡,岛屿
peptic,产生胃酶,说话声音,妇女,口渴
dissonance,不和谐(的音调),使摇摆,实用性,脱掉
spartan,简朴,优雅,鄙陋,粗糙
convert,使改变(信仰等),学科,捕鱼人,请求
fraught,充满,占据,包含,包藏
opulent,富裕,不名一文,失调,眼花缭乱
ancestor,祖先,叔叔,前任,同辈
primer,启蒙书,线,倒置,涂面霜
sinkhole,污水池,使结冰,男性,作业
sturdy,(身体)强健的,情欲,火柴,学年
constellation,星座,星体,北斗星,火星
militia,民兵,别动队,先锋,北伐军
ewe,母羊,在…上,第十三个,桥
frowzy,不整洁的,俨然,一触即发,混乱
intermittent,断断续续,不辞辛苦,草草,持久
refectory,(学院)餐厅,摊子,茶馆,企业
cavalier,骑士,空军,美军,便衣
cessation,中止,断奶,休会,休战
entrancing,使人入神,医术,口角,非常
torso,(人体的)躯干,溜走,买东西,胡说
mordant,讥讽,争执,丑化,拍案叫绝
scrutiny,细察,宴会,请人来,专心
variation,变化,变幻,渐变,恶性循环
atheism,无神论,民族主义,才学,法理
allegory,寓言,编年史,卷,本子
depredation,劫掠,盗窃,绑票,断路
swift,敏捷,迟到,疾驰,为时过早
butt,用头抵撞,骗取,激怒,搅乱
logistics,后勤学,(支)柱,早,谷物
iota,极小量,骇人,床,缺口
segregate,隔离,生效,衬托,对垒
hemostat,止血器,吊着,少量,在…之中
