#word,meaning,option1,option2,option3
underestimate,低估,预测,猜测,出乎预料
campaign,竞选运动,欣喜,怂恿,大的
torrent,激流,势在必行,事实,来历
vain,徒劳,无效,便利,手提
granary,谷仓,知识库,发电厂,储藏室
rig,舞弊,讹诈,侵吞,买通
evacuate,撤离,回来,走开,逝去
extort,强索,开业,应该,腾出
raucous,（声音）沙哑的,鄙陋,年老,人造
decree,(专制君主的)命令,铸件,装备,型式
synchronize,使同步,本人,愿意,那时
haul,拖,弹琴,伴奏,舞蹈
bunk,废话,咕噜,直言不讳,谈话
illustration,说明,属于,在于,可见
pine,松树,柳树,森林,白皮松
insipid,乏味,滑稽,例行,古怪
ludicrous,滑稽,单调,可怜,有趣
yelp,叫喊,吹口哨,咆哮,呼叫
valve,阀,活塞,皮带,绷簧
communal,公有,个体户,组织,一国两制
reticent,沉默不语,使成冰,右,短语
bilateral,双边,系统,方面,多方
cogent,有说服力,只...),自始至终,要点
interior,内部,病程,原委,最终
metric,公制,策略,奴隶制度,制度
affix,署名,报税,报警,报关
essence,精华,异议,共识,政见
sectional,部分,政权,赘瘤,政府
orientation,倾向性,中性,技术性,阴性
better,较优者,抚摸,侦探,然后
comet,彗星,星云,卫星,白矮星
multiple,多样,芸芸,微不足道,不乏
magnitude,大小,马力,量力,极了
ruthless,残酷无情,罪恶,不道德,丧心病狂
oxidize,氧化,合法化,多样化,现代化
paternity,父权,沉重,罪行,权柄
ripple,细浪,波谷,泡沫,波涛
boil,沸腾,对流,潮流,外流
trophy,纪念品,奖品,摆设,古物
generous,丰富,干,附加,收缩
shell,炮弹,白刃,弹药,大炮
setting,环境,空气,梦境,现象
vigilant,机警,聪明,糊涂,迟钝
fragment,碎屑,琐事,家事,丑闻
pretext,借口,一同,只好,有意识
technique,技巧,才略,笔底下,本领
resign,辞职,负责,兵役,自负
likelihood,可能性,性能,伸缩性,傲气
curtail,剥夺,放逐,赦免,镇压
propriety,礼节,婚礼,葬礼,礼貌
undulate,波动,安居乐业,薄情,忘恩负义
justify,证明…是正当的,起床,迎接,引起注意
twilight,曙光,阳光,月光,光辉
retort,反驳,笔战,狡辩,辩证
withstand,抵抗,抵抗力,不可抗力,捍卫
kin,亲戚,表亲,行人,亲家
manifold,繁多,繁杂,不一而足,对偶
endorse,支持,沉浸,留下,正值
yoke,枷锁,圈套,阻力,屏障
melody,曲调,灰尘,调频,变奏
asset,资产,不义之财,财富,财帛
galaxy,星系,数字网,互联网络,系统
exorbitant,过份,比较,尽管,一定
petunia,『植物』矮牵牛属,工作者,巢,紧紧
predominantly,卓越,空前,优惠,不拘一格
casualty,严重伤亡事故,电影业,邮票,调查(或研究)的结果
abort,堕胎,开刀,演出,配药
oriental,东方国家,上述,北方,四方
beard,胡须,骨骼,眉毛,骨头
luxurious,奢侈,笨鸟先飞,含糊,怠惰
grin,咧嘴笑,信息通路,观点,自由
dignify,使高贵,一切,瓶子,商店
clip,剪去,劈开,切片,雕刻
hump,隆起,陷落,露出,翘
dial,拨(电话号码),真实,应该,再
falter,(心)惊了一下,秋千,所得,在下面
discipline,惩罚,拷打,惩戒,开庭
autonomous,自治,治理,包办,治安
dwelling,住处,投票站,目的地,网址
scarcely,几乎不,公园,秘密,贵重物品
septic,受感染的、腐败的,匙,富庶,变成
armour,铁甲,中山装,旗袍,冬衣
hive,蜂房,暗间儿,编辑室,办公室
dam,筑坝,改造,铺设,放置
slack,萧条,鼎沸,孤独,不暇
renovate,刷新,更新,衰败,后来
inflammable,可燃,面对,领悟,童年
anniversary,周年,前年,明年,世纪
scenario,剧本,卷,特写,传记
adopt,收养,抱养,服务,保育
probe,探针,轨枕,消防栓,警报器
mercy,宽恕,哀怜,放心,瞩目
dogma,教条,不到黄河心不死,不识时务,对答如流
typical,典型,不凡,无比,不好
misuse,误用,罄,照搬,操作
diverse,多种多样,对偶,有些,纷纷
flash,(简短的)新闻电讯,重大,(使)厌烦,价值
disdain,轻视、鄙视,有趣味的,沐浴器,无数
fit,适当,及时,不便,失效
string,一串,必要条件,预定应到,油炸马铃薯片
pass,经过,对于,依靠,由
currency,通货,辅币,花边,黄鱼
groan,呻吟,呼喊,吐,吹口哨
coral,珊瑚,项链,花边,首饰
brass,(,适合,起子,义务
barge,平底载货船,方舟,班轮,船上
detail,枝节,事件,反复,意外
blend,掺和,溶化,冻结,冷却
glimmer,摇曳的微光,待遇,油漆,向后
miracle,奇迹,莫非,大体,从来不
capillary,毛细管,动脉弓,血管,穴位
traitor,叛徒,反革命,白匪,屠夫
dissolve,(使)溶解,焦,解冻,蒸发
repetition,重复,行将,不再,毫无疑问
pyrite,黄铁矿,包裹,矿物,锭
idiosyncrasy,特殊癖性或行为,(非法)交易,正直,同样
blunt,把…弄钝,不精确的,体育,翼
buffalo,水牛,小牛,公羊,羚羊
solidify,凝固,精巧,韧性,严密
former,以前,以来,由来,今晨
pose,提出(问题),强健,事,被释放
contradiction,矛盾,供应,提供,对立
bet,确信,妒忌,不服,迷信
formation,组织,同盟,群体,常委
irony,反语,丑化,非议,取笑
illiterate,无文化的(人),舞蹈家,把式,历史学家
mackintosh,雨衣,制服,睡衣,盔甲
stitch,缝(合),踪迹,座右铭,金属
construction,建造,动工,改造,开会
ambassador,大使,院长,秘书长,总经理
eject,喷射,溢出,堆放,降下
deadly,死一样地,市民,台,企图
piety,虔诚,暴躁,转弯,和蔼
queue,队,冬季,漏洞,桃红色
intrigue,密谋,筹措,计划,失望
entreat,恳求,刺探,试探,哀求
pharaoh,法老王,加宽,亲自,吸引
integrate,使成为整体,强令,将要,改变
havoc,大破坏,整齐,污秽,尊严
specialist,专家,半文盲,历史学家,地质学家
plume,整理羽毛,精确,办公室,发表
fatuous,愚味而不自知的,油煎,部件,优良(质)的
nominee,被提名者,(轮胎)瘪的,忙,频道
literature,文学(作品),规定,(非法)交易,学者
layer,层,种种,棵,丘
glitter,闪光,呜咽,辐射,咆哮
physiological,生理学的,描述,学习,(英式拼法)数学
value,重要性,辅助,无价,区区
defect,缺点,优点,私利,裨益
edible,可以吃的,罚款,污染,轻拍
dreary,沉闷,犯愁,大发雷霆,变色
inject,注射,疫苗,解剖,补液
guardian,监护人,国籍,众议员,同辈
emergency,紧急情况,加入,大量,大量
insoluble,不能溶解,俘虏,玷污,各自
target,攻击,确认,谴责,否认
orthopedic,整形外科,主要部分,变种,实在
style,风格,布局,色彩,目录
disposal,布置,罗列,壁挂,排列
slide,幻灯片,暗箱,胶卷,照相机
diminish,减少,裁军,加油,补票
robust,坚定,不灵,薄弱,果断
envision,想象,幻想,感激,思考
original,原型,抽打,更远,橡皮擦
dull,(天气等)阴郁的,伯母,学科,欺骗
steer,驾驶,驾车,一起,骑马
persevere,坚持,认为,发现,公认
ingredient,成份,状语,要素,营养
decompose,腐败,奉行,发展,吸毒
dub,配音,对口,扮演,音乐会
gloomy,忧郁,痛苦,悲天悯人,动怒
flavour,给…调味,国王,修订(改,除去..污垢
expertise,专门知识,本领,技巧,本领
gracious,谦和,热心,不在乎,索然
organ,喉舌,目击者,保证人,见证
nil,全无,宁静,哨兵,书评作者
premise,前提,现象,生态,空气
eye,眼睛,白眼珠,大脑,对眼
prevail,流行,传说,遗传,接通
agriculture,农业,中保,航运,工程
brisk,活泼,孝顺,开阔,安分
oblique,间接,直接,照样,顶风
typhoon,台风,和风,冰山,雹子
licence,许可证,订单,节,半票
achieve,完成,定稿,实施,召开
favour,恩惠,失败,不白之冤,难题
mobilize,动员,响应,宣传,呼唤
resort,常去之地,本地,碑林,乐园
breach,冲破,奔袭,突破,侦探
fortify,增强,软化,加重,加紧
evade,逃避,幸免,避孕,顾忌
alarm,惊恐,震惊,余悸,退避
temporary,暂时,半天,冰凉,热力
outbreak,爆发,冰消瓦解,灭绝,散发
meagre,瘦的,亏损,现存,缺乏
bud,芽,花瓣,花束,红叶
relay,传达,告诉,发誓,报警
wary,机警,机械,笨口拙舌,板板六十四
hurricane,飓风,冰排,冰晶,暴风
flock,兽群,鹌鹑,毒蛇,猫头鹰
coin,硬币,外汇,锞,黄鱼
telling,显著,不露声色,官方,顶事
throbbing,跳动,余震,动作,运行
augment,增大,干,助长,加密
misrepresent,误传,百发百中,可靠,不足为训
superior,优越,百读不厌,龙飞凤舞,恶劣
maniac,颠狂,吃不服,入迷,习惯
inadequate,不充足的,年轻,兵力,粮食
slum,贫民窟,科学院,妓院,股市
privilege,特免,乐事,卑贱,安静
confer,授予,引人注意,加以,寄予
turnover,流通量,余震,转动,摇摆
resilience,弹性,非盈利,权威性,高性能
acidity,酸味,天蓝色,鼻息,味道
cease,停止,僵化,熄灭,停火
awkward,笨拙,不敢越雷池一步,聪明,睿智
spiral,螺旋(形)的,跳动,掉转,余震
diagnosis,调查分析,书签,骑(马、自行车、摩托车等),通俗
conspicuous,显著,背后,使得,含糊
overdose,（药物）过度剂量,有人性的,打,拖延
seminar,研讨会,电话会议,国会,包袱
invade,侵略,占领,收复,扰乱
polish,上光蜡,安静,把…比作,环绕轨道运行
automobile,汽车,船只,越野车,卡车
recall,回想,谋求,求爱,怀念
give,发布(命令),在…下面,录像,建筑工人
biodegradable,生物所能分解的,他自己,金黄色,个人
airconditioning,空气调节(装置),(正式)会议,逃跑,砖
tumult,拥挤,不暇,荒凉,吵闹
sacrifice,祭祀,闹事,挑衅,埋葬
decimal,小数,贸易额,度数,含量
veterinary,兽医,姥姥,翻译,护士
suffix,后缀,简单,无线电话,(使)破产
custom,习惯,疏忽,大惊小怪,当心
temperate,自制,培修,修理,闭门造车
philosophy,哲学,高科技,医学,科学
defendant,被告人(的),挤满,灌木,香烟
apprentice,使当学徒,私人,嗡嗡作响,储备
convention,会议,运动会,舞会,电话会议
dinosaur,恐龙,海豹,狮子,老虎
supersonic,超声,低音,女高音,鼻音
relief,(痛苦、烦恼等的)解除,(经)过,人工,通用
meddle,干预,否定,公认,推翻
fairly,相当,进一步,纯粹,尽管
plankton,浮游生物,量子,原子,动物
historian,历史学家,制作者,创造者,研究者
piecemeal,一件一件,盗窃,窗帘,小时
monologue,独白,不易之论,中心语,答词
unique,独一无二的事物,伟大,影响,无数
spectrum,领域,多方,系统,方面
scrap,废弃,舍命,放弃,弃权
yearn,怀念,悲悼,回顾,求爱
cricket,板球,篮板球,乒乓球,球拍
archives,档案室,小河,正号,靠在...上
sail,风车翼板,经验,苍白,善
bowel,肠,如雪一般地落下,编织式样,进步
foreseeable,能预测的,使(某人)有思想准备,户外,鼓
quaint,离奇有趣,破旧,浮华,鄙陋
passport,护照,证据,执照,节
veil,面纱,床垫,衬垫,摆钟
hazard,危险,劳顿,幸福,安闲
steady,稳定,混乱,萧条,无情
as,作为,是,比方,衰败
accommodation,住处,起点,网站,售票处
strenuous,费力,平常,第一流,深奥
tertiary,第三位的,第五,第六,第十九
mind,注意,放心,顾虑,安之若素
aquatic,水生,生长,孵化,成人
compartment,间隔,隐私,轶事,家政
oval,卵形,银行家,使发狂,(绘画)艺术
tension,拉力,武力,万有引力,压力
entry,入口,贸易额,上市,投资
geometry,几何学,高科技,医学,科研
pore,毛孔,空儿,无缝,鼻孔
dental,牙齿,软腭,牙床,板牙
hang,贴(墙纸),出口品,出生,希望
narrative,叙述,详述,记载,记述
aroma,芳香,多姿多彩,斑驳,花哨
visible,看得见的,表明,证实,展示
curse,遭受…苦,作用,走棋,发…的音
fiance,未婚夫,妻子,泰山,爱人
classic,最优秀的,低声说出,橙色,全部
diction,用语,语汇,单字,语气助词
radius,半径,救生（船）艇,格言,分
supposedly,大概,不够,可能,莫非
herbalist,草药医生,结果,身高,开阔
cuff,手铐,枷,脚镣,台灯
organism,生物,量子,变温动物,植物
sovereign,统治,请愿,独霸,罢工
incline,使倾向于,故障,修订本(版),分
productivity,生产率,比率,对比,百分比
jury,陪审团,班主任,检察官,法官
exotic,奇异,吃不来,懂事,迷住
aboriginal,(指动植物)土生的,武器,深切,出版
contract,订约,同意,允诺,商量
fierce,凶猛,无情,莫大,板滞
avert,避免,躲开,获得,防水
ransom,赎回,索赔,收费,征收
compass,指南针,依据,财源,辫子
bulk,大块,广大,扁圆,弧形
tetrad,四个一组,一次机会,(纸牌)红方块,古怪
nostalgia,怀旧之情,传染病,白化病,胃炎
policy,保险单,多数票,半票,保单
plague,天灾,地震,饥荒,火灾
voice,表达,表态,志,授意
feat,技艺,笔底下,本领,本领
specific,明确,不三不四,可疑,有效
ptolemaic,天动说的,八十,愚弄,大的
occasional,偶然,容许,人寿保险,意外
transparent,透明,背光,边远,黑暗
exacerbate,加重,改善,放松,增进
enclosure,围绕,相隔,包围,逼近
misappropriate,霸占,充满,有价值,容纳
traverse,横切,压强,增大,可可饮料
tentacle,触角,熊掌,尾巴,犄角
lag,落后,建设,例行,昂首阔步
slice,把…切成薄片,奶奶,计划,珠宝
brittle,脆的,点头同意,有关系的,综合
bring,拿来,传染,影响,轰动
compose,创作(乐曲、文学作品等),总是,堵塞,适当
national,国民,大家,个人,家伙
mucous,粘的,清汤,汁液,大浪
clockwise,顺时针方向地,有毒,到商业区,吞
tributary,支流（的）,(表示间接关系)给,眼镜,百叶窗
pragmatic,实际,不免,确实,究竟
quash,取消,独树一帜,接收,免除
outrageous,骇人听闻,可恨,动人,不得人心
assemble,聚集,告别,集中,握别
cynic,愤世嫉俗者,白昼,人造,幸福
uncalled-for,多余,短少,相差,亏损
embassy,大使馆,机构,总政治部,政权
hobby,兴趣,气味,斗志,兴致
arbitrary,专断,民主,开展,不咎既往
volcano,火山,安第斯山,山脚,香山
oppose,反抗,冲击,抵抗力,不可抗力
bargain,讨价还价,迁就,会谈,商谈
utilize,利用,识货,辨认,挪用
recreation,娱乐,欣赏,猜谜儿,展览
reappraisal,重新估计,养料,晾干,美丽
destiny,命运,逆境,身世,悲欢离合
escalate,(使)逐步上升,挑剔,聚精会神,第三十个
vary,改变,软化,工业化,年轻化
loath,不情愿的,逼债,威胁,诱惑
monumental,做为纪念,美好,不要脸,腐败
instrumental,仪器,版,温度计,页心
errand,差使,改组,分配,编遣
procure,取得,谋取,争取,规避
gradual,逐渐,常常,不久,临时
arc,弧,手段,女王,无关
terrace,阳台,庭院,屋檐,渗沟
fibre,纤维,矮小,宽阔,大型
swear,诅咒,骂,责骂,顶撞
prefix,字首,(复)土著居民,触摸,切
score,记号,标号,题解,编码
overthrow,推翻,狡赖,否定,鞭挞
rebellion,反抗,不可抗力,抵抗力,冲击
consistent,一致,同龄,附属,步调一致
carbohydrate,碳水化合物,条件,格言,宾语
vibration,振动,动弹,转动,摆动
bare,极少,领口,重述,更多
apprehension,焦虑,痛苦,背包袱,凄惨
gland,腺,鸣,更远,忍受
statute,法规,法案,条款,不平等条约
wreck,毁灭,休息,恢复,解决
allegation,主张,推论,发现,坚持
justification,正当的理由,洞,公共汽车,栅栏
adverse,相反,也,当然,那样
municipal,市的,课外,御,本职
masquerade,伪装,疲惫,喘息,屏气
proposal,建议,议论,召回,呼唤
quench,扑灭,解渴,克服,摧毁
handcuffs,手铐,脚镣,板子,枷
persecute,迫害,不利,无害,防止
solidarity,团结,联结,三位一体,决定
anthropology,人类学,高科技,医学,科研
transgress,冒犯,兵不厌诈,激怒,搅扰
accessory,帮凶,凶手,犯人,叛徒
alluvial,冲积,散布,遍及,堆积
validity,合法(性),主持婚礼,半,消息
collision,碰撞,撞见,刺激,回转
dwell,凝思,考虑,想象,感到
palm,棕榈(树),高度,发电报(给),广场
stereotype,老套,规矩,规程,押韵
imposing,难忘,挂念,懂得,记得
outcome,后果,病根,报应,论点
grip,抓紧,好转,复兴,放松
diplomat,外交家,半文盲,制造者,鲁迅
whistle,口哨声,乞丐,邮递员,由
politic,精明,便宜行事,笨口拙舌,不敢越雷池一步
adverbial,副词(的),既然,使发怒,强有力的
helium,氦,能力,暴雨,一串
gallery,(矿坑中的)地下坑道,赌博,垫,喊
defer,延期,加快,巩固,提前
erratic,古怪,秘密,明白,单调
differ,意见不同,更多的人(或东西),耳语,恳求
palpitate,（心脏）急速而不规则地跳动,写信(给),(病)更重的,赞同
renaissance,新生,是,乃是,败落
asterisk,星号,调号,密码,商标
donation,捐赠物,善,培训,命运
caustic,腐蚀性的,坦率,刚正,罪恶
rail,栏杆,过道,扶手,路
dash,猛冲,冲突,鞠躬,致敬
conflict,斗争,操劳,垮,依赖
limb,臂,说明,总计,(英)饼干
cosy,暖和舒服,贮备品,方向,播种
sewer,排水沟,屋檐,院子,渗沟
bathe,洗澡,荡,清洗,冲洗
tranquil,宁静,落实,对得起,惊慌
mania,癫狂,狂热,瘫痪,窒息
whirl,(使)旋转,条件,说某种语言,鸡
scandal,丑闻,隐私,家务,细节
status,状况,奇景,幻影,远景
periodically,定期,照常,短期,课余
gang,一群,私人,陌生人,同伴
detrimental,损害,有益,不可逾越,无害
bar,酒吧,摊子,浴池,养鸡场
crutch,支撑,共处,维持,在外
referendum,公民投票,警卫,说某种语言者,多数
marsh,沼泽,中美洲,田野,平原
refute,驳斥,争执,笔战,诽谤
polio,((口语))小儿麻痹症,起支配作用的,物理,人间
detain,扣留,逼供,抄身,申诉
defiance,蔑视,无所谓,歧视,视而不见
cripple,使跛脚,巧克力糖,由…引起,对每个
contestant,竞争者,大胆进行,指挥者,理由
lament,悲伤、哀悼,夜总会,我们的(所有物),观众人数
determine,测定,定时,处决,报失
renovation,刷新,后来,毒化,衰败
facsimile,复制本,新书,超文本,中文版
platform,政纲,摘要,言语,大纲
detest,深恶,引咎,抱恨,向往
pad,加衬垫,松(树),得意,努力
venture,大胆提出,空中加油飞机,仓促,权势
offset,弥补,升值,加油,补票
spokesman,发言人,目击者,主编,专员
embargo,对…实行禁运,但是,绝妙,链环
literacy,识字,护照,五十,建筑师
sober,清醒,安眠,伤亡,冬眠
foundation,基础,底线,限于,壁垒
humidity,湿度,灵敏度,气温,周长
snatch,抢夺,断路,绑票,盗窃
pharmacy,药房,国宾馆,书店,茶馆
diversion,娱乐,画展,欣赏,猜拳
heave,(用力地)举起,大型医院,深地,预知
rehearse,背诵,武打,跑龙套,堕胎
rejoice,使欣喜,(心中的)不安,操作,秘密
molten,炽热,凉快,冰天雪地,闷热
affection,慈爱,毒辣,邪恶,这些
diagram,图解,注解,说明,下载
fetus,胎儿,胞衣,睾丸,阴茎
combustion,燃烧,叮当,烧毁,咆哮
converse,交谈,断言,长谈,对话
cumulative,累积,报销,转帐,结帐
activate,使活泼,担心,政见,某一
untimely,过时,新鲜,现有,妖艳
invaluable,非常宝贵,高昂,主干,次要
recession,商业萧条时期,和平,鼎沸,平静
idiot,白痴,笨蛋,废物,乌合之众
stigma,污名,纪念奖,成果,成就
cellar,地窖,更衣室,图书馆,洞房
bull,大型(的),染色,教,存在
plunge,投(入),完全,联想,暗号
corresponding,相应,遗留,需要,供给
apathy,漠然,索然,谦逊,恭顺
defeat,击败,俘虏,占领,消灭
elusive,难懂,堂(表)兄弟,仿佛,(综合大学中的)学院
encounter,遭遇,扭转,多达,得分
organization,组织,委员会,部落,常委会
hitchhike,搭便车,同意,顶替,主题
furnish,装备,反叛,备战,出卖
definition,定义,笔录,系统,端倪
phenomenal,能知觉的,全景,幻影,远景
colonnade,柱廊,瞄准,擦,未爆炸的
mantle,覆盖,屏蔽,赤裸裸,笼罩
architecture,结构,某种,各种,班子
detract,减去,补发,补给,补票
delinquency,失职,模糊,歪曲,本末倒置
consequent,必然,行将,正在,随后
overlook,眺望,盯住,细看,遥望
rescue,救援,支持者,每,辫子
potion,波掀洒,扶手,不同,开除
inquire,打听,否定,干预,狡赖
convert,皈依者,病,办事员,交
predictable,可预言的,延迟,所得,潮湿
fraught,充满,有价值,包容,含水
recapture,取回,占据,打败,撤退
ancestor,祖宗,老人,后人,大娘
sturdy,强健,雌雄,年轻,雌
butcher,卖肉的人,叛徒,阿波罗,使徒
transit,运输,导航,驳运,流放
scenic,风景,装饰,格式,公式
journalist,记者,笔者,翻译,兽医
intermittent,断断续续,主动,拖拉,仔细
nostril,鼻孔,裂缝,洞穴,空儿
scrutiny,细阅,内服药,裸体的状态,责备
variation,变化,演变,多变,恶性循环
environment,环境,表象,前提,空气
swift,快的,高效率,为时过早,短距离
logistics,后勤学,贵族,牢固,平静
pace,速度,科学院,长短,纪念馆
segregate,(使)分离,游戏的人,一种大的坚固的木箱,记忆力
cue,暗示,发挥,志,表态
dock,太空船在空间连接,接力赛跑,正确,看法
plaster,灰泥,邻接,捕获,嫩枝
terse,简洁,蓬松,碎片,酥
brace,支柱,横梁,城墙,圆柱
malice,恶意,反感,感情,视觉
compile,编辑,今译,笔译,摘录
avalanche,雪崩,打破,崩塌,破坏
conquer,克服,消灭,肃清,解渴
stipulate,要求以…为条件,背信弃义,邀请,实践
remnant,残余物,自由,学),开始
neurotic,神经病患者,签,划分地带,宁静
urbane,温文尔雅,粗暴,识相,爱面子
butterfly,蝴蝶,熊蜂,黄蜂,火龙
motivate,激励,妨碍,堵塞,加以
alphabet,字母表,程度,饲养员,停车处
forfeit,丧失物,大概,和谐,下降
adhere,坚持,估计,臆测,认为
dissertation,论文,本草纲目,社论,碑记
eventually,终于,重新,一定,动不动
finicky,苛求,要求,出乎预料,回忆
malpractice,失态,不羁,严峻,不修边幅
sink,降低,日落,高涨,猛跌
recycle,再制造利用(废物等),军舰,题词,(天)亮起来
elite,精英,门外汉,大师,百事通
explore,勘探,勘察,探测,检测
considerable,相当(大、多)的,长久,体会,最重要的东西
bespectacled,带眼镜的,可是,事情,还
impetuous,冲动,余悸,联想,退避
opt,选择,收集,采样,采光
membrane,薄膜,血液,瓣膜,碧血
procedure,过程,不信任案,病程,本末
unthinkable,不可想象,出身,友好,(使)冲
buzz,嗡嗡声,语态,代…致意,露出笑容
dairy,乳制品,茅台酒,药丸,药品
opportunity,机会,时刻,为时,与此同时
cape,披肩,罩衫,长袍,斗篷
emerge,(问题)冒出,歧视,书,让
clinical,门诊,解剖,手术,针灸
snout,鼻部,燃料,在前面(头),躯干
maintenance,维持,沉浸,共处,保温
item,(新闻等的)一则,大约,作者,行车道
resemble,类似,似乎,相似,一般来说
goal,目标,受事,病因,主页
influential,有影响的,统治,错误,外面
segment,分割,平均,人均,三合一
hence,今后,上星期,日前,不日
uneven,不平,计算,紧张,清爽
significant,重要,次要,无价,不痛不痒
participant,参加者,同伴,一行,比邻
flame,火焰,漩涡,焰火,微波
cash,现金,获益,盈亏,款项
choral,合唱队的,重要性,第一名,聚精会神
choir,唱诗班的席位,交际,扬声器,(对生物的)伤害
reinforce,增援,慰藉,资助,慰问
trick,欺骗,骗取,迷惑,欺瞒
nucleus,(原子)核,促进,非白种人,较次
moustache,(嘴唇上面的)胡子,果酱,逃掉,荒谬
socket,窝,柄,翅膀,扳手
strategy,战略,策略,毒计,巧计
slaughter,屠杀,谋杀,暗杀,杀人
hit,击中,抢先,落,殿后
detach,派遣(军队),再见,认识到,顶点
fame,名誉,影响,名望,威望
morality,道德,兽性,美德,质地
hold-all,手提箱,烟灰缸,箱子,风箱
propaganda,宣传,召集,责成,召回
brainstorm,(短暂的突发性)精神错乱,他,拒绝,信仰
launch,发射,补考,上学,进修
communicate,传达,告诉,披露,禀告
emit,散发,出现,层出不穷,产生
hydraulic,水力,一臂之力,抵抗力,耐力
scenery,风景,装饰,蜃景,中国式
gale,狂风,冰山,冰晶,冰雹
infection,影响,无关,震动,有关
commentate,评论,点名,督促,评估
denote,指示,法令,小结,结论
wither,枯萎,成熟,吐穗,开放
guild,(中纪世的)行会,侯爵,咳嗽,字母
part,分,电子信函,弱的,整理
flask,瓶,除去..污垢,政府,价钱
biography,传记,神话,笔谈,小说
clarity,清楚,查出,洞察,忘记
vein,纹理,煤灰,皱纹,斑纹
dawn,开始,开车,开学,动工
metallurgy,冶金学,着手,格言,回程
mutual,共同,只好,无意识,就是
designate,标明,预兆,体现,显得
tolerate,宽恕,放心,关注,顾虑
brood,沉思,熟思,感激,联想
hospitality,好客,不耐烦,谦和,爱面子
screw,螺旋桨,冰橇,桨,龙头
redistribute,重新分配,然后,夏天,滑倒
proceeding,[,问,令人疲累的(修饰事物),钢笔
interplanetary,太阳系内,塑料(制)的,嗅(探)出,患病
fountain,喷泉,矿泉,遗迹,瀑布
topple,倾覆,更新,毒化,减弱
obedient,服从的,起,细看,以…自豪
agony,(极度的)痛苦,资料,凶残的人,新来
highlight,强调,指出,说明,报警
deduce,推论,公认,估计,臆测
crumble,碎裂,久违,分开,聚集
jerk,猛地一拉,迅速,婚姻,报纸
indifferent,平常,艰巨,第一流,初级
semblance,外貌,幻影,场面,病容
spectacle,(引人注目的)景象,击,严谨,贮藏
stationary,固定,无情,定型,勉强
prophet,预言家,改革者,劳动者,无产阶级
rheumatic,患风湿症,毁坏,计划,缺席的时间
infringe,违反,触犯,歌唱,违宪
conceive,构想出(主意,公认,酝酿,觉得
marital,婚姻,新闻,遗恨,轶事
husky,声音沙哑,空气,登广告,全体法官
contest,竞争,责骂,雄辩,咒骂
defy,蔑视,放心,不置可否,歧视
predisposition,倾向,自信,拥戴,疑心
alongside,在旁边,有差异的,军,(温度计等)零度
ditch,在…上开沟,挤入,完满,接替
ornament,装饰,放置,酿造,克隆
spotlight,聚光灯,凹面镜,凹透镜,镜子
faint,微小,根深蒂固,伟大,弱小
blank,空白,寸草不生,肥沃,旺盛
tract,广阔的地面,亚特兰大,新罕布什尔,汤加
inspection,检查,遴选,大选,表彰
factual,事实,端详,境况,势在必行
breed,饲养,培养,钓鱼,放牧
eddy,漩涡,微波,波澜,浪花
secondary,第二期的,空中加油飞机,待遇,严肃
synopsis,摘要,速记,手写,笔录
void,无效,白搭,便当,不明
demolition,破坏,撕毁,打破,爆裂
responsive,敏感,愚笨,灵活,迟钝
trunk,树干,茎,亚麻,藤蔓
stress,压力,笔力,万有引力,重力
shed,(散)发出,实用,照料,满足
uniform,一致,归属,附属,不谋而合
persist,坚持,臆测,存心,发现
due,应得,得出,回避,夺取
stuff,原料,卫生设备,香料,燃料
reckless,粗心大意,持久,仔细,怠惰
dump,垃圾场,磁场,殡仪馆,股市
calamity,灾害,幸福,不幸,桃花运
nibble,一点点地咬,不幸,滥杀,新闻纸
bust,使爆裂,收复,攻克,班师
mall,购物中心(或商场),奖金,(乐器、钟等奏出的)谐和的乐声,令人不快
navigation,航海,巡弋,行驶,对开
minute,一会儿,冰冷,半天,临时
pinnacle,尖塔,亭子,葡萄园,主席台
shallow,浅的,把…装箱,聊天,充足
visualize,使看得见,感恩,设法,绞尽脑汁
reef,礁石,碎石,页岩,白云石
indulge,纵容,包庇,欺瞒,放任
infinite,无限,最少,尽量,百般
terror,恐怖,退避,吃不服,安土重迁
deuterium,氘,热气,二氧化碳,氧气
traction,拖拉,半路出家,不辞辛苦,认真
explicit,坦率,苛刻,转弯,缓和
downtown,往或在城镇中心区/闹市区(的),谷物,住房,咖啡色
smuggle,走私,迟暮,晴天,诱拐
treble,最高音部,跟踪,全体法官,道歉
outset,开端,开学,动手,动工
vicious,危险,安适,大喜,治安
comprehensive,广泛,狭窄,详细,鞭辟入里
severe,严厉,慷慨,红色,大方
laborious,费力,最佳,轻而易举,艰巨
bug,虫子,鲍鱼,甲虫,蟋蟀
astrology,占星学,收成,摇摆,射线
dizzy,头昏眼花,晕船,不省人事,窒息
revolt,反抗,防御,抵抗力,保卫
charge,罪名,徒刑,叛国罪,死刑
scrape,刮,流传广的,轰隆声,性情温存的人
buckle,皮带扣环,奖杯,关心,娱乐活动
wedge,楔入,充分,碗,溺爱
acquaint,使熟悉,往外去的,目前,事态发展
amplify,增大,助长,干,增加
compatible,兼容,顺应,不切实际,对称
equilibrium,平衡,多余,现存,足够
trifle,无价值的东西,影子,扔掉,被
tender,嫩的,板结,僵硬,确实
studious,努力,无人,任意,不够
region,地区,灾区,工地,白区
