#word,meaning,option1,option2,option3
contact,熟人,教友,盟友,对头
sorry,内疚,紧张,不好意思,从容不迫
face,朝,十,报告,弱的
argument,理由,目的,把柄,古典
political,国家,全国,国际,第三世界
show,陈列,张灯结彩,开列,摆设
everybody,每人,分子,劳动力,人们
nice,好看,迫不得已,入迷,逼上梁山
thick,傻瓜,半吊子,废物,笨蛋
above,在顶部,总是,饥饿,贱卖
gentle,温和,真挚,忠于,伪善
job,工作,上班,避重就轻,同事
scattered,散射,反射,闪耀,照亮
horse,马,优秀,毁灭,联系
east,东方,西部,北部,空间
reign,统治,独霸,南面,罢工
kiss,轻拂,飞行器,奴役,工资
food,食物,烟火,草料,素食
paint,涂漆,恶心,紧密,格言
difficult,困难,贫穷,鞭笞,丰衣足食
knowledge,熟悉,知悉,忘记,明亮
list,听,箱子,铁饭碗,簋
miserable,贫困,困难,嗷嗷待哺,富有
sit,骑,套,作用,分裂
ocean,海洋,釜山,东海,黄山
picture,映出,惊涛骇浪,衍射,照亮
thorough,彻底,纯粹,通通,半半拉拉
attention,注意,关心,小心,衡量
police,管理,经管,接管,经营
ever,总是,随时,动不动,往往
sufficient,足够,抽出,平衡,剩余
domestic,家的,宾语,途径,出声
purpose,目的,辫子,逻辑,古典
sick,使厌恶,气氛,告诉,漏出量
surround,围住,断后,侦探,扰乱
spend,花,大量,启航,［
measure,尺寸,比例尺,厚度,高度
three,三,七,五,八
real,逼真,理想,高明,渺茫
reasonable,公平,民主,大公无私,清廉
sort,拣出,契约,油炸马铃薯片,过去
design,谋划,计划,阴谋,打算
edition,版本,副本,样本,新书
situation,位置,前程,议员,身分
cup,杯,(复)土著居民,受伤,有价值的
pity,同情,饶恕,原谅,克服
favor,喜爱,爱国,恋爱,不解
firm,坚固,薄弱,深刻,光辉
slavery,奴隶制,制度,包干制,百分制
call,号声,女高音,笑声,雷声
aware,懂事,退避,安土重迁,余悸
friend,朋友,新娘,中介,男朋友
us,美国,发展中国家,发达国家,祖国
loose,宽松,白色,红色,鄙吝
collection,募捐,提交,捐献,转送
this,后者,猿人,祖先,前辈
thousand,第一千,播种,正),电极
connection,连接,动不动,一直,天天
stage,展现,包藏,含水,突显
fail,交割失信,海滩,招致(非难,体系
kill,杀死,毒杀,谋杀,杀害
mistake,误认,心灵,蜿蜒,设
until,向,微笑,愉快,八十
career,使奔驰,常常,不相信,个别
chamber,私人,陌生人,同伴,敌手
tree,木制用具,爱好,竞走,非常
answer,反应,速效,声价,名望
who,他,迎接,知道,侍候
mysterious,神秘,好奇,不知所云,顶事
understand,得知,洞察,明白,精通
hers,她的,使突然陷入,刚强,生客
voyage,航海,航行,宇航,巡航
you,你,老兄,同志,陛下
fond,喜爱,不解,理会,爱恋
creature,生物,植物,电子,离子
neck,颈肉,无数,完全,丘陵(地带)
across,穿过...,最多,下划线,痊愈
lovely,漂亮,百读不厌,高明,渺茫
soil,国土,封地,基地,半壁江山
frighten,使惊恐,许可证,仍然是,油漆业
hold,拿,向下,边,无价
birth,生,清洁,乐章结尾部,人类(单数
home,家庭,大家,吐蕃,白族
easily,无疑,逼真,捕风捉影,仿真
quality,品德,兽性,虐,品质
break,破坏,崩裂,分裂,断头
age,变陈,使下决心,记录,捕捉
doctor,修改,修饰,编选,编写
regard,敬爱,引咎,抱屈,令人钦佩
mystery,奥秘,隐晦,百思不解,流利
belong,合适,便利,手提,不当
priest,司铎,起风暴,飘动,农耕
coat,上衣,旗袍,背心,寿衣
on,在...里,而,各个,根据
ball,舞会,国会,电话会议,集会
yourself,你自己,拥有,认为,泄漏
grief,不幸,好运,避坑落井,发迹
conclusion,结尾,结果,往事,历史
justice,公正,不可理喻,大公无私,开展
many,许多,千万,四方,芸芸
key,钉防,苍蝇,幸运,欺骗
calm,安静,彷徨,落实,恐慌
fell,缝,惊动,利用,信徒
group,形成组,不可能的,建筑工人,赠送
look,看,少数派,全部,交叉
grey,成为灰色,时态,坚定,巨大
gay,很,描绘,一种食品(用肉和蔬菜作馅,岛
exact,精密,雌,粗糙,简朴
modern,近代,古代,公元前,同时代
object,反对,容忍,抑制,支持
thence,所以,尽管,由此可见,于是
touch,触摸,刺,穿透,散步
cast,撒网,钓鱼,捕鱼,放牧
beast,畜生,槟子,野兽,秕子
valley,流域,上流,内地,角落
direction,指示,字帖,总结,命令
wear,穿,对面(立)的,契约,(大学)四年级学生
before,不愿...,精神上,刹车,向下
gain,获得,应得,幸免,防水
jack,提高,加重,弱化,软化
household,一家人,给予,视力,言语
honest,真诚,温和,转弯,忠实
share,分开,握别,团圆,不辞而别
write,记述,描述,记载,声称
evident,明显,隐约,暗地里,秘密
suppose,猜想,预测,估计,巴不得
black,黑暗,腐败,美好,有名
