#word,meaning,option1,option2,option3
intoxicate,使喝醉,安全场所,有求知欲,钟
procedure,常规,可笑,滑稽,单调
embellish,美化,解答,自夸,对质
joker,百搭,男主角,不利,建设
clinical,临床,素描,速写,雕塑
snout,口吻状物,前线,写入,辞典
mammon,物质财富,雇用,显示出...与...联系,善
segment,细胞分裂,我的,入学,(十三至十九岁的)青少年
cash,把...兑现,硫磺,解决(问题、困难等),国民的义务(身份)
convivial,酒宴,分会,晚宴,运动会
dolt,笨蛋,宝贝,呆子,半瓶醋
gripe,肠绞痛,减少,时常发生,珊瑚红的
enigmatic,谜的,(人口的)聚居,清洁,闲谈
mote,疵点,优点,补益,弊端
lustful,好色,尊重,卑鄙,无聊
croquet,贴击,更改方向,定期,运气
twitch,抽动,麻木,瘫痪,窒息
emit,发出,散发,层出不穷,出现
hydraulic,水压,纤度,亮度,强度
wither,干枯,新鲜,炽热,凉爽
lading,船货,使清楚,消瘦,他本人
frontal,前面,中央,左边,零下
clarity,清澈,背阴,黑暗,幽暗
vein,静脉,动脉,动脉弓,韧带
dawn,破晓,迟暮,诱拐,囤积
brood,想,礼貌,天空,休息
marksman,射手,种子,大中学生,投手
unlawful,不法,不露声色,明白,隐约
topple,倒塌,落下,堕入,破坏
concussion,猛击,滚动,润滑,不期而遇
deduce,演绎,统计,著作,布局
baton,短棍,接见,环绕,问候
drizzle,洒湿,以前,腿部,内服药
infringe,侵犯,剥蚀,破坏,播弄
departure,开始,动工,着手,动身
marital,婚姻,新闻,当务之急,遗恨
hurrah,好,正方形的,逗留,在所有权等方面属于
churlish,吝啬,大气,慷慨,红色
etch,蚀刻,确诊,看病,白描
seduction,教唆,开心,逼迫,恐吓
synopsis,缩写式,实现,向…行贿,许多
sop,吸干,郊游,使高兴,家伙
banjo,铲子,凿子,刀口,刨子
crochet,钩针编织,位于,打猎,唾液
swindle,诈骗,讹诈,走私,诱拐
boa,蟒,出席,使沉默,使固定
outwit,智胜,剔去,(自然)科学家,向…行贿
putty,用油灰填塞,产生,介意,得到
dump,倾卸,冲锋,通知,诚实
nibble,啃,调味汁,有名,高兴
bust,爆裂,挺立,断头,分裂
portrayal,描绘,表态,发挥,记载
banns,结婚公告,一致,校长,哎呀
guano,鸟粪,讨厌,增加,同事
traction,牵引,扛,爱抚,写
mince,切碎,联系,奇怪,船身
downtown,较低地区,产物,地方,红的
smuggle,走私,晴天,投机,迟暮
pander,作淫媒,镭,私人,块
gird,嘲笑,丑化,笔战,称赞
foal,产,伤口,尖,价值
rocket,芝麻菜,大气压,第三十个,楼梯的一段
flagstaff,旗杆,微软,岸标,旗子
roulette,给...滚压骑缝线,埋葬,改革,漂流物
overshadow,给...遮暗,抚养者,当时,可靠
combat,战斗,背城借一,挑战,动员
label,标签,药方,条子,宣言
floral,福罗拉的,聚精会神,履行者,筑墙围住
modicum,少量,丰富多彩,微不足道,缤纷
bawl,号哭,哭泣,害羞,暗笑
ditty,小曲,插曲,催眠曲,舞剧
makeshift,权宜之计,手腕,阴谋,暗箭
wetting,润湿,破旧,潮湿,新型
thong,皮带,汇报,公报,便笺
giraffe,鹿豹座,激励,极小,知道
bated,变弱,强有力地,夜,坚强
outlaw,将...放逐,亲戚,意识,成分
scrawl,涂掉,感情,十二级风,预告
rotund,圆形,正方形,长方形,小型
heron,鹭,法令,射门,检验
nipple,螺纹接套,不过,编制程序,制法
fang,牙齿,板牙,声带,口头
holler,号子,插曲,催眠曲,伴唱
scurry,阵雪,实际,行李,四分之一
nullify,使无价值,只是,无论什么情况下(在哪里、到什么地方),部门等的)领导人
idealist,唯心主义者,巫婆,半劳动力,预言家
retaliate,报复,蛊惑,腐蚀,报仇
infect,传染,免疫,轰动,感动
taboo,忌讳,躲开,应得,收获
cube,量...的体积,外套,利用,使失明
saturnine,挖苦,取笑,非议,丑化
rant,咆哮,叮当,发亮,散射
sediment,使沉积,真正,通常,平方
garbage,垃圾,矿产,财宝,废气
diagonal,对角线的,成就,破布,或者(表示选择)
quandary,困惑不定的境地,部队,例如,最喜爱的
ideal,理想,逼肖,百读不厌,高明
waylay,拦截,触怒,搅扰,困扰
woodcut,木刻,调色,治病,确诊
proficient,熟练,半路出家,不辞辛苦,用功
trainer,教员,律师,夫子,陪审团
baize,台面呢,［,美丽的事物,敲
effusive,喷发,溢出,遍及,淹没
landlocked,陆围,发式,修水利,虫
abdicate,退出,退役,摆脱,进入
deciduous,脱落,倒塌,打破,掉落
demolish,拆毁,糊,戴,解开
bookish,迂腐,白色,独断专行,开展
hub,中心,着重,便宜,无价
absolutism,绝对性,全国性,边缘,盖然性
spree,狂饮作乐,传真传输,欺骗,天哪
telegraphy,电报学,票,约请,兽皮
codicil,附录,节目,目录,内容
evasive,逃避,顾忌,防水,得出
mediate,居间,挨次,交互,陆续
breech,臀部,腰部,腹部,膀臂
speciality,特点,弊病,上下,利害
generate,产生,衍生,突发,层出不穷
perceptive,感知,隐私,存心,心目
mural,壁画,图标,漫画,题花
disc,磁盘,硬盘,文具,工具
epileptic,癫痫患者,不论以何种方式,分币,著作
secede,退出,进入,解脱,退役
unsociable,不合群的,立方形的,纯理论的,(使)通风
cognac,白兰地,鸡尾酒,甜酒,中药
compendium,概要,大纲,骨头,文章
stellar,星的,每周,握手,离开
orgy,狂欢会,心烦,结束,穿针线等
usurp,侵犯,朋比为奸,帮倒忙,麻醉
clam,蛤,(跑道的)一圈,你亲自,伙伴
venial,可饶恕的,唤起,压榨,说明
placard,小牌,觉得,升,有教养的
abandon,狂放,(拳击中的)空勾拳,果敢,搭档
tarnish,瑕疵,好处,优点,防御性
bolt,螺栓,钟摆,锻件,辐条
trousseau,嫁妆,破烂,财宝,红宝石
coconut,椰子,梨子,菠萝,苹果
fend,抵挡,抵抗力,不可抗力,保卫
comma,逗号,文字,卜辞,数字
legitimate,合法,公开,有效,非官方
amass,聚集,分开,成群结队,背井离乡
monotone,单调,特别,尴尬,神奇
cramp,把...关住,粗暴,未赶上,第一
flake,削,冷清,保养,挽回
mow,干草堆,实际,惊吓,放债者
spoor,足迹,气候,预兆,行踪
tights,紧身衣,制服,睡衣,旗袍
commitment,托付,授权,拜托,捐赠
gene,基因,标题,八卦,牌子
homespun,土布,料子,零头,布帛
peroration,演讲,阐述,摆龙门阵,叙述
envelop,包住,旅游者,铃(声),安装
textile,纺织品,容器,矿产,名产
tornado,旋风,顶风,暴风骤雨,阵风
fake,骗子,浪子,兵痞,征服者
egress,外出,跟进,溜走,跟随
violinist,小提琴手,指挥,摄影,效果
tack,东西,主页,受事,对象
secrete,分泌,宁静,截面,伤口
innocuous,无害,防止,消防,侵害
fidget,摆弄,开心,诱惑,玩儿
admonish,力劝,部,具有,(美)西部居民
equatorial,赤道仪,诗,祖国,你们的
casino,小别墅,渴望,每个,竞争者
exalt,提升,出名,丢人,折磨
emporium,大百货店,为了,房间等),奴隶制度
saliva,涎,食物,保护,获悉
fiat,决断,规定,定规,确认
torrid,热情,冰冷,索然,粗野
flaccid,萎蔫,微笑,跛足,发芽
charlatan,庸医,护士,姥姥,翻译
adolescent,青少年的,渴望,粗鲁,卑鄙
blindfold,鲁莽,郑重,安稳,负责
pagoda,塔式寺庙,秒,高层,列车员
smithy,铁匠铺,最大量,喷射,温和
lather,泡沫,滤液,浪花,微波
noontide,最高点,机场,投票站,空白点
spellbound,入迷,专心,安土重迁,尴尬
bygone,过去,生存,崩,授命
leaky,漏的,(就)是,像太阳的,命运
textbook,教科书,兵书,字帖,经典
windpipe,气管,心脏,感官,肫
flue,唇管,见解,近的(地),生命
studio,画室,暗间儿,衣帽间,车厢
informer,通知者,吃东西,写作,感受
insular,岛民,(用车)推,柱,地球仪
theorist,理论家,工程师,技术员,药剂师
skeptical,怀疑,妒忌,确信,自信
verbatim,一字不差,然而,黑板擦,演奏会
blackmail,敲诈,剥削,剽窃,囤积
locust,蝉,里面,触到,不存在
diphtheria,白喉,肺炎,肝炎,暗疾
epilogue,结尾部分,型式,赞同,放债者
coast,绕...而行,变得苍白,辐射能,奶酪
useful,有用,暗暗,隐约,义务
eyelid,睑,数(目),到达,保卫
sophist,诡辩者,同时代的人,学科,根本
slur,被蹭污,倾斜,精神,喊
filament,长丝,布线,毛线,线
phonograph,留声机,电视,定滑轮,收音机
subjugate,征服,失败,覆没,陷落
chlorine,氯,八(个,音信,谈到
grime,污垢,调频,灰尘,皱纹
aircraft,飞机,方舟,班机,飞船
pest,有害生物,十一,某(人或物),难以置信
jaguar,美洲豹,豹子,熊,海豹
bounteous,慷慨,大量,不在乎,小气
adduce,引证,简介,标明,参考
mumble,咕哝,赘述,言语,通信
illegal,不合法的,赠品,位于,秋
wishful,渴望,向往,出乎预料,愿意
pitfall,陷阱,不二法门,长征,道路
hygienic,卫生,污染,混杂,幸福
lascivious,好色,百无聊赖,妖冶,不三不四
transcript,抄本,样本,原本,中文版
invert,倒转,也,自然,这样
nugget,小块,打扰,末端,变强
prosperous,茂盛,荒芜,肥沃,多数
militarism,尚武精神,课堂,婶母,欢乐
compute,计算,度量衡,运算,笔算
shifty,机智,机械,卑怯,笨口拙舌
campfire,营火,火,涟漪,微波
weir,鱼梁,竞争对手,神父,中心
consensus,一致,同时,归属,同龄
sucker,吸血鬼,不倒翁,财东,乞丐
sadden,悲伤,悲喜交集,凄惨,大快人心
twang,弹拨,长的,正午,跟随
dulcet,悦耳,高昂,尖锐,细嫩
kidnap,诱拐,讹诈,压迫,投机
washstand,盥洗盆,判断,吵闹,摘要
ratify,正式批准,按照...执行,帮(援)助,叙述
injection,注射,补液,配药,扎针
dutiful,职责,民权,表决权,沉重
pickpocket,扒手,骗子,黑客,兵痞
quinine,奎宁,位于…的边缘,凝视,淹没
bulge,塞满,洗,再,介意
aggressor,侵略者,瘪三,骗子,黑客
dorsal,背部,马背,乳头,怀抱
twaddle,讲蠢话,人称,废墟,工商行名录
sully,污点,纪念奖,耻辱,收获
constrain,强迫,勉强,摆弄,诱惑
discursive,散漫,俨然,百折不挠,坚忍不拔
bedlam,疯人院的,野生生物,东道主,费劲
mail,邮件,畏缩,影子,用栅栏…围起来
cocoon,茧状物,宁愿,挖苦,农业
jaundice,使妒忌,抢劫,密切注意,发言者
concurrent,合作,面临,摸索,抱佛脚
sluggard,懒怠的人,成就,第十一(个),行
disrepute,丧失名誉,一段,外孙女,说话
herbaceous,似绿叶的,女士(对妇女的尊称),可能,希望
phlegm,痰,激素,白血球,胆汁
harpoon,用鱼叉叉,指示,东方,贪吃
operative,有效,含糊,白白,不行
gram,克,丰富,临终,并且
underwear,衬衣,背心,上衣,棉袄
truss,扎,工作,所有权,风趣
cornet,音栓,用梳子梳,自然(界),推测
equinox,昼夜平分二分时刻,简直不,触,被雾笼罩
vanquish,征服,败北,陷落,覆没
stump,树墩,蕻,亚麻,藤蔓
inhale,吸入,喝,咀嚼,吞食
ravish,陶醉,败子回头,习以为常,懂事
tenable,能防守的,脑,海鸥,结论
umbrage,生气,暴跳如雷,迁怒,赌气
tanker,罐车,班车,汽车,公共汽车
lotion,濯身,爱尔兰岛,项圈,重复
erosion,糜烂,速冻,变质,冰冻
collegiate,大学,高中,学院,中学
espy,看出,东张西望,皱眉头,端详
magnate,要人,哥伦布,郭沫若,李时珍
trinket,秘密策划,缓慢,小圆点,把…搬上舞台
recant,撤回,远离,回家,走开
untie,解开,拆散,松开,绕
trimming,责骂,骂,竞争,争吵
libretto,剧本,短篇小说,小说,神话
pant,气喘,伪装,昂昂,懒洋洋
gratuity,小费,费用,运费,营业额
woodpecker,啄木鸟,伯劳,八哥儿,乌鸦
witticism,妙语,原谅,(一)大批,珊瑚
subside,平静,决心,对得起,迫切
goblin,小妖精,销售,更远,盼望
delinquent,失职,补偏救弊,出没,歪曲
outdoors,户外,海外,室内,对外
whack,重击,判断,被云层遮蔽,把手
annul,废除,断送,舍弃,弃权
merge,结合,互通,并联,鼎立
disown,否认...是自己的,律师,爆炸,对手
pied,杂色,本职,外来,课余
niggard,小气的人,广播（电台节目）,持续,强有力地
overseas,海外,战区,边远,内地
focus,聚焦,成群结队,不欢而散,分散
blubber,哭诉,提出,提到,谈到
groundwork,垫上运动,斗智,胜利,酬酢
waft,一阵,吨公里,海里,公尺
pincers,钳子,花边,珊瑚,手镯
paralyze,使无效,深思,爬,神职
ambrosia,仙果,使受伤,医院,有力
upholster,装潢,放置,制作,酿造
dugout,独木舟,巨轮,汽船,驳船
locksmith,锁匠,间谍,给,赌博
bogus,假的,启航,令人感动,(水果的)核、子
morphine,吗啡,毒饵,有毒,烟草
fondle,爱抚,拍击,拍打,写
digital,手指,手肘,手腕,拳头
certify,担保,约莫,不再,不虞
disconcert,挫败,成功,关闭,不力
lymph,浆,折磨,安装,周末假期
pedant,男教师,关系,环绕,前线
protocol,草案,公报,申请书,备忘录
rectify,精馏,账单,接等,规划
corolla,花冠,顶芽,花瓣,雌花
malign,诽谤,狡辩,讥诮,辩解
stingy,吝啬,反革命,严格,先进
slut,女郎,先生,少女,小姐
squint,斜视,面对面,白眼,展望
abortion,堕胎,接生,配药,跑龙套
wrangle,争得,得分,夺得,应得
swivel,使旋转,赦免,酗酒者,(表示间接关系)给
silhouette,轮廓,市场,巨流,场面
drone,懒散地度,悲哀,磁极,除
locker,锁柜,上午,整齐,着手
lexicon,词典,新书,参考书,小册子
gage,梅子,柄,栽子,顶芽
fortuitous,幸运,不祥,不劳而获,暴发
breakwater,防波堤,陷阱,蜂巢,渠道
filter,去尘器,极好,收集的东西,五十
analytical,分析,引证,字斟句酌,定量分析
cower,蜷缩,拓展,陨落,收缩
ravage,大破坏,滴落,关闭,天井
cooperate,合作,尝试,大显身手,抱佛脚
stationery,信笺信封,线索,抽取,无可非议
evoke,使再现,一昼夜,首要,平静
storey,楼层,房子,豆饼,畜肥
quire,一刀,大量,点缀,一百个
handicap,妨碍,范围,施加,拔苗助长
delta,四等,同性恋的,脚,停留
boxer,斗拳狗,每,有求知欲,表
underrate,对...估计过低,脱掉,高地,深切
scorch,灼伤,垂死,鼻青脸肿,扭
igneous,火成,贫困,部长,配备
function,功能,证验,副作用,用处
adamant,坚硬,松弛,严密,酥
poniard,短剑,盾牌,长矛,标枪
lancet,桃尖拱,突发,上升,割
memento,纪念物,摆设,植物,奖品
playwright,剧作家,创造者,工程师,药剂师
grovel,匍匐,准备,］范围,工资
shoemaker,制鞋工人,印记,阻止,少数
estuary,港湾,中转站,车站,变电站
watchword,暗语,标语,梦话,脏话
outdo,战胜,消灭,打消,灭绝
mink,水貂毛皮,告诫,处理,钱包
tusk,尖物,独自,它本身,回头见
expatiate,漫游,猜谜儿,打牌,戏耍
percussion,敲击,不名一文,方便,捣碎
duck,忽地低下,人类,鼓励,或
cameo,多彩浮雕,(常用复数)面条,鞭子,状态
shuttle,穿梭般来回移动,受痛苦,型,读书
rook,骗取...的钱,开采,事务,奶油色
teens,十三至十九数字,发出臭气,侧面,讥笑
belittle,轻视,顾及,歧视,不了了之
reinstate,使恢复原职,应支付的,贵重物品,完结部
deride,嘲笑,讥诮,丑化,笔战
quagmire,沼泽地,沙漠,南沙,亚洲
complete,使完美,凄惨,腐朽,操练
objective,目的,定律,理由,古典
displace,取代...的位置,褪去,物质,一串(珠宝)
tot,合计,将就,谈判,让开
mangrove,红树,灌木,乔木,斑竹
sprout,后裔,大娘,伯父,密友
autocracy,独裁统治,向前,劳动,以匙舀取
absentee,不在的,锥状物,办公室,吸烟室
booby,笨蛋,白痴,半吊子,废物
main,完全,一半,有些,根本
pulley,滑轮,刨刀,齿轮,皮带
shatter,削弱,缓和,好转,改进
economize,节省,抽出,足够,浪费
troupe,一伙,一起,陌生人,邻居
enliven,使有生气,申请书,全体划船队员,不稳
reek,沾上,机会,相反,密切结合
squeal,火腿,腊,猪肉,素菜
puma,美洲狮,未击中,看出,向前
sextant,六分周,给..导游,危险事物,简化
ulcer,腐烂物,完全,削,向…报告
assay,试样,平衡,动态,变态
initiate,开始,着手,开学,动工
paraphrase,释义,说明,注解,参考
bluster,狂吹,像太阳的,发光,进来
encircle,绕行,相隔,传输,包围
agrarian,平均地权论者,晚上,支柱,经常
credit,信誉,反射,盛名,名望
serenade,唱小夜曲,平静,推断,储备
lingo,特征语,实际,两者之一,(铁路上的)敞篷货车
absent,不在场的,使烦恼,付现金,青年们
shambles,屠宰场,大农场,市场,飞机场
aluminium,铝,白铜,黄铜,白银
inning,挨次轮换,导演,看法,兜售
magpie,鹊,管理人员,小岛而言),攻击
armature,电枢,高地,成分,重点
idiomatic,有许多习语的,东部,学会,支撑物
adherent,贴生,计划,拿来,最好
precursor,先驱,孙女,猿人,鼻祖
coffer,箱子,手提箱,烟灰缸,听
nauseous,使人厌恶,日报,(外、阀)壳,向上
retrograde,向后,警察,炫耀,船员
eastward,向东,联系,乡间,开明
espionage,间谍行为,传真件,提述,值得花时间(或精力)的
esoteric,秘传,笔谈,记录,编年史
vim,力量,移植,推动力,核技术
bay,坝,塞满,谈话,候车室
insomnia,失眠,冬眠,口渴,嗷嗷待哺
palliate,减轻,衰减,攀升,提高
gunshot,枪弹,弹药,扳机,飞弹
falsify,歪曲,本末倒置,画蛇添足,搅乱
caretaker,管理员,克林顿,杜鲁门,首相
vacate,撤销,豁免,定名,创立
lasso,拉拢,放任,庇荫,趋奉
surfeit,恶心,好感,灵感,好奇心
accountant,会计人员,上演,因此,锋利
excitation,刺激,拔苗助长,妨碍,寄予
stun,打昏,大王,帝国,习惯
tripod,三脚架,盖子,边框,柄
portend,表明,可见,体现,意味着
exasperate,激怒,顶撞,麻烦,骗取
brothel,妓院,课堂,巢穴,这里
dragoon,镇压,赦免,犯罪,斩首
irascible,发怒,阴郁,赌气,迁怒
solstice,至点,给…注明日期,步行,容忍
touchy,棘手,神秘,艰巨,不费吹灰之力
beaker,大口酒怀,习惯于…,水准,快
outlive,比...活得长,学说,正确,拥挤
acme,最高点,网站,飞机场,厂址
skate,溜冰,将军,蛙泳,滑雪
manipulate,操作,常用,合同,用法
climatic,气候,行踪,收获,预兆
saunter,闲逛,探险,兜风,打赌
acclaim,欢呼,狂吠,呼喊,吹口哨
pedal,脚蹬,精髓,使相信,迷
tepid,不热烈的,裁决,友好,开始
asbestos,石棉,豆渣,它们,矿产
trump,王牌,手段,把戏,抱负
journeyman,雇佣工,经常,以后,连绵区域
shipment,装运,流放,海运,过载
proffer,提供,抵触,需要,供应
bombastic,夸夸其谈,仗义执言,多嘴,长谈
influenza,流行性感冒,斗眼,翳,疟疾
crouch,低,(狗尾巴等)摆动,车身,瘦的
offal,下水,行驶,巡航,航行
calibre,口径,表语,宾语,状语
derogatory,贬低,背黑锅,失业,提升
gild,给...镀金,废弃,怒目而视,使中圈套
tussle,争执,诽谤,辩白,理论
spurt,喷射流,决心,祈求,节
jiffy,一会儿,整天,冰天雪地,冰凉
clamber,爬,知道,游荡,虎
iniquitous,极不公正,街区(四条街中间的区域),少数,乐意
shin,攀,设置,逃避,歌唱家
asthma,气喘,喘息,懒洋洋,假装
tanner,鞣皮工,期刊,航道,(意见、个性等的)差异
sewage,污水,清汤,汁液,滤液
cancel,取消,免费,解散,豁免
bum,假的,进展,专门业人员,函件
colic,绞病,形状,会堂,型式
crescendo,渐强,空闲,管理部门,最重要的
demagogue,民众领袖,呆笨,增进,不相似的
scraggy,瘦的,私人,掺麻醉药/毒药于(食物、饮料等),树枝
jowl,敲,训斥,病,设计
pair,一双,平局,手铐,开始
stunt,阻止,困扰,纠缠,搅乱
baggy,袋装,包扎,装入,卷曲
glower,怒视,偷看,面对面,俯视
dank,阴湿,新型,崭新,凉快
gaff,斜桁,不满意的,仓促,看守
append,盖,贪婪,修订本(版),感到舒适
sponsor,倡议,呼叫,呼唤,发动
sortie,出击,围攻,冲击,督战
espouse,娶,人手,圆珠笔,环绕
pounce,猛扑,敬礼,鞠躬,冲突
apple,苹果,李子,草莓,樱桃
gnat,蚊子,目录,外套,要求
sentient,意识到的,屈身,黑暗,四十(个
tag,标签,皮带,宣言,便笺
skunk,臭鼬,角色,水灾,硕士
monogram,交织字母,游戏,抹,细看
parlance,说法,企图,表演,壮丽
underworld,地狱,梦境,现状,困境
overload,超载,传输,环绕,混杂
dread,可怕,缺乏,可怜,动人
highlander,高地人,民族,北部,诙谐幽默者
bewilder,使迷路,一千,最坏,和蔼
trenchant,鲜明,笼统,官方,明文
carnation,肉红色的,通知,同班同学,第十九
coerce,强制,引出,逼债,恫吓
curriculum,课程,语言学,动物学,解剖学
forensic,辩论学,外孙子,彻底地,申报(纳税物品)
facetious,好开玩笑,流泪,研究室,小数点
dalliance,闲混,公分,邀请,大楼
foible,小缺点,(常兼汽车修理、销售业务的)加油站,最低,步骤
cram,把...塞进,用管道输送,开拓者,消除
remedial,补救,拼命,从事,变节
nudge,接近,例如,不啻,南辕北辙
begrudge,妒忌,信仰,信服,不服
auditory,听的,制服,分数,开始
felicitous,恰当,方便,不力,义务
buffoon,丑角,主角,歌手,班底
stucco,拉毛粉饰,(使)缓慢地移动,灰蒙蒙的,优胜者
cog,吻合,对称,对头,不切实际
convince,使确信,独立派人士,溪流,向(朝)前
lap,舔,吮吸,呼,吐
install,安顿,私营,调度,调动
canny,节约,浪费,抽出,足够
crumb,少许,不知凡几,应有尽有,多糖
canvass,游说,鼓励,劝说,归咎
hike,长途步行,丢失,移动,大头针
complicate,并发,层出不穷,涌现,显现
capitalism,资本主义,保护主义,党政,爱国
giggle,咯咯地笑,应感谢,具有共同目标的人,梳洗
panacea,治百病的灵药,装备,区域,(美)法式炸薯条
chafe,擦热,吐唾沫(或痰),未赶上,似乎
quiescent,静息,今晚,宣称,简慢
hoover,真空吸尘器,一种大的坚固的木箱,公民权,叫
palette,调色板,粉笔,铅笔,笔帽
plumber,管子工,举动,科,有名
disparity,不同,等于,步调一致,差不多
bun,甜饼,有偏见的,工厂,喊
up,往...的上端,汇报,从事,决定于
scarecrow,稻草人,仙女,矮个儿,巨人
plantain,大蕉,地,钉状物,忠实
burrow,在...掘洞,片刻,市场,型式
cavil,对...挑剔,鹦鹉,使就坐,船上的医生
loiter,闲逛,消遣,兜风,探险
atrocity,凶恶,什么,毒辣,罪恶
tempo,速度,长短,纪念馆,厚度
harlequin,诙谐角色,愉快,(使)下沉,珊瑚红的
engross,正式写成,化合,埋藏,共产主义
jubilation,欢腾,快活,悲喜交集,痛苦
foregone,已往,有生以来,年底,今朝
overtake,追赶,推进,后退,祈祷
wean,使断奶,嵌板,妒忌,医院
akimbo,弯曲着,天地,全部,午餐
audit,查帐,记帐,报销,结帐
fortieth,第四十,情结,完全,安排
postulate,要求,向往,求爱,回忆
widen,变宽,多得不计其数的,热切,一致
hedgehog,刺猬,熊猫,豺,黄鼠狼
synonym,换喻词,健康(状况),根源,规划
dilettante,半吊子,大器晚成,差劲,博闻强记
mill,磨,埋葬,你们,使处于某种状态
megaphone,用喇叭筒讲话,开玩笑地,党,舞曲
dote,溺爱,嫌恶,百听不厌,忠于
gorse,桧,健康(状况),拥挤进(入),折磨
imperil,使陷于危险,牧草,日光,众多
jug,鸣叫,狂吠,尖叫,怒吼
prank,胡闹,伪造,闹事,挑衅
blanch,退缩,推进,渐进,追逐
zephyr,西风,旋风,顶风,东风
borax,硼砂,烂泥,丹砂,水泥
honeycomb,变成蜂巢状,(美国)西部小说/电影,使坚强,钵
python,鬼魂,西方,灵魂,妖物
ocular,眼的,怒目而视,推理,租金
warranty,担保,自然而然,恐怕,不至于
corset,围腰,光盘,知道,拉伤
clearance,清除,横扫,克服,灭绝
dumbfound,使惊呆,提议,到商业区,烧毁
autonomy,自治,办理,代理,治理
tow,拖,方法,点头同意,环境
dally,游荡,消遣,打赌,探险
modulation,调节,调遣,安置,部署
closet,退避处,接见,生存,松鼠
rout,骚乱,安谧,狂乱,本固枝荣
malefactor,罪犯,致敬,省略符号,四
oblation,供物,中..的意,听力,珍贵
dilatory,拖延,实现,期满,迟误
womanish,女子气的,分离,在...上面,增加(进)
ok,批准,签证,禁止,盖章
cartilage,软骨部分,丢失,环绕,法令
redden,变红,对不起,乡下,舆论
adage,谚语,成语,俚语,短语
quadrant,象限仪,可能,钻孔,花(菜)园
selective,选择性的,收获　,尝试,使成为
diverge,离题,建立者,立场,脑髓
rubble,碎石,白云石,石灰石,蛋白石
smear,诽谤,驳斥,笔战,讽刺
migratory,迁移,搬家,渡过,迁都
dioxide,二氧化物,出现,喜剧性事件,讲述(故事)
leakage,渗漏,靠近,阻塞,附着
cajole,骗取,顶撞,兵不厌诈,迷惑
lathe,车床,录音带,磁盘,刨刀
suffocate,扼制,把酒,液压,掐
engrave,雕刻,看病,画像,确诊
scour,擦,严厉,豪华,开阔
rummage,翻找,游戏,(煮饭取暖用之)火炉,学业
incendiary,放火者,周期,方案,工作人员
carp,牢骚,谎话,闲谈,不经之谈
protege,被保护人,脆的,当时,阵雨
goody,老妇人,经历,篇,那
uphill,艰难,毒打,拷打,失调
controller,控制者,毛泽东,江泽民,总裁
norm,标准,天然,现成,课余
noisome,恶臭,斑驳陆离,芳香,甜美
sonata,奏鸣曲,催眠曲,戏剧,京剧
presuppose,预先假定,理由,迟钝,损失
affidavit,宣誓书,空中旅行,拉,节目单
aliment,向...提供食物,白昼,坛,专业
inside,在...里面,汽笛,迅速,高的
consume,吃完,匹敌,尾随,建筑学
diabolic,魔鬼,恶鬼,寿星,鬼魂
intensive,集约,书法,指法,外用
classmate,同班同学,出卖,动物,认识到
smock,给...穿罩衣,多雨,效果,以后
craze,使发狂,在下面,密切,大声叫
abysmal,极坏,到处,看法,强有力地
elope,私奔,溜走,抱头鼠窜,出走
emancipate,解放,打倒,革命,内乱
gander,雄鹅,审讯,很难满足,逃跑
chandelier,枝形吊灯,(动物)象,到...上面,词语
dime,一角钱,农村,戏剧等中的)事件,散漫
crease,使变皱,装满,渡过,给…穿衣
supplant,把...排挤掉,(使)旋转,事迹,旅行
component,组成,切断,鼎立,生效
per,每,宽厚,笑,努力
peck,啄,浓的,思想,隶属
pedagogue,教师,阿姨,师傅,助教
sporadic,分散,成群结队,集中,扩散
slash,叉口,损坏,季节,渠道
evolve,释放,捕捉,审判,传讯
trend,趋向,朝着,什么,哪里
disk,花盘,顶芽,天花,雌花
tick,活动,奔流,对流,潮流
sight,视觉,感情,滋味,感性
liberal,自由主义者,四(个,运动会,一年一度
trespass,冒犯,兵不厌诈,触怒,骗取
gangrene,坏疽,肺炎,暗疾,多发病
gloat,心满意足,轻松,准备,满足
socialist,社会党的,吵闹,紧张,有希望的
leaflet,小叶,红叶,叶子,花瓣
derisive,嘲笑,讥诮,称赞,拍案叫绝
thyroid,甲状软骨,关节,贝壳,指甲
absence,缺席,参加,脱氧,退学
pointer,指示物,整洁,门票收入,野外
pelt,快速,疾驰,半夜三更,迟到
glum,死气沉沉,劳累,喘气,屏息
encumber,妨碍,杜绝,激发,有助于
delineate,描述,演说,论述,详述
palliation,缓和物,出人意料,稀少,易碎
relevant,相关联的,预定应到,宝物,然而
windlass,用绞盘吊起,损害,书橱等的)架子,投(票)
palaver,奉承,驯服,趋奉,包庇
clink,钱,投掷,为...伤心,(旅行用)小提箱
limbo,林波舞,运动会,吸烟室,珊瑚红的
condense,聚集,成群结队,纠集,背井离乡
iteration,重复,不至于,接着,毕竟
accelerate,促进,寄予,加以,杜绝
catarrh,卡他,想知道,响亮,美丽的事物
fumble,乱摸,有地位的,渴望,情愿
probate,遗嘱检验,疾走,触动,鼓声
ignoramus,浑噩无知的人,奇异,珊瑚,全国性的
gnaw,咬,认可,矿石,拖拉机
covert,覆羽,提前,领导,闩
inception,开始,开学,启动,拔锚
emanate,发出,散发,层出不穷,突发
suitcase,小提箱,浓,交往,产生
fluster,慌乱,无法,迫切,抱歉
microwave,微波,涟漪,糖浆,波峰
chatty,聊天式的,加强,推力,傍晚
