#word,meaning,option1,option2,option3
低估,underestimate,assumption,guess a riddle,unexpectedly
牲畜饲养,pasture,astute,posture,nature
服装,garment,ardent,lament,garden
用拱连接,arch,loch,arc,hatch
一家中年龄最小的人,baby,pay,by,jab
边缘,rim,dim,rig,tit
真诚,sincerity,false,honesty,filial piety
撞击,bump,pump,hump,bumpy
惊吓,fright,aright,fraught,flight
播音室,studio,studious,stupid,study
做礼拜,worship,warship,airship,workshop
穴,cavity,rarity,vanity,gravity
恐怖分子,terrorist,terrorism,graphic,summer
堵塞,jam,sap,dam,amp
船舶失事,shipwreck,monstrous,hitch,director
相互作用,interact,interface,intersect,interest
猎物,prey,trek,grey,hey
推测起来,presumably,presumable,perhaps,never 
经验主义,empirical,romanticism,middle school,atheism
作用,action,faction,auction,section
可喜,grateful,graceful,plateful,hateful
洋槐,locust,lousy,focus,robust
被迷住的,captive,native,capture,baptize
炫耀,dazzle,daze,puzzle,sizzle
山口,gap,lap,grasp,way
细丝,filament,figment,firmament,lament
用具包,kit,emit,rot,oil
进口,inlet,fillet,inlay,inset
命题,proposition,subject,problem,Spanish 
月亮,lunar,sugar,lunacy,liner
可靠,responsible,appropriate,using a talented person in an insignificant position,made in one's own country
精力旺盛,vigorous,rigorous,timorous,lacking strength
衰退,decline,recline,incline,destine
战争,warfare,welfare,foot,Japanese army
耶稣,Jesus,less,versus,mess
害人虫,pest,vast,post,net
教,tutor,motor,actor,author
转移,divert,liver,avert,diver
(稻麦等的)穗,ear,tear,par,law
猛烈,fury,furl,vary,funk
忧郁(的),melancholy,mixed feelings of grief and joy,suffering,miserable
留声机,gramophone,fixed pulley,phonograph,telephone equipment
征服者,conqueror,conquer,swindler,a wretched-looking tramp who lives by begging or stealing
启发,enlighten,lighten,to guide,correspondence course
瞬间,instantaneous,temporary,real time,a while
格子,lattice,the Tropic of Cancer,restrict at,destination
成员资格,membership,plague,inadequate,devise
前厅,lobby,bobby,hobby,lobe
柱(面),cylinder,cinder,calender,colander
挠,tickle,tinkle,sickle,tackle
消费者,consumer,conjurer,consume,consider
使堕落,degrade,grade,deride,deprave
酵母,yeast,roast,rest,mast
异常,singular,angular,insular,in spite of
反驳,contradict,contract,dispute,to quibble
长沙发,sofa,soda,some,son
有(法律)责任的,liable,likable,viable,amiable
系带,lace,place,face,lame
诱拐,kidnap,kidney,hoard,fraud
起源,derivation,privation,deviation,dedication
铀,uranium,sphere,announcer,demote
顽固,stubborn,handy,flexibility,highly capable
竖琴,harp,hers,chart,hare
不讲道理,unreasonable,arm,misjudge,orangutang
补偿,compensate,buy one's ticket after the normal time,increase,rise in value
举例,cite,upsurge,case in point,antecedent
悬臂,console,condole,consort,consult
通常,customary,customer,not bad,middle
使与标准比较,standardize,dandle,drawl,blade
与…辩解,excuse,excise,execute,excite
电子学,electronics,engineering,journalism,biology
雄辩,eloquence,eloquent,to quibble,to talk over
戏剧效果,theatre,there,sheathe,jobber
脆的,crisp,arise,clip,crap
劝说,persuasion,persuasive,percussion,drum up support
奴役,slave,lake,live,stave
三角,triangular,stature,shape,polygon
无毛,bald,pale,weld,bold
病人,invalid,valid,Einstein,Confucius
绝种,extinct,extract,extant,extent
预知,foresee,forester,forest,forever
沮丧,dismay,dismal,display,mislay
置换,displacement,switch,to change direction,modified tone
用公式表示,formulate,fortunate,formula,enrol
使显得新鲜,freshen,fresh,yeast,melon
内衣,underwear,gown,clothes,overcoat
集市,bazaar,market,scene ,place
人质,hostage,shortage,voltage,homage
圆满,satisfactorily,garble a statement, etc.,right,tight 
恐慌,panic,pane,pan,pain
和谐,harmonious,minute,troublesome,dynamic equilibrium
胜过,excel,easel,expel,extol
定量,quantitative,index,momentum,balance 
严厉,sharply,democracy,mean,advanced
巡官,inspector,inspection,inspect,silver
养育,foster,poster,porter,poser
鱼雷,torpedo,torpid,tornado,attack by a hidden enemy
空中加油飞机,tanker,tinker,canter,maker
吞食,devour,devote,detour,devout
告诉,impart,depart,impact,mart
冲突,strife,astride,strip,stroke
腐蚀,erosion,version,emotion,evasion
勇敢,courageous,outrageous,courteous,savage
解放,untie,until,undue,unzip
正确,correctly,quote out of context,not  to be taken as authoritative,abstract
气喘,pant,pint,want,halt
啄木鸟,woodpecker,shrike,peacock,woodpecker
冷笑,sneer,spear,sleep,veer
温泉,thermal,raindrop,mineral spring,fountain
感恩节,Thanksgiving,outgo,modulation,moor
地方行政长官,magistrate,antiquity,punishment,nip
重视,recognition,to be at ease,apprehensions,take care of oneself
迷人,charm,chasm,chalk,char
获得学位,commence,comment,commerce,commend
往来,intercourse,discharge,sunrise,to come out
津贴,allowance,alliance,salary,royalty 
战斗,battle,bangle,baffle,bottle
在海外,overseas,overhear,overhead,oversee
解释,version,pension,session,vision
意志薄弱,frail,train,brain,rail
普遍,universally,mix well,symmetry,unlimited
能力,capability,instinct,imagination,nuclear technology
实验法,experimentation,inadequate,desultory,fly
打,thrash,thrush,trash,thresh
共和国,commonwealth,federal,surrounding  countries,realm
相符合,coincide,concede,confide,concise
同等,coordinate,be under the jurisdiction of,be classified as,of the same age
抱怨,grumble,crumbly,crumble,tremble
扳机,trigger,wringer,snigger,tripper
管乐器的声音,blast,yeast,beast,lust
弄乱,mess,messy,pest,Jesus
此后,thereafter,hereafter,within the next few days,not long before
(水等)流掉,drain,braid,brain,ordain
筑巢,nest,test,neap,sect
拍手喝采声,clap,cap,alas,clay
收养,adoption,abortion,adoration,adoptive
纠正,rectify,certify,ratify,testify
少女,maiden,madden,midden,aide
周围,ambient,neighboring,opposite,space
活力,vigour,valour,rigour,vapour
不合适的,unfit,unit,uncut,until
向前(的),onwards,chink,miscreant,rip
同盟者,ally,all,sly,silly
迷惑,baffle,duffle,waffle,battle
窄条,strip,strict,slip,grip
实行,execution,executor,elocution,exaction
构成,constitute,institute,constipate,intertwine
保护措施,safeguard,lifeguard,automotive,claim
感应,induce,infuse,injure,adduce
肋,flank,blink,stank,flask
滤过,filter,sister,welter,winter
腐蚀,corrosion,corrosive,denude,to infringe on
分析,analytical,analytic,punctuation,brief introduction
请求,plea,pale,pied,pleat
洞悉,insight,sight,knight,night
信笺,stationery,stationary,stationer,tissue
沉默寡言的人,oyster,jester,mystery,outer
妨碍,handicap,to advance,exert ,in addition
联合抵制,boycott,joint,yell,undo
烧焦,scorch,smirch,search,coach
便览,handbook,bankbook,remark,for reference
数字,numerical,numeral,Chinese character,period
立体声,stereo,strew,stern,stele
光学,optical,topical,optics,optional
固定,mount,mot,moult,daunt
推论,inference,reference,conference,influence
电工,electrician,electrician,blacksmith,forger
捣蛋,mishief,provoke,faking a modern object as an ancient one,blessings
内海,basin,barn,bask,basis
固执,obstinate,not know how to appreciate favors,awkward in speech,answer fluently
用魔法迷惑,enchant,trenchant,entrant,merchant
基督教的,Christian,Christmas,warn,waterfront
料想,expect,elect,eject,expert
偏差,deflection,misunderstanding,glitch,length
怪癖,peculiarity,normalization ,neither fish nor fowl,tedious
犹豫不决,waver,maker,eaves,aver
(织机的)梭,shuttle,scuttle,spittle,subtle
补角,supplement,obtuse angle,ray,section
魅力,magnetism,magnetic,mannerism,magnesium
动力(学)的,kinetic,genetic,kinetics,absorption
中间体,intermediate,carp,spring,yet
把…除外,except,exceed,excerpt,excess
扯破,rip,zip,grin,rug
使…被永久地接受,establish,trait,tell,bishop
屈从,bend,band,need,blend
季度,quarterly,customer,flop,alluvium
目标,objective,objection,subjective,adjective
分界面,interface,interact,interfere,flagrant
移置,displace,misplace,displease,display
丰富,abundance,abundant,shield,rise in value
活塞,piston,pistol,bison,proton
副产品,by-product,semi-manufactured goods,textile,utensil
分期付款,installment,compensation,installment,mortgage
香气,incense,intense,incest,incise
软管,hose,hop,hog,Pope
显然,apparent,parent,broadly ,legal
总管道,main,chain,maize,stain
使发誓,pledge,hedge,ledge,sledge
滑车,pulley,bully,valley,pallet
消遣,amusement,amazement,stray,catch the wind
不相容的,incompatible,returnable,recession,vivacious
粉碎,shatter,spatter,scatter,patter
(暗中)摸索,grope,graze,grove,group
正的,positive,position,punitive,diagnosis
象征,token,toe,omen,stoker
需要,requisite,requite,exquisite,perquisite
商人,dealer,teller,beaker,dear
弱音器,mute,smite,cube,mum
钠,sodium,helping,fortieth,bliss
热带地区,tropic,topic,ironic,tragic
每盗船,pirate,prate,irate,migrate
记在页边,marginal,marital,virginal,cardinal
装扮,array,away,arrant,allay
使人伤心,sorrowful,quicklime,endear,cutthroat
刺激因素,catalyst,analyst,cataclysm,besiege
喜剧场面,comedy,comely,someday,homely
启蒙,initiate,vitiate,imitate,initiative
特殊,individual,specialist,fly one's onw colors - develop a school of one's own,to pass a test
难对付的,formidable,conductor,grove,cognizance
把…再分,subdivide,metrical,column,calendar
(肌肉)附着,insert,invert,infer,desert
(精力的)恢复,refreshment,raise ,discontented,gentle
(狗等)嗥叫,growl,drawl,row,grow
爱国,patriotic,patriotism,patriot,dreary
调整,modulate,undulate,adulate,populate
粘住,cling,clink,clang,clinch
大步,stride,strive,stroke,string
确定…的数量,quantify,qualify,quantity,screed
豹,leopard,candle,smog,harlot
相信,credit,edit,creditor,accredit
贪心,greed,grey,greedy,greens
不精密的,inaccurate,inaugurate,accurate,toxin
汽车游客旅馆,motel,mores,motto,mode
不在意的,absent,absentee,accent,abject
动物脂,grease,crease,greasy,lease
却,whereas,whereby,where,inequality
有影,shadowy,tradition,feverish,nonstick
机制,mechanism,mechanic,mechanize,mechanics
附近地区,vicinity,divinity,prisoner,entry
伸(头等),poke,poly,coke,dove
变甜,sweeten,sweater,swelter,sweet
幼芽,germ,farm,dorm,worm
推荐,recommendation,exhort,to introduce,recommend 
不道德的,shameful,hateful,militant,consultant
感染性的,infectious,infection,ruthless,jetsam
退隐,retirement,refinement,military service,responsible
向东,eastward,westward,bastard,dastard
药方,prescription,strap,folk remedy,synopsis 
不满,dissatisfaction,be outraged by an injustice,to satisfy,disturbed
印刷工,printer,painter,planter,drifter
暴君,tyrant,rant,hydrant,grant
绣制品,embroidery,embroider,disc,tweeter
(钟等的)摆,pendulum,pendium,brevity,commission
伤心,blue,bide,bike,value
基本,radical,medical,racial,rascal
赔偿,compensation,mortgage,fee,redeem
鸽子,dove,dive,solve,hole
交替,alternate,alternator,alienate,just
急件,dispatch,despatch,program,white paper
指导,coach,clack,cough,poach
例外,exceptional,reciprocity,asynchronous,almost, nearly
出身,descent,ascent,decant,descend
冒犯,offence,offender,offend,defence
类似,comparable,compatible,generally speaking,following
紧紧拥抱,hug,tug,hue,her
数,reckon,beckon,reason,region
敌对,hostile,hostel,hustle,hospice
渡口,ferry,parry,merry,fury
互利,reciprocal,advantageous,suffer,break out
同一日期,even,ewer,pen,eve
结核病,tuberculosis,epidemic,incurable disease,internal  injury 
及时,timely,namely,comely,untimely
柳树,willow,willowy,pillow,wallow
操作,manipulate,to operate,be applicable,common
(旅馆等的)休息室,lounge,lunge,rouge,long
腌制食品,pickle,fickle,sickle,prickle
明确的表达,formulation,sector,freeway,conclusive
踏板,pedal,seal,medal,peal
宣布,declaration,monopolize,to give orders,out of control
青铜色,bronze,blonde,browse,brine
精力旺盛,energetic,unconcern,faithless,hovercraft
装货,shipment,traverse,to load,to pass through
午餐,luncheon,truncheon,board,gospel
发出爆裂声,crack,check,slack,clack
使负债,embarrass,plum,regiment,outdated
辩论,controversy,dialectical,provide an explanation,eloquent
红宝石,ruby,ruin,buy,cub
吵架,row,run,pot,rob
狂怒,wrath,what,grate,wreath
赞成,uphold,behold,untold,hold
一串,cluster,clutter,flutter,fluster
默想,muse,maze,mash,must
呈现,unfold,untold,enfold,unroll
卷,reel,rebel,feel,repel
汽车道,motorway,motorcar,motorman,doorway
契约,lease,ease,please,cease
主持,preside,reside,fireside,precede
勾销,cancel,cancer,dance,channel
(工具的)柄,shaft,shawl,shaky,chart
无力,inertia,inert,health,walk with difficulty
卷绕着的线,winding,amnesty,seminary,bloodshot
擦热皮肤,friction,faction,fiction,fraction
起跑线,scratch,scotch,stretch,scratchy
使通风,ventilate,ventilator,prior,denote
派系,split,splint,solid,spurt
介绍,presentation,recommend ,count off,warn
精明,prudent,ardent,present,prudence
臭名昭著,notorious,promising,famous,honored
(性格等)严峻的,rigorous,vigorous,timorous,riotous
符合,correspondence,dramatic,on the right track,unrealistic
使腐朽,decay,delay,decoy,repay
杜鹃,cuckoo,partridge,peacock,fowl
传感器,sensor,vendor,censor,senior
使超载,overload,overland,overboard,overhead
畸形的动植物,monster,roster,monsieur,bolster
提供资金,finance,financier,fiance,inane
柴油发动机,diesel,tinsel,dispel,elevator
抬高,elevate,legate,elate,enervate
猩红,scarlet,carpet,scarce,scare
开槽于,groove,glove,grouse,groom
迷惑,bewilder,builder,no matter what,to deceive
强烈希望,urge,forge,wage,curse
埃及,Egyptian,Thai,Tanzania,Switzerland
回授,regenerative,detour,depict,pendant
录象,video,vide,vie,idem
同谋,pal,pap,sale,hall
夹子,clamp,cram,claw,clasp
目标,end,tend,hind,rend
向前(的),onward,ward,poniard,inward
尽善尽美,perfection,perception,influence,wise
沟,gutter,totter,litter,mutter
刊登,carry,harry,tarry,hairy
夹入,sandwich,contravene,null,posh
附属物,satellite,semiconductor,liquid crystal,solid
斜向一边,sideways,sidewalk,decorum,malleable
可移动的,portable,porthole,portage,notable
有效(性),availability,renewal,hale,stint
畸形,crooked,humorous,suspicious,queer
奢侈,extravagant,endure,intermittently,penny-pinching
(使)旋转,rotate,rebate,route,rota
海峡,strait,stair,trait,straw
不整齐,irregularity,replenish,nasal,ballast
层位,horizon,queue,accost,toughen
规定,define,deride,fine,deface
吃早餐,breakfast,loaf,switchback,confine
隔离者,insulator,insular,insulation,insulate
白肤金发碧眼的人,blond,blank,aloud,blend
橄榄,olive,like,naive,drive
一段情节,episode,epitome,epistle,militia
(人的)体格,constitution,ingenuity,thought,effort
推测,gather,rather,father,farther
使专门化,specialize,socialize,speciality,specialist
作长途徒步旅行,hike,puke,pine,his
翻来复去,toss,toll,pass,moss
拘束,uneasy,unmask,greasy,easy
上帝,Heaven,angel,goddess,Shinto 
主要,principally,to aide,low,it doesn't matter
战术,tactics,tactile,antics,tactical
同时,simultaneous,not only ,too,although
(使)烦恼,fret,fresh,fare,fore
仓库,storage,forage,strange,stage
周期的,periodic,periodical,period,establish
石英,quartz,quart,quartet,quarry
达不到的,inaccessible,consequent,crosstalk,ixia
景色,landscape,decorative,mirage,format
无缺点的,faultless,fruitless,teaset,snail
蛇(尤指大蛇或毒蛇),serpent,serene,repent,servant
交响乐,symphony,symphonic,music, esp. folk music, for traditional instruments,a pair of antithetical phrases, etc.
歪曲,violent,violet,violence,silent
固有,inherent,adherent,interest,indecent
行人,pedestrian,tourist,a wretched-looking tramp who lives by begging or stealing,passenger
不考虑的,irrespective,therefore,furthermore,because
冥想,meditate,militate,medicated,mediate
它的,thereof,there,thereby,extortion
突然袭击,overtake,overtime,overawe,overtax
大量,multitude,altitude,responsible,generous
开方,evolution,resolution,devolution,revolution
中子,neutron,neutral,ion,quantum
变成,fall,fame,hallo,wall
消费(量),consumption,give up on,resolve,scrub
欣赏,appreciation,guess,entertainment,art exhibition
惊奇,astonishment,lingering fear,custom,be unable to carry on even for a single day
假定,postulate,postdate,populate,from this, it can be seen that...
奇异,fantastic,fanatic,terror,lingering fear
受赡养者,dependant,sour,danger,gate
(鸟)振翼,flutter,fluster,cutter,clatter
收入数目,revenue,reverie,revenge,venue
向…行贿,bribe,jibe,prime,bride
推敲,thresh,thrash,thrush,afresh
(在市场上)销售,market,marker,packet,mallet
子孙,offspring,ape man,peer,close friend
权利,claim,clam,class,calm
(乐器的)弦,chord,charm,accord,choke
任务,undertaking,property right,heavy,cloth-wrapper
头向前的(地),headlong,headline,headland,star
使人厌倦,tiresome,adore,universal fraternity,love of country
带柄水罐,jug,nut,bun,hug
巨人似的,gigantic,notorious,masseur,clement
抵押,mortgage,mortgagee,mortgager,montage
在前面,fore,fort,flue,bone
缄默,reserve,deserve,reverie,preserve
住所,lodging,occasion,special-purpose phone line or communications link,wireless
遵照,comply,copy,comely,comity
吃饭,dine,dire,dice,kin
北极,arctic,ascetic,hectic,critic
授予物,grant,giant,grate,truant
性格,kidney,kidnap,tyrannical,position in the family hierarchy
评述,observe,serve,conserve,observer
不一致,disagreement,menopause,unsubdued,yes
种类,species,specimen,series,specie
傍徨,hover,shovel,hope,hooker
起居室,sitting-room,kitchen,drawing room ,toilet
海龟,turtle,title,tattle,hurtle
频繁,frequency,frequent,frequently,at first
警惕,alert,sleet,apart,aver
(用力)扔,fling,ring,flying,cling
保存,preservation,homing,storage,succeeded in finding
鼓起的,plump,plumb,jump,lump
护卫,escort,export,extort,sort
拖引,tow,bow,top,town
果皮,peel,seek,reek,pew
传教士,missionary,visionary,pope,archbishop
末梢,peripheral,case history,to see the world,former happenings
壁碗橱,closet,cloze,close,corset
假设,hypothesis,only,if that's the case, then ,no matter
修饰,modification,remodel,reconcile,arrange
定理,theorem,there,theory,logic
打破,smash,sash,mash,abash
究竟是谁,whoever,hover,however,whopper
平凡,commonplace,very difficult ,low level,upper class
过高估计,overestimate,flare,discussion,Aids
相反的(地),counter,encounter,hunter,corner
宗派,faction,fraction,fiction,action
不合需要,undesirable,payee,sawmill,minister
吠,howl,how,hook,roll
助长,facilitate,to place,to award,before a verb] handle, deal with
把钱存入银行,bank,mask,aback,pant
新的,novel,oval,hovel,naval
掠夺,plunder,ponder,bounder,launder
出现,offer,toffee,otter,coffer
浮标,float,flood,afloat,foal
骚乱,riot,drift,rot,root
分歧,diverge,diverse,divorce,divulge
病房,ward,nark,card,lard
线接头,terminal,terminus,terminate,seminal
照字义,literally,literary,literal,literacy
概括,generalization,to have altogether,to hold,watery
目不转睛,intent,infest,inlet,extent
告知收到,acknowledge,kind,fraction,curse
对称(性),symmetry,equilibrium,symmetry,simple
灯头,burner,turner,burden,butter
二氧化物,dioxide,oxide,diode,divide
投影仪,projector,prosecutor,protector,projection
漏出物,leakage,cleavage,breakage,erode
说明,exposition,position,deposition,expedition
用车床加工,lathe,lath,gate,lithe
裁决,rule,guile,cult,role
独特,distinct,district,instinct,distant
成体系的,systematic,storm,metrical,overhear
外,strange,stranger,estrange,straggle
裂隙,flaw,slap,flay,law
告诫,warning,lesson ,to hit,transmit
标准,norm,dorm,gore,form
(量得的)尺寸,measurement,strength,extremely,to estimate one's strength
衣橱,wardrobe,hammock,a built-in wardrobe or cupboard,alveolar ridge
为了,towards,coward,upwards,by
裤子,pants,mantis,pant,pantry
向…欢呼,hail,haul,hair,pain
结束,completion,complexion,to come or go or get off work,to finish school
周(边),perimeter,parameter,transparency,vigor
送洗衣店去洗的东西,laundry,launder,foundry,sundry
海底电报,cable,bauble,gable,arable
淫猥,filth,fill,width,filch
谷粒,kernel,kennel,vernal,keel
烃,hydrocarbon,butane,hydrocarbon,crystal
优越(性),superiority,tendency,current situation,political situation
雕刻品,sculpture,sculptor,culture,scripture
闲逛,ramble,tremble,amble,sable
指导者,instructor,instruct,a teacher in charge of a class,pedant
假设,presume,pressure,prelude,presage
迄今,hitherto,hither,before,last week
弄歪,distortion,bring order out of chaos,rectify,to picket
密林,jungle,jangle,single,bangle
髯,whisker,whimper,thinker,whisper
《圣经》,scripture,sculpture,stricture,scriptural
相反,inversely,absolutely,where,return
战斗机,fighter,frighten,lighter,fight
救世主(耶稣基督),Christ,thrust,hoist,jurist
清洁,cleanliness,a land swarming with disaster victims,oversensitive,stately
迅速,velocity,ferocity,felicity,high efficiency
子孙,descendant,ascendant,defendant,friend
下薄雾,mist,moist,misty,mind
丘庇特,Jupiter,slake,amnesia,waver
报价,bid,on the market,industry,stock price
恶意,spite,rite,site,spine
用户,subscription,be perfidious,invite,to break a promise
啄,peck,tack,beck,pep
绝世美女,goddess,goodness,godless,vertebrate
排列,range,grange,orange,rage
微小,slim,slew,slime,slimy
全然,sheer,sheep,seem,cheer
正常化,normalization,queer,amusing,pitiful
用网覆盖,net,vat,lest,ref
摄影术,photography,bolt,climb,discipline
唉,alas,clash,clasp,slay
大豆,soy,potato,sweet potato,legumes
代表性的,representative,bark,wealthy,hormone
名胜,sight,eight,mighty,tight
告发,denounce,announce,renounce,impeach
仁慈,merciful,mean and ferocious,various countries,what
迹象,sign,sin,mien,sigh
冒犯,offensive,defensive,all's fair in war,infest
强迫,constraint,constrict,constrain,constant
罗马人,Roman,thereupon,effusive,wedge
第一流的,first-rate,chase the wind and clutch at shadows - make groundless accusations,to influence,lit.: dragon flies, phoenix dances
唇膏,lipstick,watch glass,cologne,barometer
不朽的,eternal,external,maternal,vernal
广告,leaflet,post,to advertise,declaration
宽敞,ample,angle,amble,maple
标高,elevation,legation,election,elation
球形,spherical,formation,new type,oval
协作,team,tea,dam,tram
美人,Venus,a short person,fat person,skeleton
使(颜色等)显现,develop,envelop,upper,extradite
工(作)件,workpiece,parochial,scorer,page
商品,ware,worm,cadre,ape
扫描,scan,mean,sand,seal
(马戏的)小丑,clown,brown,gown,clean
加热的人,heater,helper,heaven,enter
轴向,axial,axiom,axis,labial
殴打,assault,assail,contradict ,to fight
(使)倾斜,tilt,hilt,salt,lilt
摇摆,wag,gad,ah,yap
旅馆女老板,hostess,hostel,possess,sway
意义深长,pregnant,poignant,pennant,pregnancy
锅炉,boiler,border,bole,toilet
必不可少,indispensable,acquaintance,astonishing,uncalled-for
使波动,fluctuate,earthen,stationary,assemble
许可证,warrant,warranty,arrant,vagrant
细微,nice,ride,nine,neck
啃,gnaw,nab,claw,goad
猜疑,suspicious,suspicion,auspicious,to agree
小提箱,suitcase,nutcase,bellows,thermometer screen
微波,microwave,bubble,surge,lava
(基督教的)主教,bishop,mishap,shop,bison
公正,impartial,martial,partial,imperial
摩天楼,skyscraper,lodge,bungalow,palace
朝代,reign,resin,feign,rig
从动件,follower,flower,follow,close
锄地,hoe,horde,log,cod
睡眠,slumber,blubber,lumber,plumber
美洲狮,panther,canter,patter,another
并发症,complication,incurable disease,internal  injury ,VD
碰撞,collide,collier,collate,college
局(或署、处等),administration,tube,audio,gut
难以满足,difficult,difficulty,phenomenal,delude
誓约,vow,vim,down,law
范畴,category,old and new,palm,distance
食物,nourishment,fireworks,fodder,vegetarian food
晚辈,inferior,inferno,interior,anterior
详尽,thorough,through,trough,though
养在家里,domestic,relativity,truss,matriarch
请愿,petition,edition,position,repetition
四季开花,perpetual,perpetuate,admire,skullcap
家禽,fowl,boil,foul,howl
不完全的,incomplete,complete,jointure,iterate
环境,environmental,phenomenon,way of life,requirement
职责,obligation,oblation,blame,inheritance
必定,bound,definitely,when all is said and done,life insurance
有益,profitable,to infringe on,to surpass,impassable
诊断(疾病),diagnose,diagnosis,angel,bracket
感觉,sensation,cessation,deliberation,cherish
以前,formerly,last time,nowadays,the day before
(举止、服饰)雅致的,elegant,elegance,relevant,elephant
现有,forthcoming,remain,relevant,to preserve
复杂(性),complexity,complicity,complexion,weir
骨缝,seam,spear,sham,seal
(建筑物等的)位置,situation,citation,station,saturation
组织,framework,a front ,board of trustees,government branch
命定,destine,destined,festive,define
词汇表,glossary,trolley,blockade,murderous
不锈,stainless,sinless,stateless,painless
缩影,miniature,concentration,shrink,to raise
溜达,stroll,scroll,atoll,stall
交涉,negotiate,negotiable,consult with,discussions
最外面的,outermost,quiescent,conjugal,helmet
葡萄干,raisin,raise,resin,rain
寄存物,deposit,deport,depositor,depose
除外,exclusive,explosive,inclusive,elusive
使减到最小,minimize,maximize,antarctic,nonpareil
激怒,irritate,there can never be too much deception in war,to gain by cheating,trouble
(轻微地)颤动,quiver,quaver,diver,quite
辩护律师,attorney,judge,pedant,coach
交易,transaction,to circulate,finance and trade,foreign trade
诅咒,damn,rain,damp,day
侦察,scout,gout,flout,score
班船,liner,linen,lager,tinker
堡垒,fortress,knowledge base,store of arms,a public park
(使)背离,deviate,devote,obviate,device
经济,economics,economic,economical,ergonomics
幸存者,survival,surgical,survive,survivor
悲剧性的,tragic,trait,trail,train
极性,polar,solar,poor,pear
靠那个,whereby,heresy,hereby,thereby
元帅,marshal,marsh,marital,martial
圆滑,tact,lack,task,fast
符合,answer,antler,anger,coordinate with
牛奶,milky,murky,sulky,milk
冻,jelly,bully,jolly,telly
蟾蜍,toad,hippopotamus,viper,frog
分享,participate,receive,to accept,take a beating
食品柜,pantry,gantry,pant,paltry
表示,signify,magnify,dignify,dignity
古物,antique,unique,remnant,supply
约会,engagement,pursue ,to link,be engaged
机能上的,dynamic,dynamics,dynamo,dynamite
无,nought,naughty,nougat,ought
互相关联的事物,correlate,corrugate,pendulum,squeeze
历史性的,historic,history,historian,historical
(宽大的)睡衣裤,pyjamas,tighten,semicircle,cohabit
装饰品,ornamental,ornament,perfume,makeup
使麻痹,paralyse,necessary,mate,clank
施舍物,handout,candour,handful,enclosure
变更,alteration,iteration,to make legal,denaturation
大陆,continental,the North Pole,depression,tropic
使缠结,tangle,bangle,wangle,dangle
(物体的)尖端,peak,peck,zeal,bead
独唱曲,solo,loll,soot,sly
盗窃,theft,that,theme,test
提出(议案等),introduce,upbraid,bum,violinist
嘲笑,scoff,scorn,scoop,scour
满期,expire,expiate,empire,exile
压碎,squash,sash,splash,squad
神秘小说,mystery,mystify,masterly,mastery
哺乳动物,mammal,mamma,mama,manual
(时间等)支出,expenditure,to settle accounts,to squander,waste
爱国者,patriot,patriotic,parrot,patron
惊奇,marvel,navel,cartel,carve
略过,skip,ski,skim,skimp
盖印,impress,empress,express,compress
散文,prose,pose,phrase,praise
通常,ordinarily,first-class,supreme,special
悲痛,grief,chief,greet,brief
赤道,equator,equation,squalor,equate
金属,metallic,platinum,gold,protein
放射,radial,reflex,diffraction,shine
砍伐,fell,yell,fall,dell
配合,fitting,be a speculator ,fit,second only to...
践踏,trample,triple,grapple,ample
通报,circular,circulate,majority vote,taxation form
冰冷,icy,ill,wiry,pick
敏感(性),sensitivity,endemic,growl,contrive
持续,persistence,every day,at first,continuously
用于切割的器械,cutter,butter,utter,cutler
转弯抹角,roundabout,yet,unfortunately,thanks to
勤劳,industrious,childish,lasting,passive
恶梦,nightmare,interest,delusion,will to fight
僧侣,monk,wink,funk,kink
预先装置,preset,present,prose,preen
传奇,romance,tragedy,comedy,tragicomedy
加润滑油,lubricate,fabricate,lubricant,discomfort
硬度,stiffness,size,longitude,illumination
通用,versatile,common,public,abuse
约定,undertake,understate,underrate,undertone
高烟囱,stalk,scale,stark,stair
舍弃,reject,resent,revert,reflect
投票,poll,doll,hill,poly
仅仅,barely,rarely,purely,barley
反映,mirror,morrow,marrow,micron
崇拜,adore,atone,cadre,sore
起重器,jack,act,lack,pack
寂静,stillness,illness,busy ,to crowd
