#word,meaning,option1,option2,option3
低估,underestimate,unexpectedly,to persist,predict
化妆品,cosmetic,cosmic,perfume,barometer
荒谬,ridiculous,complete,quote out of context,accurate
招待会,reception,deception,exception,receptive
长方形,oblong,belong,long,along
联合,combination,exclusive,unconsciously,in parallel development, implementation, etc]
药剂,medication,unfounded,idolatry,seclude
遭受,suffer,buffer,duffer,suffix
密谋,conspiracy,abandoned idea,design,desirable
使...大为吃惊,mystify,mystic,mystery,justify
属于,pertain,certain,appertain,curtain
确实,conclusive,inclusive,conclusion,admittedly 
推进(力),propulsion,profusion,repulsion,astrology
悬挂,dangle,bangle,spangle,tangle
不可否认,undeniable,dust,receive,compliance
封入,enclose,encore,enclave,enclosure
懊悔,remorse,remove,recourse,repose
同代人,contemporary,posterity,old people,aunt
记下,put,rut,bet,hat
补充,supplementary,rise in value,add to,to make an extra effort
纪念品,souvenir,furnish and decorate ,materials,remnant
大厦,mansion,mission,monsoon,mention
使痛苦,afflict,inflict,affect,be disgraced
同类,homogeneous,junior,miscellaneous,bean or pea family
玷污,contaminate,to infect,to spur,to lead to
报酬,reward,retard,regard,steward
供应,accommodate,provide,to require,to supply
闪耀,glare,hare,glaze,glory
可憎,grim,grid,gin,trim
给(书、文章等)题名,entitle,entity,entire,entice
居住于,inhabit,inhibit,cohabit,habit
增值,increment,excrement,inclement,widen
忙乱,fuss,moss,rush,puss
所有权,ownership,sovereignty,property right,veto power
批评,criticism,criticize,disclose,confirm
镊子,tweezers,tweeter,an auger,cramp
(窗帘)缘饰,fringe,flange,wring,infringe
适应于,adjust,readjust,just,adult
僵局,deadlock,wedlock,padlock,political situation
横梁,beam,beta,bear,bean
污点,blot,moot,lout,plot
主题,motif,subject,problem,tone
地下室,basement,casement,pavement,classroom
限制,imprison,prison,contribute to,sanctions
阵风,gust,just,gusto,dust
茫然,vacant,valiant,vagrant,scant
消灭,annihilate,quench,to put up with,to sweep away
摔倒,tumble,stumble,tremble,rumple
供养,support,purport,seaport,sport
冲洗,sluice,splice,slick,slice
流浪者,nomad,mad,nomadic,naiad
牛群,herd,head,bird,her
红利,dividend,dividers,divide,sudden huge profits
吸引人的,striking,formality,tablespoon,custom
对等的人,counterpart,intimate,be in conformance with,preceded only by...
民族主义,racism,dialectical materialism,learning,atheism
最佳效果,optimum,optimism,poorly,dominion
特别,extra,era,exert,extract
捐献物,contribution,lambskin,delivery,yeah
提高,heighten,tighten,height,frighten
演出,performance,conjure,suit the medicnine to the illness,be operated  on
坦率,outspoken,upright and outspoken,turn ,custom
确定,ascertain,uncertain,certain,appertain
切下,cutting,stand like the three legs of a tripoid,be antagonistic to,connected by air, sea traffic or service
王朝,dynasty,nasty,the Ming Dynasty,period
保护,defence,defense,fence,defiance
轻而薄的,flimsy,slimy,clumsy,whimsy
瘫痪,paralysis,paralytic,analysis,madness
棒球,baseball,basketball,golf,hockey
治理,harness,hardness,harvest,earnest
连续性,continuity,gruelling,submissive,provident
脆的,fragile,frail,agile,facile
减的,minus,ominous,minute,mint
明确,definite,deficit,define,definitive
内陆,inland,mainland,island,England
暗杀,assassination,to kill ,murder,take liberties with
教唆,abet,apex,let,area
逆时针的,anticlockwise,grange,attitude,return
安神药,tranquilizer,bedridden,backside,kingpin
粘着,stick,quick,spice,lick
极性,polarity,defensive ,high performance,feminine
装饰,decoration,decorator,peroration,brew
俗丽,gaudy,gauze,daddy,gay
综合企业,complex,compile,comply,couple
逃避责任者,truant,grunt,trait,brunt
指南,guideline,sideline,caper,to indicate
狡猾,cunning,burning,inning,turning
食草,herbivorous,impale,malign,ingenious
贷款,loan,low,coax,lose
战役,campaign,army,war,air force
激流,torrent,torment,mordent,current
空虚,vain,taint,wait,main
谷仓,granary,canary,gantry,granny
舞弊,rig,rim,wring,rob
撤离,evacuate,evaluate,ejaculate,vacate
强索,extort,extent,exhort,export
（声音）沙哑的,raucous,male and female,refinement,man-made
(专制君主的)命令,decree,secrete,decide,degree
使同步,synchronize,watchword,typhoon,gesture
拖,haul,foul,hard,harm
废话,bunk,musk,blunt,hunk
例证,illustration,storm,antecedent,analogy
松树,pine,tinge,pink,pint
乏味,insipid,humorous,routine,comical
滑稽,ludicrous,judicious,feel bad,laughable
叫喊,yelp,yell,reap,helm
电子管,valve,calve,halve,tale
公有,communal,commune,system,section
沉默不语,reticent,regiment,resident,recent
双边,bilateral,lateral,unilateral,trilateral
有说服力,cogent,moment,agent,covert
内部,interior,anterior,inferior,exterior
公制,metric,metrical,emetic,meteoric
署名,affix,affair,fix,suffix
本质,essence,absence,to pretend,issue
部分,sectional,section,embassy,government
倾向性,orientation,flexibility,technical,creativeness
较好,better,beer,fetter,bitter
彗星,comet,cope,comely,covet
倍数,multiple,multiply,multi-,exchange rate
巨大,magnitude,coarse,bright,strong
残酷无情,ruthless,harsh,upright and outspoken,sin
氧化,oxidize,oxide,multipolarity,come to the surface
父权,paternity,maternity,fraternity,eternity
细浪,ripple,cripple,nipple,tipple
沸腾,boil,boy,oil,soil
纪念品,trophy,trashy,tropic,animal
丰富,generous,onerous,to raise,to manage
炮弹,shell,sell,sill,shelf
环境,setting,requirement,air,appearance
机警,vigilant,vigilance,make light of difficulties and dangers,astute
碎屑,fragment,fragrant,raiment,figment
借口,pretext,protest,prefect,protect
技能,technique,skill,literary talent,foresight
辞职,resign,design,resin,resist
可能性,likelihood,livelihood,flexibility,performance
剥夺,curtail,certain,curtain,banish
礼节,propriety,proprietor,local conditions ,ceremony
波动,undulate,insulate,modulate,adulate
证明…是正当的,justify,justice,mystify,testify
黎明,twilight,day off ,early morning,Mother's Day
反驳,retort,report,reform,return
抵抗,withstand,washstand,immunity,force majeure
亲戚,kin,bin,shin,wink
繁多,manifold,desolate and uninhabited,insignificant,dual
支持,endorse,endure,encore,enforce
枷锁,yoke,gore,mole,mike
曲调,melody,felony,memory,malady
有价值的东西,asset,assent,assay,aspen
银河系,galaxy,galley,gala,salary
过份,exorbitant,not very,in spite of,certainly
『植物』矮牵牛属,petunia,uncouth,niece,munificent
卓越,predominantly,designated,base,unprecedented
伤亡,casualty,casual,to heal,dying
堕胎,abort,abut,adorn,short
东方国家,oriental,south,vacuum,above-mentioned
胡须,beard,blare,boar,rear
奢侈,luxurious,lugubrious,assiduous,industrious 
咧嘴笑,grin,grind,going,grain
使高贵,dignify,magnify,dignity,signify
剪去,clip,slap,cliff,clump
隆起,hump,hemp,bump,hum
(钟表等的)针盘,dial,tidal,fill,din
(心)惊了一下,falter,after,halter,fatten
训练,discipline,drill,education,teacher and student
自治,autonomous,control,autonomy,to handle
住处,dwelling,ticket office,node,destination 
刚刚,scarcely,scarcity,scarce,only
受感染的、腐败的,septic,refuge,paraffin,sensible
铁甲,armour,ardour,arbour,armoured
蜂房,hive,tide,haze,live
筑坝,dam,vat,fame,jab
淡季,slack,sick,plank,smack
刷新,renovate,innovate,spoil,transportation
可燃,inflammable,vide,varnish,clay
周年纪念,anniversary,anarchism,projectile,inch
剧本,scenario,short story,children's fairy tales,chronicle
收养,adopt,adore,aloft,dolt
穿刺,probe,prone,robe,grove
宽恕,mercy,murky,very,mere
教条,dogma,omnipotent,to have good eyes,not stop until one reaches the Huanghe River - not stop until one  reaches one's goal
典型,typical,atypical,topical,cynical
误用,misuse,misrule,miss,minute
多种多样,diverse,divorce,divert,disperse
(简短的)新闻电讯,flash,lash,clash,flask
轻视、鄙视,disdain,informal,hoary,acquittal
病发作,fit,flit,hut,its
一串,string,syringe,strong,strip
经过,pass,piss,pack,Mars
通货,currency,current,currently,urgency
呻吟,groan,goat,gram,roan
珊瑚,coral,coral,necklace,jewelry
)黄铜制品,brass,crass,bravo,brat
平底载货船,barge,hare,badge,bore
细节,detail,derail,detain,devil
掺和,blend,blond,lend,bend
摇曳的微光,glimmer,glider,simmer,glitter
奇迹,miracle,circle,morale,manacle
毛细管,capillary,artery,arch of aorta,acupuncture point
叛徒,traitor,tractor,trainer,trailer
(使)衰弱,dissolve,dissolute,sanctify,nonstop
重复,repetition,reputation,petition,in the end
黄铁矿,pyrite,residue from beans after making soya-bean milk,bundle,chaff
特殊癖性或行为,idiosyncrasy,surrender,fervour,silvery
直率,blunt,lung,stunt,bounty
水牛,buffalo,calf,cow,antelope
凝固,solidify,solidity,toughness,flaky
以前,former,border,forbear,fodder
姿势,pose,pole,pass,poor
反驳,contradiction,explain,written polemics,criticize
打赌,bet,beat,bite,wed
组织,formation,oration,office,colony
反语,irony,ivory,proxy,rosy
无文化的(人),illiterate,obliterate,literate,geologist
雨衣,mackintosh,sweater,jacket,pajamas
缝(合),stitch,switch,sketch,bitch
释义,construction,quote,comment,caption
大使,ambassador,president,Minister of the Interior,manager
喷射,eject,select,expect,elect
死一样地,deadly,dearly,measly,dally
虔诚,piety,pity,plenty,ninety
队,queue,quire,quite,queer
密谋,intrigue,engineer,to plan,raise 
恳求,entreat,pry,to try out,intervene
法老王,pharaoh,along,individual,book
使成为整体,integrate,iterate,integral,intestate
大破坏,havoc,have,favor,avow
专门医生,specialist,speciality,socialist,specialize
羽毛,plume,lure,clump,flue
愚味而不自知的,fatuous,fabulous,vacuous,famous
被提名者,nominee,nominal,nominate,recitation
文献,literature,literate,brief guide,introductory remarks
层,layer,wader,lame,laze
闪光,glitter,litter,gutter,latter
生理学的,physiological,midday,schism,nephew
给…估价,value,vase,vague,vile
投敌,defect,defence,deface,defeat
可以吃的,edible,foible,legible,exile
沉闷,dreary,dearly,dreamy,greasy
注射,inject,infect,invest,invent
监护人,guardian,taxpayer,position in the family hierarchy,member of the US House of Representatives
紧急情况,emergency,emergent,emergence,also
不能溶解,insoluble,soluble,disprove,motel
靶子,target,turret,garnet,tablet
整形外科,orthopedic,unlike,phonetics,nape
风格,style,stale,stole,stylus
布置,disposal,dispose,be classified as,array
幻灯片,slide,shine,wide,abide
缩小,diminish,soak,expand,dry
坚定,robust,roast,rouse,rout
想象,envision,incision,evasion,vision
新颖,original,originate,criminal,origin
迟钝,dull,full,pull,dual
控制方向,steer,steel,stead,sheer
坚持,persevere,accepted ,to think,consideration
成份,ingredient,nutrition,toxin,essential
分解,decompose,discompose,compose,quote
配音,dub,bob,daub,pub
忧郁,gloomy,gloom,roomy,bloody
给…调味,flavour,urban,senate,boulevard
专门知识,expertise,exercise,skill,technique
仁慈,gracious,voracious,fractious,precious
机构,organ,roan,ordain,urban
全无,nil,fail,silk,via
前提,premise,precise,promise,praise
眼力,eye,eke,ewe,ebb
流行,prevail,retail,to connect,hereditary
农业,agriculture,electrical power,the world of business,project
活泼,brisk,bride,brick,brink
间接,oblique,clique,obloquy,oblige
台风,typhoon,tycoon,iceberg,custom
许可,licence,silence,license,visa
完成,achieve,thieve,active,to take a wrong step in life
赞赏,favour,mockery,to disobey,to break the rules
动员,mobilize,mobile,demobilize,moralize
常去之地,resort,retort,escort,restart
违反,breach,breech,breathe,belch
增强,fortify,mortify,notify,certify
逃避,evade,erode,elude,decade
向…报警,alarm,alert,charm,farm
暂时,temporary,temporal,a while,adult
爆发,outbreak,issue,melt like ice and break like tiles,to take place
瘦的,meagre,league,merge,mere
芽,bud,dud,gum,cad
替班人员,relay,replay,delay,inlay
机警,wary,wan,barb,yarn
飓风,hurricane,style,ice floe,breeze
兽群,flock,frock,lock,unlock
硬币,coin,horn,sin,chink
显著,telling,official,not show one's feeling or intentions,classified 
跳动,throbbing,rove around,to run,sway
增大,augment,figment,argument,judgment
误传,misrepresent,ridiculous,a slip of a pen,yes
上级,superior,member,fixed number of staff members or passangers,member of State Council 
颠狂,maniac,mania,panic,magic
不够条件,inadequate,inadequacy,adequate,bourgeois
贫民窟,slum,scum,stud,plum
特免,privilege,privileged,resolute,snooper
授予,confer,canker,coffer,confess
流通量,turnover,turner,tumble,aftershocks
弹性,resilience,customary,magnetic,sensibility
酸味,acidity,acidify,ability,validity
停止,cease,heave,crease,terse
笨拙,awkward,backward,award,muddled
螺旋(形)的,spiral,spinal,spray,sprawl
调查分析,diagnosis,diagnose,pension,underlie
显著,conspicuous,at the back,obscurity,secret
（药物）过度剂量,overdose,potato,signify,savagery
研讨会,seminar,standing committee,conference call,joint conference
侵略,invade,invite,inside,insane
上光蜡,polish,poise,posh,abolish
汽车,automobile,automotive,automobile,cab
收回,recall,recant,regal,recast
赠送,give,vide,life,wire
生物所能分解的,biodegradable,pellet,lumpy,mentality
空气调节(装置),airconditioning,clearance,pernickety,mislead
拥挤,tumult,tumble,desolate,tranquility
祭祀,sacrifice,create a disturbance,provoke,bury
小数,decimal,decibel,denial,decimate
兽医,veterinary,doctor,journalist,nurse
后缀,suffix,suffice,suffer,affix
)关税,custom,castor,gusto,customer
自制,temperate,desperate,temperance,to have something made to order
哲学,philosophy,biology,engineering,zoological
被告人(的),defendant,descendant,dependent,dangle
使当学徒,apprentice,belch,hag,meet
会议,convention,confection,conviction,conversion
恐龙,dinosaur,tiger,weasel,lion
超声,supersonic,nasal sound,bass,modern  pronunciation of a Chinese character
救济,relief,review,belief,reef
干预,meddle,muddle,peddle,medley
相当,fairly,mostly,too much,at best
浮游生物,plankton,ion,neutron,animal
历史学家,historian,historical,historic,analyst
一件一件,piecemeal,worth,jolly,oz
独白,monologue,reply,dialogue,qualified word
独一无二的事物,unique,pique,undue,clique
领域,spectrum,spectre,spectral,in many ways
小片,scrap,clap,stray,scrub
怀念,yearn,earn,wean,learn
蟋蟀,cricket,chicken,wicket,crochet
档案室,archives,dabble,capitation,monsieur
启航,sail,saint,snail,seal
肠,bowel,vowel,towel,owe
能预测的,foreseeable,patriotic,sabre,teaspoon
离奇有趣,quaint,taint,quail,faint
护照,passport,password,majority vote,symbol
面纱,veil,mail,vest,very
使冒危险,hazard,lizard,wizard,haggard
稳定,steady,sturdy,stead,seamy
作为,as,us,dash,base
住处,accommodation,base,location,polling station 
费力,strenuous,tenuous,as easy as blowing off dust - not needing the slightest effort,fine
第三位的,tertiary,fourth,sixteenth,a certain number or amount of
注意,mind,mink,mend,mine
水生,aquatic,grow,lay ,breeding
间隔,compartment,anecdote,privacy,housekeeping
卵形,oval,tonal,opal,veal
拉力,tension,version,pension,mention
登记,entry,sentry,emery,envy
几何学,geometry,economics ,physics,architecture
毛孔,pore,sore,home,core
牙齿,dental,central,mental,denial
贴(墙纸),hang,gang,man,ham
叙述,narrative,narration,narrate,to spread out
芳香,aroma,romp,arm,from
明显,visible,disable,invisible,virile
遭受…苦,curse,purse,cure,curfew
未婚夫,fiance,fiancee,chance,finance
(,classic,class,classify,elastic
措辞,diction,direction,fiction,edition
半径,radius,radish,radio,Ladies
大概,supposedly,cannot go so far,not worry about,hardly
草药医生,herbalist,pest,facility,awhile
用手铐铐,cuff,stuff,curd,bluff
生物,organism,organic,organist,organize
统治,sovereign,monopolize,go on strike,student's strike
倾斜,incline,recline,incise,incite
生产能力,productivity,instinct,driving force,force
陪审团,jury,jerky,bury,jump
奇异,exotic,erotic,emetic,to be used to
土著,aboriginal,person from Beijing,workers,to immigrate
订约,contract,contradict,contact,contrast
凶猛,fierce,coerce,fleece,pierce
避免,avert,divert,abet,advent
赎金,ransom,random,ransom,deposit
指南针,compass,company,compress,compost
容积,bulk,walk,skulk,bulky
四个一组,tetrad,daisy,timely,outface
怀旧之情,nostalgia,gastritis,hepatitis,albinism
政策,policy,polish,colic,police
瘟疫,plague,plaque,page,league
表达,voice,vice,vogue,poise
技艺,feat,flag,heat,real
明确,specific,pacific,specify,lawful
天动说的,ptolemaic,beaker,begin,mall
偶然,occasional,occasion,permit,be unlikely
透明,transparent,fair,distant,blur
加重,exacerbate,weak,loosen,quiet
附件,enclosure,enclose,closure,map
霸占,misappropriate,valuable,contain,accommodate
横切,traverse,averse,transverse,reverse
触角,tentacle,tenable,ankle,horn
落后,lag,a,rag,bag
薄片,slice,lick,slick,slope
脆的,brittle,little,bristle,spittle
产生,bring,ring,wring,brig
创作(乐曲、文学作品等),compose,compote,compost,compere
全国性的,national,rational,nation,atonal
粘的,mucous,bubble,liquid water ,filtrate
顺时针方向地,clockwise,nerve,kimono,turnip
支流（的）,tributary,pheasant,Pentagon,fiscal
实际,pragmatic,inferior to,yet,although
取消,quash,free ,to avoid,name
骇人听闻,outrageous,courageous,hateful,cute
聚集,assemble,assembly,dissemble,assembler
性情乖戾,cynic,chart,porpoise,plucky
多余,uncalled-for,short,enough,extant
大使馆,embassy,agency,General Political Department,organization
兴趣,hobby,chubby,holy,hubby
专断,arbitrary,arbitrate,arbitrage,righteousness
火山,volcano,volcanic,mine,Mt. Wu, on the Changjiang River by the Three Gorges
反对,oppose,prose,depose,repose
讨价还价,bargain,brain,barmaid,again
利用,utilize,utility,inference,in order to
娱乐,recreation,recitation,secretion,reception
重新估计,reappraisal,patriotism,lenient,rubicund
命运,destiny,destine,destroy,testify
(使)逐步上升,escalate,escalator,escapade,excavate
有变化,vary,wiry,nay,ovary
不情愿的,loath,wrath,lath,goat
做为纪念,monumental,monument,arduous,be unpopular
乐器,instrumental,basketball,football,rebound
差使,errand,strand,brand,arrant
取得,procure,brochure,procedure,profuse
逐渐,gradual,graduate,before too long,so much so that
弧,arc,ward,aim,fare
梯田,terrace,trace,retrace,terrain
纤维,fibre,figure,fore,litre
诅咒,swear,sneak,sweater,wear
字首,prefix,precis,profit,prefer
记录,score,shire,core,acre
推翻,overthrow,to admit,negative,overthrow
反抗,rebellion,rebellious,immunity,safeguard
一致,consistent,insistent,take the same action or view without prior consultation,to be united in action
碳水化合物,carbohydrate,prerequisite,amino-group,complement
振动,vibration,liberation,migration,rove around
赤裸,bare,base,have,here
焦虑,apprehension,feel wronged and act rashly,resent,pain
腺,gland,land,glad,blond
法规,statute,statue,saute,status
使失事,wreck,wreak,erect,creek
主张,allegation,persistence,accepted ,to feel
正当的理由,justification,diversion,plunder,slur
相反,adverse,averse,inverse,verse
市的,municipal,state-owned,to separate,more or less open
伪装,masquerade,hang,hold one's breath,to gasp for breath
求婚,proposal,propose,seek,homosexual 
止(渴),quench,lunch,punch,trench
手铐,handcuffs,cangue,desk lamp,hatchet
迫害,persecute,prosecute,disadvantageous,to guard against
团结,solidarity,solidity,directional,"Unity of will is an impregnable stronghold" 
人类学,anthropology,anatomy,science and technology,high tech
冒犯,transgress,worry,infuriate,to disturb
附属品,accessory,accessary,cake,trigger
冲积,alluvial,to extend ,spurt,disseminate
合逻辑,validity,solidity,validate,rapidity
碰撞,collision,collusion,coalition,tumble
居住,dwell,swell,dell,sell
手掌,palm,warm,pant,pave
老套,stereotype,set pattern,rhyme,factory regulations
外表强大,imposing,gendarme,fuzz,slaver
后果,outcome,retribution,evil,argument
强烈吸引,grip,lip,crib,glib
外交家,diplomat,person skilled in a trade,analyst,sculptor
口哨声,whistle,gristle,whittle,wrestle
精明,politic,politics,polemic,politick
副词(的),adverbial,ship,coagulate,into
氦,helium,helm,medium,tedium
长廊,gallery,galley,allergy,raillery
延期,defer,sever,deer,deafen
古怪,erratic,erotic,erratum,nondescript
意见不同,differ,diaper,coffer,suffer
（心脏）急速而不规则地跳动,palpitate,capitate,palliate,hell
新生,renaissance,decline ,decay,to be
星号,asterisk,sign of inequality,tone mark,password
捐赠,donation,domination,adoration,damnation
腐蚀性的,caustic,acoustic,humanity,honest
栏杆,rail,bait,gait,drain
猛冲,dash,gnash,dish,mast
斗争,conflict,convict,inflict,promote
臂,limb,comb,live,lime
(感觉)舒适的,cosy,coke,cast,cos
排水沟,sewer,a public square ,sewer,courtyard
洗澡,bathe,lathe,bath,batter
宁静,tranquil,panic,pull oneself together,urgent
癫狂,mania,man,mail,manual
(使)旋转,whirl,whiff,third,hill
丑闻,scandal,vandal,sandal,canal
地位,status,statue,stature,statute
定期,periodically,how long,as usual,short-term
一群,gang,sane,band,hang
损害,detrimental,unfavorable,insurmountable,harmless
闩上,bar,tan,card,board
支撑,crutch,crush,church,hutch
公民投票,referendum,scar,beetle,underline
沼泽,marsh,mash,harsh,dash
驳斥,refute,refuse,refine,repute
((口语))小儿麻痹症,polio,nerveless,jiffy,cinder
阻止,detain,retain,detail,detainee
蔑视,defiance,reliance,fiance,deface
使跛脚,cripple,ripple,nipple,crumple
竞争者,contestant,trickster,intuition,coalesce
悲伤、哀悼,lament,filament,clement,moment
决定,determine,wholesome,to exceed,insurmountable
刷新,renovation,decay,later,to update
复制本,facsimile,Chinese  version,originally,monthly calendar
政纲,platform,speech,abstract,main idea
深恶,detest,detect,dentist,decent
加衬垫,pad,baa,paw,rat
冒险行为,venture,overture,denture,entire
分支,offset,onset,outset,offer
发言人,spokesman,sportsman,agent,guarantor
对…实行禁运,embargo,embark,embryo,restraint
识字,literacy,literal,literary,literally
清醒,sober,sore,cower,joker
基础,foundation,rampart,restrict at,underline
湿度,humidity,elevation,perimeter,area
抢夺,snatch,notch,switch,stitch
药房,pharmacy,chicken farm,tavern,booth
转移,diversion,version,dimension,division
(用力地)举起,heave,heaven,cease,stave
背诵,rehearse,hearse,reverse,rehearsal
使欣喜,rejoice,rejoin,horseplay,death
炽热,molten,heat,pleasantly cool,cool and refreshing
慈爱,affection,affliction,infection,sin
图解,diagram,to download,to explain,summary
胎儿,fetus,vagina,penis,testicle
燃烧,combustion,growl,crack,burn down
交谈,converse,converge,convert,convulse
累积,cumulative,to consume,submit an expense account,to consume
使活泼,activate,active,actuate,captivate
过时,untimely,unlikely,timely,ancient
非常宝贵,invaluable,valuable,invariable,noble
退却,recession,procession,remission,reception
白痴,idiot,edict,idiom,idol
污名,stigma,enigma,taint,honored
地窖,cellar,collar,pillar,pedlar
大型(的),bull,busy,bill,dull
使投入,plunge,lung,pledge,lunge
相应,corresponding,to exist,supply and demand,liable 
漠然,apathy,path,patchy,pithy
击败,defeat,feat,defect,defer
难懂,elusive,evasive,abusive,exclusive
遭遇到,encounter,counter,woodman,mushroom
组织,organization,tribe,member of standing committee,government branch
搭便车,hitchhike,kilovolt,resign,curious
提供,furnish,tarnish,furbish,burnish
定义,definition,definitive,system,clue
能知觉的,phenomenal,phenomenon,places of historic interest,phantom
柱廊,colonnade,integral,lukewarm,label
披风,mantle,mingle,mangle,candle
建筑式样,architecture,aluminium,gruel,turmoil
减去,detract,distract,retract,detect
失职,delinquency,to break the rules,haunt,lit.: draw legs on a  snake
作为结果,consequent,willow,testy,hutch
宽容,overlook,overwork,overload,show tender affection for
救援,rescue,residue,recur,reside
波掀洒,potion,motion,lotion,nation
调查,inquire,inquiry,enquire,inure
使转变(转化),convert,convict,covert,concert
可预言的,predictable,toll,revel,hotheaded
充满,fraught,fright,naught,draughty
取回,recapture,capture,rapture,to hold
祖宗,ancestor,ancestry,investor,people
强健,sturdy,study,surly,storey
卖肉的人,butcher,bother,ditcher,pitcher
运输,transit,transfix,transmit,trait
风景,scenic,scene,ascetic,scent
记者,journalist,journalism,copy editor,translate
断断续续,intermittent,hasty,weighing every word,haul
鼻孔,nostril,nostril,cave,aperture
仔细的查验,scrutiny,cookery,pi,perfection
变奏(曲),variation,valuation,aviation,carnation
环境,environment,appearance,air,way of life
快的,swift,shit,sift,soft
后勤学,logistics,choke,wrist,ascend
速度,pace,safe,pate,mace
(使)分离,segregate,aggregate,vocalist,occasional
(给演员等所作的)提示,cue,cos,ode,duo
船坞,dock,pock,jack,duct
膏药,plaster,platter,cluster,pastel
简洁,terse,three,verse,tyre
支柱,brace,brave,brake,babe
恶意,malice,slice,alive,valise
编辑,compile,compel,compete,compiler
雪崩,avalanche,burst,wreck,slide
克服,conquer,conjurer,consumer,concur
要求以…为条件,stipulate,simulate,stimulate,invite
残余物,remnant,instead,fabric,social
神经病患者,neurotic,erotic,neurosis,pocket
温文尔雅,urbane,urban,crane,bane
蝴蝶,butterfly,spider,bumblebee,fiery dragon
激励,motivate,mitigate,activate,mutilate
字母表,alphabet,liquidate,indigent,reach
丧失,forfeit,surfeit,forest,forget
坚持,adhere,ampere,sphere,adverb
论文,dissertation,a type of literature consisting mainly of short sketches,editorial ,An Outline Treatise of Medical Herbs, compiled by Li3 Shi2 Zhen1 李时珍
终于,eventually,eventual,honest,again
苛求,finicky,look forward to,to demand,to consider
失态,malpractice,unbending,determined,be slovenly
(厨房中的)洗涤槽,sink,stick,six,link
再制造利用(废物等),recycle,bicycle,tricycle,cycle
精英,elite,recite,bite,lime
勘探,explore,explode,export,expire
相当(大、多)的,considerable,squadron,overseas,hyperbolic
带眼镜的,bespectacled,ribaldry,sow,missive
冲动,impetuous,impetus,imperious,associate
选择,opt,lead to,day lighting,sampling
薄膜,membrane,embrace,blood,membrane
程序,procedure,procure,ranking,organizational structure
不可想象,unthinkable,metre,dash,foundry
按铃叫人,buzz,butt,bunk,bush
牛奶场,dairy,parry,wary,marry
机会,opportunity,moment,turn for the better,pertaining to time
海角,cape,care,gaze,safe
出现,emerge,merger,merge,energy
门诊,clinical,clerical,cynical,critical
鼻部,snout,tout,snort,input
保养,maintenance,recuperate under medical treatment,take a tonic or nourishing food to build up one's health,enrich the blood
(新闻等的)一则,item,steam,its,rite
类似,resemble,assemble,solemn,to resemble
进球得分,goal,gown,coal,coax
有影响的,influential,abed,flush,limb
片,segment,figment,cement,semen
今后,hence,thence,gene,fence
不平,uneven,seven,even,never
重要,significant,to make fun of,cheaply-priced,secondary
参加者,participant,sworn brothers,fellow,a stranger
发火焰,flame,lame,fame,plane
兑换成现金,cash,lash,clash,cart
合唱队的,choral,empty,inside,pervade
唱诗班的席位,choir,firsthand,fortitude,motormouth
增援,reinforce,enforce,express sympathy, greetings, consolation, etc.,consolation
窍门,trick,strict,trice,prick
(原子)核,nucleus,nuclear,pincers,colon
(嘴唇上面的)胡子,moustache,louse,ivory,calabash
窝,socket,sachet,packet,pocket
对策,strategy,stately,strategic,venomous scheme
屠杀,slaughter,daughter,laughter,assassinate
击中,hit,cot,hair,heat
分开,detach,deface,etch,retch
名誉,fame,mama,ape,ware
道德,morality,totality,mortality,moralize
手提箱,hold-all,bin,ashtray,thermometer screen
宣传,propaganda,to advocate,order or command,give somebody a task
(短暂的突发性)精神错乱,brainstorm,excrement,crust,saute
发射(导弹),launch,hunch,laugh,lunch
交际,communicate,membership,to reciprocate,battle of wits
散发,emit,evil,omit,edict
水力,hydraulic,hydraulics,grip,power
风景,scenery,scene,sentry,celery
狂风,gale,stale,gala,fare
传染(病),infection,inspection,insertion,injection
评论,commentate,roll call,supervise and urge,evaluate
指示,denote,devote,delete,note
使衰弱,wither,cipher,whither,jitter
(中纪世的)行会,guild,lung,animal,leukemia
断绝(关系),part,pat,paw,carat
瓶,flask,flail,flash,feast
传记,biography,geography,biographer,feature article
清楚,clarity,clarify,charity,laity
静脉,vein,very,yen,vend
黎明,dawn,man,dean,barn
冶金学,metallurgy,letter,frenetic,teller
共同,mutual,metal,ritual,mural
标明,designate,desiccate,appear,to show
宽恕,tolerate,tolerant,tolerance,operate
郁闭地沉思,brood,blood,broom,brook
好客,hospitality,pride,meekly,respectfully
螺旋桨,screw,sure,brew,sore
重新分配,redistribute,potluck,inlay,overhear
[,proceeding,bungalow,layman,forgive
行星间的,interplanetary,copper,boot,today
喷泉,fountain,mountain,contain,raindrop
倾覆,topple,tipple,ripple,couple
服从的,obedient,obedience,mourn,grindstone
(极度的)痛苦,agony,bony,atone,any
强调,highlight,report ,vindicate,to tell
推论,deduce,adduce,depute,reduce
碎裂,crumble,rumble,tumble,crumbly
急拉,jerk,jeep,era,park
平常,indifferent,peak,first-class,primary
外貌,semblance,spectacular,meet unexpectedly,sickly look
)眼镜,spectacle,cadaverous,tenure,hairdo
固定,stationary,stationer,stationery,manage  with difficulty
预言家,prophet,proper,prophecy,crochet
患风湿症,rheumatic,handful,secede,prominent
违反,infringe,fringe,to break the rules,to follow
构想出(主意,conceive,conserve,concise,connive
婚姻,marital,marshal,madrigal,marginal
声音沙哑,husky,husk,hussy,fusty
