#word,meaning,option1,option2,option3
低估,underestimate,guess,assumption,to insist on
真诚,sincerity,amiable,to rebel,hypocritical
撞,bump,plump,dumb,buy
惊吓,fright,light,alight,fight
工作室,studio,stucco,studious,stud
做礼拜,worship,workshop,warship,airship
空腔,cavity,cavy,laity,sanity
恐怖分子,terrorist,terrorism,tripe,compatriot
使…堵塞,jam,nap,par,damn
船舶失事,shipwreck,concussion,visage,jitter
相互作用,interact,intact,intersect,interject
猎物,prey,area,pray,pry
推测起来,presumably,presumable,life insurance,unexpected
经验主义,empirical,agnosticism,atheism,nationalism
情节,action,faction,traction,suction
可喜,grateful,graceful,ungrateful,plateful
洋槐,locust,oust,lust,robust
被俘虏的,captive,captivate,native,baptize
迷惑,dazzle,muzzle,dapple,dandle
山口,gap,wax,cape,gall
细丝,filament,firmament,lament,figment
成套工具,kit,dirt,pat,wit
进口,inlet,invert,inset,invest
命题,proposition,Swedish ,topic,organization
月亮,lunar,sugar,linear,lung
重要,responsible,elation,inexpensive,secondary
精力旺盛,vigorous,rigorous,timorous,youthful
偏斜,decline,recline,deadline,decide
战争,warfare,welfare,infantryman,US armed forces
耶稣,Jesus,versus,census,mess
害虫,pest,feat,nest,peat
教,tutor,juror,auto,motor
转移,divert,diver,divest,livery
(稻麦等的)穗,ear,jar,eager,hear
狂怒,fury,for,dry,curl
忧郁(的),melancholy,mixed feelings of grief and joy,grieved,to the satisfaction of everyone
留声机,gramophone,movable pulley,fixed pulley,telephone equipment
征服者,conqueror,conquer,wastrel,thief
启发,enlighten,lighten,to direct,to tutor
瞬间,instantaneous,of very short duration,many years,real time
格子,lattice,restrict at,underline,the Tropic of Cancer
会员人数,membership,platoon,calendar,steppe
前厅,lobby,bobby,lowly,lorry
柱(面),cylinder,calender,colander,cinder
逗乐,tickle,sickle,title,ticket
消费者,consumer,consume,conjurer,consider
使降给,degrade,deride,deprave,upgrade
酵母,yeast,beast,feast,eat
异常,singular,angular,insular,matchless
反驳,contradict,contract,provide an explanation,to vilify
长沙发,sofa,soda,song,sort
有(法律)责任的,liable,pliable,likable,nibble
系带,lace,slave,gage,glade
诱拐,kidnap,kidney,hoard,extort under false pretences
起源,derivation,privation,deviation,dedication
铀,uranium,nappy,wistful,zoologist
顽强,stubborn,drastic,as one wishes,frail
竖琴,harp,park,hat,hop
不讲道理,unreasonable,small,eloquent,garage
补偿,compensate,to lower,reissue,widen
举例,cite,antecedent,murder case,revolt
悬臂,console,consult,convoke,condole
照惯例的,customary,customer,forge,neutral
使与标准比较,standardize,misty,uncouple,pilfer
使免除,excuse,encase,excise,exude
电子学,electronics,political science,architectural,mathematic
雄辩,eloquence,eloquent,defend,argue over
戏剧效果,theatre,there,sheathe,wretched
卷曲,crisp,rasp,crib,brisk
劝说,persuasion,persuasive,percussion,blame
奴役,slave,shaver,save,starve
三者间的,triangular,above,triple,ambrosia
秃头,bald,lad,ball,bend
有病,invalid,valid,to be pregnant,grave danger
绝种,extinct,extant,extract,extent
看穿,foresee,forest,forester,forever
灰心,dismay,dismal,display,mislay
移置,displacement,convert,denial,corral
用公式表示,formulate,fortunate,formula,daily
使显得新鲜,freshen,fresh,escapement,vestibule
贴身衣,underwear,clothes,cloak,serge
集市,bazaar,market,place,scene 
人质,hostage,homage,portage,postage
圆满,satisfactorily,be a crack shot,not an example to be followed,precise
恐慌,panic,mania,pane,pail
和谐,harmonious,narrow,to be rich in,extensive
胜过,excel,except,excess,eel
定量,quantitative,output,index,degree
严厉,sharply,revolution,miser,progress
检查员,inspector,inspection,inspect,actor
养育,foster,poster,roster,duster
鱼雷,torpedo,torpid,tornado,bomb
空中加油飞机,tanker,sinker,tinker,canker
吞灭,devour,detour,devout,savour
告诉,impart,impact,implant,import
冲突,strife,strike,strive,trifle
糜烂,erosion,evasion,emotion,version
勇敢,courageous,outrageous,courteous,firm
解开,untie,until,entice,unzip
正确,correctly,initial,tight ,no risk at all
气喘,pant,punt,malt,ant
啄木鸟,woodpecker,woodpecker,peacock,pelican
嘲笑,sneer,skewer,steer,veer
热的,thermal,haul,idealism,bellyful
感恩节,Thanksgiving,retard,geriatrics,ion
地方行政长官,magistrate,tumultuous,mortality,fore
认出,recognition,to divert funds,to know what's what,fairly
迷人,charm,chasm,chord,chart
开始,commence,commerce,comment,commend
交流,intercourse,goodwill,to reciprocate,give-and-take
津贴,allowance,alliance,pension,remuneration
战斗,battle,wattle,cattle,bottle
在海外,overseas,overhear,overstay,overseer
解释,version,vision,session,tension
脆弱,frail,flail,drain,snail
普遍,universally,trivial,not worth,overlapping
能力,capability,competitive strength,hearing,workmanship
实验法,experimentation,recreation,fiction,meal
打,thrash,thrush,thrust,trash
共和国,commonwealth,realm,international,vassal state
相符合,coincide,concise,confide,concede
同等,coordinate,the same year,take the same action or view without prior consultation,to reside in
抱怨,grumble,crumble,rumple,rumble
触发,trigger,wringer,tripper,snigger
管乐器的声音,blast,yeast,lass,beast
搞糟,mess,mass,mask,mast
此后,thereafter,hereafter,last month,before
(水等)流掉,drain,brain,gain,grain
为…筑巢,nest,weft,beet,oust
霹雳声,clap,flip,clamp,slap
采纳,adoption,adoptive,option,abortion
调整,rectify,ratify,testify,certify
少女,maiden,raider,madden,garden
周围,ambient,the buidling or room opposite,next to,territory
活力,vigour,velour,rigour,vapour
不合适的,unfit,pundit,unit,knit
向前(的),onwards,pedicab,contend,subject
伙伴,ally,sally,sly,call
使挫折,baffle,bauble,raffle,muffle
窄条,strip,straw,stripe,syrup
处死刑,execution,executive,exaction,election
构成,constitute,institute,constipate,to intercommunicate
保护措施,safeguard,lifeguard,inlet,summit
感应,induce,insure,indulge,undue
侧面,flank,plank,funk,flame
滤过,filter,falter,jitter,fighter
腐蚀,corrosion,corrosive,to infringe on,a tooth for a tooth 
分解,analytical,analytic,comment,postscript
恳求,plea,plod,pea,clean
见识,insight,night,sight,knight
文具,stationery,stationary,stationer,thumbtack
沉默寡言的人,oyster,bolster,otter,mobster
妨碍,handicap,encourage,provoke,spoil things through excessive enthusiasm
联合抵制,boycott,defiance,new,cherish
烧焦,scorch,porch,coach,scotch
指南,handbook,bankbook,gesture,with one's hands clasped behind one's back
数字,numerical,numeral,oracle inscriptions of the Shang Dynasty  on tortoiseshells or animal bones,semicolon
立体声的,stereo,stele,stare,strew
光的,optical,topical,optician,optional
支架,mount,most,rout,mould
推断的结果,inference,difference,conference,deference
电工,electrician,mariner,indentured laborer,planer
胡闹,mishief,faking a modern object as an ancient one,to fake,provoke
内海,basin,bass,base,barn
固执,obstinate,to have good eyes,capable,book worship
迷住,enchant,entrant,trenchant,merchant
基督教的,Christian,Christmas,raiment,deck
料想,expect,expert,exert,export
偏差,deflection,to mistake,fault,length
特性,peculiarity,formidable,corrupt practice,surplus
犹豫不决,waver,lager,navel,baker
(织机的)梭,shuttle,scuttle,subtle,shuffle
补角,supplement,diagonal,obtuse angle,vertex angle
催眠术,magnetism,magnesium,magnetic,mannerism
活动,kinetic,genetic,kinetics,to flow out
中间体,intermediate,uncut,void,constancy
把…除外,except,excerpt,excess,exert
划破,rip,rig,nip,sip
使…被永久地接受,establish,fluent,adolescent,embitter
使屈从,bend,lewd,send,upend
季度,quarterly,taffeta,wary,feather
宾格,objective,subjective,adjective,objection
分界面,interface,interact,interfere,hormone
取代,displace,misplace,displease,display
丰富,abundance,abundant,appreciation,to cut down
活塞,piston,pastor,pistol,prison
副产品,by-product,output,minerals,name-brand product
分期付款,installment,compensation,installment,redeem
香气,incense,intense,increase,immense
软管,hose,note,tone,mouse
显然,apparent,parent,faint,legal
总管道,main,plain,grin,cabin
誓言,pledge,ledge,wedge,sledge
皮带轮,pulley,purvey,pallet,valley
乐趣,amusement,amazement,illusion,nightmare
不相容的,incompatible,lawless,elastic,twilight
毁坏,shatter,scatter,matter,spatter
(暗中)摸索,grope,scope,rote,grove
阳性,positive,position,punitive,neutral
象征,token,oven,joke,then
需要,requisite,perquisite,exquisite,requite
发牌者,dealer,header,eager,drawer
闭止音,mute,fume,cut,rite
钠,sodium,yield,cabman,pathos
回归线,tropic,topic,tragic,erotic
每盗船,pirate,irate,dilate,prate
边缘,marginal,virginal,margin,marital
队列,array,awry,ray,astray
使人伤心,sorrowful,refusal,prelude,lance
刺激因素,catalyst,analyst,cataclysm,build
喜剧,comedy,comet,comely,comply
开始,initiate,vitiate,initiative,initial
特殊,individual,specialist,top notch,matchless
难对付的,formidable,pantomime,collide,wan
把…再分,subdivide,supplicate,literacy,math
(肌肉)附着,insert,infest,indent,incest
(精力的)恢复,refreshment,to meet ,to be satisfied,to plot
(狗等)嗥叫,growl,grow,drown,crown
爱国,patriotic,patriotism,patriot,have a gnawing regret
调整,modulate,adulate,moderate,copulate
坚持,cling,flying,click,slang
大踏步走,stride,strive,strike,slide
确定…的数量,quantify,qualify,quantity,psychiatry
豹,leopard,casualty,dropout,adherent
相信,credit,accredit,edit,crest
贪心,greed,reef,grid,tree
不精密的,inaccurate,inaugurate,accurate,helium
汽车游客旅馆,motel,motto,model,mode
不在意的,absent,assent,resent,abject
动物脂,grease,grace,greasy,ease
反之,whereas,whereby,where,not less than
有影,shadowy,suspend,dubious,cultivate
机械装置,mechanism,mechanic,mechanics,mechanize
附近地区,vicinity,divinity,current,entrench
伸(头等),poke,yoke,pane,zone
变甜,sweeten,sweater,sweeper,swelter
细菌,germ,sperm,gem,beam
推荐,recommendation,appear ,to present,nominate
可耻,shameful,hateful,bold and unrestrained,well known
感染性的,infectious,infection,supersonic,auspices
退隐,retirement,refinement,conceited,resign
向东,eastward,bastard,dastard,westward
药方,prescription,note,leather belt,epistle
不满,dissatisfaction,feel embarrassed,to plan,unpeaceful
印刷工,printer,painter,planter,pointer
专制君主,tyrant,hydrant,trans,trait
绣制品,embroidery,embroider,mystery,disbelieve
(钟等的)摆,pendulum,pendium,headman,maturity
伤心,blue,flee,value,bole
基本,radical,medical,racial,rascal
赔偿费,compensation,fine ,earnest money,increase and decrease
鸽子,dove,doze,dope,tome
交替,alternate,alternator,alienate,successively
调度,dispatch,despatch,make up  a prescription,arrangement
训练,coach,couch,torch,notch
优越,exceptional,poor,outrageous,coarse
斜坡,descent,descend,desert,decent
犯罪,offence,office,fence,offender
类似,comparable,compatible,not less than,dignified
搂,hug,jug,but,mug
认为,reckon,beckon,rector,region
敌对,hostile,hostage,hustle,jostle
渡口,ferry,jerry,decry,merry
互利,reciprocal,break out,favorable,embarrassment
同一日期,even,vet,sever,eye
结核病,tuberculosis,epidemic,indisposition,internal  injury 
适时,timely,likely,simply,timer
柳树,willow,wallow,yellow,billow
控制,manipulate,insuperable,well-being,blockade
(旅馆等的)休息室,lounge,longer,ounce,rouge
腌制食品,pickle,cackle,prickle,suckle
明确的表达,formulation,concede,risk,tough
脚蹬,pedal,petal,pedlar,peat
宣布,declaration,congregation,give somebody a task,out of control
青铜色,bronze,booze,brine,blonde
积极,energetic,passive,weather-beaten,make nothing of hardships
装载的货物,shipment,headstrong,gallant,extricate
便宴,luncheon,truncheon,exhibition,seminar
发出爆裂声,crack,tack,brick,track
使复杂化,embarrass,probity,squash,corrugate
争吵,controversy,contradict ,hoot,scold
红宝石,ruby,rib,run,hubby
口角,row,slow,rig,do
愤慨,wrath,path,heath,truth
支撑,uphold,behold,hold,untold
使成群,cluster,bluster,clutter,fluster
冥想,muse,curse,musk,fuss
呈现,unfold,enfold,untold,unroll
卷,reel,reef,preen,peel
汽车道,motorway,doorway,motorman,motorcar
租契,lease,leaky,terse,least
主奏,preside,provide,pride,reside
取消,cancel,conceal,chance,cancer
(工具的)柄,shaft,shaky,shift,shunt
无力,inertia,inert,walk with difficulty,weak
卷绕着的线,winding,ocular,programme,salutary
擦热皮肤,friction,fiction,diction,traction
起跑线,scratch,catch,scratchy,screech
使通风,ventilate,ventilator,random,shall
派系,split,splint,slit,slim
赠送,presentation,to authorize,request sb,transfer
精明,prudent,ardent,prudence,imprudent
臭名昭著,notorious,immortal,glory,be unpopular
(性格等)严峻的,rigorous,vigorous,riotous,timorous
对应,correspondence,to demand,to provide,to satisfy
使腐朽,decay,delay,decry,deny
杜鹃,cuckoo,root of Chinese pulsatilla,myna,lark
传感器,sensor,censor,sensory,senior
使超载,overload,overcoat,overlook,overland
畸形的动植物,monster,mobster,rooster,roster
提供资金,finance,fiance,financier,inane
柴油发动机,diesel,tinsel,dispel,mechanical
抬高,elevate,elevator,delegate,legate
猩红色,scarlet,carpet,scare,scale
开槽于,groove,grove,grouse,grope
迷惑,bewilder,builder,to cheat,to fool
强烈希望,urge,urn,surge,gorge
埃及人,Egyptian,lecture,snuff,liable
新生,regenerative,up-to-date,ruined,depressed
录象,video,vide,rider,side
同谋,pal,bag,pi,park
夹住,clamp,cramp,clap,flame
目标,end,seed,wend,old
向前(的),onward,downward,forward,inward
无比精确,perfection,perception,immodest,invocation
沟,gutter,latter,potter,letter
刊登,carry,tardy,caddy,fairy
夹入,sandwich,fiord,breathe,vertical
附属物,satellite,whole,solid,the root cause and symptoms of a disease
斜向一边,sideways,sidewalk,outsell,jeopardize
可移动的,portable,notable,porthole,workable
有效(性),availability,publisher,convey,fish
弯的,crooked,meditate,mermaid,cloth
奢侈,extravagant,attentive,intermittently,to take care
(使)旋转,rotate,route,relate,estate
海峡,strait,straiten,train,strain
不规则,irregularity,not know what sb,miraculous,comical
层位,horizon,transact,tweak,tough
规定,define,refine,defile,decline
吃早餐,breakfast,skirmish,garnet,latent
隔离者,insulator,insulate,insular,incubator
白肤金发碧眼的人,blond,blonde,bond,loud
橄榄,olive,alive,oxide,live
一段情节,episode,epitome,epistle,viper
(人的)体格,constitution,vision,originality,style of drawing or writing
推测,gather,lathe,wither,bathe
使专门化,specialize,speciality,specialist,socialize
作长途徒步旅行,hike,bite,wire,mile
翻来复去,toss,gloss,host,boss
不安,uneasy,greasy,queasy,easy
上帝,Heaven,fairy,angel,Jesus 
主要,principally,basic,it doesn't matter,secondary
战术,tactics,tactile,tactical,lactic
同时,simultaneous,despite,although,direction
(使)烦恼,fret,tree,rest,area
仓库,storage,store,stage,steerage
周期的,periodic,periodical,period,economist
石英,quartz,quart,quarry,quarter
达不到的,inaccessible,duration,hour,scarcity
景致,landscape,mirage,ornamental,formula
无缺点的,faultless,fruitless,articulate,unable
蛇(尤指大蛇或毒蛇),serpent,sergeant,ferment,segment
交响乐团,symphony,symphonic,production team,tribe
狂暴,violent,silent,violence,violet
固有,inherent,indecent,incoherent,interest
行人,pedestrian,tourist,vagabond,passenger
不考虑的,irrespective,as a result,simply,cannot stand
反省,meditate,mediate,militate,dedicate
由此,thereof,there,thereby,to follow
突然袭击,overtake,overtime,overture,overstate
大批,multitude,altitude,arch,polysaccharide
开方,evolution,revolution,resolution,devolution
中子,neutron,neutral,atomic,quantum
变成,fall,fame,file,film
消费(量),consumption,find time in the midst of pressing affairs,cause to perish,scrub
感激,appreciation,moving,use one's head,one's desire, enthusiasm or interest is aroused
惊奇,astonishment,fright,attain enlightenment,withdraw
假设,postulate,postdate,populate,only when
空想,fantastic,fanatic,exciting,to make up one's mind
侍从,dependant,maternal grandfather,around,despotic landlord
飘动,flutter,clutter,flatter,shutter
收入数目,revenue,revenge,reverse,revere
贿赂,bribe,gibe,brine,arise
推敲,thresh,fresh,threat,thrash
(在市场上)销售,market,carpet,garnet,marked
后代,offspring,aunt,close friend,father's elder brother
权利,claim,maim,chain,flail
协调,chord,chore,herd,sword
任务,undertaking,human rights,authority over the household,a  mission
头向前的(地),headlong,headline,headland,woody
使人厌倦,tiresome,be in love with,universal love,patriotism
带柄水罐,jug,gun,mug,jig
巨大,gigantic,fig.: flamboyant,negligible,weak
抵押,mortgage,mortgager,mortgagee,montage
先前,fore,fork,sore,yore
缄默,reserve,preserve,deserve,reverie
住所,lodging,wired,circuit,at the scene
照做,comply,comely,imply,comity
宴请,dine,whine,fine,site
北极,arctic,hectic,narcotic,lactic
授予物,grant,rank,giant,grange
肾,kidney,kidnap,eggshell,organ
评论,observe,deserve,conserve,observer
不一致,disagreement,frequent,marshal,polite
种,species,specs,specimen,specie
傍徨,hover,lover,over,hoe
起居室,sitting-room,villa,study ,presidential palace
海龟,turtle,startle,hurtle,tussle
频率,frequency,frequent,many years,spread fast
活跃,alert,abort,adept,aver
(用力)扔,fling,blind,glint,offing
保存,preservation,to look for an opportunity,homing,deposit
鼓起的,plump,lamp,plum,plumb
护卫,escort,short,sort,exhort
拖引,tow,brow,for,zoo
果皮,peel,meet,peek,pen
传教士,missionary,visionary,unusual,White bandits
末梢,peripheral,history,initial,experience
壁碗橱,closet,corset,comet,lose
假设,hypothesis,or else,in short,be due to
修改,modification,to excerpt,compile,publish
定理,theorem,there,theory,target
粉碎,smash,dash,sash,slash
究竟是谁,whoever,whenever,hover,wherever
平凡,commonplace,upper class,good,supreme
过高估计,overestimate,receive,Japanese,telltale
相反的(地),counter,count,hunter,encounter
小集团,faction,suction,action,fiction
讨厌,undesirable,universal fraternity,have a gnawing regret,spoil 
嚎叫,howl,scowl,foul,boil
使容易,facilitate,tend,somewhere,shrine
把钱存入银行,bank,bind,cask,balk
新的,novel,hovel,move,nosey
掠夺,plunder,bounder,pander,launder
出现,offer,duffer,coffer,other
浮标,float,foal,floor,coat
骚乱,riot,soot,rind,lot
分岔,diverge,diverse,verge,divorce
监房,ward,walk,fare,want
线接头,terminal,seminal,terminate,terminus
照字义,literally,literacy,literary,literal
概括,generalization,make something prominent,soak,to occupy
目不转睛,intent,intact,invest,inject
承认,acknowledge,lash,publicly known,refute
对称(性),symmetry,brief,to be full of,balance
灯头,burner,turner,burden,murder
二氧化物,dioxide,oxide,divide,diode
投影仪,projector,projection,protector,prosecutor
漏,leakage,cleavage,breakage,closed doors
说明,exposition,position,deposition,opposition
用车床加工,lathe,lather,bathe,gate
裁决,rule,ruse,dude,rustle
独特,distinct,district,distance,indistinct
成体系的,systematic,geology,cup,taxi
外,strange,estrange,straggle,stranger
裂隙,flaw,flap,law,fiat
鉴诫,warning,lesson ,alarm bell,to hit
标准,norm,nor,worm,dorm
(量得的)尺寸,measurement,horsepower,tripartite balance of forces,extremely
藏衣室,wardrobe,hammock,bed,screen
为了,towards,coward,upwards,by
裤子,pants,paste,pasty,cant
招呼,hail,tail,pail,hairy
完满,completion,complexion,irrelevant,norm
周(边),perimeter,parameter,hardness,longitude
送洗衣店去洗的东西,laundry,foundry,sundry,launder
海底电报,cable,maple,cave,cobble
淫猥,filth,birth,filmy,fist
谷粒,kernel,kennel,vernal,keel
烃,hydrocarbon,butane,mercury,crystal
优越(性),superiority,balance of power,to incline,inferior
雕刻品,sculpture,scripture,culture,sculptor
聊天,ramble,sample,rabble,rumple
指导者,instructor,instruct,auntie,coach
揣测,presume,resume,prelude,presage
迄今,hitherto,hither,time immemorial,the day before
弄歪,distortion,rectify,to amend,failure to do one's duty
莽丛,jungle,jangle,juggle,judge
髯,whisker,whisper,wicker,thinker
圣书,scripture,stricture,scriptural,sculpture
相反,inversely,certainly,that sort,facing
战斗机,fighter,tighten,lighter,filter
救世主(耶稣基督),Christ,jurist,thrift,wrist
清洁,cleanliness,turn white hot,imbalance,nervous
迅速,velocity,ferocity,felicity,next to
弟子,descendant,ascendant,defendant,master
下薄雾,mist,mitt,mister,lift
丘庇特,Jupiter,kinswoman,cigarette,when
命令,bid,give somebody a task,to announce,publicize
恶意,spite,pipe,sprite,spree
订阅费,subscription,be perfidious,to put into practice,invite with sincerity
啄,peck,meek,seek,hack
女神,goddess,goodness,godless,a way out 
排列,range,orange,fang,anger
细长,slim,whim,slit,maim
全然,sheer,cheer,sheen,sheet
正常化,normalization,irregular,tedious,pitiful
用网捕,net,hit,not,next
摄影术,photography,discourse,filial,register
唉,alas,flap,atlas,slap
大豆,soy,cucumber,pea,tomato
代议制的,representative,quit,shear,flute
风景,sight,slight,might,right
谴责,denounce,announce,renounce,keep secret
仁慈,merciful,various countries,else,what
病症,sign,side,silk,shun
冒犯,offensive,defensive,all's fair in war,provocation
强制力,constraint,constrain,constant,constrict
罗马人,Roman,undue,pock,calve
第一流的,first-rate,distinctly,clever,fig.: flamboyant
唇膏,lipstick,watch glass,cologne,rouge
不朽的,eternal,external,ethereal,paternal
传单,leaflet,half fare,list of items,credentials
足够,ample,maple,apple,mole
标高,elevation,elation,legation,elevator
球形,spherical,oval,formation,ring-shaped
协作,team,teem,ream,tea
美人,Venus,burly chap,scarecrow,skeleton
使(颜色等)显现,develop,envelop,orator,dialogue
工(作)件,workpiece,insidious,tragedy,vector
物品,ware,make,gate,award
扫描,scan,scale,scar,saw
(马戏的)小丑,clown,brown,corn,clock
加热的人,heater,later,deter,weaver
轴的,axial,axiom,racial,dial
攻击,assault,assail,accepted ,certain
(使)倾斜,tilt,taint,tiny,tile
摆动,wag,mat,hay,wax
旅馆女老板,hostess,hostel,possess,byway
意义深长,pregnant,pregnancy,pennant,poignant
锅炉,boiler,bole,border,bile
必不可少,indispensable,it doesn't matter,scratching the surface,acquaintance
使波动,fluctuate,inane,sticky,adaptation
许可证,warrant,arrant,variant,warranty
细微,nice,spice,naive,niece
啃,gnaw,gray,law,know
可疑,suspicious,suspicion,auspicious,normalization 
小提箱,suitcase,nutcase,case,bellows
微波,microwave,wave crest,surge,wave
(基督教的)主教,bishop,shop,mishap,bison
公正,impartial,partial,martial,imperial
摩天楼,skyscraper,large building,city gate tower,palace
朝代,reign,deign,weigh,resin
契据的附面,follower,flower,follow,assert
锄地,hoe,rod,how,whole
沉睡状态,slumber,slobber,plumber,lumber
美洲狮,panther,planter,lather,father
复杂,complication,troublesome,overlapping,in detail
碰撞,collide,college,confide,collate
局(或署、处等),administration,moreover,scream,mothball
难以满足,difficult,difficulty,tactics,eloquent
许愿,vow,top,mom,hoe
范畴,category,discrepancy,palm,surplus
食物,nourishment,fodder,smoke and fire,vegetarian food
晚辈,inferior,interior,anterior,inferno
精心,thorough,through,trough,though
养在家里,domestic,cheerful,elevation,porcelain
请愿,petition,edition,position,sedition
永久,perpetual,perpetuate,interim,real time
禽肉,fowl,owl,fail,howl
不完全的,incomplete,complete,pied,infidelity
环境,environmental,phenomenon,premise,requirement
责任,obligation,oblation,monarchial power,regime
应当,bound,have to,worthwhile,not worthwhile
有利,profitable,dominate,insurmountable,persecute
诊断(疾病),diagnose,diagnosis,negligent,vessel
轰动,sensation,cessation,to influence,pollution
以前,formerly,until now,the day before,not long before
(举止、服饰)雅致的,elegant,elephant,relevant,elegance
现有,forthcoming,hand down ,support,heat preservation
复杂(性),complexity,complicity,complexion,glue
骨缝,seam,sedan,team,sell
(建筑物等的)位置,situation,citation,station,saturation
体制,framework,Arabic ,annalistic style ,style
预定,destine,destiny,destined,vestige
术语汇编,glossary,hell,ordinance,false
不锈,stainless,painless,sinless,stateless
缩小,miniature,to spread,contract,popularize
闲逛,stroll,unroll,droll,roll
议定,negotiate,negotiable,to determine,dealing with concrete issues
最外面的,outermost,clash,savoury,sprinkler
葡萄干,raisin,rising,rain,resin
寄存物,deposit,depot,depose,depositor
孤傲,exclusive,exclusion,explosive,inclusive
使减到最小,minimize,maximize,idolize,trusty
激怒,irritate,to confuse,contradict,vex
(轻微地)颤动,quiver,liver,quaver,shiver
辩护律师,attorney,instructor,detective,to judge
交易,transaction,to output,volume of trade ,foreign trade
丝毫,damn,darn,ham,amp
跟踪,scout,lout,stout,south
班船,liner,life,linear,fine
堡垒,fortress,barracks,city gate tower,bunker
(使)背离,deviate,devise,dedicate,deflate
经济学,economics,economic,economist,economical
幸存者,survival,survivor,survive,surgical
悲剧性的,tragic,tropic,train,magic
南(北)极的,polar,molar,solar,poll
靠那个,whereby,whereas,thereby,hereby
陆军元帅,marshal,marsh,martial,marital
得体,tact,teach,cart,tack
符合,answer,antler,anger,be a speculator 
乳白色的,milky,misty,murky,silk
冻,jelly,hello,sell,delay
蟾蜍,toad,lizard,frog,viper
参与,participate,overthrow,ask about,meddle
食品柜,pantry,poetry,paltry,party
表示,signify,dignify,dignity,magnify
古物,antique,unique,remnant,supply
婚约,engagement,peace treaty,clause ,factory regulations
机能上的,dynamic,dynamics,dynamism,dynamo
无,nought,naught,tough,ought
互相关联的事物,correlate,corrugate,ago,July
历史性的,historic,historian,historical,history
(宽大的)睡衣裤,pyjamas,ribbon,effectual,acidify
装饰品,ornamental,ornament,cologne,lace
使麻痹,paralyse,speech,quotation,commence
施舍物,handout,candour,handful,specimen
蚀变,alteration,iteration,fop,aspirant
大陆,continental,meridian,east longitude,south pole
使缠结,tangle,bangle,wangle,tongue
(物体的)尖端,peak,peek,zeal,park
独唱曲,solo,polo,silo,golf
盗窃,theft,they,heat,teat
提出(议案等),introduce,notably,gait,shut
嘲笑,scoff,score,scarf,scoot
满期,expire,excise,spire,empire
压碎,squash,splash,squall,sash
神秘小说,mystery,mastery,master,muster
哺乳动物,mammal,mamma,mama,mammon
(时间等)支出,expenditure,wear and tear,waste,transfer money from|into an account
爱国者,patriot,patrol,patron,patriotic
惊奇,marvel,carve,navel,cartel
跳,skip,shin,ship,ski
盖印,impress,empress,express,press
散文,prose,pose,arouse,arse
通常,ordinarily,not simple,only,pretty good
悲伤,grief,grip,greed,brief
赤道,equator,equation,equate,squalor
金属,metallic,egg yolk,nickel,albumen
光线,radial,fireworks,incandescence,moonlight
砍倒(树等),fell,hello,loll,heel
适当,fitting,troublesome,to fit well ,portable
践踏,trample,grapple,example,bramble
通函,circular,circulate,declaration form,order for goods
冰冷,icy,if,day,in
敏感(性),sensitivity,mason,caulk,enzyme
持续,persistence,unlimited,often,always
用于切割的器械,cutter,jitter,clatter,butter
迂回,roundabout,to invade and attack,long-range raid,to check
勤劳,industrious,skilled,make nothing of hardships,haul
经常的恐惧,nightmare,pickle,magnetism,proverbial
修道士,monk,mink,moan,ok
预先装置,preset,wrest,prose,present
浪漫文学,romance,stringent,cloche,poignant
加润滑油,lubricate,fabricate,lubricant,shipwreck
硬度,stiffness,longitude,hardness,strength
多方面的,versatile,immunize,hungry,privation
约定,undertake,underrate,undertone,understate
主茎,stalk,tall,stank,sack
排斥,reject,defect,inject,erect
投票,poll,hull,spool,polo
仅仅,barely,namely,rarely,barley
反映,mirror,micron,error,marrow
崇拜,adore,adorn,galore,score
传动装置,jack,hack,dock,tack
寂静,stillness,illness,bustling,to crowd
