#word,meaning,option1,option2,option3
使接触,contact,context,concoct,content
悲痛,sadness,harness,hardness,anxiety
诱骗,trap,wrap,rap,straw
赞成,approve,reprove,approval,apprise
使具有资格,qualify,quality,quantify,nullify
狂怒,rage,enrage,wage,mirage
繁殖,reproduce,produce,adult,alive
人口,population,modulation,long distance,length 
社交,social,facial,local,special
处,prescribe,describe,proscribe,vaseline
指挥,boss,loss,posh,toss
自发,spontaneous,unofficial,at first,ready made
石油,petroleum,gasoline,tar,kerosene
不安定的,restless,mournful,to be anxious,painful
坚果,nut,rut,hurt,mot
抱歉,regret,regress,retreat,secret
出产,yield,geld,field,yell
助长,encourage,entourage,courage,exert 
窑洞,cave,mauve,wave,calm
愉快,pleasure,measure,treasure,please
经理,manager,manage,anger,manner
崩溃,collapse,collate,not do one's best,be defeated
黑人,Negro,metro,hero,zero
替换物,alternative,chancellor,caper,victimize
财富,wealth,health,wealthy,wrath
看不见的,invisible,divisible,visible,invincible
说明,illustrate,lies in,to come from ,omen
价格,cost,pout,corset,sort
范围,sphere,there,scheme,cohere
揭示,reveal,ravel,renewal,rebel
杂草,weed,deep,need,deed
知觉,consciousness,malice,ill,inspiration
最小量,minimum,minibus,minimal,maximum
所谓,so-called,to display,it could even be said,so-called
目标,destination,reason,thing,vigor of strokes in calligraphy or drawing
资源,resource,source,recourse,renounce
经过,via,sit,hie,vie
有利,beneficial,insuperable,to surpass,dominate
遍及全球,world-wide,eulogy,rump,wittingly
基本,basic,bash,baste,music
票价,fare,harm,face,fort
负责人,principal,principle,general manager,minister of foreign affairs
暴涨,jump,dumpy,jumpy,hump
清白,innocent,insolent,indecent,indolent
推论,infer,inner,infirm,winner
热情,enthusiastic,generous,modesty,be concerned about face-saving
访问者,visitor,visor,vision,visit
认识,recognize,to know,chew,pay attention to
海军的,naval,natal,nasal,ravel
进行,proceed,process,to follow the same road as,to go around
永久,permanent,pertinent,of very short duration,a long time
嘿,well,tell,deal,wail
售货员,salesman,talesman,statesman,workers
短上衣,jacket,bucket,racket,jack
有价值的,valuable,palpable,invaluable,variable
搬运工人,porter,portent,sorter,ponder
升降机,elevator,elevation,elevate,elector
四十,forty,fort,horsy,lofty
欺骗,deceit,deceive,descent,debit
流动,flow,flop,flog,follow
装载量,burden,burner,murder,border
卵石,pebble,gabble,feeble,rubble
用拳猛击,punch,bench,parch,hunch
新鲜,fresh,flesh,crash,brash
理性,rational,national,optional,ration
缝补,mend,mood,mind,ten
图,graph,grape,grant,drape
工具,means,magnetic tape,floppy disk,mechanical person
翻译,translate,translate and edit,to arrange,written translation
间接,indirect,indigent,direct,misdirect
舰队,fleet,free,sleet,flee
了不起的,marvelous,consummate,gander,grocery
瞳孔,pupil,puppy,pull,pail
耳机,phone,hone,none,prone
段,paragraph,evidence,passport,board 
用,employ,employer,empty,employee
塞,plug,plum,mug,glum
一轮,round,mound,rotund,road
配备,equipment,to do business,arrange for,deploy
烟斗,pipe,pile,pique,pink
页边的空白,margin,marine,magic,bargain
教养,culture,vulture,suture,sculpture
平滑,smooth,moot,scoot,month
编织,knit,whit,pit,knife
注意,attentive,retentive,attention,to worry about
语法上的,grammatical,course,scourge,ducky
公分,centimetre,centimeter,square ,kilogram
职责,responsibility,jurisdiction,burden,inheritance
妨碍,interfere,intercede,interface,intervene
橙,orange,range,grange,forage
先令,shilling,counterfeit currency,ingot,renminbi
网络,network,outwork,cobweb,to flow out
浴室,bathroom,washroom,bathrobe,bank
严重性,gravity,gratify,brevity,granite
捏造,invention,intention,convention,injection
说谎的人,liar,load,lab,learn
静的,static,state,status,attic
归还,restore,resort,respire,rector
大学,university,diversity,educational institute,high and middle
国际,international,the world,nationwide,neighboring countries
直到最近,up-to-date,era,contemporary,before Christ
少数,handful,handout,harmful,thankful
火鸡,turkey,purvey,turret,turner
刺耳,harsh,marsh,hoarse,hash
雇工,employee,employer,employ,moviemaking
认真,earnest,harvest,garnet,harness
林荫道,avenue,venue,avenge,averse
时常发生,frequent,request,frequency,feedback
部分,partially,partial,partiality,dual
拼合,piece,apiece,pierce,pine
加拿大,Canada,Switzerland,Nepal,developed nation
醋,vinegar,linear,vineyard,topsoil
蜡,wax,say,wag,oar
坚固,substantial,small and weak,wee,coarse
澳大利亚,Australian,Chile,Dominica,Afghanistan
酒精,alcohol,alcoholic,tar,oil
部落,tribe,stripe,trip,bribe
奇怪,queer,queen,quiet,super
嘈杂,noisy,nose,rosy,oily
悔悟,repent,repast,recent,resent
立即,instantly,instant,merely,not simply
应受,deserve,desire,observe,deceive
吼,roar,rod,moor,pear
命令,order,murder,fodder,other
在别处,elsewhere,assembler,craftsman,republican
通路,passage,massage,assuage,postage
抚恤金,pension,passion,tension,session
剃刀,razor,vapor,major,favor
必要,essential,dear ... ,grave,astonishing
使用,apply,apple,appal,reply
施恩惠于,oblige,obligate,beige,online
集合性的,collective,corrective,collection,smile
幸运,fortunate,formulate,fortune,break out
区,district,distract,distinct,restrict
严重的缺乏,famine,family,fine,canine
见识,sense,hence,lens,dense
使闪亮,flare,flank,blaze,flora
人类,mankind,unkind,per person,person selected 
追求,chase,cask,chaos,chafe
缓和,ease,case,crease,erase
麻烦,bother,other,mother,brother
使痛心,hurt,hug,fury,hunt
圆周线,circumference,rise steeply,oblate,ups and downs
一致,accordance,of the same age,all things tends in one direction,roommate
细长,slender,silencer,leader,sender
风筝,kite,pile,life,mute
例外,exception,deception,reception,perception
相符合,correspond,gunshot,dishonour,nominate
流行性感冒,flu,slur,flue,fry
哀痛,mourn,sour,mourner,moult
编织针,needle,need,needy,feeble
弯腰,stoop,steep,spook,swoop
把…隐藏起来,conceal,congeal,conceit,concept
移动,movement,pavement,moment,monument
粗的,coarse,hoarse,course,coast
地道,subway,sway,runway,be worth reading a hundred times
狐狸,fox,row,fro,six
爱人,beloved,belated,medium,medium
劣质,cheap,chap,head,chop
使纯净,purify,purity,parity,petrify
指定,assign,passion,sign,design
弯,curve,purge,curry,sure
供给,supply,sully,supple,simply
产品,product,project,produce,producer
空洞,hollow,hallow,billow,follow
公布,publish,polish,publisher,rubbish
广泛,extensive,expensive,extension,intensive
无容置疑,undoubtedly,no more,finally,to follow
声音,sound,son,solid,soul
计算,count,haunt,brunt,mound
盗取,robbery,robber,jobbery,roguery
稳定,steadily,readily,steady,peace
责备,blame,blare,bale,elate
单只,odd,old,bad,oak
蒸发,evaporate,elaborate,melt,scorched
呻吟声,moan,moot,groan,maw
草莓,strawberry,coconut,pineapple,apple
因素,factor,actor,factory,tractor
陈述,statement,chat,record,make a descriptive record 
欧洲人,European,Europe,patriot,European 
洗头,shampoo,wash,rinse,pool
技术性细节,mechanics,mechanical,mechanic,mechanism
颤动,vibrate,irate,liberate,violate
表面,superficial,spiritual,foundation,focal point
呼吁,appeal,appear,anneal,appal
选举,elect,elector,enact,reject
恼火,sore,cork,sure,so
少女,maid,acid,main,wait
表明,proclaim,reclaim,response,it could even be said
很少,rarely,rely,purely,barely
牧羊人,shepherd,woodman,hunter,peddler
汽车,auto,acute,nut,author
当然,certainly,certainty,certain,else
展览,exhibition,mora,art exhibition,to drink as the result of having lost a bet
弱点,weakness,strong point,abuse,selfish interest
同意,permission,percussion,remission,emission
占领,occupy,occult,occur,to hold
险峻,steep,strap,esteem,stern
精神,spiritual,make no comment,stun,to excite
叶轮机,turbine,urbane,turbid,urine
收受者,receiver,received,receive,deceive
事故,accident,Occident,accent,accidental
在…的那边,beyond,behold,belong,second
侮辱,insult,insert,input,insure
或有,probable,probably,probate,improbable
照着,accordingly,shine,scattering,dart
同盟,league,ledge,meagre,eagle
克,gramme,grange,grace,gram
制度,system,sister,oyster,stem
停止,quit,oust,quip,aunt
过程,process,profess,princess,prowess
教授,professor,processor,profess,profession
冷颤,shiver,spider,liver,shimmer
消遣,pastime,pantile,passive,paste
工程师,engineer,engine,engender,sculptor
完全,full,fill,hell,hall
卷,coil,hail,evil,oil
妨害,obstacle,inexpensive,detrimental,guard
领域,realm,real,ream,realism
唱,sing,sling,stink,single
鬼魂,ghost,host,boost,gloat
请求,request,bequest,frequent,quest
终有一死,mortal,martial,mortar,oral
珍宝,treasure,treasurer,pleasure,treasury
机械,mechanical,technical,mechanics,mechanic
堂兄弟,cousin,consign,coin,coffin
渴望,anxious,envious,noxious,to demand
祖母,grandmother,maternal grandmother,family member,maternal grandfather
荒谬,ridiculous,shoot with great precision,robust,not an example to be followed
接受,reception,perception,retention,inception
化合,combination,integrated ,synthesis,count
团结,union,onion,lion,unison
警戒,protect,pretext,protract,prefect
冒险,risk,kiosk,disk,rip
遭受,suffer,summer,duffer,buffer
使落下,drop,from,rob,troop
路线,way,gap,sway,nay
附上,enclose,encore,encase,enclave
当代,contemporary,beginning of an era,ancient times,dynasty
连续不断,continuous,contiguous,always,since the beginning of history
活动,activity,acidity,activist,nativity
周围的事物,surroundings,atmosphere,way of life,requirement
完成,achievement,widespread,routine,tarry
拉紧,tense,venue,test,tease
报答,reward,regard,inward,record
不需要的,needless,seedless,heedless,endless
供应,accommodate,run parallel,supply,supply and demand
瞪眼,glare,snare,glade,gage
必然,necessary,accessary,necessity,honest
给…权利,entitle,title,entity,entire
居住于,inhabit,inhibit,inherit,cohabit
损害,damage,damask,ravage,manage
所有,ownership,outer,valuable,including
评论,criticism,criticize,supervise and urge,judge
校正,adjust,just,dust,adult
蚊子,mosquito,ticker,sear,rescue
梁,beam,feat,perm,steam
同事,colleague,college,to handle,to inherit
限制,imprison,prison,excited,to promote
创造性的,creative,creature,relative,creation
未被占用,vacant,recant,vaunt,vacate
腕,wrist,arise,exist,crest
打滚,tumble,gamble,treble,humble
支撑,support,sport,supporter,supper
猜疑,suspicion,suspicious,conviction,earnest
呼啸,scream,stream,screen,cream
不幸,unlucky,without a hitch,to rise to power and position,fail to materialize
兽群,herd,head,end,word
正式,formal,focal,format,normal
额外,extra,extort,extol,era
演出,performance,to play a small role,step down ,suit the remedy to the case
装备,equip,quip,quit,squib
汽油,petrol,petrel,petal,patrol
防务,defence,defect,defiance,deference
主要,mostly,misty,costly,motley
飞行,flight,weight,delight,plight
马具,harness,sadness,darkness,earnest
负的,minus,minuet,minibus,anus
肯定,definite,infinite,deficit,define
谜,riddle,addle,cuddle,coddle
激烈,stormy,stodgy,stray,storey
结合,complex,comply,compiler,compile
混合,mixture,mitre,fixture,mature
烘箱,oven,one,haven,open
狡猾,cunning,turning,burning,inning
借出,loan,moan,wean,roan
战役,campaign,foot,the Eight Power Allied Force,rebel army
音乐,musical,musician,medical,music
快乐,cheerful,heedful,grovel,to bow
洪流,torrent,portent,torment,orient
徒劳,vain,saint,vase,gain
害怕,fear,fell,swear,tear
请求,application,pry,to participate ,my presumptuous request
海港,seaport,report,teapot,sport
发疯,mad,map,mud,ray
内衣,vest,crest,weft,nest
居民,resident,president,evident,reside
蒸汽,steam,steady,teem,steamer
例证,illustration,antecedent,homicide case,storm and stress
坟,tomb,toss,tome,tot
稍微,slightly,almost, nearly,more than,rather
松树,pine,aide,kite,live
实质,substance,the surface of the river,highland,cornerstone
解开,loosen,noose,louse,loose
点,point,print,joint,flint
被发现的事物,discovery,discover,percolator,parcel
内,interior,anterior,inferior,exterior
橡皮,rubber,runner,robber,rubble
不象…,unlike,online,manlike,like
认错,apologize,analogize,negative,attack 
公制,metric,emetic,meteoric,metre
显微镜,microscope,microscope,towel,broom
复合,multiple,multiply,mixture,assign
长凳,bench,drench,French,inch
年少,senior,sender,sensor,senator
宽厚,generous,onerous,upright and outspoken,immoral
炮弹,shell,shelf,shall,shrill
环形物,ring,ripe,rice,rig
环境,setting,dreamland,way of life,premise
女主人,mistress,mattress,distress,mistrust
碎块,fragment,figment,fragrant,raiment
真实,reality,realty,realize,realism
技术,technique,capacity,eloquence,ability and sagacity
染色,dye,dime,dyke,daze
辞职,resign,resist,reign,design
松弛,relax,replay,lax,relay
农作物,crop,cop,clip,chop
证明…是正当的,justify,testify,mystify,justice
有技能的,skilled,skill,killer,make nothing of hardships
隐蔽,secret,sect,sacred,regret
发射,transmit,transit,transact,transfix
第一,first,fist,frost,forest
第十二,twelfth,tenth,twelfth,ninth
抵挡,withstand,washstand,force majeure,attack
夜半,midnight,twilight,nighttime,white night
甜的,sweet,sweat,steer,sheet
冒险,adventure,adventurer,venture,denture
领域,province,provide,prince,wave band
东方,oriental,four-way,3D,space
胡须,beard,mead,lard,bread
套,case,cadre,scale,cane
马克思主义的,Marxist,emery,positive,formal
合乎体统,proper,prayer,propel,power
钟面,dial,din,dual,viral
表示,express,repress,empress,impress
纪律,discipline,commandment,judicial,sin
住处,dwelling,workstation,residence,base
几乎不,scarcely,scarcity,scarce,flora
水坝,dam,him,dab,harm
模,pattern,spatter,pottery,latter
收养,adopt,abort,adapt,adorn
零钱,change,range,hanger,chaste
豆,bean,bran,near,bead
封皮,envelope,antelope,envelop,"Times" 
恩惠,mercy,mealy,march,merry
典型,typical,atypical,cynical,topical
覆盖,cloak,croak,clock,clap
不一样的,diverse,inverse,diverge,diver
分离,separately,to converge,to reunite,in large numbers
闪,flash,flush,lash,flashy
适合,fit,apt,it,vet
一串,string,spring,strange,stingy
哼,groan,broad,grand,organ
含糊,hesitate,testate,heritage,meditate
黄铜器,brass,brawn,crass,dross
栅栏,fence,peace,fancy,lance
零件,detail,retail,derail,retain
混和,blend,bland,blind,breed
想不到的,unexpected,must not,life insurance,now and then
宇宙航行员,astronaut,helmsman,pilot,cook
最后,ultimate,ultimatum,cultivate,intimate
记录,record,recorder,reward,regard
奇迹,miracle,manacle,circle,mirage
叛徒,traitor,tailor,tractor,trait
使溶解,dissolve,dissolute,darkness,gruff
重复,repetition,reputation,petition,finally
前者,former,order,farmer,corner
否认,contradiction,interfere,to participate ,publicly known
阐明,state,stake,slave,grate
疯狂,crazy,crack,crass,tray
打赌,bet,belt,vet,ref
构成,formation,oration,to go into effect,connector
九月,September,November,May,October
缝,stitch,hitch,switch,witch
建筑,construction,start building,be at a meeting,to change
致命,deadly,yearly,dearly,deal
抽屉,drawer,trawler,draper,drapery
排队等候,queue,quake,quest,quote
滑雪,ski,sap,skid,sake
宗教信仰,religion,relation,region,religious
旋转,rotary,notary,ovary,rotate
专家,specialist,speciality,specialize,socialist
多泥,muddy,mummy,moody,mud
文学,literature,literate,short story,the Thirteen Confucian Classics
层,layer,liner,later,payer
闪闪发光,glitter,litter,slither,twitter
原子,atom,stem,to,toe
传奇,romantic,comedy,TV drama program,one-act play
评价,value,venue,gale,blue
肌肉,muscle,bustle,uncle,hustle
欠缺,defect,detect,defeat,depict
可能存在,possible,possibly,impossible,passable
天鹅,swan,scan,wax,swear
美的,beautiful,beautify,age-old,seductive
结果,effect,affect,efface,effort
紧急情况,emergency,emergent,emergence,stage
目标,target,tangent,market,gadget
销毁,disposal,dispose,to manage,disintegrate
使滑动,slide,slime,slice,spice
新颖,original,ordinal,criminal,originate
枯燥,dull,dial,pull,toll
驾驶,steer,sever,sneer,skewer
事件,occurrence,recurrence,administration,defense
二十,twenty,testy,tent,tenth
令人沮丧,gloomy,loom,gloom,goody
味,flavour,summary,story,details
政治,government,political situation,royalists,independent party
仁慈,gracious,spacious,voracious,fractious
机构,organ,organic,oral,bran
雇工,servant,observant,savant,fervent
音乐家,musician,musical,magician,astronomer
胜,prevail,retail,lit.: dragon flies, phoenix dances,smart
家庭主妇,housewife,log,sundown,eel
农业,agriculture,army and government,mining industry,transport
活泼,brisk,whisk,risk,frisk
台风,typhoon,tycoon,breeze,east wind
达到,achieve,thieve,active,give something and get something in return
赞同,favour,to support,confidence,take seriously
砰的一声,pop,pip,pot,pie
求助,resort,escort,revolt,report
技能,skill,spill,skid,skull
警报,alarm,clam,lard,claim
暂时,temporary,temporal,a world of ice and snow,a while
桃子,peach,poach,each,yeah
萌芽,seed,deed,see,weed
电,electricity,philosophy,astronomy,military science
蓓蕾,bud,bed,bead,butt
内科,medical,metrical,pedicab,medal
大量,flock,hock,flunk,block
硬币,coin,coil,can,join
接着,following,double,once,while 
优越,superior,lit.: dragon flies, phoenix dances,coarse,unequivocal
贫民窟,slum,rum,glut,slot
译文,translation,prose,filler ,short article
特权,privilege,privileged,monarchial power,inheritance
种族,race,racket,game,pare
停止,cease,clash,chase,case
笨拙,awkward,backward,award,skilled
争论,debate,rebate,date,debit
电影,cinema,lineman,sanctify,emancipate
侵袭,invade,invite,evade,inmate
文明,civilization,be sensitive about one's reputation,honestly,impatience
匙,spoon,sport,scorn,soon
磨光,polish,abolish,potash,police
汽车,automobile,automotive,ambulance,sport utility vehicle
象,elephant,elegant,salute,consortium
回想,recall,realm,befall,retail
小心,care,hare,fare,mire
牺牲,sacrifice,deadly,die of an illness,collapse
严肃,seriously,mix,filthy,fluffy
许多,lot,loath,dote,glow
海关,custom,customer,accustom,custody
人生观,philosophy,dissent,consensus,political views
公约,convention,convection,connection,conviction
使僵硬,stiffen,stifle,stiff,anyone
全部,entire,entice,attire,centre
援救,relief,belief,review,reef
公平,fairly,arrogant,act in an arbitrary fashion,democracy
柔和,gently,gentry,gantry,gentle
立即,immediate,mediate,all,frequently
结果是,follow,pillow,fallow,hollow
唯一,unique,antique,clique,pique
制造厂,manufacturer,depot,repair shop,prison
情绪,spirit,shirt,spiral,dispirit
板球,cricket,thicket,chicken,wicket
同志,comrade,compare,corrode,courage
荣誉的事,glory,gloomy,glow,story
航行,sail,snail,hail,main
检查,examination,democratically elected,to choose,general election
耐心,patience,patient,to float,cruel
护照,passport,password,proof,credentials
化学制品,chemical,comical,clerical,mulct
遮蔽物,veil,via,vigil,well
电视机,television,loudspeaker,axis of symmetry,lantern slides
因而,thus,tub,true,thud
公害,hazard,haggard,wizard,hoard
使稳定,steady,stead,steal,steamy
当时,meantime,temporary,incomplete,gradually
重要,noticeable,notifiable,core,elation
扩大,enlarge,engage,enrage,large
招待设备,accommodation,glove,houseman,pail
记忆,mind,mini,mend,mile
登记,entry,every,gently,enemy
几何,geometry,multiple,specific value,50% discount
吊死,hang,hog,ham,bang
宴会,dinner,danger,inner,winner
可见,visible,virile,invisible,divisible
啊,dear,tear,lead,dell
诅咒,curse,purser,cure,curt
检验,test,detest,rest,west
半径,radius,radish,Ladies,radio
行为,act,awl,raft,abet
消灭,destruction,to sweep away,quench,to conquer
生物体,organism,organic,organist,orgasm
使倾斜,incline,inkling,recline,decline
指标,index,idea,inner,infer
事件,incident,Occident,accident,incipient
评奖团,jury,quay,pure,juicy
犯罪,crime,crude,chrome,arise
非同寻常,extraordinary,unprecedented,necessarily,to pass a test
尖声喊叫,shriek,shrink,shrill,shrine
契约,contract,contact,contrast,constrict
凶猛,fierce,coerce,farce,niece
瀑布,waterfall,remain,raindrop,fountain
罗盘,compass,compost,company,compact
大批,bulk,baulk,bug,mule
政策,policy,police,poly,polish
意见,voice,void,vine,once
特有,specific,pacific,specify,liberty
十一月,November,August,busy  month,sixth month
各自,respective,with one's own hands,each other,by oneself
临时,occasional,occasion,priority,frequently
透明,transparent,faint,in black and white,luminous
腔调,tone,vane,none,tune
走得慢,lag,lug,lip,wage
坦白,frank,franc,flank,rank
薄片,slice,spine,slick,sluice
易损坏的,brittle,belittle,bristle,bottle
组成,compose,compete,compost,corpse
国家,national,rational,atonal,nation
由铁路运输,railroad,anguish,balcony,squelch
简单,simple,pimple,single,ripple
烟雾,smog,show,sow,stop
自私,selfish,relish,literal: get an inch, want a foot,rectify
白兰地酒,brandy,bland,brand,sandy
装配,assemble,assembler,assembly,dissemble
忽视,ignore,ignoble,ignite,snore
业余爱好,hobby,lobby,hubby,hooky
随心所欲,arbitrary,arbitrate,arbitrage,jolly
维生素,vitamin,root of herbaceous peony ,vitamin,borneol
火山,volcano,volcanic,Fragrance Hill ,Pusan
惯常,accustomed,not bad,exceptional,specialist
反抗,oppose,impose,suppose,depose
成交,bargain,margin,again,barmaid
利用,utilize,utility,to decide,to divert funds
胜利,victory,factory,history,vector
展览馆,museum,muse,newspaper office,art gallery
干扰,interaction,provocation,troublesome,to stop
芦丛,reed,awkward,yelp,agitator
使多样化,vary,ovary,mark,lacy
态度,behavior,vision,complexion,murderous look
狼,wolf,wild,hold,gulf
逐渐,gradual,graduate,only,hastily
纤维,fibre,fire,fare,fierce
诅咒,swear,pear,sweat,swan
幕,curtain,certain,curtail,contain
叛乱,rebellion,rebellious,subversion,to betray
城镇,town,tow,cow,toy
坚持,consistent,insistent,guess,weight
颤动,vibration,liberation,migration,whirl
仅仅,bare,care,safe,sale
不时,sometimes,sometime,progressively,again and again
安全,safety,safe,satiety,sanity
残骸,wreck,wreak,peck,track
靴子,boot,bust,doom,bat
幸免于,survive,furtive,service,survival
提议,proposal,propose,to discuss,call out
看护人,keeper,helper,deepen,temper
流行,fashionable,cyber-,rumor,hereditary
附件,accessory,accessary,chart,communique
卷烟,cigarette,plug ,arsenic trioxide,hemp
扣紧,button,mutton,baton,cotton
易激动的,nervous,fervour,serious,ferrous
冲突,collision,collusion,coalition,to bow
一套公寓房间,apartment,department,director,hand
掌状物,palm,palmy,gala,maim
旅游者,tourist,tourism,nourish,jurist
成果,outcome,score,taint,achievements
握紧,grip,grin,grim,grief
查出,locate,rotate,loath,loathe
飞机,airplane,aeroplane,biplane,airline
军队,troop,droop,crop,swoop
口哨,whistle,bristle,whittle,while
部,department,deportment,apartment,atom
吵闹,loud,loin,dour,noun
卖,sell,dell,yell,well
长廊,gallery,galley,allergy,alley
不同,differ,infer,duffer,pilfer
赞赏,admire,adhere,advise,admit
横条,rail,rave,sail,rain
猛冲,dash,mash,dish,rush
吹响,blow,plot,boot,elbow
打,strike,strive,strife,stride
下流,dirty,dart,ditty,dirt
可使用的,operational,poor,scheme,meteorite
冲突,conflict,convict,inflict,to bow
树枝,limb,plumb,lame,comb
给…洗澡,bathe,both,lathe,swathe
加热,heating,to warm oneself ,light,smooth
猎物,game,age,cake,wane
使回旋,whirl,whiff,third,weird
地位,status,stylus,state,statue
装置,furniture,assemble and install,put,pave
香肠,sausage,savage,usage,salvage
可恨,hateful,tasteful,wasteful,shameful
一帮,gang,gong,gag,cane
栅,bar,gear,war,brag
强烈,intensity,unofficial,broadly ,legitimate
驳倒,refute,refuge,refine,refuse
跛子,cripple,crumple,ripple,nipple
矿,mine,since,mime,size
水壶,kettle,settle,mettle,tattle
决心,determine,workable,pressing,to hesitate
某地,somewhere,electoral district,colony,territorial waters
解析,analyse,analyst,analysis,quote
外衣,overcoat,overload,overcome,overcast
讲台,platform,altar,mausoleum,pavilion
结束,finish,vanish,banish,furnish
不能令人满意的,unsatisfactory,transport,section,yap
垫,pad,ban,bad,nab
敢于,venture,denture,endure,vulture
欠债,debt,dent,feat,deer
清醒,sober,lower,lover,sole
地基,foundation,ceiling,floor,Windows 
欣喜,rejoice,rejoin,great celebration,mixed feelings of grief and joy
行骗,cheat,cheap,chat,shear
慈爱,affection,affliction,infection,bloody
简图,diagram,to interpret,to input,comment
角,angle,candle,handle,ankle
地窑,cellar,cellular,collar,pillar
公牛,bull,bum,mule,bud
使投入,plunge,pounce,prune,lounge
相应,corresponding,currently available,needs,to provide
挫败,defeat,defect,feat,detest
鬃毛,bristle,bridle,trestle,whistle
遭遇,encounter,counter,to accept,as many as
组织,organization,government branch,committee,group of people
装备,furnish,burnish,punish,furbish
定界,definition,definitive,joint,cogent
吨,ton,sob,on,fan
建筑学,architecture,theology,statistics,astronomy
构造,structure,stricture,structural,various kinds
惊人,surprisingly,essential,to know well,share everything
伸开,spread,scream,bread,shrewd
放任,overlook,overwork,overload,to ingratiate oneself
援救,rescue,resume,reside,recur
村舍,cottage,portage,postage,voltage
调查,inquire,injure,inspire,inquiry
使转变,convert,concert,convent,convict
掌握,grasp,grant,ramp,group
可能,possibility,unexpectedly,unmanned,in general
祖宗,ancestor,ancestry,investor,old people
屠夫,butcher,butter,pitcher,bother
记者,journalist,journalism,editor,translate
公民,civil,cavil,devil,civic
灵魂,soul,soon,sulk,coal
支配,govern,oven,tavern,cavern
削尖,sharpen,sharper,share,sharp
变异,variation,narration,carnation,valuation
围绕,environment,to mix,encircle,be separated by 
凶暴的人,dragon,dragoon,crayon,drag
反应快的,swift,weft,swot,stilt
使习惯,accustom,custom,grandma,wringer
船坞,dock,crock,sock,pork
硬膏,plaster,player,poster,cluster
使误入岐途,mislead,mislay,misread,misdeal
搜集,compile,compiler,compel,compute
裁制衣服,tailor,traitor,sailor,pallor
征服,conquer,consumer,conquest,conjurer
不整齐的,irregular,regular,arbitrate,prorate
教室,classroom,study ,box ,kitchen
蝴蝶,butterfly,bumblebee,fiery dragon,wasp
缩减,reduction,seduction,deduction,reaction
激励,motivate,mitigate,activate,mutilate
字母表,alphabet,mimicry,abscissa,perquisite
使失望,disappoint,smart,importance,kettle
最后,eventually,eventual,go through,former happenings
浆湖,paste,mate,nasty,caste
嘴唇,lip,flop,life,nip
下垂,sink,sigh,silk,dank
探险,explore,export,expose,explode
相当大的,considerable,articulate,mace,ring
最近,lately,lonely,lively,barely
瓜,melon,melody,melt,mason
饿,hunger,singer,hunter,hangar
手续,procedure,procure,flesh,sexual relations
发生者,generator,generate,generation,hillock
宽阔,wide,wife,ride,windy
投入,investment,vestment,enter a country,throw into battle
青春,youth,bout,south,out
牛奶场,dairy,decry,daddy,hairy
机会,opportunity,timewise,at the same time,period
浴,bath,gate,wash,lath
水星,Mercury,perjury,mercury,planet
冒出,emerge,merge,verge,emergent
柠檬,lemon,lesson,demon,lean
扇,fan,pain,fun,rat
使受伤,wound,consignee,latrine,peace
送信者,messenger,passenger,convey,waiter
虫,worm,norm,word,wry
边缘,skirt,shirt,skim,skimp
工程,engineering,mining industry,building industry,post and telecommunications
水银,mercury,Mercury,merry,perjury
维持,maintenance,be ,slump,be situated 
一条,item,seem,idem,poem
像,resemble,assemble,for example,opposite
得分,goal,gong,cool,foal
有影响的,influential,flier,trousers,mote
因此,hence,fence,thence,here
有意义的,significant,vast,inscribe,strawberry
火焰,flame,same,lake,late
现金,cash,lash,dash,base
增援,reinforce,enforce,express sympathy, greetings, consolation, etc.,comfort
窍门,trick,tripe,trill,drink
核,nucleus,nuclear,codicil,rudiments
策略,strategy,stately,strategic,republic
俄罗斯的,Russian,disrepair,vision,artesian
搜寻,hunt,fund,shunt,heat
打,hit,exit,shit,sit
名声,fame,same,fable,rage
德意志,Germany,German,Jamaica,Iran
胆怯,timid,ibid,vivid,mid
发动,launch,punch,ranch,lunch
处罚,punishment,to beat,to discipline,referee
不光彩,dishonour,ambivalent,virtual,bole
传播,communicate,transport,hereditary,to mix
实验室,laboratory,office,bathroom ,reading room
散发,emit,empty,mix,spit
歌剧,opera,omega,pea,operate
舞台布景,scenery,sentry,celery,scene
和缓,mild,milk,mitt,miss
不知道的,ignorant,ignorance,archetype,strand
孙女,granddaughter,grandson ,grandson ,niece
客车厢,carriage,marriage,cartridge,barrage
黎明,dawn,ban,earn,tawny
果实,fruit,flit,quit,fruity
相互,mutual,metal,ritual,mural
宽恕,tolerate,tolerance,tolerant,moderate
同窝幼鸟,brood,bread,blood,broody
位于西北,northwest,southwest,northeast,aggressive
螺旋,screw,scream,stew,sure
正午,midday,midway,mislay,middle
批评家,critic,crisis,arctic,critical
南方,southern,northern,southerly,the Occident
泉水,fountain,mountain,contain,swimming pond
黄,yellow,fellow,bellow,fallow
仁慈,goodness,poorness,godless,goddess
极度痛苦,agony,gong,gory,any
架空,overhead,overhear,overseas,overload
推断,deduce,deduct,seduce,reduce
通常,normally,high-ranking,first-class,unparalleled
不积极的,indifferent,iota,aerobatics,marble
听者,listener,fastener,listen,spectators
光景,spectacle,can it be possible that,never,contingency
打,knock,knack,smock,flock
外国,foreign,feign,foreigner,reign
等于,contain,fountain,contagion,container
相信,believe,relieve,belief,belie
神圣,holy,hour,hobo,volt
