#word,meaning,option1,option2,option3
underestimate,低估,估计,渴望,推测
rapture,狂喜,悲喜交集,欢腾,喜欢
infect,使受影响,领导,丛书,可能
negative,负的,教育性,毒性,权威性
confirmation,确认,批评,鞭挞,狡赖
notion,看法,动机,意见,风味
option,选择,采样,招致,采种
experimentally,实验上,健康,晚霞,坏话
proficiency,熟练,不识大体,不辞辛苦,消极
indefinite,无限期的,援助,沮丧,设计
proficient,熟练,怠惰,近视,主动
identical,同一,附属,如出一辙,同年
cruise,巡航,行驶,航行,宇航
provision,条项,肯定,裁断,原定
profound,渊博,不足,可恨,对称性
impulse,冲动,震惊,感激,不可终日
whilst,同…同时,片断,奇迹,浮动
dedicate,献身,崩,饿死,过去
coefficient,协同因素,高高,领受,有力
verse,诗行,船上的医生,恶作剧,十八个
transition,过渡,遗传,联系,谣传
revive,苏醒,冬眠,伤亡,安眠
excess,过度行为,举动,主权,大权
generate,发生,层出不穷,突发,散发
clasp,钩住,分,竹子,(中、小学的)男学生
repay,偿还,退还,掉换,退票
firmness,稳固,衰弱,强劲,英雄
modesty,谦逊,骄矜,爱面子,冷酷
circus,马戏团,电台,报馆,俱乐部
counsel,忠告,报时,报喜,报数
glue,粘牢,位于,不相似的,赌博
clearing,(森林中的)空旷地,清洁,交往,事故
locomotive,运动,外流,潮流,奔泻
colonial,殖民地的,印度人,北京人,港人
cane,手杖,纱布,绷带,艾绒
deepen,加浓,缺少空气,磕睡,褪色
foam,泡沫,波峰,糖浆,惊涛骇浪
doubtless,很可能,后母,沮丧,一点
suppress,镇压,剥夺,犯罪,放逐
seemingly,表面上,减弱,舌状物（火舌）,成功
invariably,不变,一定,沉重,生动
burglar,夜盗,黑客,绑匪,兵痞
particular,特称,果敢,费力地前进,对每个
mast,桅杆,桨,舱,冰橇
influence,势力,惯例,虚伪,包装
subsequent,尔后,前不久,不日,未来
flake,片,气球,芯片,滚筒
Mars,战争,日军,八国联军,别动队
yolk,蛋黄,白金,蛋,鸡蛋
popularity,普及,失足,颁行,振兴
torment,折磨,出名,丢脸,顺利
blind,百叶窗,视窗,天安门,窗户
detective,侦探,追查,查证,禁止
fake,假的,两者都不,习惯,把钱存入银行
burial,埋藏,抽,插入,钳
flap,拍动,有害,天堂,技术
tack,钉住,寻的,避风,珍藏
absurd,不合理的,字斟句酌,把稳,孟浪
location,测量,遥测,检测,探测
misery,不幸,避坑落井,不得了,互惠
deprive,使(人)失去,那些人(东西),归还,包围
impose,利用,识货,分别,判断
maple,槭树,楝,橡树,楮
prejudice,偏见,异议,共识,短见
architect,建筑师,音乐家,钢琴家,艺术家
comprehend,领会,认识,体会,不得要领
thigh,股,册,扇,桌
prophecy,预言,好感,盥洗室,以匙舀取
pasture,牲畜饲养,在远处,命令,黑板
garment,衣服,西装,大衣,长袍
arch,用拱连接,使完美,诧异,假日
baby,一家中年龄最小的人,横杆,滑稽,心灵
rim,边缘,兼容性,酸性,技术性
sincerity,真实,实弹,十分,名副其实
bump,撞,自称,均一,向北方
fright,惊吓,威胁,强迫,强制
studio,播音室,衣帽间,礼堂,蜂房
worship,做礼拜,祈祷,后退,祝福
cavity,空腔,捆,无疑,都市
terrorist,恐怖分子,雇用,竞赛,突然发生(发作)
jam,堵塞,激励,助长,拔苗助长
shipwreck,船舶失事,天然,乐曲,注意
interact,相互作用,影响,速效,名气
prey,猎物,整体,文物,金属
presumably,推测起来,不遗余力,毫不,莫非
empirical,经验主义,无神论,才学,马克思主义
action,情节,编目,附录,篇目
grateful,可喜,不得人心,缺乏,狭窄
locust,蝗虫,蜘蛛,火龙,蝴蝶
captive,被俘虏的,昔日,武力,包裹
dazzle,炫耀,反射,辐射,冒烟
gap,山口,大关,孔穴,进口
filament,细丝,拖曳者,金的,权势
kit,成套工具,录音(像)机,商谈,升起
inlet,进口,进出口,对外贸易,输出
proposition,命题,布局,编年体,色彩
lunar,月亮,太阳黑子,热带,新月
responsible,可靠,不妥,大材小用,就绪
vigorous,精力旺盛,通红,雌雄,年青
decline,衰退,起来,破败,后来
warfare,战争,十字军,日军,骑兵
Jesus,耶稣,西王母,神女,天使
pest,害虫,蠕虫,变形虫,步行虫
tutor,教,引导,启示,扮装
divert,使转向,供养,惊呼,回忆
ear,(稻麦等的)穗,引航,无价,(坛子、壶等)盖子
fury,猛烈,平板,尖锐,一定
melancholy,忧郁(的),大快人心,狂喜,悲喜交集
gramophone,留声机,电视,喇叭,钟摆
conqueror,征服者,窃贼,兵痞,骗子
enlighten,启发,演示,传授,提醒
instantaneous,瞬间,实时,暂时,通宵
lattice,格子,北回归线,限度,半边
membership,成员资格,情况,碰巧,坚定
lobby,前厅,礼堂,办公室,浴室
cylinder,柱(面),暴力(行为),可能,称赞
tickle,逗乐,可笑,单调,不得人心
consumer,消费者,听众,接受者,读者
degrade,使堕落,迷,认可,如山一般
yeast,酵母,病原,病毒,毒菌
singular,异常,顶多,采纳,无比
contradict,反驳,污蔑,笔战,辩解
sofa,长沙发,抽屉,床铺,矿床
liable,有(法律)责任的,使…堕落,思路,共产党政体
lace,系带,地区,歌颂,凝视
kidnap,诱拐,剥削,侵吞,投机
derivation,衍生,销毁,失去,散发
uranium,铀,学位,提出,真相
stubborn,顽强,不敢越雷池一步,断然,不懈
harp,天琴座,火星,伴星,太阳
unreasonable,过度,尽量,熬煎,多么
compensate,补偿,增值,淘汰,补遗
cite,举例,先例,病例,热潮
console,控制台,坛,舞台,站台
customary,通常,中级,高级,第一流
standardize,使与标准比较,看法,严重,野的
excuse,使免除,脚步(声),向..移动,灯泡
electronics,电子学,高科技,科技,医学
eloquence,口才,本事,才华,绝技
theatre,戏剧效果,油漆匠,垃圾箱,自愿
crisp,卷曲,包扎,丢开,扣
persuasion,主张,坚持,认为,酝酿
slave,奴役,改革,独霸,下台
triangular,三者间的,研究者,除去…的衣服,倒转
bald,无毛,更少的(地),片断,金制
invalid,有病,受伤,发病,梦遗
extinct,熄灭了的,到达,住址,鸣响
foresee,看穿,观点,异议,风味
dismay,灰心,赌气,暴跳如雷,得意
displacement,免职,失业,得意,丢人
formulate,用公式表示,(中小学)教师,麻烦,嫩叶
freshen,使显得新鲜,主要,一伙人,坏地
underwear,贴身衣,服装,西装,长袍
bazaar,集市,寓所,现场,场所
hostage,人质,观光客,瘪三,俘虏
satisfactorily,圆满,精确,百发百中,现实
panic,恐慌,对得起,安稳,镇静
harmonious,和谐,麻烦,大规模,简易
excel,杰出,专门,特定,不同凡响
quantitative,定量,碑额,度数,指数
sharply,严厉,进步,不吝,不在乎
inspector,检查员,师傅,监督者,艺人
foster,培养,体操,试验,锻锤
torpedo,鱼雷,箭头,火药,暗箭
tanker,油船,巨轮,方舟,货轮
devour,吞食,喝,舔,饮用
impart,给予,发汗,寄予,使得
strife,冲突,下跪,鞠躬,敬礼
erosion,糜烂,溶解,双生,速冻
courageous,勇敢,百折不挠,不懈,不修边幅
untie,解放,斗争,暴动,内乱
correctly,正确,确切,百无一失,不足为训
pant,气喘,屏息,高昂,喘息
woodpecker,啄木鸟,孔雀,淘河,伯劳
sneer,冷笑,哀号,暗笑,悲泣
thermal,温泉,泳池,雨滴,喷泉
Thanksgiving,感恩节,(使)厌倦,邻近,公共浴室
magistrate,地方行政长官,祖宗,稠的,皮子
recognition,重视,歧视,不了了之,鄙视
charm,迷人,广博,动人,狭窄
commence,获得学位,使人感到愉快的,最,方式
intercourse,交流,社交,会友,往复
allowance,津贴,工钱,退休金,薪水
battle,与…作战,通知,(影视等的)播音室,本领
overseas,在海外,人手,糊涂,不久
version,解释,附笔,注解,说明
frail,意志薄弱,射击,游泳池,消散
universally,普遍,对称性,迷人,平衡
capability,性能,伸缩性,傲气,可能
experimentation,实验法,玩耍,停车,可能
thrash,痛打,捣碎,不名一文,敲打
commonwealth,联邦,国际,邻国,岛国
coincide,相巧合,遗失,(综合大学中的)学院,根据
coordinate,同等的人,兑换成现钱,女神,帮助(手)
grumble,抱怨,哀怨,抱屈,爱憎
trigger,触发,着,遇见,润滑
blast,管乐器的声音,同僚,有幸,残杀
mess,搞糟,高兴,违反,艇
thereafter,此后,先后,一会儿,上个月
drain,(水等)流掉,最坏,事务,宁可
nest,筑巢,架构,铺设,安装
clap,霹雳声,卡路里(食物所产生的热量或能量单位),记者,精神健全
adoption,采纳,顶多,共享,领受
rectify,调整,调试,调度,调制
maiden,少女,女子,贵妇人,男女
ambient,周围,天空,土地,附近
vigour,元气,劳动力,财力,视力
unfit,不合适的,葡萄,摄氏温度计(的),奖金
onwards,向前(的),商品,牵制敌军,羞愧
ally,伙伴,陌生人,邻居,一行
baffle,迷惑,欺诈,放任,兵不厌诈
strip,窄条,距离,过去惯,大众
execution,实行,腐败,颁行,建设
constitute,构成,鼎立,对抗,隔离
safeguard,护照,多数票,筹码,执照
induce,劝诱,游说,援助,慰藉
flank,肋,入,娱乐,值得...的
filter,滤过,安置,信息,必须
corrosion,锈,吐出,水坝,外甥
analytical,分析,探讨,研究,析出
plea,恳求,试探,干涉,哀求
insight,见识,学术,学问,才学
stationery,文具,信封,摁钉儿,拷贝
oyster,沉默寡言的人,亲戚,吉普车,创始人
handicap,妨碍,助长,杜绝,限制
boycott,联合抵制,床,当然,察觉
scorch,烧焦,成熟,发芽,跛足
handbook,指南,握手,指,行走
numerical,数字,句号,括号,卜辞
stereo,立体声,今音,鼻音,喉塞音
optical,光的,交易,使获得自由,海贝
mount,支架,屏风,被褥,被子
inference,推论,臆测,认为,坚持
electrician,电工,裁缝,包身工,水手
mishief,胡闹,伪托,祝福,出风头
basin,内海,黄山,海峡,陡坡
obstinate,顽强,强悍,规矩,不修边幅
enchant,用魔法迷惑,平常,赚得,移动
Christian,基督教的,闻,助手,土地所有者
expect,料想,预测,估计,臆测
deflection,偏斜,规则,尖锐,曲折
peculiarity,特性,上下,利害,顺差
waver,摇摆,运作,簸荡,跳动
shuttle,(织机的)梭,店铺,真实性,蜂房
supplement,补角,水准,伽马射线,断面
magnetism,磁,电流,核电,光电
kinetic,活动,潮流,对流,外流
intermediate,调解人,保证人,被告,目击者
except,把…除外,凡是,不独,连
rip,划破,资本,化学,阻拦
establish,使…被永久地接受,兴趣,记住,产生
bend,使屈从,胆小,方法,冒险
quarterly,季度,毒害,(光线的)束,进入
objective,宾格,陶器制造(术),专门技能,使...整洁
interface,分界面,正规,湍滩,期待
displace,置换,改名,转移,变相
abundance,丰富,增加,浸透,压缩
piston,活塞,皮带,绷簧,轮轴
by-product,副产品,用具,矿产,容器
installment,分期付款,抵押,偿还,包赔
incense,香气,斑驳,臭味,多姿多彩
hose,软管,铁板,光纤,无烟煤
apparent,显然,有效,暗地里,潜在
main,总管道,航程,集成电路,当场
pledge,誓言,谶,箴言,指示
pulley,皮带轮,气球,薄片,轮
amusement,乐趣,爱好,趣味,兴致
incompatible,不相容的,一幕,顶,嗓子
shatter,粉碎,占据,夺回,收复
grope,(暗中)摸索,研制,解析,字斟句酌
positive,阳性,防御性,适应性,惩罚性
token,象征,统称,显示,体现
requisite,必需品,植物,古物,物品
dealer,发牌者,疏远,立正,建造
mute,闭止音,高速干道,自然(界),园艺爱好者
sodium,钠,贮备品,运动场,蜂箱
tropic,回归线,西半球,低地,南极
pirate,海盗,强盗,瘪三,绑匪
marginal,边缘,阴性,中性,磁性
array,队列,一行,高层,对流层
sorrowful,使人伤心,旅行,铺开,提取奶油
catalyst,催化剂,教导,编织者,获得
comedy,喜剧场面,起源,必须,许多
initiate,开始,动工,启动,一举两得
individual,特殊,一定,专门,拔尖儿
formidable,可怕,丰富,缺乏,可怜
subdivide,把…再分,避开,某一,卷心菜
insert,(肌肉)附着,告诉,八(个,新颖
refreshment,(精力的)恢复,满意,准备,安心
growl,(狗等)嗥叫,肯定,决不,一双(对
patriotic,爱国,宠坏,动情,恋爱
modulate,调整,调度,调配,调制
cling,依附,百川归海,来源,在于
stride,大踏步走,外甥女,一团,事情(件)
quantify,确定…的数量,自由,用车运送,小偷
leopard,豹,在…之中,售货员,特殊
credit,相信,半信半疑,同意,自信
greed,贪心,不三不四,高尚,自私
inaccurate,不精密的,一直,糖果,部分
motel,汽车游客旅馆,(鸟兽)叫,鸣,发射
absent,不在意的,不充分的,信仰,如气球般膨胀
grease,动物脂,腱子,皮肤,不随意肌
whereas,反之,差不多,像样,俨然
shadowy,有影,贵重,(虫、鸟等)鸣声,贵重物品
mechanism,机制,八旗,组织,国有
vicinity,邻近,毗连,拥塞,堵车
poke,戳,砍伐,触摸,穿透
sweeten,变甜,广告(画),谋杀犯,野餐
germ,细菌,壁虱,兵蚁,白蚁
recommendation,建议,呼唤,召回,务实
shameful,不道德的,内地(陆)的,感到,区域
infectious,传染,感染,带动,挑起
retirement,退隐,包揽,自负,辞职
eastward,向东,拳击(运动),也不,汤(不可数)
prescription,药方,皮带,丹方,便条
dissatisfaction,不满,安心,打算,抱愧
printer,印刷工,对抗,锤子,触
tyrant,专制君主,任务,痕迹,院长
embroidery,绣制品,山坡,紧接,拨(电话号码)
pendulum,(钟等的)摆,索,观测,鸟
blue,下流,色情,淫猥,粗俗
radical,激进,宽限,强暴,鄙吝
compensation,赔偿费,罚款,保证金,损益
dove,鸽子,鹁鸽,鹤,雕
alternate,交替,步步,陆续,彼此
dispatch,派遣,裁并,分配,改编
coach,训练,备课,补习,教学
exceptional,例外,异步,大同小异,抗衡
descent,出身,同辈,学籍,监护人
offence,冒犯,糊弄,激怒,兵不厌诈
comparable,可比较的,建筑学,(美)软饼,钞票
hug,搂,好奇,释放,用键盘输入(信息)
reckon,认为,公认,臆测,考虑
hostile,不友好的,夜,电脑程序,令人兴奋的事
ferry,渡口,城关,边卡,出入口
reciprocal,互利,发迹,受苦,占便宜
even,同一日期,直的,动身,成为
tuberculosis,结核病,瘟疫,病痛,性病
timely,适时,可身,适合,便利
willow,柳树,白杨,枞树,松树
manipulate,操作,滥用,军用,适用
lounge,(旅馆等的)休息室,纪念物,传真件,准备
pickle,腌制食品,生菜,海鲜,拼盘
formulation,明确的表达,稀奇,装备,在...对面
pedal,脚蹬,铁板,石板,光纤
declaration,宣布,垄断,责成,下令
bronze,青铜色,在上方,宽容,邮政
energetic,精力旺盛,表,负的,球体
shipment,装货,转道,装载,经过
luncheon,便宴,招待会,展览会,国会
crack,发出爆裂声,压缩,连接,(外、阀)壳
embarrass,使复杂化,路线,穷人,桌布(可数)
controversy,争吵,叫嚣,责骂,动武
ruby,红宝石,秕糠,文物,破烂
row,口角,叫嚣,顶撞,责骂
wrath,愤慨,大发雷霆,憋闷,变色
uphold,赞成,信奉,自信,半信半疑
cluster,一串,提醒,相当,哨兵
muse,冥想,联想,构想,怀抱
unfold,呈现,含水,重现,出现
reel,卷,短篇小说,本子,经典
motorway,汽车道,一罐,无价,船长
lease,租契,条款,法规,契据
preside,主持,放假,带领,掌握
cancel,取消,免除,命名,免职
shaft,(工具的)柄,饶恕,学,掐得
inertia,无力,健康,步履维艰,通红
winding,卷绕着的线,滴落,早(期)的,秋季
friction,擦热皮肤,国民的义务(身份),意外(因素),睡
scratch,起跑线,网路,住所,管道
ventilate,使通风,迎接,线索,吵嚷
split,派系,帮会,东盟,台独
presentation,赠送,托付,转送,拜托
prudent,精明,笨口拙舌,糊涂,不敢越雷池一步
notorious,臭名昭著,无名,吃不开,腐败
rigorous,(性格等)严峻的,唾沫,(飞机)航线,难相处的
correspondence,通信,打电话,寄送,出口
decay,使腐朽,急剧,考试中抄袭,少校
cuckoo,杜鹃,鹦鹉,鹧鸪,伯劳
sensor,传感器,食槽,消防栓,雷达
overload,使超载,姨父,概念,后母
monster,怪物,灵魂,魔鬼,寿星
finance,提供资金,触,展现,指挥
diesel,柴油发动机,发电机,蒸汽机,机械
elevate,抬高,涨价,提高,减刑
scarlet,猩红,健康,年青,步履维艰
groove,槽,经营农场,含金,(作单位的)百
bewilder,迷惑,欺骗,骗取,欺瞒
urge,强烈希望,路程,实力增强,摘要
Egyptian,埃及,最惠国,发达国家,发展中国家
regenerative,新生,凋敝,更新,乃是
video,录象,雾气,周围的事物,女佣
pal,同谋,罢论,打算,满足
clamp,夹子,卫生间,阴暗,头痛
end,目标,东西,主页,原委
onward,向前(的),场地,选拔,国有
perfection,尽善尽美,高明,属实,莫须有
gutter,沟,皮(肤),(交通违章)罚款单,疏忽的
carry,刊登,位于,拥有,沉浸
sandwich,夹入,扫视,思想,以…作答
satellite,附属物,液晶,金属,固体
sideways,斜向一边,恶作剧,根据,摸上去有…感觉
portable,可移动的,(向…发表)演讲,聪明,讲习班
availability,有效(性),装货(或人),高贵,面对
crooked,弯的,不精确的,台阶,多半
extravagant,过度,多么,承受,最少
rotate,(使)旋转,优点,描述,(英)飞机
strait,海峡,红海,东海,大西洋
irregularity,不规则,可笑,奇特,滑稽
horizon,层位,工艺,农艺,游戏的人
define,立(界限),排列,微笑,局
breakfast,吃早餐,十六(个,明智,成熟期
insulator,绝缘体,整体,固体,刚体
blond,白肤金发碧眼的人,提前,太,转动
olive,橄榄,梨子,橘子,椰子
episode,插曲,哀歌,催眠曲,伴唱
constitution,(人的)体格,想像力,思维,传统
gather,推测,主持,以为,估计
specialize,使专门化,多样化,多极化,液化
hike,作长途徒步旅行,崇高,蜡烛,竞走
toss,翻来复去,恢复,拍摄,希望
uneasy,拘束,杜绝,制约,范围
Heaven,上帝,仙女,天使,女神
principally,主要,区区,便宜,无价
tactics,战术,骗术,移植,高技术
simultaneous,同时,连同,然而,针对性
fret,(使)烦恼,理论,感觉,橙色
storage,仓库,知识库,车库,资料库
periodic,周期的,楼梯,疾病,拥有
quartz,石英,伟晶岩,暗礁,页岩
inaccessible,达不到的,支配,绕,倒
landscape,景致,蜃景,装饰,版式
faultless,无过失的,流域,公使,已无人居住的
serpent,蛇(尤指大蛇或毒蛇),七十(个,钱包,这样
symphony,交响乐团,公会,商会,基金会
violent,狂暴,冷淡,爱面子,客气
inherent,固有,天然,业余,国产
pedestrian,行人,观光客,乘客,亲戚
irrespective,不考虑的,怎么,总的来说,鉴于
meditate,反省,大选,民选,推选
thereof,由此,以,遵循,由
overtake,突然袭击,一般来说,例如,俨然
multitude,大量,大方,客气,热忱
evolution,(天体的)形成,按铃,所有权,究竟
neutron,中子,原子核,电子,动物
fall,陷于,在于,在内,位于
consumption,消费(量),拨冗,消灭,解渴
appreciation,欣赏,画展,展览,游戏
astonishment,惊奇,懂事,困惑,吃不服
postulate,假设,要不,因为,任凭
fantastic,奇异,吃惊,安土重迁,败子回头
dependant,受赡养者,数个,接替,怂恿
flutter,飘动,奔流,流动,外流
revenue,收入数目,除非,（水果、蔬菜、肉等的）汁,羽状物
bribe,贿赂,受贿,贪污,活动
thresh,打谷,打猎,收割,钓鱼
market,(在市场上)销售,摘要,响亮,大量
offspring,后代,老人,祖先,伯父
claim,权利,任务,王权,表决权
chord,协调,鞭辟入里,麻烦,重叠
undertaking,任务,使命,表决权,知识产权
headlong,头向前的(地),压缩,如今,表达
tiresome,使人厌倦,不共戴天,爱憎,忌恨
jug,带柄水罐,愚蠢,部分,肉体
gigantic,巨大,轻微,壁垒森严,微不足道
mortgage,抵押,赔偿,偿还,征收
fore,在前面,仪态,新颖,楼下
reserve,缄默,不做声,激发,目瞪口呆
lodging,住所,场合,无线,当场
comply,照做,回绝,谈判,会谈
dine,吃饭,烘烤,品味,点心
arctic,北极,西半球,新月,热带
grant,授予物,记帐,报帐,结帐
kidney,性格,同辈,辈分,本性
observe,评论,鉴定,评估,点名
disagreement,争论,笔战,丑化,非议
species,种,广播网,品种,民间
hover,翱翔,滑翔,鸣叫,念
sitting-room,起居室,包厢,大厅,更衣室
turtle,甲鱼肉,增加,成为(表示变化),边
frequency,频繁,老是,限期,不已
alert,活跃,严厉,猖獗,大方
fling,(用力)扔,(电或磁)场,被想到,(中小学的)女生
preservation,保存,缝纫,存储,储藏
plump,丰满的,仅仅,上部,社团
escort,护卫,侍候,关照,保镖
tow,拖引,举起,写,扛
peel,果皮,颖,柠檬,浆果
missionary,传教士,神,教皇,达赖喇嘛
peripheral,周界,而,门票,白种人
closet,小房间,漂亮,鼓励,招待
hypothesis,假设,就此,连,总的来说
modification,修改,修订,修正,修饰
theorem,原理,道理,逻辑,语法
smash,粉碎,吞噬,俘虏,消灭
whoever,究竟是谁,编辑,强暴(行为),公平
commonplace,平凡,至上,便当,低级
overestimate,过高估计,袋鼠(产于澳洲的草食哺乳动物),拔出,大企业
counter,相反的(地),幕间休息,作用,前者
faction,小集团,公会,协会,学会
undesirable,不合需要,(使)扎根,间接,缘故
howl,吠,鸡,赞同,计数器
facilitate,助长,强加,杜绝,妨碍
bank,把钱存入银行,忙,麻烦,首位
novel,新的,共享,至少,多么
plunder,掠夺,断路,绑架,不轨
offer,呈现出,有趣的人或事物,大声,用机械加工
float,漂浮物,流动,淹没,漂移
riot,骚乱,困扰,无情,按兵不动
diverge,分岔,注意到,简短,日落
ward,病房,人民大会堂,休息室,车厢
terminal,线接头,未履行的,回顾,在哪
literally,照字义,舞(蹈),穿过,效果
generalization,概括,浸透,含水,突显
intent,目不转睛,眺望,展望,俯视
acknowledge,告知收到,彩色,前进,不同
symmetry,对称(性),琐细,调和,狭窄
burner,灯头,电灯,探照灯,红绿灯
dioxide,二氧化物,球体,怂恿,任何..的事物
projector,投影仪,分机,打印机,唧筒
leakage,漏,占便宜,败露,损失
exposition,陈列,张灯结彩,开列,摆设
lathe,用车床加工,税(款),农耕,辩护
rule,裁决,逼供,传讯,审理
distinct,独特,独占鳌头,空前,不像话
systematic,分类,小结,类推,科研
strange,外,仙境,边线,边界
flaw,裂隙,空儿,无缝,焦点
warning,鉴诫,教训,上课,播音
norm,标准,天然,国产,本职
measurement,(量得的)尺寸,马力,极了,鼎立
wardrobe,藏衣室,壁橱,碗柜,病床
towards,为了,以,关于,对于
pants,男用短衬裤,不论以何种方式,发怒,罩
hail,招呼,侍候,保护,保镖
completion,完满,百无一失,流利,粗浅
perimeter,周(边),角度,纤度,密度
laundry,送洗衣店去洗的东西,嫁,有偏见的,种植
cable,海底电报,丈夫,早熟,浓
filth,污秽,严正,神经过敏,蓬松
kernel,谷粒,侥幸,飘动,误解
hydrocarbon,烃,水银,蛋白质,硫磺
superiority,优越(性),趋向,政局,多头
sculpture,雕刻(术),顶部,特别,月饼
ramble,聊天,谈到,诉苦,论述
instructor,指导者,律师,班主任,阿姨
presume,揣测,坚持,估计,感觉
hitherto,迄今,前面,以前,有生以来
distortion,畸变,精美,渺茫,影响
jungle,莽丛,疤痕,裂纹,白皮松
whisker,髯,眉梢,骨头,头盖骨
scripture,《圣经》,恰好,石油,长度
inversely,相反,当然,也,不妨
fighter,战斗机,兵船,主力舰,主机
Christ,救世主(耶稣基督),预知,亏损,咬的伤口
cleanliness,清洁,紊乱,松弛,俨然
velocity,迅速,兵贵神速,迟到,短途
descendant,弟子,学士,教授,硕士
mist,薄雾,硝烟,闪电,烟雾
Jupiter,木星,星云,行星,卫星
bid,命令,责成,集合,独揽
spite,恶意,知觉,直觉,反感
subscription,订阅费,敦请,实践,背信弃义
peck,啄,能手,贪吃,电影院
goddess,绝世美女,迅速,学生,试图
range,把…分类,相当,形成缺口,正当
slim,细长,深深,骨头架子,短粗
sheer,纯粹,通通,绝望,单独
normalization,正常化,风趣,不规则,怪僻
net,用网覆盖,对面(立)的,说笑话,正
photography,摄影术,也,矢,无疑
alas,唉,哎哟,哎,哼
soy,酱油,点心,果酱,酱
representative,代议制的,和...一起,安全(设备),手铐
sight,风景,古迹,蜃景,装饰
denounce,谴责,引咎,非难,批评
merciful,仁慈,什么,这些,其他
sign,病症,相片,画像,影像
offensive,冒犯,触怒,骗取,纠缠
constraint,强制力,智能,生产能力,本能
Roman,罗马人,向前,遭受,经常
first-rate,第一流的,百读不厌,逼真,龙飞凤舞
lipstick,唇膏,香水,晴雨表,装饰
eternal,永久的,公职,贱卖,叫
leaflet,传单,存根,半票,保单
ample,宽敞,不大,广阔,微型
elevation,标高,力度,纤度,亮度
spherical,球形,多面体,队形,椭圆形
team,协作,办到,做出,抱佛脚
Venus,色情,淫猥,太平,妖艳
develop,使(颜色等)显现,弓,影子,扫除
workpiece,工(作)件,团结,嘈杂,尾巴
ware,商品,软件,软硬件,备件
scan,扫描,回顾,盯住,遥望
clown,(马戏的)小丑,主角,歌手,班底
heater,加热的人,舰艇,油煎,矿山
axial,轴向,荒谬,扩音器,道路
assault,攻击,批评,反驳,否定
tilt,(使)倾斜,身份,很好,诡计
wag,摆动,余震,簸荡,旋转
hostess,女主人,同事,同学,东道
pregnant,意义深长,兜售,早已,主要
boiler,热水贮槽,安置,分类,标准以上
indispensable,必不可少,不痛不痒,熟知,紧急
fluctuate,使波动,总收入,(缓)慢的,农舍
warrant,许可证,节,订单,护照
nice,细微,坚固,粗劣,虚弱
gnaw,啮,利索,风,讥笑
suspicious,猜疑,认真,同意,信仰
suitcase,小提箱,盒子,暗盒,箱子
microwave,微波,波谷,浪头,火
bishop,(基督教的)主教,记录,唱片封套,门票收入
impartial,公正,不平,开展,白色
skyscraper,摩天楼,建筑物,豆饼,大楼
reign,朝代,北朝,中世纪,明代
follower,契据的附面,片刻,加入,努力的成果
hoe,锄地,颗粒,有教养的,状态
slumber,睡眠,筹款,筹集,休息
panther,豹,熊,豹子,狮子
complication,并发症,暗伤,性病,合影
collide,冲突,鞠躬,下跪,致敬
administration,局(或署、处等),乡村的居民,密切,正文
difficult,难以满足,泄漏,第十三个,心不在焉
vow,许愿,募化,占卜,庇佑
category,种类,数字网,民间,广域网
nourishment,营养(情况),消耗,小组,可作解释的事物
inferior,晚辈,身体,性情,众议员
thorough,详尽,重叠,平衡,鞭辟入里
domestic,养在家里,配备,出乎意料,炮
petition,请愿,抗议,罢课,吃大户
perpetual,四季开花,教,棕色,原型
fowl,禽肉,豆腐皮,香肠,肉片
incomplete,不完全的,贵族,纸,弄伤(痛)
environmental,环境,梦境,气氛,前提
obligation,责任,人权,罪行,发言权
bound,必定,保管,终于,自然而然
profitable,有益,跨越,不利,控制
diagnose,诊断(疾病),喜悦,可爱,粗
sensation,感觉,研究,公认,发现
formerly,以前,至今,前夕,先后
elegant,(举止、服饰)雅致的,建议,判决,慢慢
forthcoming,即将到来,列为…的一部分,故障,操纵
complexity,复杂(性),蜂拥,嗜好,染色
seam,骨缝,阳光(不可数名词),富于幽默感的,演员
situation,(建筑物等的)位置,净重,状况,意见
framework,体制,课题,议题,布局
destine,预定,敦请,违约,实践
glossary,术语汇编,吞,多的,期待
stainless,不锈,蔬菜,寂静,逃避
miniature,缩影,缩短,浸透,附加
stroll,闲逛,兜风,探险,恋爱
negotiate,议定,务实,原定,测定
outermost,最外面的,协会,直接,小型公共汽车
raisin,葡萄干,糖果,豆沙,汽水
deposit,寄存物,悲痛,坏的,接见
exclusive,除外,不惟,连,以便
minimize,使减到最小,虽然,近便,天地
irritate,引起不愉快,(教育、慈善、宗教性质的)社会公共机构,可能,失败者
quiver,(轻微地)颤动,会,题词,同…相称
attorney,辩护律师,陪审团,师傅,检察官
transaction,交易,输出,对外贸易,流通
damn,诅咒,骂,顶撞,责骂
scout,跟踪,找到,搜寻,寻机
liner,班船,肯帮助的,客人,丈夫
fortress,堡垒,暗堡,资料库,兵营
deviate,(使)背离,濒临,缠绕,逼近
economics,经济,盈利,损失,泄露
survival,幸存者,乞丐,无辜,不倒翁
tragic,悲剧性的,神经过敏,大喜,安全
polar,极性,历史性,针对性,安全性
whereby,靠那个,激怒,会见,雾
marshal,陆军元帅,这(个),美丽,健身
tact,得体,麻烦,徒劳,义务
answer,符合,巧合,适应,兼容
milky,牛奶,冰砖,果汁,冰糕
jelly,胶状物,空着,种植,适合
toad,蟾蜍,蜥蜴,青蛙,海狸
participate,参与,推翻,呈请,试探
