#word,meaning,option1,option2,option3
低估,underestimate,reasoning,suspect,anticipate
驯养,domesticated,to rear,hunt,to bring up
壳,shell,sell,swell,small
雾深,foggy,orgy,forty,fogy
背景,setting,prospect,panoramic view,historical sites
深刻,incisive,incise,decisive,inclusive
碎片,fragment,fragrant,raiment,figment
引人入胜,spectacularly,unlimited,narrow,lovely
地震仪,seismograph,rear sight,register,barometer
染色,dye,doze,din,doe
女权运动,feminism,feminine,feminist,passion
祖先,forebear,senior,later generation,aunt
入侵性的,intruding,deciduous,aggravate,drought
（使）松弛,relax,telex,repay,delay
不切实际,inpractical,coordinate with,to fit,symmetry
证明…是正当的或有理的,justify,testify,justice,mystify
秘密,secret,sect,secrecy,secrete
施肥,fertilize,fertilizer,fertility,fertile
传送,transmit,transit,transact,transfix
没味道的,tasteless,stateless,lockup,differ
相冲突的,conflicting,famous,suffuse,bat
承受,withstand,washstand,pitiful,partake
设阱捕兽者,trapper,wrapper,dapper,sapper
自卑感,inferiority,remote sensing,sight,sensibility
悦耳的音调,melody,felony,malady,memory
正在不断出现的,emerging,exotic,bookstall,aquarium
重要的品质,asset,assert,inset,assent
（衣服或裙子）褶边,hem,hum,vet,hat
银河,galaxy,galley,salary,malady
（价格、索价）过高的,exorbitant,especially,more than,to the greatest extent
大乌鸦,raven,rave,laden,ravel
绝缘,insulation,isolation,undulation,insulator
冒险,adventure,denture,adventurer,venture
主要,predominantly,it doesn't matter,urgent,priceless
公路,turnpike,tunnel,aisle,railroad
中止计划（任务）,abort,sport,port,alert
亚洲,oriental,field,Central America,North America
胡须,beard,board,earl,beer
货车,freighter,police vehicle,van,schooner
奢侈,luxurious,lugubrious,idleness,earnest
修剪,clip,slip,lap,crib
遥远,romote,frequency,adult,many years
滤石,dripstone,brocade,furnace,diverge
恰当,proper,prosper,draper,propel
大企业家,tycoon,cocoon,typhoon,famous person
驼背,hump,humid,hemp,hymn
学科,discipline,astronomy,linguistics,physics
自治,autonomous,govern,autonomy,converted to 
住处,dwelling,location,ticket office,destination
几乎不,scarcely,scarcity,scarce,brittle
织布者,weaver,waver,eaves,weaken
土器,earthenware,microphone,monitor ,connector
革新,renovate,innovate,regent,improve
蜿蜒,sinuous,tenuous,sensuous,unswerving
收养,adopt,adept,about,adapt
豆子,bean,jean,bat,beak
明信片,postcard,postpaid,postwar,postmark
调查,probe,prone,prose,drone
挖掘,excavation,snap,peel off,to pump
教条,dogma,flexibility,short and pithy,to have good eyes
有代表性,typical,topical,atypical,tropical
不同,diverse,diverge,reverse,disease
潜能,potentiality,motion,impulse,resistance
坚定,inflexible,flexible,strong,weak
闪光,flash,flair,clash,flush
不遵照传统生活的（人）,nonconformist,prey,gratify,aide
无嗅,odorless,outcome,sedulous,expose
空间,dimensional,firmament,territory,environment
流行,prevailing,hereditary,implicated,it is said
细绳,string,stringy,strong,wring
通货,currency,current,currently,urgency
在…下面,below,billow,byelaw,aglow
即席创作,improvision,attribute,demur,baton
扰乱,disorganize,troublesome,to bar the way,be entangled
不断,constantly,fundamental,often,at every turn
犹豫,hesitate,heritage,estate,meditate
驳船,barge,bare,forge,barrel
授粉,pollination,pollination,butcher,to bring up
混合（物）,blend,blind,bead,bend
最终,ultimate,ultimatum,intimate,estimate
奇迹,miracle,circle,manacle,morale
牧场工人,rancher,grow,tourism,desiccant
毛细管,capillary,artery,vein,vein
使溶解,dissolve,dissolute,preemption,feverish
重复,repetition,reputation,petition,not necessarily
直言不讳,blunt,slant,bland,blond
使巩固,solidify,solidity,photocopy,besides
从前,former,farmer,corner,force
小型立式钢琴,spinet,cosy,prep,annexe
姿势,pose,poise,lobe,some
代表,typify,typist,it could even be said,it can clearly be seen
疯狂,crazy,craze,cry,tray
形成,formation,oration,become angry,to develop
反讽,irony,bony,ivory,agony
不识字的,illiterate,obliterate,literate,playful
缝,stitch,hitch,starch,switch
建筑,construction,to hold or attend a meeting,begin construction,to transform
（使）枯萎,shrivel,shiver,strive,drivel
猎鹰,falcon,felon,bacon,halcyon
喷出,eject,reject,sect,erect
不赞成,disapproval,shambles,ascension,wrecker
极度,deadly,badly,dead,dearly
没有偏见,unbiased,unsettle,concern,wangle
分层堆积,layering,abjure,bray,specially
抽屉,drawer,drier,eraser,diaper
饥饿,starvation,salvation,hibernation,intoxicated
激起…的兴趣,intrigue,hostility,snoop,starve
回忆,recollection,woo,to look for,mourning
宗教,religion,region,revision,religious
使成为整体,integrate,integrity,iterate,intestate
原始,primal,natural,ready made,reliable
揭露,unearth,dearth,unearthly,hearth
被提名的人,nominee,nominal,nominate,vogue
例行公事,routinely,fall behind,to pursue ,corruption
敌对状态,rivalry,ribaldry,revelry,rival
层,layer,payer,lager,water
原子,atom,actor,ago,amok
生理学的,physiological,most,canker,shortcut
航行,navigate,navigator,navigable,embark
说话,utterance,to say more than is necessary,speak out of turn,speak frankly and bluntly
缺点,defect,prefect,infect,detect
可食用的,edible,foible,enable,exile
沉闷,dreary,dreamy,dear,diary
欺骗,deceptive,to dupe,harbor,to confuse
注入,inject,infect,intent,invest
重大,fateful,inexpensive,petty and low,heart
处置,disposal,dispose,to condemn,public trial 
（使）滑动,slide,slave,slip,lid
（使）减少,diminish,politics,like,clammy
强壮,robust,rebut,locust,roast
想象,envision,revision,invasion,division
有创意的,original,ordinal,originate,origin
萎缩症,atrophy,lava,conversant,chloride
感觉或理解迟钝的,dull,cult,lull,duty
驾驶,steer,tear,stair,utter
坚持不懈,persevere,guess,consider,to think over
事件,occurrence,recurrence,internal affairs ,a matter of no great urgency
配料,ingredient,prepare feed ,makings,fuel
分解,decompose,discompose,compose,to excerpt
纯化,purification,-plated,gilt,distill
硅石,silica,stone,gravel,wood
附件,adjunct,inspection,draft ,white paper
专门技术,expertise,exercise,source material,eloquence
可预言,predictability,aliment,eloquent,periodical
盛行,prevail,retail,rumor,joint
农学,agriculture,statistics,high tech,kinetics
活泼,brisk,risk,brink,brick
完成,achieve,thieve,active,final version or text
失望,disappointment,proud of oneself,fly into a rage,raise 
凭借,resort,retort,revert,deport
违背,breach,beach,breadth,reach
加强,fortify,mortify,notify,horrify
弄湿,moisten,mitten,mobster,listen
拱状,vaulted,treasure,young,scruff
短暂,temporary,temporal,long-range,adult
发作,outbreak,to issue,to not have,outburst
刮削下的碎屑,scraping,outwit,loll,avert
芽,bud,nod,ad,bug
差异,variance,variable,variant,parlance
传播,relay,rely,repay,ready
延长,elongate,popularize,soak,to enlarge
小心翼翼,wary,war,weary,baby
飓风,hurricane,ice raft,blast,style
蜂拥,flock,frock,lock,hock
铸币,coin,town,cosy,on
发出低沉的隆隆声,rumble,grumble,rumple,crumble
使制度化,institutionalize,assessor,analytic,eloquence
增加,augment,aliment,judgment,argument
级别或地位更高的,superior,foyer,corolla,roller
不充分的,inadequate,inadequacy,adequate,heroine
消失,extinction,become extinct,to lose,issue
贫民窟,slum,slim,glum,plum
特权,privilege,privileged,copyright,monarchial power
颁给,confer,coffer,counter,canker
装饰,embellishment,make,clone,brew
（动物）仿声鸟,mockingbird,suit,stocky,wintertime
不足以令人相信的,unconvincing,guest,delegate,static
酸度,acidity,acidify,activity,rapidity
(使)返老还童,rejuvenate,ban,coastal,drench
停止,cease,case,debase,censer
笨拙,awkward,backward,award,muddled
盘旋,spiral,spinal,sprawl,sprat
未失真的,undistorted,suitable,spate,steerage
显眼,conspicuous,obscurity,public,indistinct
都市生活,urbanism,become rigid,simplify,soften
争论,debate,abate,rebate,debase
侵略,invade,evade,inmate,invite
文明,civilization,superficial,patient ,impatient
简洁,conciseness,fluffy,firm,frozen stiff
匙,spoon,spool,upon,noon
光泽,polish,modish,police,relish
谴责,condemnation,retort,to criticize,disclose
忆起,recall,recast,really,realm
贸易保护主义者,protectionist,switch,presume,pontoon
可仿效的,exemplary,exemplify,level,manner
庄重,seriously,sanitation,filthy,on the verge
小数,decimal,decimate,recital,decibel
翻倒,overturn,overture,overrun,sedulous
色球,chromosphere,kw,exemplary,vase
惯例,custom,custody,castor,customer
(欲望、饮食等)适度的,temperate,desperate,temperance,talk
哲学,philosophy,philosophy,botany,physics
（使）激动,ferment,serpent,percent,figment
传送者,transmitter,dissonant,chamber,affray
恢复,rehabilitation,recovery ,wreck,extinguish
学徒,apprentice,help in the mess kitchen,proprietor,troops under one's command
会议,convention,convection,invention,confection
恐龙,dinosaur,dinosaur,bat,lion
迷惑人的,illusive,elusive,illusion,inclusive
（语调的）抑扬顿挫,cadence,decadence,cayenne,credence
使硬,stiffen,stifle,stiff,submit
疏忽,negligent,to be infatuated with,be accustomed or used to,intently
相当,fairly,exceeding,further ,compare
削,whittle,brittle,whistle,white
立即,immediate,mediate,progressively,often
山地内部的贫农,hillbilly,ethnic Chinese person or people,foreigner,fellow citizen or countryman
独一无二,unique,undue,antique,pique
谱,spectrum,spectre,spectral,letter of credit
最初,initially,initial,ever since a long time ago,beginning of the year
废弃,scrap,wrap,rap,crap
遗传上,genetically,jolt,gnash,dastard
赞助,patronage,patronize,contribution,express sympathy, greetings, consolation, etc.
奇怪,quaint,paint,quiet,taint
面纱,veil,vie,coil,peril
竞争,vie,avid,hi,nine
危害物,hazard,award,wizard,haggard
稳的,steady,steamy,stead,seedy
狂欢节,carnival,arrival,cardinal,carnal
打开包裹（或行李）,unpack,pack,unmask,unlock
艰辛,strenuous,tenuous,quiet and comfortable,calamity
城市,urban,turban,urbane,groan
玷污,contamination,struggle,to be ready to risk one's life ,render service to repay kindness
冬眠,hibernate,liberate,sleep peacefully,hibernation
不尊敬,irreverence,etcetera,flesh,liniment
水生,aquatic,grow,breeding,wild
卵形,oval,veal,vat,van
公牛,oxen,dairy cow,antelope,buckskin horse
紧张（状态）,tension,session,mention,extension
条目,entry,penury,wintry,gentry
小孔,pore,lore,more,love
牙齿,dental,metal,rental,penal
提醒者,reminder,remainder,render,remind
芳香,aroma,rota,arena,drama
指尖,fingertip,finesse,thumb,forefinger
相当,comparatively,more than,more and more,least
新闻广播,newscast,convoy,system,apricot
措辞,diction,fiction,suction,unction
肆无忌惮,unscrupulous,faking a modern object as an ancient one,to fake,make up
按说,supposedly,through,and,according to
促进者,promoter,calculator,calendar,hint
反对,opposed,to be in favor of,restrict,bear
破坏,destruction,sink into,slide,pour
生物,organism,organist,organic,organize
统治,sovereign,out of power,petition ,regent
事件,incident,accident,Occident,indigent
陪审团,jury,wiry,jute,lure
特别,extraordinary,to spare no effort,inadequate,conscious
异国,exotic,erotic,emetic,vassal state
快的,speedy,seedy,steely,speedway
收缩,contract,contact,construct,contrast
凶猛,fierce,niece,pierce,farce
转移,avert,adverb,aver,vent
忠诚,faithfulness,nice,truthful,easy-going
大小,bulk,bulb,bunk,dusk
思家病,nostalgia,to ponder,pursue ,forget
使脱水,dehydrate,psychic,trademark,carrier
瘟疫,plague,plane,plaque,league
功绩,feat,fort,pert,teat
具体,specific,pacific,specify,abstract
忿恨,resentful,respectful,eventful,have a gnawing regret
分别,respective,just like,have no choice or option but to,with one's own hands
临时,occasional,occasion,as early as possible,immediately
透明,transparent,darkly,make light of traveling a thousand li,fair
防腐剂,antiseptic,marijuana,nutrition,poisonous
真实,substantive,very,emulation,not just in name only, but also in reality
围墙,enclosure,enclose,closure,firewall
干燥,dehydrated,normal,miraculous,irregular
在空中,aloft,afloat,loft,clot
大黄蜂类,hornet,honey,horn,hone
同义,synonymous,the corresponding time period ,peer,the same year
触手,tentacle,tenable,tail,bear paw 
落后,lag,bag,flag,lap
坦白,frank,rank,front,dank
切成薄片,slice,slide,flick,life
易碎,brittle,whittle,battle,bristle
作曲,compose,compote,comprise,compass
顺时针方向的（地）,clockwise,spry,turmoil,gulp
烟雾,smog,smug,snow,mow
支流,tributary,racing current,river,brook
复员,demobilize,demoralize,mobilize,to withdraw
海底,seabed,the wording and purport of what one writes,under,behind
桑树,mulberry,cocoa,marijuana,numb
聚集,assemble,assembly,assembler,dissemble
倾斜,inclined,to wiggle,to lean on,glide
不顾,ignore,snore,ignite,gore
武断,arbitrary,arbitrate,arbitrage,trail along behind others
火山,volcano,volcanic,Wuxia Gorge, in the Changjiang River Three Gorges,Okayama
出汗,perspiration,wet dream,feces,constipation
通常,accustomed,necessarily,give prominence to,commonplace
利用,utilize,utility,to know what's what,separate
消遣,recreation,creation,secretion,recitation
胜利,victory,history,vector,factory
牧师,clergyman,Muslim,apostle,reactionary
相互作用,interaction,quick results,to influence,ferment
芦苇,reed,outdated,tartan,stockade
近郊化,suburbanization,theorist,flimsy,senior
使逐步上升,escalate,escalator,escapade,excavate
地下室,vault,fault,volt,adult
器具,instrumental,specialty,detector,output
教育学的,pedagogical,wrestle,arrival,nausea
磁气圈,magnetosphere,canine,oxide,pair
举止,behavior,fault,movement,savage act
尖端细的,tapering,muffle,winter,duodecimal
蒸发（作用）,evaporation,diction,symphony,unjust
弧形,arc,arm,art,pry
使成梯田,terrace,trace,terrain,terra
适当,aptly,hard to ,portable,to fit well 
妒忌,jealousy,zealous,jealous,be suspicious and jealous of
天文学的,astronomical,bulldoze,deputize,blindfold
从容,leisurely,leisured,leisure,hover
（文艺）批评,critique,to evaluate ,supervise and urge,evaluate
分数,score,core,store,storm
谋反,rebellion,rebellious,to betray,to seize the throne
令人生畏,forbidding,extensive,be lacking,touching
一致,consistent,insistent,homosexual,synchronous
碳水化合物,carbohydrate,amino-group,maxim,adverbial adjunct
振动,vibration,liberation,migration,aftershocks
光（秃）,bare,Mars,baron,barge
（生物）拟态,mimicry,mimic,lad,antagonize
腺体,gland,guard,lank,England
失事的残骸,wreck,speck,weak,trek
断言,allegation,confession,redundant,processor
不利,adverse,adverb,adhere,averse
吞,gulp,hull,hump,rump
市的,municipal,postal,a matter of no great urgency,official business
(人)幸免于难,survive,strive,furtive,survivor
雏菊,daisy,dairy,daily,raise
建议,proposal,propose,shout,answer
淬火,quench,hunch,wrench,lunch
上流社会,fashionable,hereditary,legend,to have to do with
团结,solidarity,solidity,unmarried,annex
人类学,anthropology,astronomy,study of medicine,kinetics
附件,accessory,accessary,motion,draft 
图解,iconographic,postscript,to consult,to explain
可见度,visibility,point of view,level,illumination
神经,nervous,ferrous,fervour,onerous
有效性,validity,rapidity,validate,solidity
碰撞,collision,collusion,coalition,to touch down
前所未有,unprecedented,tiptop,outrageous,having a unique or distinctive style
居住,dwell,deal,smell,fell
空运,airborne,airforce,shipping by sea,ship-based
使人难忘,imposing,enchanting,beautiful,old
虽然如此,nonetheless,except ,and,fearless
成果,outcome,performance,achievements,exploit
紧握,grip,trip,grim,gripe
设置,locate,rotate,late,allocate
雪花,snowflake,timely snow,ice crystals,wind
氦,helium,medium,helm,tedium
画廊,gallery,allergy,galley,caller
延期,defer,lever,peer,offer
古怪,erratic,erotic,erratum,special
使系统化,systematize,mindless,amateur,capstan
复活,renaissance,improve,injuries and deaths,ache
欣赏,admire,dire,advice,adhere
捐赠,donation,adoration,notation,nation
参议员,senator,senior,mentor,senate
罢工,strike,stroke,strip,striker
都市化,urbanization,to legalize,to maximize,multipolarity
斗争,conflict,convict,inflict,to seek shelter
难忘,memorable,removable,consciousness,have an insight into
肢,limb,nib,lamb,him
下水道,sewer,eaves,fence,sewer
宁静,tranquil,ashamed,panic,calm
北极熊,polarbear,leopard,arctic fox,bear
音符,note,yoke,no,vote
水道,watercourse,alley,naval port,access
狂热,mania,media,panda,maniac
身份,status,statue,stylus,stratum
家具,furniture,birthday present ,life's necessities,material
语音学,phonetics,phonetic,biology,zoology
可出租的,rentable,trainee,defer,pod
有害,detrimental,insurmountable,harmful,harmless
酒吧,bar,baa,mar,bay
湿地,marsh,marry,harsh,Mars
反驳,refute,refuge,depute,refugee
电镀,galvanization,distill,galvanizing,to plate
削弱,cripple,ripple,grapple,triple
立体主义,cubism,bishop,governor,blonde
不同意者,dissenter,serf,maid,protester
地震学,seismology,architecture,astronomy,anatomy
为…悲痛,lament,clement,agent,foment
修复,renovation,criticize a person in order  to help him,cure,see a patient
复制品,facsimile,specialty,output,products
讲坛,platform,arena,your,counter
传记作家,biographer,biography,item,tantrum
离题,digression,impervious,indent,war
令人不满意的,unsatisfactory,bannal,windscreen,witchcraft
深恶,detest,decent,detect,desist
不再流行,outmoded,freshness,shabby,age-old
养老金,stipend,deceit,renown,cataract
冒险（事业）,venture,censure,denture,gesture
有读写能力,literacy,literary,literally,literal
债务,debt,deal,welt,pest
湿气,humidity,tropical disease,paralysis,cataract
消遣,diversion,inversion,aversion,version
预演,rehearse,hearse,release,rehearsal
熔融,molten,distill,to plate,silvering
情爱,affection,affliction,infection,anxiety
图表,diagram,proposal,draft ,announcement
燃烧,combustion,burn down,sob,scorched
谈话,converse,conserve,converge,condense
刺激,activate,actuate,captivate,activity
悲恸,mourning,to the satisfaction of everyone,gloomy,pain
萧条时期,recession,remission,repression,cession
适应环境,adaptation,chatty,humid,complexion
互相依赖,interdependence,grim,difficulty,squeak
投入,plunge,prune,lunge,purge
相应,corresponding,to coexist,supply,remain
难懂,elusive,effusive,illusive,exclusive
遭遇,encounter,counter,to enjoy ,take a beating
抛弃,abandonment,to abandon,ruin,to risk one's life
提供,furnish,garnish,finish,burnish
定义,definition,definitive,idea,derogatory sense
整合,integrated,cut off ,parallel connection,be entangled
覆盖物,mantle,pantile,manage,castle
建筑学,architecture,biology,statistics,subject
作为结果,consequent,vibrate,Christ,abrupt
忽略,overlook,overwork,overload,sag
援救,rescue,resume,reside,residue
人行道,footpath,wayside,road,traffic lane
喧嚣,turbulence,lonely,to crowd,infest
转换,convert,convent,conceit,concerto
可预见的,predictable,drought,bump,upset
掌握,grasp,graze,wasp,erase
祖先,ancestor,ancestry,investor,ape man
(人)强健的,sturdy,tardy,study,stud
星座,constellation,wing,Mars ,celestial body 
风景如画,scenic,ascetic,sonic,scent
新闻记者,journalist,journalism,nurse,media
公民,civil,civic,vigil,cavil
眼花缭乱,dazzling,sternly,imbalance,tidy
间歇,intermittent,expel,stanch ,weaning
雾化,atomization,peroxide,mope,idealize
控制,govern,covert,tavern,overt
消尖,sharpen,sharper,share,sharp
变种,variation,aviation,valuation,vacation
寓言,allegory,myth,fable,prose
阴天,overcast,overact,overpass,overcoat
沉积,sedimentary,to extend ,accumulate,to distribute
掠夺,depredation,broken circuit,against the law or discipline,steal
迅速,swift,twist,shifty,sweet
乐观者,optimist,optimistic,optimism,disregard
寄生者,boarder,regress,telltale,confront
分离,segregate,aggregate,for a long time,leave one's native place 
提示,cue,scum,cube,cur
精神错乱,insanity,craze,be unconscious,heartless
抹泥,plaster,platter,plastic,paste
使误入歧途,mislead,misdeed,misread,misdeal
汇集,compile,compiler,combine,coppice
裁缝师,tailor,sailor,pallor,trailer
雪崩,avalanche,to break,fall,tear up 
约定,stipulate,simulate,stimulate,to practice
(演说、文章等)冗长的,lengthy,length,lengthen,correct
不规则的,irregular,regular,catalyst,jackass
有知识的,acquainted,to find out,to know,see clearly
无脊椎动物,invertebrate,this,kinsman,fetch
残余,remnant,ragged,fragment,entire
温文尔雅,urbane,urban,turbine,urine
蝴蝶,butterfly,spider,bumblebee,fiery dragon
激发,motivate,mutilate,mitigate,activate
超音波学,ultrasonics,transpose,compute,slack
发光,radiant,reliant,rampant,variant
脱盐作用,desalination,modulation,tongs,woodpecker
追随,adhere,sphere,adverse,where
论文,dissertation,a record of events inscribed on a tablet,statutory,epitaph
终于,eventually,eventual,inevitably,to repeat
使再循环,recycle,tricycle,cycle,bicycle
精英,elite,recite,glide,trite
仔细检查,explore,explorer,explode,expose
相当大（多）的,considerable,trump,spoilsport,disparage
用辞,terminology,numeral,pronoun,interjection
饥饿,hunger,finger,hunter,hanger
膜,membrane,embrace,membrane,valve
发出嗡嗡声,buzz,bug,bump,muzzy
尼古丁,nicotine,poisonous,opium,cigarette
机会,opportunity,pertaining to time,key,as usual
调停者,mediator,chopsticks,pedestal,amnesia
显现,emerge,energy,emergent,verge
小心翼翼,diligently,superficial,attentive,careless
装饰,embellish,put,to make,counterfeit
严酷,rigor,progress,revolution,counter-revolutionary
学者气质,scholarly,scholar,talent and learning,square 
临床,clinical,cynical,critical,clinic
迟钝,slothful,sensitive,be ineffective,silly
活跃,actively,deferent,uninhibited,generous
维持,maintenance,to depend on,to coexist,to exist
像,resemble,assemble,on the other hand,apparently
目标,goal,gnat,coal,fowl
有影响的,influential,quire,tenancy,effeminate
有条理地,methodically,tentacle,row,tutor
雕刻,sculptural,diagnosis,sculpture,feel  the pulse
部分,segment,ferment,sediment,serpent
有意义的,significant,provident,filament,changeable
参与者,participant,partisan,a stranger,together
欢乐,convivial,jubilation,kowtow,to the satisfaction of everyone
加强,reinforce,enforce,expedite,to postpone
不可能的,improbable,probable,raincoat,estrange
合子,nucleus,nuclear,invaluable,precious
遗迹,relic,fountain,mineral spring,trace
侮辱性的,insulting,ass,draftsman,retail
神经元,neuron,marrow,nerve,artery
胆怯,timid,tepid,amid,vivid
栖息,roost,rouse,loose,roomy
发射,launch,lunch,hunch,lurch
燃烧（的）,burning,turning,burnish,bring
通信,communicate,to speak,to send,to communicate
发出,emit,exit,emir,wait
用手,manually,tooth,thaw,chimney
歌剧,opera,per,over,pert
风景,scenery,scene,celery,sentry
传染（病）,infection,injection,insertion,intention
指示,denote,devote,demote,dent
自卫,defensive,offensive,defense,defective
（使）枯萎,wither,whither,within,winner
即将发生,impending,pending,to depart,be separated by 
动人,appealing,pitiful,frightful,hateful
传记,biography,geography,biographer,children's fairy tales
动力学,dynamics,dynamic,dynamite,dynamism
静脉,vein,skein,grin,dean
（令人）不愉快的,distasteful,patriotism,dreary,love and hate
无知,ignorant,ignorance,powerless,grand talents mature slowly
黎明,dawn,yawn,van,pain
共有,mutual,mural,actual,ritual
指定,designate,desiccate,establish a capital,to set up a separate kitchen
容许,tolerate,moderate,tolerable,tolerant
模拟,mime,die,mike,wide
新陈代谢,metabolic,to withdraw or modify one's previous remark,modified tone,to expand
立体摄影,stereophotograph,etc,heredity,witty
旋紧,screw,crew,crow,score
行动,proceeding,to shake hands,to walk,with one's hands clasped behind one's back
减法,subtraction,treatment,penmanship,witchcraft
美化,glorify,glory,clarify,brag
狂怒,frenzy,freeze,breezy,freely
相互连接,interconnecting,digress,prose,stab
消化,digestive,directive,analgesic,to have diarrhea
使显著,highlight,barefooted,exposure,screen
崩溃,crumble,crumbly,rumble,stumble
通常,normally,sole,pretty close,strange
不感兴趣,indifferent,despise,treat something lightly,careful
驯养,domesticate,foster,catch fish,to rear
接合,juncture,tincture,hereditary,fashionable
奇观,spectacle,spectacle,see,phantom
有营养成分的,nutritious,complement,composition,toxin
固定,stationary,stationer,stationery,activity
包含,contain,container,contagion,mountain
离开,departure,encircle,press on towards,worry
令人不安,troubling,feel ashamed,be worthy of,to satisfy
设想,conceive,conceit,concave,concede
无止境的,endless,seedless,unless,undress
暴风雪,blizzard,lizard,wind,ice floe
通常,customarily,customized,high-ranking,only
核子,nuclei,white blood cell,cell,nerve
拖动,drag,ray,draw,grab
装饰,ornament,tournament,ointment,armament
强调,spotlight,report ,convey,forecast
微弱,faint,rain,quaint,want
婚礼,wedding,wetting,pending,weeping
不拘礼节,informal,normal,inform,formal
广阔的地面,tract,trace,trait,act
多汁液的,juicy,juice,quick,jury
反对,averse,adverse,reverse,verse
检查,inspection,insertion,injection,infection
表演,rendition,prescribe,have an  abortion,suit the medicnine to the illness
分歧,divergence,honor,dispute,grudge
事实,factual,be required by circumstances,circumstances,inside information
温度,temperature,travel route,air temperature,area
边缘,brim,arm,grid,grin
养育,breed,biped,screed,reek
次要,secondary,secondly,superficial,major
一致,coherence,roommate,subordinate,to be united in action
非专业的(人员),nonprofessional,presidency,virtual,solution
持续时间,duration,adulation,ration,nutation
无效,void,valid,food,load
考古学的,archaeological,legislate,telly,retire
破坏,demolition,to smash,topple,slide
响应,responsive,response,suggestion,to mobilize
大陆,continent,contingent,content,confident
脱落,shed,seem,she,send
制服,uniform,inform,burial clothes,raincoat
批发商,wholesaler,butcher,businessman,guest
被抛弃的,abandoned,decline to comment,contempt,take into account
非决定的,inconclusive,battalion,team,cicada
持续,persist,desist,perish,permit
启迪,enlightenment,to tutor,warn of,to conduct
到期,due,vie,out,we
跳水,dive,five,hie,dole
轻率的,reckless,feckless,recess,trackless
形态学,morphololgy,academic,civilization,arithmetic
倾泻,dump,dam,lump,stump
半身像,bust,dust,bush,bat
饰演,portrayal,portray,sing,concert
饮食,dietary,potluck,get or supply meals at a fixed rate,supper
大规模购物中心,mall,bill,manly,mule
航海,navigation,aviation,navigator,aviation
微小,minute,mute,dilute,mince
浅的,shallow,swallow,hallo,shadow
礁,reef,peep,reek,refer
审查,inspect,aspect,suspect,insect
不育,sterile,stele,stride,puerile
牵引,traction,oration,friction,action
货站,depot,decoy,deft,despot
明确,explicit,elicit,implicit,exploit
在市区（的）,downtown,cone,prosody,sinew
走私,smuggle,struggle,juggle,snuggle
狭窄,cramped,terrible,to be full of,amiable
兼并,annex,banner,annexe,annul
视野,ken,cent,hey,get
开始,outset,outer,outlet,output
范围,scope,score,cape,sore
全面,comprehensive,fluent,not to be taken as an example,practice
夺取,despoil,compete for,obtain,to draw a lesson or an insight]
吝啬,skimp,skip,slimy,skim
费力,laborious,among,ordinary,inferior
自制,homemade,to manufacture,homemade,to reproduce
装模作样,affected,to fake,to gasp for breath,to breathe deeply
大腿,ham,what,gad,team
身高,stature,feature,statute,suture
（数量或力量上的）优势,preponderance,strut,dishonest,elevator
眩晕,dizzy,dinky,muzzy,dingy
反叛,revolt,revert,report,revolve
刮,scrape,scraper,scrap,craze
代替,replace,place,relate,replica
（使）变弯曲,buckle,bustle,suckle,truckle
危急,desperately,hasty,leisurely,a land swarming with disaster victims
使熟知,acquaint,quaint,acquit,give the correct time
歧视,indiscrimination,take care of oneself,be indifferent to something,end up with nothing  definite
扩大,amplify,simplify,to adapt,popularize
勇敢,gallantry,gallant,weak,not care
使变硬,harden,darken,burden,pardon
协调,compatible,comparable,melt,metamorphism
平衡,equilibrium,extract,surplus,enough
嫩的,tender,sender,thunder,gender
准确,accurate,accuracy,actuate,inaccurate
遵守纪律,disciplined,salt,apprehend,panther
不稳定的,unstable,notable,unsuitable,constable
减去,subtract,disarmament,to lay off employees,to die out
接近,approximate,cannot decide which is right,to resemble,as if
磨碎,grind,ring,grand,gild
小说,fiction,friction,auction,section
花的,floral,flora,float,local
铁磁,ferromagnetic,vulgarity,retard,misprint
相等,equal,equate,quail,equable
容器,receptacle,charger,appliance,fire hydrant
喷出,squirt,squirm,squint,spurt
表层土,topsoil,classify,applicable,grumble
汇合处,junction,function,munition,unction
荒芜,deserted,vigorous,individual,portion
固定,fixed,frantic,a slip of a pen,still
（权利、传统）确立的,entrenched,of indomitalbe spirit,petty,coarse
精细,elaborately,female,organ,civilized
禁止,forbid,torrid,horrid,morbid
综合,synthesis,synthetic,synthesize,classification
超越,exceed,excess,except,extend
具有,bear,bead,near,swear
征服,subdue,sundae,undue,subtle
尽力,exertion,doesn't exist,special-purpose trip,inadequate
无限制的,unrestricted,exhaustion,jolly,make an all-out effort
(数量或变化)很大的,appreciable,croon,coffee,draw
（供水）管道系统,plumbing,thimbleful,waistband,biceps
施加,exert,exult,exact,expert
短暂,fleeting,adult,a while,moment
口琴,harmonica,watchman's clapper,organ ,piano
尖酸刻薄,bitter,better,bicker,fitter
节食,diet,dip,dish,tier
下,subterranean,tantalize,basis,compensate
风化,weather,whether,feather,tether
离开,depart,heart,decant,report
电离层,ionosphere,to turn a corner,laminated,edge city
弄清楚（秘密）,unravel,ravel,gravel,navel
危险,precarious,gregarious,precious,precocious
朦胧,dimly,fair,short distance,blur
加浮雕花纹于,emboss,list,rapidity,snapshot
沙漠,desert,deserts,resort,divert
奇怪,peculiar,pecuniary,secular,not necessarily
麻醉,anesthesia,rusty,denude,to infringe on
