#word,meaning,option1,option2,option3
低估,underestimate,reckon,assumption,expect
属于,pertain,certain,appertain,curtain
最后,conclusive,inclusive,conclusion,about
推进(力),propulsion,profusion,repulsion,courage
悬挂,dangle,wangle,bangle,dandle
不可否认,undeniable,elevate,jockstrap,incline
封入,enclose,close,enclave,encore
懊悔,remorse,remote,reverse,remove
同代人,contemporary,descendant,successor,ape man
放,put,duo,ply,cut
附加,supplementary,to encrypt,rise in value,soak
纪念品,souvenir,antique,award,vegetation
官邸,mansion,pension,monsoon,tension
使痛苦,afflict,inflict,affect,be disgraced
均匀,homogeneous,balance,minute,trivial
弄脏,contaminate,attract ,waver,sensation
报答,reward,retard,upward,remand
供应,accommodate,to need,both can be implemented without coming into conflict,to furnish
闪耀,glare,glance,lace,blare
严酷,grim,grab,grime,trim
给(书、文章等)题名,entitle,title,entire,entity
居住于,inhabit,inherit,cohabit,inhibit
增值,increment,excrement,inclement,appreciate
大惊小怪,fuss,bus,fish,nuts
所有权,ownership,a  mission,property right,human rights
批评,criticism,criticize,denounce,accept responsibility 
镊子,tweezers,tweeter,cramp,plane
饰…的边,fringe,fridge,cringe,orange
调整,adjust,just,adult,dust
僵局,deadlock,wedlock,padlock,balance of power
放光,beam,deaf,jean,reap
污点,blot,rot,beat,blow
主题,motif,Sanskrit,subject,problem
地下室,basement,casement,pavement,classroom
限制,imprison,prison,to restrict,exert 
阵风,gust,bus,just,dust
空的,vacant,vaunt,vacancy,scant
消灭,annihilate,put an end to,to sweep away,quench
混乱,tumble,tumbler,humble,grumble
供养,support,suppose,supper,purport
水门,sluice,suite,slice,splice
流浪者,nomad,normal,nod,coma
牛群,herd,hand,third,bead
红利,dividend,dividers,divide,sudden huge profits
显著,striking,unofficial,at the back,obscurity
对等的人,counterpart,considerably,suit,impracticable
民族主义,racism,dialectical materialism,atheism,agnosticism
最优化,optimum,optimism,solder,ornamental
额外,extra,entry,extort,extol
贡献,contribution,to donate,to solicit contributions,submit
加强,heighten,eighteen,frighten,height
履行,performance,constructive,to take a wrong step in life,popularize
坦白无隐,outspoken,undisguised,turn ,upright
弄清,ascertain,uncertain,appertain,certain
开凿,cutting,to intercommunicate,be pitted against each other,component
王朝,dynasty,nasty,the Ming Dynasty,contemporary
防御工事,defence,defense,define,defend
轻而薄的,flimsy,slimy,whimsy,clumsy
瘫痪,paralysis,paralytic,analysis,numb
棒球,baseball,basketball,football,hockey
治理,harness,harmless,sadness,harvest
持续性,continuity,seedling,dubious,highbrow
脆的,fragile,facile,agile,frail
减的,minus,bonus,mink,virus
肯定,definite,finite,deficit,define
在内,inland,England,land,inlay
暗杀,assassination,rape,homicide,take liberties with
教唆,abet,abut,abed,belt
逆时针的,anticlockwise,snobbish,diarrhoea,lope
安神药,tranquilizer,amateurish,bequeath,estimate
粘着,stick,stock,tick,stiff
极性,polarity,feminine,sensibility,inertia
装饰,decoration,decorator,peroration,to manufacture
俗丽,gaudy,gad,giddy,gauze
复杂,complex,compile,compiler,complete
逃避责任者,truant,rant,grunt,arrant
指南,guideline,sideline,to guide,to step back
狡猾,cunning,burning,turning,inning
食草,herbivorous,incense,judicature,sluggish
借出,loan,loud,land,fan
领导,campaign,president,Roosevelt,minister
激流,torrent,torment,orient,portent
徒劳,vain,main,vein,rain
谷仓,granary,urinary,gantry,canary
伪造,rig,rib,six,if
疏散,evacuate,evaluate,ejaculate,vacate
强索,extort,export,retort,extant
（声音）沙哑的,raucous,crude,superficial,man-made
(专制君主的)命令,decree,degree,decrease,secrete
使同步,synchronize,connive,scare,stealth
拖,haul,hail,hug,tail
逃走,bunk,bank,link,berk
举例说明,illustration,rummage,overpass,character
松树,pine,hie,panel,pure
乏味,insipid,nondescript,interesting,pitiful
荒唐,ludicrous,judicious,act recklessly,patient 
狺吠,yelp,yell,yule,year
电子管,valve,solve,salvo,gale
公有,communal,commune,organization,organizational structure
沉默不语,reticent,resident,regiment,recent
双方,bilateral,lateral,unilateral,trilateral
有说服力,cogent,client,count,urgent
内部,interior,anterior,inferior,exterior
公制,metric,merit,emetic,metrical
粘贴,affix,suffix,affair,affirm
精华,essence,absence,wealth,goose feather
节的,sectional,section,vertical angles,gamma rays
定位,orientation,blood-soaked,fall into a pattern,manage  with difficulty
改善,better,jitter,batter,butter
彗星,comet,vomit,coat,home
倍数,multiple,multiply,percentage of children who enter school,exchange rate
巨大,magnitude,be a cinch,firm,vigorous
残酷无情,ruthless,sin,humanity,good and honest
氧化,oxidize,oxide,modernization,to maximize
父子关系,paternity,maternity,eternity,fraternity
波纹,ripple,nipple,topple,riddle
沸腾,boil,bowl,bell,loll
战利品,trophy,trashy,tropic,object
丰富,generous,onerous,appreciate,manage
外壳,shell,swell,sell,tell
安装,setting,pave,put,assemble and install
机警,vigilant,vigilance,muddled,spoil
碎屑,fragment,raiment,fragrant,figment
借口,pretext,protest,preset,prefect
技巧,technique,ability to write,eloquence,literary or artistic talent
辞去,resign,resin,design,reign
可能性,likelihood,livelihood,flexibility,function
简略,curtail,certain,curtain,incisive
礼节,propriety,proprietor,local conditions ,celebration
波动,undulate,adulate,insulate,modulate
证明…是正当的,justify,justice,mystify,testify
曙光,twilight,sun,hotline ,moonlight
反驳,retort,extort,report,record
抵抗,withstand,washstand,force majeure,defend
血缘关系,kin,kink,kit,skin
繁多,manifold,one after another,negligible,polysaccharose
背书于,endorse,enforce,encore,endure
枷锁,yoke,duke,note,poke
曲调,melody,moody,felony,melon
有价值的东西,asset,ascent,assay,assent
银河系,galaxy,malady,galley,gala
过份,exorbitant,some,many,more than
『植物』矮牵牛属,petunia,bladder,overwhelm,admire
主要,predominantly,secondary,inexpensive,my
伤亡,casualty,casual,shed blood,recover 
失败,abort,bore,about,labor
东方人,oriental,British people,Han Chinese person or people,Swiss 
胡须,beard,heart,bird,weird
奢侈,luxurious,lugubrious,idleness,industrious
咧嘴笑,grin,grind,grit,grow
故做显贵,dignify,dignity,signify,magnify
夹住,clip,ship,flip,slip
隆起,hump,rump,hemp,hut
拨(电话号码),dial,drag,goal,dell
(心)惊了一下,falter,farther,barter,waiter
训练,discipline,education,take lessons after school or work,drill
自治,autonomous,autonomy,public security,to conduct
住处,dwelling,destination ,site,site
刚刚,scarcely,scarcity,scarce,at all
受感染的、腐败的,septic,scheme,look,murderer
防护具,armour,ardour,arbour,amour
蜂房,hive,hire,mike,bide
筑坝,dam,dad,do,lab
(,slack,smock,block,black
更新,renovate,innovate,improve,improve
可燃,inflammable,growth,again,airway
周年纪念,anniversary,late,twiddle,decent
(计划,scenario,obscenity,prorate,ride
选定,adopt,adroit,adorn,abort
探查,probe,prune,globe,pole
仁慈,mercy,merge,perky,marry
教条,dogma,sensitive,nimble,spoil
典型,typical,atypical,cynical,topical
误用,misuse,disuse,minus,minute
多种多样,diverse,averse,divest,diverge
闪光,flash,flesh,slush,cash
轻视、鄙视,disdain,hymen,sport,oddity
病发作,fit,fat,kin,fruit
把…串在一起,string,spring,strong,sting
经过,pass,bash,lass,base
流通,currency,urgency,current,currently
呻吟,groan,grab,grove,loan
珊瑚,coral,lace,bracelet,necklace
)黄铜制品,brass,brash,grass,bless
平底载货船,barge,base,badge,cargo
详述,detail,retail,derail,detain
掺和,blend,blond,lend,blind
发微光,glimmer,shimmer,simmer,glider
奇迹,miracle,circle,morale,manacle
毛细管,capillary,afterbirth,artery,arch of aorta
叛徒,traitor,tractor,trainer,tailor
解放,dissolve,dissolute,internal disorder,overthrow
重复,repetition,reputation,petition,life insurance
黄铁矿,pyrite,package,residue from beans after making soya-bean milk,chaff
特殊癖性或行为,idiosyncrasy,trowel,furrow,hazy
把…弄钝,blunt,blurt,bust,bounty
水牛,buffalo,calf,water buffalo,dairy cow
凝固,solidify,solidity,handy,harden
以前,former,farmer,foster,form
姿势,pose,pole,whose,poise
矛盾,contradiction,unpractical,be antagonistic to,correct
打赌,bet,pot,sex,set
组织,formation,oration,office,TV station
讽刺,irony,crony,iron,rosy
无文化的(人),illiterate,obliterate,literate,pianist
雨衣,mackintosh,sweater,winter clothes,pajamas
缝(合),stitch,scotch,stanch,sketch
释义,construction,brief introduction,to present,to consult
大使,ambassador,attache,chairman,an envoy
弹出,eject,erect,reject,inject
致命,deadly,really,dearly,daily
虔诚,piety,plenty,pith,petty
排队,queue,quote,quire,quite
密谋,intrigue,conspire,abandoned idea,to map out
恳求,entreat,supplicate,get involved,to try out
法老王,pharaoh,elasticity,roller,disco
使成为整体,integrate,intestate,iterate,integral
大破坏,havoc,halo,avow,have
专家,specialist,socialist,specialize,speciality
整理羽毛,plume,slump,plum,prude
愚味而不自知的,fatuous,vacuous,famous,fabulous
被提名者,nominee,nominal,nominate,primer
文献,literature,literate,document,to illustrate
层,layer,lower,later,player
闪光,glitter,clatter,jitter,glimmer
生理学的,physiological,remain,insular,unsociable
重要性,value,false,valve,halve
脱党,defect,decent,defeat,deface
可以吃的,edible,foible,exile,enable
沉闷,dreary,decry,rear,dread
注射,inject,infect,insert,intact
监护人,guardian,health,position in the family hierarchy,nationality
紧急情况,emergency,emergent,emergence,liaison
不能溶解,insoluble,soluble,roomed,pickings
把…作为目标,target,garret,tablet,barge
整形外科,orthopedic,unify,pierce,adverse
风格,style,type,stale,scale
处置,disposal,dispose,judgment ,to flog
悄悄溜走,slide,spider,slim,elide
减少,diminish,to die out,replenish,buy one's ticket after the normal time
坚定,robust,bust,roast,rebut
想象,envision,invasion,vision,incision
原型,original,originate,criminal,ordinal
迟钝,dull,hull,due,doll
控制方向,steer,steak,seek,tear
坚持,persevere,to feel,publicly known,assumption
成份,ingredient,toxin,scale,predicative
腐败,decompose,discompose,compose,gradual progress
授予称号,dub,daub,duly,duff
忧郁,gloomy,groom,gloom,loom
给…调味,flavour,darkness,recumbent,genitals
专门知识,expertise,exercise,skill,eloquence
谦和,gracious,spacious,ungracious,precious
器官,organ,orgy,urban,roan
零,nil,vile,awl,aim
前提,premise,promise,preside,premier
眼睛,eye,aye,by,dye
胜过,prevail,retail,be suitable,following
农业,agriculture,undertaking,mining industry,the world of business
敏捷,brisk,brig,bliss,brink
间接,oblique,clique,oblige,obloquy
台风,typhoon,tycoon,iceberg,icicle
许可,licence,silence,license,visa
完成,achieve,thieve,active,to put in place
偏爱,favour,universal love,patriotic,pay attention to
动员,mobilize,demobilize,mobile,moralize
求助于,resort,rest,sort,escort
冲破,breach,preach,breath,breech
增强,fortify,mortify,notify,forty
逃避,evade,jade,invade,grade
惊恐,alarm,swarm,alas,claim
暂时,temporary,temporal,heat,overnight
爆发,outbreak,to send out,to lose,derivative
瘦的,meagre,merge,measure,league
芽,bud,nun,fun,and
转播,relay,repay,clay,relax
小心,wary,aware,parry,worm
飓风,hurricane,storm ,ice crystals,blizzard
兽群,flock,unlock,frock,flunk
硬币,coin,loin,foil,crown
生动,telling,pitiless,grand,penetrating
跳动,throbbing,rove around,stir,to run
增大,augment,segment,aliment,judgment
误传,misrepresent,establish,precise,a slip of a pen
上级,superior,member of State Council ,assist in managing,excess personnel
疯狂,maniac,mania,menial,manual
不充足的,inadequate,inadequacy,adequate,bedside
贫民窟,slum,plum,slut,slim
特权,privilege,privileged,jurisdiction,veto power
授予,confer,coffer,coffee,offer
翻覆,turnover,turner,stir,aftershocks
弹性,resilience,rigidity,sensibility,non-profit
酸味,acidity,acidify,activity,acuity
停止,cease,case,beast,craze
棘手,awkward,backward,award,profound
螺旋(形)的,spiral,spinal,sprat,viral
调查分析,diagnosis,diagnose,boatswain,moralistic
显著,conspicuous,unofficial,useful,obscurity
（药物）过度剂量,overdose,intimate,ditcher,former
(大学的)研究班,seminar,discussion forum,exhibition,fair
侵略,invade,insane,inside,inane
磨光,polish,police,punish,perish
汽车,automobile,automotive,garbage truck ,van
回想,recall,regal,recast,retell
发布(命令),give,gibe,five,nice
生物所能分解的,biodegradable,boyfriend,slack,meteorite
空气调节(装置),airconditioning,swirl,shoddy,sonorous
混乱,tumult,tumble,filthy,convenient
祭祀,sacrifice,cause trouble,to start a fit,bury 
小数,decimal,recital,decimate,denial
兽医,veterinary,veterinary,journalist,maternal grandmother
后缀,suffix,suffice,suffer,affix
习惯,custom,accustom,gusto,custody
自制,temperate,desperate,temperance,have something custom-made
哲学,philosophy,anatomy,theology,botany
被告人(的),defendant,descendant,dependent,politics
使当学徒,apprentice,booty,devote,emperor
惯例,convention,convection,conviction,connection
恐龙,dinosaur,dinosaur,bat,lion
超声,supersonic,accent,soprano,pronunciation
浮雕,relief,belief,relish,belie
乱搞,meddle,peddle,saddle,module
相当,fairly,totally,almost, nearly,least
浮游生物,plankton,atom,crops,quantum
历史学家,historian,historical,historic,geologist
一件一件,piecemeal,eavesdrop,rut,afield
独白,monologue,qualified word,thank-you speech,soliloquy
独一无二的事物,unique,undue,antique,clique
领域,spectrum,spectre,spectral,political and government circles
小片,scrap,screw,strap,trap
向往,yearn,yeah,earn,yen
蟋蟀,cricket,bracket,wicket,thicket
档案,archives,document,material,will
航行,sail,silo,all,fail
肠,bowel,vowel,power,bowl
能看穿的,foreseeable,presidency,vanish,campfire
奇怪,quaint,quiet,taint,paint
护照,passport,password,passport,confirm the truth of
面纱,veil,bell,vein,hail
危险,hazard,wizard,haggard,hoard
稳定,steady,ready,steamy,stead
作为,as,us,jam,tap
住处,accommodation,workstation,starting point,destination
费力,strenuous,tenuous,tip,very difficult 
第三世纪,tertiary,nineteenth,for the first time,sixth
注意,mind,fend,kind,minus
水生,aquatic,undomesticated,lay ,breeding
小事,compartment,bathroom ,inner room,lobby
卵形,oval,vat,oral,real
紧张,tension,pension,torsion,tensile
入口,entry,energy,penury,gentry
几何学,geometry,virology ,psychology,philosophy
毛孔,pore,worse,hare,word
牙齿,dental,deal,denial,rental
绞死,hang,hawk,rant,hinge
叙述,narrative,narration,narrate,chat
芳香,aroma,romp,drama,arena
明显,visible,divisible,invisible,viable
诅咒,curse,worse,corset,curve
未婚夫,fiance,fiancee,finance,fancy
传统,classic,classify,class,plastic
措辞,diction,action,fiction,edition
半径,radius,Ladies,radio,radish
想像上,supposedly,suddenly,unexpected,permit
草药医生,herbalist,competence,staff,wishful
手铐,cuff,muff,duff,curt
生物,organism,organist,orgasm,organize
君主,sovereign,name of an emperor,director,queen
使倾向于,incline,decline,incise,inkling
生产率,productivity,rate,percentage of votes obtained,incidence of a disease
陪审团,jury,bury,ruby,lure
奇异,exotic,erotic,emetic,tremble with fear
土著,aboriginal,Chinese person,staff,to immigrate
契约,contract,contrast,contact,constrict
残酷,fierce,pierce,coerce,force
避免,avert,vent,alert,aver
赎回,ransom,random,atonement,mortgage
指南针,compass,compare,compress,compost
容积,bulk,mule,bunk,baulk
四分染色体,tetrad,designer,untapped,curtail
怀旧之情,nostalgia,pneumonia,diphtheria,measles
保险单,policy,police,colic,polish
瘟疫,plague,plaque,league,page
表达,voice,poise,price,nonce
功绩,feat,mead,pat,jet
特定,specific,pacific,specify,customized
天动说的,ptolemaic,sachet,swipe,arrival
特殊场合,occasional,occasion,tattle,agitator
透明,transparent,gloom,in black and white,fair
加重,exacerbate,soften,relax,postpone
围场,enclosure,enclose,closure,the Great Wall
盗用,misappropriate,usage,reserve,be applicable
横断,traverse,averse,transverse,reverse
触角,tentacle,tenable,bear paw ,horn
落后,lag,loaf,wax,hog
把…切成薄片,slice,alive,spine,spice
易损坏的,brittle,bristle,bridle,battle
产生,bring,brig,brink,blind
创作(乐曲、文学作品等),compose,compete,composite,compost
全国性的,national,rational,optional,nation
粘液性的,mucous,syrup,gall,broth
顺时针方向地,clockwise,noise,ablaze,wig
支流（的）,tributary,quarrel,prima,through
实际,pragmatic,approximately,not equal to,admittedly 
取消,quash,relieve ,fly one's onw colors - develop a school of one's own,name
残暴,outrageous,courageous,sin,humanity
装配,assemble,assembler,assembly,dissemble
性情乖戾,cynic,sedulous,heatwave,oppression
越分,uncalled-for,extant,sufficient,loss
大使馆,embassy,General Political Department,office,political power
兴趣,hobby,hubby,lobby,booby
任意,arbitrary,arbitrate,arbitrage,strive as much as possible
火山,volcano,volcanic,Honolulu,Mt. Wu, on the Changjiang River by the Three Gorges
反对,oppose,opposite,expose,pose
讨价还价,bargain,brain,barman,again
利用,utilize,utility,to embezzle,inference
娱乐,recreation,creation,secretion,reception
重新估计,reappraisal,excusable,grope,serenade
命运,destiny,destine,destroy,destined
(使)逐步上升,escalate,excavate,escapade,escalator
改变,vary,ward,bar,warp
不情愿的,loath,lath,locate,booth
不朽,monumental,monument,total absence of justice,good-looking
仪器,instrumental,a block of printing,thermograph,compass
差使,errand,arrant,brand,strand
促成,procure,produce,procedure,profuse
逐渐,gradual,graduate,on schedule,so much so that
弧,arc,arch,ark,dark
梯田,terrace,terra,trace,retrace
纤维,fibre,fable,mire,gibe
发誓,swear,sweat,sear,wear
字首,prefix,precis,profit,prefab
记号,score,cork,shore,coke
推翻,overthrow,understand,accepted ,meddle
叛乱,rebellion,rebellious,restoration of reactionary rule,equipment
相容,consistent,insistent,burnt,quick-freeze
碳水化合物,carbohydrate,maxim,principle,object
振动,vibration,liberation,migration,stir
极少,bare,care,babe,bole
焦虑,apprehension,mournful,feel bad,sullen
腺,gland,glare,land,grand
法规,statute,statue,stature,saute
使失事,wreck,wreak,crock,brick
见解,allegation,idea,plan,prejudice
正当的理由,justification,finely,direct,waxen
敌对,adverse,reverse,averse,advertise
市的,municipal,oneself,fellow citizen or countryman,more or less open
伪装,masquerade,to pant,suspend,to take a breather
建议,proposal,propose,answer,pondering
扑灭,quench,wrench,hunch,trench
手铐,handcuffs,desk lamp,cangue,hatchet
迫害,persecute,prosecute,detrimental,harmless
团结,solidarity,solidity,unmarried,trinity
人类学,anthropology,philosophy,astronomy,geometry
冒犯,transgress,to invade and harass,all's fair in war,to gain by cheating
附件,accessory,accessary,proposal,enclosure
冲积,alluvial,jet,be found everywhere,accumulate
合逻辑,validity,acidity,solidity,rapidity
碰撞,collision,collusion,coalition,provoke
居住,dwell,well,duel,dell
手掌,palm,polo,Cal,calm
模式化,stereotype,rhyme,factory regulations,to stipulate
外表强大,imposing,cellar,bolt,apprise
成果,outcome,feat,outstanding achievement,attain a result
抓紧,grip,rim,grit,rip
外交家,diplomat,linguist,artist,musician
用口哨/喵吹奏,whistle,white,whittle,while
慎重,politic,poetic,politick,politics
副词(的),adverbial,indecorous,adulteress,savage
氦,helium,medium,vellum,tedium
(矿坑中的)地下坑道,gallery,allergy,galley,caller
听从,defer,defy,defect,beer
反复无常,erratic,erotic,erratum,gradual change
意见不同,differ,dinner,defer,diaper
（心脏）急速而不规则地跳动,palpitate,capitate,palliate,rigid
新生,renaissance,to update,is,decay
星号,asterisk,punctuate,trademark,key signature
捐款,donation,nation,rotation,domination
腐蚀性的,caustic,acoustic,mean and ferocious,brutal
)铁路,rail,trail,ail,mail
猛冲,dash,math,darn,hash
抵触,conflict,convict,inflict,impracticable
翼,limb,lime,limbo,limit
(感觉)舒适的,cosy,coke,posy,cos
排水沟,sewer,sewer,courtyard,terrace
游泳,bathe,lathe,path,batch
宁静,tranquil,ashamed,hastily,be sorry
癫狂,mania,maniac,mama,mantis
(使)旋转,whirl,phial,whit,shirk
丑闻,scandal,sandal,canal,vandal
状态,status,static,statue,state
定期,periodically,short-term,spare time,ever since a long time ago
一群,gang,hang,tank,fag
损害,detrimental,to prevent,harmless,detrimental
障碍,bar,bow,baa,bed
帮助,crutch,wretch,retch,clutch
公民投票,referendum,emigrant,broadcast,violent
沼泽,marsh,earth,parse,arch
驳斥,refute,reduce,repute,rebut
((口语))小儿麻痹症,polio,temple,heir,bitter
扣留,detain,retain,attain,detail
蔑视,defiance,reliance,deface,define
使跛脚,cripple,ripple,tipple,crumple
竞争者,contestant,depravity,expression,miracle
悲伤、哀悼,lament,latest,garment,patent
决定,determine,inhibit,to surpass,to restrict
修理,renovation,moviemaking,guarantee to keep in good repair,homemade
复制本,facsimile,hypertext,specimen,original
站台,platform,battery,arena,Shinto 
深恶,detest,detect,detente,attest
加衬垫,pad,par,far,lead
冒险行为,venture,censure,denture,entire
补偿,offset,offer,onset,outset
发言人,spokesman,sportsman,agent,witness
对…实行禁运,embargo,embark,embryo,gore
精通文学,literacy,literary,literate,literally
清醒,sober,soar,some,lower
基础,foundation,quality,barrier,restrict at
湿度,humidity,perimeter,strength,vigor
抢夺,snatch,snack,patch,watch
药房,pharmacy,state guesthouse,chicken farm,booth
娱乐,diversion,dimension,aversion,diversity
(用力地)举起,heave,shelve,suave,heavy
预演,rehearse,release,reverse,hearse
使欣喜,rejoice,rejoin,albatross,mechanical
铸造,molten,forging,wire drawing,-plated
慈爱,affection,affliction,infection,good and honest
图解,diagram,comment,summary,cite
胎儿,fetus,testicle,afterbirth,penis
燃烧,combustion,sob,evaporate,burst
交谈,converse,convulse,obverse,converge
累积,cumulative,write-off,cost,to settle accounts
使活泼,activate,active,captivate,activity
过时,untimely,unlikely,timely,brand new
极为贵重,invaluable,valuable,invariable,secondly
退却,recession,accession,reception,cession
白痴,idiot,dint,dot,dirt
烙印,stigma,enigma,be at odds,taint
地窖,cellar,cedar,cellular,cello
公牛(似的),bull,balk,bullet,dell
跳水,plunge,plane,plumage,prune
相应,corresponding,easy,hand down ,run parallel
漠然,apathy,patchy,pithy,path
击败,defeat,demean,deft,detest
难懂,elusive,evasive,abusive,exclusive
遭遇,encounter,counter,take orders,partake
有机体,organization,rigid body,mixture,specimen
搭便车,hitchhike,later,sickness,veer
装备,furnish,finish,burnish,punish
(轮廓等的)清晰,definition,definitive,transfuse,food
异常,phenomenal,phenomenon,spectacle,backdrop
柱廊,colonnade,poll,categorize,daughter
覆盖,mantle,manure,manhole,manage
建筑式样,architecture,prevail,hassle,beacon
减去,detract,retract,refract,attract
失职,delinquency,to violate a prohibition or ban,to blend,haunt
必然,consequent,soon after,no longer,life insurance
忽略,overlook,overwork,overload,awkward
救援,rescue,resume,reside,recur
波掀洒,potion,motion,portion,notion
调查,inquire,inquirer,inquiry,inspire
皈依者,convert,culvert,covert,concern
可预言的,predictable,traitor,typist,perceive
充满,fraught,freight,draughty,fright
取回,recapture,capture,rapture,to hold
祖宗,ancestor,ancestry,investor,ape man
强健,sturdy,stumpy,tardy,steady
卖肉的人,butcher,butter,pitcher,ditcher
通行,transit,transient,transfix,transmit
风景,scenic,sonic,scent,scene
记者,journalist,journalism,media,author
断断续续,intermittent,industrious,to be responsible for ,save
鼻孔,nostril,hole,nostril,eye
细阅,scrutiny,suit,cumulative,party
变奏(曲),variation,vacation,carnation,narration
环境,environment,requirement,atmosphere,idea
快的,swift,spit,shirt,weft
后勤学,logistics,attach,fillet,fleece
速度,pace,apace,pale,race
(使)分离,segregate,aggregate,topic,attendance
(给演员等所作的)提示,cue,jut,dude,due
船坞,dock,back,pock,fork
在…上抹灰泥,plaster,planter,clatter,platter
简洁,terse,tease,those,verse
支柱,brace,trace,blare,pace
恶意,malice,police,palace,malign
编辑,compile,compere,compiler,compel
雪崩,avalanche,to smash,crack,collapse
克服,conquer,consumer,conjurer,conquest
要求以…为条件,stipulate,simulate,stimulate,invite
残余物,remnant,seaside,tan,headland
神经病患者,neurotic,erotic,neurosis,pummel
温文尔雅,urbane,urban,bane,turban
蝴蝶,butterfly,fiery dragon,bumblebee,wasp
作为…的动机,motivate,mutilate,activate,mitigate
字母表,alphabet,waken,overdraft,postal
丧失,forfeit,surfeit,forest,forget
依附,adhere,ashore,adore,cohere
论文,dissertation,eight -part essay,lament,epitaph
终于,eventually,eventual,in the wake of,certain
苛求,finicky,recollect,to think of,wishful
渎职,malpractice,frail,be tempered into a steel,bold and decisive
(厨房中的)洗涤槽,sink,sick,tin,pint
再制造利用(废物等),recycle,tricycle,cycle,bicycle
中坚,elite,lime,relate,bite
勘探,explore,implore,explode,expire
相当(大、多)的,considerable,agonize,member,mend
带眼镜的,bespectacled,unreal,chelate,cleavage
冲动,impetuous,impetus,imperious,appreciate
选择,opt,seed collecting,lead to,lighting
薄膜,membrane,embrace,blood,membrane
过程,procedure,procure,the whole story,initial
不可想象,unthinkable,elocution,lightly,vulgar
嗡嗡声,buzz,fuzz,quiz,bud
牛奶场,dairy,dowry,airy,dainty
机会,opportunity,pertaining to time,at the same time,as usual
披肩,cape,case,caper,maze
出现,emerge,emery,emergent,energy
门诊,clinical,clinic,critical,conical
鼻部,snout,shoot,nut,knot
保养,maintenance,relieve uneasiness of body and mind,enrich the blood,pleasantly cool
(新闻等的)一则,item,it,stew,teem
类似,resemble,assemble,asynchronous,solemn
球门,goal,roar,howl,total
有权势的,influential,gusto,halitosis,mortal
分割,segment,pigment,cement,regiment
今后,hence,whence,hunch,fence
不平,uneven,never,even,seven
有意义的,significant,slight,considerable,pointed
参加者,participant,mate,neighbor,private
发火焰,flame,lame,slave,plate
现金,cash,case,cask,clash
合唱队的,choral,phonetic,effluent,rosy
(教堂里的)唱诗班,choir,cent,rash,chasten
加强,reinforce,enforce,become aggravated,to moderate
诡计,trick,prick,rack,tick
核心,nucleus,nuclear,scratching the surface,insignificant
(嘴唇上面的)胡子,moustache,socialite,again,wreckage
插座,socket,pocket,rocket,bucket
战略,strategy,stately,strategic,deadly trap
屠杀,slaughter,daughter,laughter,homicide
碰撞,hit,pit,gin,but
分开,detach,attach,ditch,retch
名誉,fame,frame,free,fag
道德,morality,mortality,moralize,formality
工具箱,hold-all,case,bellows,magazine
宣传,propaganda,give somebody a task,recall,mobilize
(短暂的突发性)精神错乱,brainstorm,graphite,liberalize,crotchet
发射,launch,latch,staunch,lunch
通讯,communicate,annals,poem,biography
散发,emit,amid,epic,exit
水力,hydraulic,hydraulics,strength,motion
风景,scenery,sentry,scene,celery
狂风,gale,gape,sage,male
影响,infection,injection,inception,inspection
评论,commentate,to evaluate ,roll call,watch over
指示,denote,demote,decode,note
枯萎,wither,neither,hither,waiter
(互助性质)协会,guild,unerring,automation,fantasy
分开,part,farm,parity,pro
火药筒,flask,flank,blank,blast
传记,biography,geography,biographer,notebook
清楚,clarity,clarify,charity,calamity
叶脉,vein,vain,rein,vex
开始,dawn,paw,lawn,gain
冶金学,metallurgy,wedge,drab,something
共同,mutual,actual,ritual,metal
指派,designate,desiccate,cut down and merge,reorganize
宽恕,tolerate,tolerance,moderate,tollgate
沉思,brood,brow,brook,crook
(气候等)宜人,hospitality,to fit well ,convenient,hard to 
螺旋桨,screw,crew,strew,sore
重新分配,redistribute,furnish,mirror,philtre
]诉讼(程序),proceeding,but,digit,coin
行星间的,interplanetary,retentive,boil,nestle
喷泉,fountain,mountain,contain,trace
倾覆,topple,tipple,tousle,nipple
服从的,obedient,obedience,worldwide,knocker
(极度的)痛苦,agony,agent,any,aeon
使显著,highlight,wither,proscribe,tearoom
推断,deduce,reduce,deluge,deduct
瓦解,crumble,grumble,fumble,stumble
猛地一拉,jerk,jerry,lark,hark
冷漠,indifferent,deferent,modest,neither overbearing nor servile
外貌,semblance,spectacle,marvel,spectacular
)眼镜,spectacle,kingdom,musician,buff
固定,stationary,stationer,stationery,manage  with difficulty
预言家,prophet,propel,prophecy,proper
引起风湿症的,rheumatic,leap,enroll,trickle
违反,infringe,fringe,praise,unconstitutional
计划等),conceive,conceit,conclave,concave
婚姻,marital,martial,marshal,madrigal
声音沙哑,husky,hubby,dusky,hussy
竞争,contest,contrast,context,contempt
蔑视,defy,sexy,debt,deify
倾向,predisposition,half-believe, half-doubt,can,confidence
在…旁边,alongside,groom,antedate,become
沟,ditch,stitch,itch,with
装饰,ornament,ornamental,ointment,tournament
聚光灯,spotlight,safelight,beacon light,chandelier
暗淡,faint,fauna,joint,pint
空白,blank,flank,black,bean
地方,tract,graft,trap,track
检查,inspection,inspector,insertion,infection
事实,factual,the sound of something astir,origin,bull
种类,breed,creed,bleed,brood
漩涡,eddy,ready,easy,espy
中级,secondary,secondly,upper class,just middling
