#word,meaning,option1,option2,option3
intoxicate,使喝醉,欺骗,活动(范围),动物园
convivial,酒宴,记者会,奥运会,分会
dolt,笨蛋,宝贝,半吊子,呆子
gripe,抱怨,憎恶,向往,爱憎
enigmatic,谜的,电的,吸烟者,各(每)个
mote,疵点,便宜,防御性,优点
lustful,好色,浪漫,卑贱,贞洁
croquet,槌球游戏,洪水,信赖,治愈
twitch,抽痛,人力,兽皮,逗人发笑
emit,发表,在外,处于,投稿
hydraulic,水压,角度,力度,亮度
wither,干枯,濡湿,独创性,凉爽
lading,船货,圈套,除...以外,模仿
frontal,正面,不端,薄情,妖冶
clarity,清晰,背光,长途,边远
vein,静脉,动脉弓,血管,穴位
dawn,破晓,晴天,诱拐,走私
brood,想,农作,动身,捕捉
marksman,射手,种子,初学者,运动员
unlawful,私生,辐射线,摄影机,阴暗
topple,倒塌,损坏,陨落,剥落
concussion,震荡,运转,转动,摆动
deduce,演绎,动笔,集锦,著作
baton,短棍,目的,成就,谈论
drizzle,毛毛雨,暴风雨,瀑布,矿泉
infringe,侵犯,腐蚀,帮倒忙,帮凶
departure,开始,着手,开学,启动
marital,夫妻,并蒂莲,配偶,哥哥
hurrah,激动,动摇,带动,影响
churlish,粗暴,热忱,漂浮,操切
etch,蚀刻剂,山羊,航行图,吩咐
seduction,教唆,逼迫,勉强,调戏
synopsis,缩写式,得知,精确,分担
sop,面包片,平常,困难,愚蠢
banjo,铲子,凿子,刨子,纺锤
crochet,钩针编织,石头,刻度盘,难以忍受
swindle,冒名者,回顾,权利,露面
boa,蟒,喜剧性事件,物理学家,了解
outwit,智胜,世界范围,链,顾客
putty,腻子,来自北方,接受,不常
dump,倾卸,(用言词)表达,地点,创始人
nibble,啃,编织式样,清除,或许
bust,前胸,今晚,交易,木制
portrayal,描绘,暗示,上述,志
banns,结婚公告,成绩,通常,摄影者
guano,鸟粪,贯穿,(足球等的)球门,拼合
traction,牵引,写,举起,缩写
mince,细分,合并,分派,复合
downtown,商业区的,跳动,药片,一般
smuggle,偷运,海运,舰载,空运
pander,作淫媒,大量,还原,第二
gird,给...佩,坦率,两者(都),庇护
foal,小雌马,一组,可可,嚼烟
rocket,迅速上升,早,究竟,缺点
flagstaff,旗杆,国旗,图书,队旗
roulette,给...滚压骑缝线,野生植物,句点,利润
overshadow,给...遮暗,俘虏,女孩,工作情况
combat,战斗,动武,背城借一,阅兵
label,称号,动能,动力,牌子
floral,花的,叙述,欺骗,棉线
modicum,少量,各种各样,区区,荒无人烟
bawl,叫卖,倾销,产销,买卖
ditty,小曲,小夜曲,催眠曲,舞剧
makeshift,权宜,活泼,板滞,成立
wetting,润湿,独创性,凉爽,破旧
thong,皮带,便条,海报,鲤鱼
giraffe,长颈鹿,骆驼,麋鹿,母马
bated,变弱,真心,两倍,有
outlaw,将...放逐,一周一次,胆小怕事的人,沮丧
scrawl,涂掉,追捕,地位,英俊
rotund,圆形,正方形,队形,小型
heron,鹭,唱针,真实,发怒
nipple,螺纹接套,情结,盗窃,木头
fang,尖牙,保姆,指挥,羡慕
holler,号子,伴唱,哀乐,悲歌
scurry,乱转,只...),十五,前面
nullify,使无效,不完全地,喷射,活着
idealist,唯心主义者,奴隶,劳动者,无产阶级
retaliate,报复,报仇,剥蚀,报应
infect,传染,感染,轰动,带动
taboo,禁止,许可,签证,盖章
cube,量...的体积,有关系,七十(个,比如说
saturnine,挖苦,争议,丑化,嘲笑
rant,大话,私语,白话,讲话
sediment,沉积,分布,开列,遍及
garbage,废话,咕噜,吞吐,讲话
diagonal,对角线的,账单,摇动,夜总会
quandary,困惑不定的境地,希望,可判死刑,逃过..的注意
ideal,努力目标,辩别力,毁灭,木板
waylay,伏击,包抄,轰炸,侵袭
woodcut,木刻印版,吊死,顶端,爆裂
proficient,能手,高明,百事通,材料
trainer,教员,师傅,律师,教练
baize,台面呢,型,总合,在下面
effusive,喷发,溢出,降下,堆放
landlocked,陆围,图画,技术,布
abdicate,正式放弃,了解,领悟,情结
deciduous,脱落,倾倒,伸缩,打破
demolish,吃完,喜欢,(猪、牛、羊等的)肉,公爵
bookish,迂腐,强暴,正义,开展
hub,车轴,留声机,电视机,电唱机
absolutism,绝对性,必要性,政治性,习惯性
spree,嬉戏,游历,展览,画展
telegraphy,电报学,扔,不利条件,基本(础)的
codicil,附录,故事,编目,细节
evasive,逃避,得出,争取,消防
mediate,居间,亲手,亲身,轮流
breech,给装上后膛,炸弹,问,使吃惊
speciality,特殊性,防御性,毒性,教育性
generate,生,某(人或物),滑冰鞋的滑刀,商店
perceptive,感知,隐私,心目,灵魂
mural,壁画,漫画,图标,屏条
disc,唱片,硬盘,唧筒,机器人
epileptic,癫痫,湿气,瘫痪,暑瘟
secede,退出,变节,摆脱,退役
unsociable,不合群的,无效,迟钝,联系
cognac,白兰地,鸡尾酒,药品,奶油
compendium,目录,风格,布局,附录
stellar,星的,赶上（车）,竹子,展现
orgy,纵欲,游戏的人,在..前面,指导
usurp,篡夺,篡位,闭关自守,镇压
clam,蛤,中等(级)的,商人,洗澡
venial,可饶恕的,生存,也许,争吵
placard,布告,公告,公报,旨意
abandon,放任,包庇,欺骗,欺瞒
tarnish,瑕疵,防御性,优点,私利
bolt,插销,专线,锄头,天线
trousseau,包袱,人权,产权,全会
coconut,椰子,菠萝,苹果,胡桃
fend,抵挡,不可抗力,捍卫,抵抗力
comma,停顿,停车,止痛,止血
legitimate,合法,暗自,含糊,不三不四
amass,聚集,汇集,握别,告别
monotone,单音调,平静,在...以后,加水
cramp,痉挛,疯狂,晕船,瘫痪
flake,离开,逼近,包围,将近
mow,鬼脸,气色,傲气,气质
spoor,跟踪追赶,有学问的,被发现的事物,苍白
tights,紧身衣,兜兜,旗袍,中山装
commitment,诺言,指示,谶,套子
gene,基因,题目,牌子,八卦
homespun,土布,白布,料子,零头
peroration,演讲,诉苦,提到,闲谈
envelop,包围,相隔,围绕,交叉
textile,纺织业,工程,中保,商业
tornado,龙卷风,暴风骤雨,层云,旋风
fake,假的,(文字)编辑,推力,使清楚
egress,出,二十(个,区别,大陆
violinist,小提琴手,编剧,改编,编导
tack,改弦易辙,转向,改口,改名
secrete,分泌,压迫,得知,垫子
innocuous,无害,摧残,消防,不利
fidget,烦躁状态,固定在某位置的人(或物),发表,障碍
admonish,警告,教训,调教,转播
equatorial,赤道,东经,低地,热带
casino,小别墅,捕获物,山羊,渴望
exalt,颂扬,取笑,对抗,讽刺
emporium,大百货店,门票,完全,指挥
saliva,涎,运输,门,洗的衣物
fiat,命令,集合,遥控,揭示
torrid,晒热,赶上（车）,进来,网球运动
flaccid,软弱,不敢越雷池一步,安分,大无畏
charlatan,庸医,兽医,作者,大夫
adolescent,青少年的,欢迎,箭头符号,尺码
blindfold,鲁莽,粗野,粗心,大方
pagoda,塔式寺庙,下(蛋),坏脾气的,记录
smithy,铁匠铺,进来,到...里面,为...做广告
lather,汗沫,在..期间的某个时候,看名胜,完美
noontide,最高点,空白点,目的地,投票站
spellbound,入迷,懂事,尴尬,迷住
bygone,过去,饿死,舍身,生活
leaky,爱哭,辩护,责备,它
textbook,教科书,经典,剪报,字帖
windpipe,气管,肫,心脏,感官
flue,滑槽,轻碰,口头,家庭
studio,音乐教室,脑子,议定,使安静
informer,通知者,国民的义务(身份),使吃惊,恶意
insular,岛民,建议,自行车,致敬
theorist,理论家,研究者,发明家,把式
skeptical,怀疑,自信,相信,确信
verbatim,一字不差,除去,咖啡,］范围
blackmail,胁迫,强制,引入,引出
locust,蝉,愿望,(长篇)小说,公斤
diphtheria,白喉,多发病,肝炎,暗疾
epilogue,收场白,在前,补缺,辩护
coast,海岸,三角洲,海滩,半岛
useful,有用,徒劳,不法,隐约
eyelid,睑,自行(摩托)车,在...以后,窝
sophist,诡辩者,转向,贪吃,扣紧
slur,蹭污,领域,烛光,刺激的因素
filament,灯丝,针,棒,钩子
phonograph,留声机,动滑轮,对称轴,幻灯
subjugate,压住,组成,社交聚会,高尚
chlorine,氯,相处,粗心的,排列
grime,将...弄脏,愿望,宽的,领域
aircraft,飞机,汽船,班机,滑翔机
pest,瘟疫,暴病,不治之症,病痛
jaguar,美洲豹,熊,豹子,老虎
bounteous,丰富,增值,附加,加密
adduce,引证,标号,附笔,说明
mumble,含糊地说,港湾,考虑到,多山
illegal,不合法的,向后,(使)旋转,叶卷烟
wishful,渴望,期望,向往,预计
pitfall,陷阱,屏蔽,长征,道路
hygienic,卫生学的,三次幂的,无能,允许
lascivious,好色,神圣,多情,纯正
transcript,抄本,中文版,样本,伪书
invert,转化,改组,改装,切换
nugget,天然金块,笔记,钉状物,两者都不
prosperous,茂盛,肥沃,空白,荒芜
militarism,军国主义,保护主义,社会主义,共产主义
compute,计算,比量,度量衡,演算
shifty,变动,表面化,变成,液化
campfire,营火,微波,火,火花
weir,堰堤,(旅游的)接待处,展开,可能
consensus,合意,安详,同谋,遗憾
sucker,欺骗,欺瞒,糊弄,骗取
sadden,悲伤,狂喜,悲壮,忧虑
twang,弹拨,秋千,真实,水平
dulcet,悦耳,尖锐,高昂,细小
kidnap,绑架,抢夺,犯罪,断路
washstand,盥洗盆,何时,剧本,北部
ratify,正式批准,公路,追逐,一种大的坚固的木箱
injection,注射,解剖,扎针,针灸
dutiful,职责,人权,君权,产权
pickpocket,扒手,骗子,窃贼,兵痞
quinine,奎宁,在上面,终止,奶油
bulge,膨胀,转向,扩充,改装
aggressor,侵略者,骗子,黑客,浪子
dorsal,背部,奶子,腹部,腰部
twaddle,蠢话,(缓)慢的,真实,鸭
sully,弄脏,金属制品,物质,糖果
constrain,限制,激励,杜绝,封锁
discursive,离题,合乎卫生,陷落,规律
bedlam,疯人院的,需要,无论哪个(或哪些),误会
mail,寄出,译本,十二(个,向东方的
cocoon,作茧,骗子,刺痛,中小学班主任
jaundice,猜疑,爱戴,认真,相信
concurrent,同意,回绝,推辞,签订
sluggard,懒怠的人,连接,短裤,顶替
disrepute,丧失名誉,清洗用的,关键,新闻影片
herbaceous,草本,哺乳动物,宠物,动物
phlegm,痰,碧血,激素,胆汁
harpoon,用鱼叉叉,预告通知,多雨,(事情等)降临于
operative,技工,裁缝,矿工,包身工
gram,祖母,老爷,姥姥,家属
underwear,衬衣,背心,寿衣,上衣
truss,构架,建制,然后,先后
cornet,音栓,高兴,虚弱,打孔
equinox,二分点,观光,普通,财宝
vanquish,征服,覆灭,陷落,败退
stump,残余部分,更小的(地),围绕,在...周围
inhale,吃,叉起,／,野生动物
ravish,陶醉,疑惑,松弛,迷恋
tenable,能防守的,外形,作为,巨大
umbrage,叶丛,纸制品,温柔,化学
tanker,罐车,班车,殡车,客车
lotion,濯身,体操,外甥,多么
erosion,糜烂,双生,冻结,速冻
collegiate,大学,高中,学院,学校
espy,看出,遥望,皱眉头,逼视
magnate,要人,赫兹,李时珍,哥伦布
trinket,秘密策划,宽大,连接,当时
recant,撤回声明,烘干(砖块、陶器等),贪吃的人),原文
untie,释放,劳教,审讯,捕捉
trimming,责骂,骂,诅咒,竞争
libretto,歌词,十四行诗,民歌,口号
pant,悸动,色情,绪,民意
gratuity,退伍金,乡村地区,弯的,糟透
woodpecker,啄木鸟,淘河,伯劳,鹦鹉
witticism,妙语,热情,在一起,有希望的
subside,退落,你好(用来打招呼或引起注意),吩咐,获得
goblin,小妖精,末端,轻信,差异
delinquent,失职,画蛇添足,本末倒置,违章
outdoors,在户外,便宜,密,烘干(砖块、陶器等)
whack,砍,失败,注意,喜剧
annul,废除,弃权,连锁反应,牵涉
merge,合并,分开,未婚,分裂
disown,否认...是自己的,无例外地,秘密,不利条件
pied,杂色,本职,个人,非正式
niggard,小气,大量,不咎既往,严词
overseas,在海外,好奇,座位,砖
focus,集中,密集,背井离乡,握别
blubber,赘肉,使困惑,形势,赠送
groundwork,基础,限于,壁垒,典型
waft,轻吹,篮球,女佣,招待
pincers,螯,来宾,近来,拖延
paralyze,使无效,剧本,说笑话,几个
ambrosia,仙果,难对付的人(事),更,请
upholster,装潢,酿造,制作,放置
dugout,独木舟,巨轮,飞船,船上
locksmith,锁匠,线,在全国范围内,本的
bogus,假的,扇子,很难满足,(尤指对某人的亡故)感到悲痛
morphine,吗啡,鸦片,白面儿,白砒
fondle,爱抚,缩写,写,拍打
digital,琴键,长笛,布景,钢琴
certify,证明,预兆,表明,归属
disconcert,挫败,不力,成功,覆没
lymph,浆,亏损,配偶,该
pedant,男教师,柔软(和)的,根源,形成
protocol,草案,备忘录,附件,公报
rectify,调正,(国际象棋中的)车,睡眠,收获
corolla,花冠,秧苗,花束,麦芽
malign,恶意,味道,灵感,视觉
stingy,吝啬,大量,民主,白色
slut,荡妇,败家子,妖精,大炮
squint,眯起,与…相似,外婆,招致
abortion,堕胎,动手术,表演,接生
wrangle,吵架,骂,顶撞,殴打
swivel,转体,余震,运转,转动
silhouette,画黑色轮廓像,涂黄油于...上,变化,真正
drone,懒散地度,正确无误,建设性的,里面
locker,箱,鼓声,见解,燃烧
lexicon,词典,汇编,参考书,小册子
gage,以...作担保,吨,炸弹,随时
fortuitous,偶然,人寿保险,恐怕,不见得
breakwater,防波堤,堤岸,蜂巢,渠道
filter,滤出,在内,现在,绞死
analytical,分析,定量分析,参考,标点
cower,蹲,独立,直立,端坐
ravage,毁灭,复苏,恢复,解决
cooperate,合作,面临,做出,办到
stationery,文具,信封,摁钉儿,拷贝
evoke,使再现,顶,承认,范围
storey,楼层,建筑,住宅,宫殿
quire,一刀,极其,和...会见,轻触
handicap,妨碍,有助于,强加,加以
delta,四等,一段,关键,光线
boxer,斗拳狗,教育,的确,一片
underrate,对...估计过低,雾,以,从来没有
scorch,烧焦,八分之一(的),在..方面,卡路里(食物所产生的热量或能量单位)
igneous,火成,最后,释出,状态
function,行使职责,在...后面,历史书,抹
adamant,坚强,随便,规矩,胆小
poniard,短剑,长枪,宝剑,戈
lancet,柳叶刀,不许,过程,简陋
memento,回忆,惦念,追逐,深思
playwright,剧作家,建筑师,大家,郭沫若
grovel,沉湎,警惕,尴尬,松弛
shoemaker,制鞋工人,从...离开,助手,生疏
estuary,入海口,进口,路口,缺口
watchword,口令,中断,偿还,推动
outdo,战胜,肃清,复原,消灭
mink,水貂毛皮,共同,真相,千克
tusk,用长牙抵,所,办公大楼,开发
expatiate,细说,声明,罗列,上述
percussion,敲击,毒打,动手,捣碎
duck,鸭,工业(上)的,奖学金,社会主义
cameo,多彩浮雕,一些,伺候,岛屿
shuttle,穿梭般来回移动,授予,穿堂,涉及
rook,车,民族,群,比赛
teens,十三至十九数字,警察,伤口,最喜爱的
belittle,轻视,并排,歧视,不闻不问
reinstate,使恢复原职,芳香,羊毛(制)的,可动
deride,嘲笑,嘉许,笔战,争议
quagmire,困境,地狱,现状,罪状
complete,十足,平衡,节约,剩余
objective,客观,笔误,勉强,将就
displace,取代...的位置,建筑学,对…做手脚,抵(反)抗
tot,小孩,小淘气,男孩儿,矮个儿
mangrove,红树,斑竹,灌木,乔木
sprout,长出,涌现,含水,产生
autocracy,独裁统治,喜剧,销路,排列
absentee,缺席者的,煤油,真相,触电
booby,鲣鸟,肯帮助的,编辑,做实验
main,辽阔,纤维,逼仄,微型
pulley,滑轮,皮带,齿轮,弹簧
shatter,破坏,破裂,倾倒,撕毁
economize,节俭,拖拉,持久,断断续续
troupe,一伙,伴侣,私人,陌生人
enliven,使快活,激增,阴影,自命
reek,熏,十四个,折中,把…的插头插上
squeal,火腿,素菜,红烧肉,腊
puma,美洲狮,护照,可靠,也不
sextant,六分周,节奏,相当,学说
ulcer,腐烂物,适宜,数(目),怀疑
assay,试验,期考,补考,栽培
initiate,开始,着手,开车,动工
paraphrase,将...释义,空地,广泛,不幸的事
bluster,狂吹,电影艺术,平的,支配
encircle,环绕,相隔,混合,交叉
agrarian,土地所有制的,该,太阳眼镜,包围
credit,信任,同意,自信,难以置信
serenade,唱小夜曲,拿,女衬衣,尘世
lingo,特征语,理解力,等级,摧毁
absent,缺乏,不足,多余,亏损
shambles,屠宰场,冰场,会场,牧场
aluminium,铝,白铜,黄铜,白银
inning,局,掺麻醉药/毒药于(食物、饮料等),办公大楼,卡迪根式开襟毛线衣
magpie,鹊,扣上(扣子),孵卵,地区
armature,盔甲,制服,泳衣,雨衣
idiomatic,有许多习语的,一同,表现,电
adherent,贴生,院长,卑鄙,不平常的
precursor,先驱,后者,世人,鼻祖
coffer,箱子,风箱,听,烟灰缸
nauseous,使人厌恶,连接,挨饿,岛
retrograde,向后,含量,收成,邀请书
eastward,向东,农产品,粉笔,拒绝
espionage,间谍行为,愚蠢,(正式)会议,篇
esoteric,秘传,日志,笔记,传记
vim,力量,移植,创造力,核技术
bay,对...吠叫,事实,白天,议定
insomnia,失眠,嗷嗷待哺,口渴,安眠
palliate,减轻,升起,提高,攀升
gunshot,枪弹,飞弹,白刃,弹药
falsify,歪曲,违章,改过,纠正
caretaker,管理员,院长,厂长,国防部长
vacate,撤销,解散,接受,独树一帜
lasso,套索,缰绳,绳子,项链
surfeit,过量,接近,胜过,一般来说
accountant,会计人员,凶恶,有成就的人,所以
excitation,刺激,加以,助长,妨碍
stun,打昏,癌(通常为不可数名词),生计,最近
tripod,三脚架,冰盖,边框,盖子
portend,预示,标明,证明,在于
exasperate,使加剧,破裂,零钱,考试及格
brothel,妓院,巢穴,课堂,这里
dragoon,镇压,剥夺,赦免,放逐
irascible,发怒,赌气,迁怒,愤慨
solstice,至,油墨,内心,面向
touchy,敏感,糊涂,愚蠢,迟钝
beaker,烧杯,茶杯,拨号盘,杯子
outlive,比...活得长,(使)发脆,居住,压强
acme,最高点,所在地,投票站,地址
skate,冰鞋,布鞋,袜子,运动鞋
manipulate,操作,照搬,滥用,度量衡
climatic,气候,行踪,下落,预兆
saunter,闲逛,打赌,消遣,探险
acclaim,欢呼,哀鸣,飞翔,咆哮
pedal,骑车,独立,站住,直立
tepid,温热,凉爽,凉快,暑热
asbestos,石棉,豆渣,矿产,秕糠
trump,胜过,仅次于,一般来说,超龄
journeyman,雇佣工,压缩,时期,橱柜(放食物或衣物等)
shipment,装运,空运,流放,输送
proffer,提供,便于,供给,对应
bombastic,夸夸其谈,对话,多嘴,倾倒
influenza,流行性感冒,斗眼,霍乱,翳
crouch,蹲,独立,站住,立
offal,垃圾,豆渣,文物,资源
calibre,口径,宾语,指南,格言
derogatory,贬低,升级,丢人,当选
gild,给...镀金,(汽车)售票员,少量,致意
tussle,争执,讽刺,辩驳,非议
spurt,喷射流,契约,表格,姐
jiffy,一会儿,临时,半天,短跑
clamber,爬,全世界的,喂(养),海员
iniquitous,极不公正,帝国主义,花,正当
shin,胫骨,关节,盖子,蛋壳
asthma,气喘,喘息,假装,斗志昂扬
tanner,鞣皮工,向(在)西方,作用,商业机构
sewage,污水,胆汁,汁液,水滴
cancel,取消,解散,免费,免职
bum,屁股,膀子,背脊,马背
colic,绞病,弄伤(痛),建筑(物),电学
crescendo,渐强,使适应(特定需要),买东西,银币
demagogue,民众领袖,献殷勤,除此以外,南部
scraggy,瘦的,痛,废物,(使)团结
jowl,颌,(疾病)侵袭,裁决,坚强
pair,一条,确定,柜子,多脂肪的
stunt,发育不良,缝纫,敬礼,拖(船)上岸
baggy,袋装,卷曲,包裹,扣
glower,怒视,瞥,回顾,把风
dank,阴湿,不透气,阴凉,凉爽
gaff,攀钩,绘画者,使沉默,整洁
append,附加,增多,丰富,浸透
sponsor,保人,见证,调解人,目击者
sortie,出击,冲击,督战,贸易战
espouse,信奉,自信,支持,嫌疑
pounce,突然袭击,演员,咬,单位
apple,苹果,梨子,菠萝,草莓
gnat,琐事,隐私,轶事,奇事
sentient,意识到的,在(两者)之间,用梳子梳,四分之一
tag,标示,筹码,匾额,牌子
skunk,不付...的帐,打击球,翼,(使)配对
monogram,把交织字母印于,清偿,关,使滚动
parlance,说法,医学,难对付的,邮寄
underworld,地狱,梦境,股市,案情
overload,超载,传输,环绕,包围
dread,担忧,悲愤,愤慨,悲喜交集
highlander,高地人,限度,偶然碰到,传真传输
bewilder,使迷惑,做梦,站不住脚,逼真
trenchant,锐利,暴风骤雨,惊人,有意思
carnation,肉红色的,凝视,建筑(物),表示惊讶或询问)
coerce,强制,引入,恐吓,威胁
curriculum,课程,语言学,统计学,动力学
forensic,辩论学,间或,以为,跳跃
facetious,好开玩笑,发言,正直,物主
dalliance,闲混,指示,清除,阴郁
foible,小缺点,觉得,玩具,辩解
cram,把...塞满,非常,保护,保卫
remedial,补习,主修,不求甚解,仿效
nudge,推进,妨碍,强加,加以
begrudge,妒忌,确信,认真,不服
auditory,听的,浪费,帐篷,难看
felicitous,恰当,白白,无用,手提
buffoon,丑角,班底,主角,歌手
stucco,拉毛粉饰,使接替,提出,游行者
cog,欺骗,任凭,欺瞒,迷惑
convince,使知错,强制,天性,强烈
lap,舐,卡,触觉,无忧无虑的
install,安装,放置,组装,铺设
canny,精明,糊涂,薄弱,灵巧
crumb,碎裂,九(个,物件,警戒
canvass,检查,警告,竞选,遴选
hike,长途步行,烛光,逃走,支持
complicate,并发,表现,涌现,含水
capitalism,资本主义,种族主义,独裁,保护主义
giggle,傻笑,抱头痛哭,微笑,暗笑
panacea,治百病的灵药,(嘲笑等的)对象,开玩笑的事物,帮助(手)
chafe,擦,哪里,囚犯,葬
quiescent,静止,浴血,勉强,狂暴
hoover,用吸尘器清洁,法国人,害怕,(医生等的)意见
palette,调色板,钢笔,笔筒,石板
plumber,堵漏人员,相信,毛皮,危险
disparity,不同,相当,异步,同性
bun,小圆面包,连环画,猪,编织者
up,往...的上游,于…之间,真相,论文
scarecrow,稻草人,顽童,矮个儿,男孩儿
plantain,大蕉,法官席,认为,低声说出
burrow,在...掘洞,使成为,借入,模特儿
cavil,对...挑剔,环绕,自从,放射引起
loiter,闲逛,消遣,打赌,周游
atrocity,残暴,不道德,善良,恶毒
tempo,节奏,调频,叠韵,低调
harlequin,丑角,班底,歌手,主角
engross,正式写成,玩耍,白色,发射
jubilation,欢腾,大快人心,喜悦,悲喜交集
foregone,已往,今晚,今晨,有生以来
overtake,追赶,却步,祈祷,推进
wean,使断奶,迅速,船闸,非
akimbo,弯曲着,信条,黑(色),局面
audit,查帐,结帐,拨款,记帐
fortieth,第四十,接,客人,中..的意
postulate,要求,回顾,追求,向往
widen,加宽,补发,补遗,补充
hedgehog,刺猬,豪猪,黑貂,貘
synonym,同义词,量词,关键词,俚语
dilettante,半吊子,大器晚成,无所不能,不可救药
mill,磨坊,养鸡场,奶牛场,摊子
megaphone,喇叭筒,留声机,喇叭,二极管
dote,溺爱,百听不厌,理会,欢喜
gorse,荆豆,你(们)的(所有物),菜馆,不利
imperil,使陷于危险,夸大地说,收成,打字机
jug,大罐,上司,安置,能造成损害的
prank,胡闹,寻衅,伪托,伪造
blanch,退缩,渐进,祷告,推进
zephyr,西风,东风,疾风,顶风
borax,硼砂,烂泥,丹砂,水泥
honeycomb,变成蜂巢状,月亮,表示,文化修养
python,蟒蛇,毒蛇,蟾蜍,海豚
ocular,眼的,可能(性),这(样),善
warranty,保修单,很可能,年少者,要点
corset,紧身褡,指导,分离,破晓
clearance,净空,神经过敏,悲惨,缓和
dumbfound,使惊呆,彻底,干酪,地位
autonomy,人身自由,力图,痛快,大体
tow,拖,岛屿,扼要,电信
dally,浪费,抽出,节约,足够
modulation,语调,灰尘,板眼,变奏
closet,把...引进密室会谈,舒适,蒸(食物),(汽车后部的)行李箱
rout,骚乱,安生,凋敝,兴盛
malefactor,罪犯,武力,询问,(指人)离别
oblation,供物,大部分,可允许的,抽签
dilatory,拖延,满期,到期,不堪
womanish,女子气的,武装,为…辩解,恰当
ok,表示同意,在内,一百,绒衣
cartilage,软骨,多发病,流行病,病灶
redden,变红,韵文,覆盖,塞满
adage,谚语,贬词,词汇,语气助词
quadrant,象限仪,恒星,声音,出版
selective,选择性的,地震,肯帮助的,防护物
diverge,分叉,复合,合成,人均
rubble,毛石,国籍,五十个,发疯
smear,诽谤,论争,笔战,讥诮
migratory,迁移,风俗,搬家,逗留
dioxide,二氧化物,甚至(更),快乐,完全
leakage,漏,拼法,扬声器,封铅
cajole,骗取,欺骗,欺瞒,糊弄
lathe,用车床加工,可能,明天,推
suffocate,扼制,掐,把酒,端面
engrave,镌,守卫,播种,我亲自
scour,擦,庞大,洋葱,烧着
rummage,翻找,崇拜,诉苦,海贝
incendiary,放火,夺走,断路,不轨
carp,牢骚,脏话,闲谈,玩笑
protege,被保护人,搜寻,航空港,指标
goody,姥姥,父亲,老爷,祖父
uphill,上坡,黄山,釜山,太平洋
controller,控制者,布什,苏丹,国父
norm,标准,半公开,公共,非正式
noisome,有害,预防,无害,不可逾越
sonata,奏鸣曲,催眠曲,戏剧,舞剧
presuppose,预先假定,作文,健康(状况),韵文
affidavit,宣誓书,到达,(天气等)静的,晚期
aliment,精神养料,例子,一对夫妇(情侣),集团
inside,在...里面,农庄,遮光物,向…报警
consume,吃完,六十,注意,砂糖结晶
diabolic,魔鬼,鬼魂,圣诞老人,寿星
intensive,集约,书法,作法,疗法
classmate,同班同学,狭窄,磁带录音,调查者
smock,罩衣,长袍,便服,西装
craze,使发狂,麻烦,拖,暗示
abysmal,极坏,地球仪,刽子手,不动
elope,逃走,溜走,跟进,抱头鼠窜
emancipate,解放,内乱,决斗,打翻
gander,漫步,徘徊,步行,蹒跚
chandelier,枝形吊灯,防止,镇长,使破灭
dime,小钱,便士,硬币,花边
crease,折痕,意见,终于,立即
supplant,取代,咨询,露面,保送
component,组成,生效,对立,缠绕
per,按照,按理,本着,基于
peck,凿,整洁,矮的,答应
pedagogue,教师,班主任,阿姨,教练
sporadic,孤立,计算,欺负,侮辱
slash,叉口,在...周围,取代,决定
evolve,演化,多变,变心,变动
trend,趋向,怎么,面向,这么
disk,盘,结果是,大多数的,可能性
tick,给...标记号,成为(表示变化),接近,庞大
sight,检查,大选,评选,民选
liberal,自由主义者,暴露,录像,海鸥
trespass,打扰,抱歉,久违,请教
gangrene,生坏疽,一半,阴暗,答案
gloat,爱慕地看,爱好运动的人,全世界,宁可
socialist,社会党人,难以办成,(女)好看的,根本
leaflet,小叶,树叶,红叶,花瓣
derisive,嘲笑,拍案叫绝,争执,讥诮
thyroid,甲状软骨,关节,指甲,肋骨
absence,缺席,退学,出席,脱氧
pointer,指针,光源,货源,理由
pelt,下大雨,一大批,创造(性)的,开矿
glum,死气沉沉,激发,昂然,懒洋洋
encumber,阻塞,濒临,堵车,附着
delineate,描述,记载,阐述,列举
palliation,缓和物,死亡,象…一样,其时
relevant,有关,由,对于,以
windlass,用绞盘吊起,伙伴,宽的,困难
palaver,废话,仗义执言,通信,讲话
clink,押韵,常规,协定,规定
limbo,林波舞,沮丧,她的,每周一次
condense,冷凝,变质,融解,速冻
iteration,重复,势必,保险,接着
accelerate,加快,安定,提前,延期
catarrh,卡他,冒失,在下面,卫生
fumble,乱摸,达到,充足,晚辈
probate,处...以缓刑,正视,不舒服的,实用
ignoramus,浑噩无知的人,发音方法,修理,使处于某种状态
gnaw,咬,相反(的),诗,把…插入
covert,隐蔽,避暑,溜走,躲避
inception,开始,动身,开车,多快好省
emanate,发出,突发,散发,毁灭
suitcase,小提箱,病人,最喜爱的,猪肉
fluster,慌乱,决定,落实,平静
microwave,微波,波澜,漩涡,泡沫
chatty,爱闲聊的,站不住脚,上船/车/飞机,吊死
loser,输者,舌头,流浪者,观光客
unprovoked,未受挑衅,问,回忆,很可能的
manganese,锰,小提琴(手),注意,迎接
experiment,实验,培养,体操,期考
teller,计票人,书店,诞生的故乡,引人注目
potential,势的,伤口,工厂,科学
hoe,用锄干活,取代,马上,焦虑
padlock,关闭,表露,不力,崩溃
downpour,倾盆大雨,骤雨,瀑布,遗迹
agog,渴望着,今,破裂,(使)厌烦
cohesion,团结,统一,未婚,众志成城
