#word,meaning,option1,option2,option3
重新点燃,rekindle,chafe,labyrinth,promotion
工具,utensil,tensile,stencil,robot
超自然的,supernatural,rout,startup,muffler
患狂犬病,rabid,rapid,raid,aid
文件夹,folder,offspring,vainglory,icy
详细检查,scrutinize,silencer,enmity,stigma
极富魅力,stunning,obtainable,cobweb,constrain
坦率,upfront,publically,harsh,humanity
乙炔基,vinyl,creditor,feedback,queue
放弃权利,disclaim,declaim,scent,sky
可怕,eerie,peril,nerve,deride
海象,walrus,seal,tiger,bat
辉煌,refulgent,dazzle the eyes,sharp,do something with one's back to the light
郊区,outskirts,township,southwest,northwest
感情脆弱,maudlin,shortwave,apogee,occupier
宣告无罪,acquittal,to capture,summon for interrogation,hunt and arrest 
人口统计,demography,geography,xerography,wallet
混合,mingle,mangle,mine,bangle
注入,influx,flux,inflow,put into operation
无知觉的,insensible,sensible,nineteen,hue
对立,antithesis,to furnish,contradict,run parallel
恳求,supplicate,duplicate,supplicant,inquire about
漩涡,vortex,forte,vote,porter
下流,ribald,ribaldry,rival,bald
可怜,plaintive,plaintiff,had better ,how
易于驾驭,tractable,filial piety,unreconciled to,sincerely
剑术,fencing,a kind of traditional Chinese shadowboxing ,judo,pattern
长久,permanent,pertinent,efficiency,adult
使成为必需,necessitate,supply,not be  mutually exclusive,contradict
少年,juvenile,youth,senior,adult
白蚁,termite,permit,trite,terminate
小剑,stiletto,a double-edged sword,spear,a lance with two points
抗原(注射于动物体内,antigen,obeisance,map,suture
适宜,condign,hard to ,convenient,futile
格言,dictum,example,model,standard
自然,spontaneity,yet,too,unavoidable
神志清楚,sanity,unity,vanity,satiety
犯大错,blunder,thunder,slender,bounder
罗嗦,prolix,harden,strict,sag
迂回,periphrastic,long-range raid,to stop,surprise attack
过分强调,overemphasize,adolescent,widowed,overdress
报应,nemesis,genesis,judgment,pay a debt of gratitude
倾斜,slant,spank,slaty,scanty
厌恶,abominate,nominate,abominable,dominate
破坏...的稳定,destabilize,highlight,wallow,wader
耐寒,hardy,horde,handy,lard
闪烁,glisten,glitter,listen,blister
易怒,testiness,remain,easy to,to exist
挖出,disinter,jointing,stick,blockage
植被,vegetation,vegetarian,animal,crops
虔诚,devotion,deviation,devolution,emotion
催眠,hypnotic,surgical operation,acupuncture and moxibustion,cure
裂缝,cleavage,leakage,cleave,crack
好色,lechery,pornography,peace and happiness,dubious
施虐狂的,sadistic,diffuse,mink,scream
欺骗,deceit,defeat,decent,descent
橄榄球场,gridiron,whilst,silken,serve
大墓地,necropolis,monument,altar,Shinto 
意义,purport,support,purpose,airport
隐藏、掩饰(感受、意图),dissemble,assemble,rave,blench
小卵石,pebble,peddle,gabble,cobble
打洞,punch,bunch,dunce,hunch
细裂缝,interstice,node,focal point,crevice
命令,prescript,gather,give somebody a task,to occupy
演说术,elocution,election,evolution,locution
使燃烧,inflame,flame,inflate,infamy
运气不好,reversal,reveal,rehearsal,several
手榴弹,grenade,serenade,grade,grease
修改,mend,rend,fend,lend
测水深,plumb,slump,club,numb
秘密,occult,occupy,occur,cult
死记硬背,rote,lot,erode,broth
兜售,peddle,addle,meddle,paddle
凝聚,cohesive,to concentrate,to have a reunion,to separate
地下室,crypt,crepe,script,cry
热烈的欢迎、鼓掌,ovation,oration,option,elation
恢复健康,restorative,dusk,sappy,too
(指人)下船或下飞机,disembark,startup,column,bright
势利小人,snob,snub,sob,sop
雇用,employ,employer,deploy,imply
官僚政治,bureaucracy,damp,fatherly,cuttlefish
预示,bode,all things tends in one direction,authenticate,to make clear
食谱,recipe,recline,recite,reside
引起极大兴趣的,intriguing,whisk,pigheaded,wheel
有斑点的,dappled,colorful,fresh,balmy
园艺学,horticulture,science and technology,linguistics,economics 
极微小的,infinitesimal,persevere,scatter,profiteer
点名、唱名,roll-call,apoplexy,force,marine
不智,impolitic,make a big fuss over a minor issue,to hit with hands or fists,economy
光滑,smooth,scoot,booth,moth
推迟考虑,waive,hive,have,wave
治病,therapeutic,cut and polish,engraving,to survey and draw
未装饰的,unadorned,childhood,modicum,oust
混杂,motley,moslem,mouldy,mole
语言学,linguistics,kinetics,philosophy,biology
消化不良,dyspepsia,dysphasia,nest,evening
粪肥,manure,mature,measure,azure
止痛药,anodyne,anode,root of herbaceous peony ,ointment
葬礼,obsequies,obsequious,manners,fetishism
(动植物的)属,genus,genius,onus,Jesus
译解(密码),decode,decade,decide,recede
垃圾堆,landfill,chaff,money and valuables,historical relic
留心听的,attentive,retentive,attention,apprehensions
天生,inborn,unborn,intern,inform
报酬,emolument,monument,wages,royalty 
吝惜,stint,tiny,shirt,stunt
刺孔,puncture,murder,touch,prick
大屠杀,holocaust,homicide,assassinate,murder
管理员,custodian,prime minister,head of state,president of a club, committee, etc.
吸入,imbibe,imbue,to lick,to drink
吓唬,browbeat,press for payment of debts,enforcement,to threaten
味道可口,savory,indictment,ostrich,conviction
养蜂场,apiary,apart,airy,diary
专业技能,know-how,polynomial,scope,legal principle
挥霍无度的人,wastrel,waste,pastel,otter
豪华,plush,slush,hush,push
船上的厨房,galley,dally,alloy,galaxy
可塑性,plasticity,probability,national,resemblance
修复,rehabilitate,criticize a person in order  to help him,rescue,massage
人的显著特性,trait,frail,rat,fruit
吸引(注意力),rivet,revel,riot,divest
蚀刻术,etching,order,salver,nowhere
发起,instigate,to mobilize,command,answer
隔离检疫期,quarantine,to interoperate,to conform,vex
巨石,monolithic,monolith,marble,stone
沉思,meditative,thanksgiving,appreciate,to wrack one's brains
偷(不贵重的东西),filch,filthy,itch,fetch
突然向前或旁边倒,lurch,lunch,launch,loch
试探性的,tentative,harden,flashlight,actor
无王时期,interregnum,rucksack,an,paddock
光滑,satiny,culture,crude,artificial
后天习得,acquired,homicidal,moustache,feature
尚未离巢的小鸟,nestling,wire,elliptic,coy
坚忍不拔,persevering,mean and cowardly,swift and fierce,arrogant
证明...有误,disprove,dispose,disapprove,disrobe
严肃,gravity,brevity,rarity,cavity
玩笑,lark,park,dank,flask
欢闹,rollicking,better,precept,periscope
凶猛,truculence,tablet,pitiless,vigorous
无可指摘,unimpeachable,obscurity,fluent,strict
活泼,mercurial,naughty,uninhibited,unwilling
少数,smattering,layer upon layer,majority,section
静态,static,ecstatic,stair,state
块茎,tuber,budding,ivy,vine
悲伤,mournful,mixed feelings of grief and joy,suffering,to the satisfaction of everyone
超俗,ultramundane,derrick,brigand,blower
有文化修养的,literate,iterate,reiterate,literal
吹牛大王,braggadocio,call out,order,issue
贫穷,indigent,indirect,indecent,indignant
打嗝,belch,leech,bitch,bench
(作礼拜时教士的)法衣,vestment,vehement,testament,investment
四重奏,quartet,quartz,quarter,quintet
告别演说,valediction,leek,motto,choke
不胜任,incompetence,buoy,publican,koala
认真,earnest,harness,garnet,harvest
易怒,irritable,heritable,convenient for,to meet 
得意,elation,relation,evasion,lotion
灌输(某人)强烈的情感或意见,imbue,impute,impure,imbibe
下属,underling,underline,unfeeling,undermine
惯常,frequent,request,frequency,pretty close
超人的洞察力,clairvoyance,baptism,dilemma,nurseryman
不屈,unyielding,decisive,to understand,to loiter
即席而作,improvise,improve,saucy,foolish
陵墓,mausoleum,altar,counter,arena
期待,expectant,expectancy,to demand,to look forward to
可商量的,negotiable,negotiate,fury,triplet
给...授粉,pollinate,breakwater,holdup,vocabulary
欺骗,gull,full,lull,gulf
明智,judiciousness,flexibility,silly,frail
增大,aggrandize,rich,to encrypt,increase in value
不坚实的,spongy,sponge,stingy,slangy
装模作样的人,poseur,poker,poser,loser
给...打蜡,wax,lax,fax,wad
未受抑制,unchecked,copier,percentage,bullet
违法,illicit,implicit,elicit,solicit
支配,predominate,insurmountable,to check,inexpensive
实质,substantial,organize into teams,the surface of the river,to feign
使缓和,disarm,diary,discard,spook
漩涡,whirlpool,wave crest,syrup,fire
吹毛求疵,censorious,to make fun of somebody,make things difficult,practical joke
消灭,exterminate,quench,put an end to,wash
浪费,prodigality,extract,saving,enough
纠缠,ravel,raven,reel,reveal
打扰,perturb,perjure,perjury,aperture
年轻男子,stripling,flour,curative,shrapnel
奸商,profiteer,prostitute,drunkard,hoodlum
弄清楚,demystify,spirituous,surmount,jet
奇怪,queer,queen,deer,cheer
厌氧,anaerobic,lab,list,jangle
懊悔,repent,resent,recent,repeat
复制,duplication,have something made to order,to copy,collect and process
抱负,aspiration,admiration,expiration,game
耕作,cultivation,to till,to develop,winter irrigation
易货贸易,barter,rafter,barber,banter
波涛汹涌,surge,sue,urge,sure
猛烈,drastic,dramatic,elastic,frantic
可争议的,debatable,hypothesis,brim,interfere
诡计,subterfuge,Five-Year Plan,strategy,a project of vital and lasting importance
和解,reconcile,recondite,harmonious,curry favor with
无法仿效,inimitable,prediction,hereby,twice
傲慢,arrogant,arrant,arrogate,dull
养老金,pension,tension,mansion,mention
剃刀,razor,labor,major,raze
敌意,inimical,initial,meaning,feeling
嘲笑,taunt,daunt,vaunt,trust
可笑,risible,humorous,monotonous,health
脊椎动物,vertebrate,animal,house pet,mammal
声音高而清晰的,clarion,carton,carbon,clarify
彻底,exhaustive,on the whole,trifling,incomplete
费解,obscurity,to strain ,mystery,conscientiously
漫画,cartoon,carton,caution,caption
酗酒,tipple,title,nipple,triple
慷慨,ungrudging,humble,unyieldingly,extend 
交好运的,fortunate,formulate,fortune,favorable
不容异己,intolerant,glory,lavatory,dizzy
蜂鸟,hummingbird,fowl,lark,robin
粗野,boorish,stately,to value,be concerned about face-saving
很多,profuse,arouse,propose,refuse
公平,equitable,equable,suitable,excitable
饥荒,famine,famish,fame,marine
宿怨,feud,appetite,greedy,desire
伤口,lesion,frostbite,scald,slash
含铁,ferrous,ferris,fervour,furious
有节制的,abstemious,initiative,cautious,industrious 
长沙发,couch,crouch,crutch,pouch
避免,shun,swan,sue,spur
令人难过,pathetic,esthetic,athletic,potty
不使用暴力的,nonviolent,sprawl,base,bloodbath
俯卧,prostrate,stoop,recline,re on
使堕落,pervert,perfect,fervent,revert
滑车,tackle,trickle,tangle,sickle
艺术技巧,artistry,artistic,artiste,artist
扰乱,disturbance,troublesome,worry,to bar the way
搁置,table,cable,tale,treble
(火焰)摇曳,flare,flat,spare,share
单调乏味,tedium,tedious,medium,pendium
葡萄糖,glucose,suspension,sequence,contempt
并列,abreast,breast,beast,arrest
追捕,chase,chore,chasm,chime
伪造(物),forgery,forget,surgery,forge
有记忆力,retentive,detective,attentive,receptive
耸肩(表示怀疑等),shrug,hug,shrub,shroud
比目鱼,flounder,founder,flounce,bounder
根除,extirpation,remove,overcome,wash
周围,circumference,outer space,face each other,region
使眼色,wink,link,wind,kink
精力充沛,lusty,lust,list,testy
小量,paucity,purity,pacify,parity
凹的,concave,concise,connive,concede
恶毒,malignant,these,humanity,kindly 
令人毛骨悚然的,gruesome,emotion,favorable impression,ill
结硬块的,callous,callow,gallows,slide
厌恶,revulsion,repulsion,revision,emulsion
翻腾,billow,willow,billion,willowy
目中无人,supercilious,atmosphere,deferent,vehement
证实,substantiate,indicate,origin,hinge upon
雏鸭,duckling,panda,hello,hurl
快速增加,balloon,bullion,saloon,ballot
擦亮,burnish,furnish,garnish,furbish
非典型的,atypical,typical,topical,flee
例外,exception,deception,perception,inception
自命不凡,pretension,retention,prevention,humility
稳定,stabilize,stability,sterilize,chastity
截肢,amputate,fluid infusion,vaccine,to give or have an injection
巨大,mammoth,mammon,formidable,petty
敌意,animus,real intention,popular will,feeling
青春期,puberty,liberty,poverty,semester
(病)康复,convalesce,rest,quench,extinguish
录取,matriculate,be on the waiting list ,employ,reject
在某物上写,inscribe,describe,ascribe,auspicious
渗透,percolate,peculate,percolator,perforate
无忧无虑,airy,array,air,lily
烈士,martyr,matter,marker,marry
久坐,sedentary,grocer,seventy,fragrant
有害,pernicious,be good for,harmless,insuperable
动物学,zoology,horology,ecology,biology
值得同情,pitiful,spiteful,fitful,dutiful
哀悼,mourn,mouse,moan,tour
针叶,needle,peddle,noodle,feeble
侵占,encroach,exploit,to plagiarize,abduct
贪吃者,glutton,button,mutton,synthesis
俯身,stoop,swoon,whoop,top
隐藏,conceal,congeal,conical,cancel
不应得的,undeserved,cavity,exile,immature
(交响乐)乐章,movement,pavement,monument,moment
臭气,stench,stretch,stencil,wrench
忠实原义,literal,mineral,lateral,lineal
摇摇欲坠,ramshackle,safe and sound,on the verge,sweetness
美洲豹,cougar,to rebuke,tiger,leopard
冷淡,offish,not express an opinion,to be anxious,show some consideration
叛乱分子,insurgent,insurant,indulgent,gland
粗糙,coarse,hoarse,chase,horse
深长的伤口,gash,gnash,ash,rash
愿服从的,amenable,just and fair,rude and unreasonable,democracy
多愁善感,sentiment,sentient,sediment,romantic
瓷,porcelain,rubber,butadiene styrene rubber,white pottery 
聪明,ingenious,ingenuous,swift and fierce,awkward in speech
使...陷入困境,mire,mitre,vine,vile
显微镜的,microscopic,notable,the,boar
吃力,labored,inferior,upper class,in the middle
不听话的,indocile,irrigation,scar,immobile
令人误解,misleading,decree,vat,obviate
独身者,celibate,celebrate,climate,calibrate
严峻考验,ordeal,ordinal,order,deal
预感,presage,preside,passage,prestige
使洁净,purify,purity,putrefy,pacify
快乐、喧闹的集会,jamboree,obsolete,pelagic,importune
财产转让,demise,demist,debase,device
(火车,terminus,verminous,terminal,nasty
把...奉献,consecrate,mosque,reverence,defunct
观众,spectator,ranks,purchaser,spectators
极蠢之人,moron,rubbish,fool,cowry
选举权,suffrage,possession,intellectual property rights,military leadership
沃土,loam,lope,loot,leap
短柄小斧,hatchet,sachet,hatch,ratchet
论点,contention,result,cause of disease,origin
居先,antecedence,day-to-day,and even,immediate
火山口,crater,prayer,canter,crate
懊悔,compunction,repentance,look cold and indifferent,ignore
进步,headway,headman,roadway,hearsay
有关,pertinent,permanent,to substitute for,comparable
灵巧,deft,dead,duff,debut
适于饮用,potable,apparent,crumbly,peal
偏离,deflect,defect,select,reflect
艺术大师,maestro,metro,maelstrom,inclusive
专利权,monopoly,monopsony,sovereignty,inheritance
无聊,drab,drum,draft,draw
(使某物)蒸发掉,evaporate,elaborate,bullet,rake
证明...正确,vindicate,indicate,depict,turbid
效忠,fealty,be faced with,struggle,clasp Buddha's feet - profess devotion only when in trouble
獾,badger,startup,cowherd,gabardine
不可亵渎,inviolable,flip,compromise,honeymoon
实体论,ontology,endow,delve,plateau
搀和,commingle,to filter,to mix,to filter
贪心,grasping,dishonorable,honest,selfish
炮炸,bombardment,be on  patrol,rapid-fire,permanent 
戳穿,prick,brisk,prize,rick
(不满的)抱怨,moan,boon,loan,mow
集权化,centralization,grumpy,aorta,masseur
嗜食者,gourmand,embroidery,recipient,toss
沉重缓慢,plodding,agent,cruiser,lonesome
吸引人的花招,gimmick,Proverbs,absurd statement,point out
细长,spindly,spinal,spindle,swindle
(法律等)条款,clause,cleanse,cause,case
住处,abode,node,location,workstation
显示,bespeak,speak,prove,it could even be said
长方形,rectangle,entangle,formation,mode
混杂,assorted,intersect,encircle,intertwine
尖酸,tart,to make more mild,honest and sincere,honest
脱离,disengage,retire from the military,throw into battle,relief
懒惰,indolent,indent,indecent,indigent
力学,mechanics,mechanic,mechanism,mechanical
颤动,vibrate,violate,pirate,liberate
驱使,actuate,activate,astute,acute
愉快,lighthearted,kneel,mixed feelings of grief and joy,kowtow
表面,superficial,to fake,cornerstone,natural color
(指人)健谈的,expansive,expensive,explosive,expansion
吸引,appeal,appear,appal,anneal
权威性的,authoritative,pathos,clamour,prosperous
装备,gear,spear,tear,near
易兴奋性,excitability,aside,verdant,America
注射器,syringe,springy,shrine,fringe
使平静,appease,appear,applause,please
跨学科的,interdisciplinary,sleuth,peninsular,standpoint
可用,serviceable,for public use,backup,exhausted
自负,conceit,concept,concert,conceal
虚幻,illusory,strict,garble a statement, etc.,specific
经度,longitude,size,angle,hardness
宣告,proclaim,reclaim,order or command,have something all to oneself
搞不清,elude,elide,lure,delude
(语句等的)上下文,context,convent,contest,convex
冰川,glacier,glazier,glacial,cataract
光泽,glossy,fireworks,sun,lighting
经典,canon,brief guide,Holy Bible,classics
不诚实的,deceitful,comfort,obstruct,whereas
疏忽,remiss,remind,revise,amiss
乐曲的最后部分,finale,final,finance,fickle
漫步,amble,rumble,rabble,emblem
不可指责,irreproachable,regimen,novitiate,aspiration
收割者,reaper,caper,taper,beaver
刻薄,vitriolic,merciless,heartless,to confess
天空,empyreal,coastal,in the air,the buidling or room opposite
熟练,versed,amateur,initiative,passive
取代,preempt,prompt,precept,act in a  capacity
浸泡,steep,sheep,sleep,sleepy
精神,spiritual,make no comment,to excite,stun
力求完美者,perfectionist,mannequin,obviate,campaign
古书上的图案、装饰,illumination,jockstrap,theirs,rite
白热,incandescent,flash,sunshine,beam
泥砖,adobe,kneading or chopping board,mold,lever
谄媚(的),cringing,specie,intimidate,abort
资格,qualification,school roll,senator,male
令人讨厌,unpalatable,heinous,sedate,emissary
离题,tangential,defense,bedevil,nomadic
(正式)放弃,renounce,denounce,resource,pronounce
专心致志,dedicated,fascinate,be driven to join the Liangshan Mountain rebels,be accustomed or used to
悬崖,scarp,ravine,Mt. Huang ,the Mountain of Flames
香料,fragrance,raw material,sanitary equipment,prepare feed 
友好,goodwill,be neither too familiar nor too distant,overlapping,will not live under the same sky  - absolutely  irreconcilable
贱民,pariah,per person,people,oneself
玩耍,disport,to appreciate,to exhibit,mora
性欲,libido,desire,old scores to settle,greedy
手相术,chiromancy,hanker,retort,wait
可触知的,palpable,payable,passable,salable
(音乐等)柔美流畅的,mellifluous,blood,signify,cab
遭受,inflict,infect,indict,afflict
放逐某人,banish,burnish,punish,garnish
悍妇,shrew,evildoer,hypocrite,dictator
纵欲,incontinent,plea,hundred,faeces
显然,manifest,manifesto,to be of use,dubious
有害处的,mischievous,alteration,evasive,antiquary
书写中撇号(')(表示省略或所有格),apostrophe,fop,revive,the
赞辞,tribute,tribune,tribe,trite
用力擦洗,scrub,scum,crux,snub
不义之财,pelf,estate,real estate,wealth
多腱,sinewy,calm,gambol,prepare
英俊,personable,reasonable,pardonable,personal
印刷上的,typographical,tail,constrain,finite
性格外向者,extrovert,athletic,reprove,dyslexia
含水土层,aquifer,admire,disagree,induce
静止,motionless,irrational,be flexible,fall into a pattern
意外事件,contingency,clerk,sorrowful,lodge
扮演者,impersonator,reporter,read and edit,actress
可渗透的,permeable,permeate,peaceable,unity
夸张,stilted,brag,to hide,flaunt
死亡,defunct,defect,deduct,deflect
极权主义者,authoritarian,depress,dredger,bark
称赞,commend,contend,commando,command
使充分满足,satiate,vitiate,satire,satiety
讽刺,snide,joke,written polemics,fig.: wonderful!
虚伪,hypocritical,sincere,to rebel,loyal to
捐赠,donate,date,ornate,detonate
(船,yaw,theirs,ferment,trillion
体力,stamina,stain,tripartite balance of forces,measurement
消遣,pastime,paste,pantile,pasture
推进器,propeller,theostat,beeper,siren
天蓝色,azure,abuse,cure,sure
障碍,obstacle,precious  deposits,protective screen,goose feather
(汽车)里程表,odometer,protector,distaste,juxtapose
撞击,impinge,tumble,to contact,provoke
无篷小船,dinghy,dinky,dingy,taxi
王国,realm,elm,real,reply
火海,inferno,inferior,infernal,intern
要求,request,quest,bequest,inquest
(鱼钩的)倒钩,barb,park,bail,garb
机智,resourceful,stupid,slow ,obstinate
插入,insertion,invention,inversion,inspection
诡辩,sophism,sophist,schism,libel
率直,candid,bandit,candy,caddie
(复数)食品,viands,fireworks,feed,vegetables
(味道等)浓郁而强烈的,full-bodied,recoup,postmaster,parachute
寓言里的,fabulous,nebulous,fatuous,slipper
期满,expiration,excitation,aspiration,long delay
使充满,saturate,satiate,maturate,pathname
旧式步枪,musket,commodity,squeal,mixer
指数,exponent,opponent,reading,electrical energy
荒唐,ridiculous,trustworthy,hasty,neglect
油毡,linoleum,tapestry ,list of items,bedding
固定,immobility,active,manage  with difficulty,put up with
灾难性的,disastrous,hectare,flock,species
乱射,potshot,inadequacy,strenuous,fridge
剥夺...的权利(尤指选举权或公民权),disfranchise,socket,intonation,visible
属于,pertain,curtain,certain,retain
键琴(钢琴前身),harpsichord,evil,debtor,compote
算错,miscalculate,fatalism,effrontery,soggy
推进力,propulsion,profusion,repulsion,indoor
甜得发腻,cloying,untoward,percent,poultry
悬荡,dangle,mangle,waggle,wangle
不可否认,undeniable,malefactor,nosedive,auxiliary
授任圣职,ordination,structural,polygon,allegiance
台后,offstage,to be of use,strong,Heaven knows!
政治阴谋小集团,cabal,sixty,wellbeing,ballerina
屈尊,deign,feign,demon,sign
(美得)无法形容的,indescribable,enthuse,material,lassitude
粗俗,raffish,sublime,figurative: given an inch, want  a mile,selfish
贸然上前与人攀谈,accost,cost,accord,accent
偏狂症,monomania,block,expel,moor
出价多于(他人),outbid,outwit,outside,turbid
敬畏,awe,awn,same,age
懊悔,remorse,repose,reverse,remove
杵,pestle,collusion,degrade,helicopter
宏伟的建筑(如宫殿、教堂),edifice,orifice,abscissa,rebellious
(缠录音带等的)卷盘(轴),spool,stool,school,spoon
移动一点,budge,drudge,bulge,judge
补充,supplementary,lengthen,addendum,to cheer sb. on
旋绕,convoluted,maneuvering room,thread ,vibrate
纪念品,souvenir,remnant,furnish and decorate ,supply
公馆,mansion,passion,mention,tension
逆来顺受,resigned,not go along with,love and esteem,to suppress
使痛苦,afflict,inflict,affect,well-known 
同类,homogeneous,junior,level,finalize the design
无力,impuissance,youthful,very red,stocky
摇篮曲,lullaby,echo sb,serenade,ballet
使...受污染,contaminate,mood,mid,airport
吉兆,auspicious,suspicious,whereabouts,opinion
有偏见的,prejudiced,fractious,seventh,cupola
笨拙,elephantine,silly,keen,awkward in speech
酬报,reward,retard,regard,record
与...一致,accommodate,treachery,recreate,teenager
怒目而视,glare,flare,pare,dare
冷酷,grim,crib,grit,drum
精华,gem,memo,hen,leg
使有权(做某事),entitle,entice,title,entire
委托,entrust,entrant,trust,enthuse
同情,commiserate,lenient,can't help,misgivings
低音管,bassoon,bastion,balloon,passion
坚持,tenacity,direct,assumption,embrace
报应,retributive,pay a debt of gratitude,make reprisals,coalition
证明,demonstration,origin,visible,all things tends in one direction
有纤毛的,ciliate,develop,fuzz,communal
隐遁,seclusion,exclusion,delusion,tripartite balance of forces
栖居于,inhabit,inhibit,habit,inherit
鼓励,hearten,hearken,marten,earthen
增值,increment,excrement,inclement,rise in value
大惊小怪,fuss,hush,fuzz,furl
二年级的,sophomoric,nuclear,of,cylinder
哀号,whine,nine,shine,thing
伪证,perjury,mercury,perjure,perturb
顽强,hard-nosed,to loiter,not to matter,firm
(窗帘等)须边,fringe,fridge,prince,wring
整顿,adjust,unjust,readjust,august
争论,polemic,politic,poetic,theory
相持不下,deadlock,wedlock,padlock,amount to
光线,beam,sham,bed,seam
(作品)主题,motif,theorem,principle,classical
凉鞋,sandal,vandal,scandal,manual
怀疑,disbelief,confidence,half-believe, half-doubt,conviction
壮丽,splendor,graceful,currently existing,flirtatious
(计划)失败,founder,flounder,fodder,plunder
拖延议事,stonewall,flank,spangle,bogus
琐碎,piddling,single,trenchant,overlapping
易怒,ticklish,remain,corresponding,currently existing
阵风,gust,lust,grit,just
害虫,vermin,permit,vein,virgin
摘要记录,jot,mat,top,jib
全能,omnipotent,terse and forceful,poor,arise from the dead
滑动,slippage,to drain,to move,convection
蝌蚪,tadpole,long-nosed pit viper ,toad,lizard
腕,wrist,wrest,wilt,waist
消灭,annihilate,to sweep away,wash,put an end to
固定津贴,perquisite,requisite,exquisite,fault
行车道,roadway,headway,a way out ,circuit
冲洗,sluice,source,juice,spice
象征丰收的羊角(羊角装饰器内装满花、果、谷物等以示富饶),cornucopia,tongs,dolly,emigration
游牧部落的人,nomad,naiad,woman,load
吵闹,rowdy,crowd,dowry,drowsy
聚集,herd,term,hood,dead
引人注目,striking,openly,indistinct,illegal
相对应或具有相同功能的人或物,counterpart,youngster,flurry,potent
无节制的,wanton,no matter what,to deceive,to hoodwink
院士,academician,Ph.D.,general manager,hierarchy
分期偿还,amortize,abortive,mortise,peppermint
简洁,succinctness,overall,ruined,sag
最好,optimum,optimism,many,at best
斑点,speck,spend,pick,speak
(军人)休假,furlough,taper,caustic,conserve
捐款,contribution,loan,premium,installment
畜群,drove,drone,dove,doze
深思,cerebral,cerebrum,cereal,to cherish the memory of
速记,stenography,to input,abstract,handwriting
昏睡,lethargy,rest,stand up,fundraising
热心,avid,air,acid,avoid
有节奏的,rhythmic,enroll,historic,overstate
履行,performance,cause to develop,issue for enforcement,final version or text
侵犯,incursion,infusion,incision,inversion
极坚硬的,flinty,frosty,social,sender
毗连,coterminous,close to,short circuit,seepage
勤勉,diligence,make nothing of hardships,switch to a job one was not trained for,in charge of
直言不讳,outspoken,to say more than is necessary,grunt,to take in and send out 
(嘴)大张着地,agape,gape,agate,shape
神学家,theologian,expert,artist,statesman
积云,cumulus,dew,frost,stratus 
悲哀,bewail,beware,retail,detail
查明,ascertain,certain,uncertain,appertain
无可非议,unexceptionable,quote out of context,definite,abstract
加冕,coronation,south side,whine,student's strike
令人轻视,contemptible,pantomime,beetle,mommy
同谋者,accomplice,accomplish,to conspire,be more of a hindrance than a help
起皱纹的,corrugated,ant,ranch,cloak
轻而薄的,flimsy,clumsy,whimsy,slimy
旧石器时代的,paleolithic,bamboozle,ostrich,afford
脱离,abscission,free oneself from,retire from the military,to join
千变万化,kaleidoscopic,fickle,vicious circle,to evolve
禁酒,temperance,temperate,to inspect,to prohibit
不可获得,unavailable,greenbelt,rental,star
空中的航行,flight,light,flighty,slight
定理,axiom,aim,idiom,agio
束以马具,harness,hardness,darkness,harvest
厌恶,loathing,hatred,dreary,loyal to
继续,continuity,to carry out,loop,power failure
同种,homogeneity,helpful,deckchair,admire
卑鄙,scurvy,yellow,dignified,greedy
(小说的)结尾,denouement,source,cause of disease,origin
易碎,fragile,agile,facile,frail
清楚,definite,infinite,deficit,definitive
趾高气扬地走,strut,stint,shut,syrup
教唆,abet,abend,bet,beet
占卜,augur,sugar,augury,auburn
死水,backwater,drop,broth,mineral spring water
镇定剂,tranquilizer,tutor,haw,universe
神经学,neurology,overawe,lot,vacuous
极端性,polarity,stem,pictorial,wingspread
不幸,hapless,to rise to power and position,dilemma,reciprocal
粗糙,crudity,female,vanity,artificial
俗丽,gaudy,gauge,tardy,giddy
指责,impugn,impure,impute,criticize
(使)变皱,crinkle,wrinkle,crackle,trickle
捣实,tamp,steel,reaper,card
蟹,crab,Arab,jab,crash
欢乐,rejoicing,fall on one's knees,mixed feelings of grief and joy,kowtow
无重要之人或事,nonentity,constipate,doze,entry
减弱,relenting,to make better,soften,hurriedly
传讯,arraign,arrange,conclusion,begin a  court session
善于骗人,cunning,burning,inning,turning
儿童,puerile,peril,sterile,purple
食草,herbivorous,sexy,outcry,immigrate
精神分析,psychoanalysis,battle,thorough,bash
用脑,cerebration,associate,to touch,to wrack one's brains
塔楼,turret,turner,garret,current
战役,campaign,Japanese troops,the Northeast Army,the Eight Power Allied Force
拱廊,arcade,orchestral,tenant,afresh
玷辱,desecrate,remedy,to be ready to risk one's life ,take a risk
惹人反感,invidious,insidious,cauldron,condition
把...放错位置,misplace,displace,gait,canoe
混合,meld,center on ,cross,transport
渗透,infiltrate,on the verge of,license ,ventilation
徒劳,vain,van,vein,vaunt
谷仓,granary,urinary,canary,granny
伪造,rig,big,ring,pig
不适于居住的,uninhabitable,penniless,neutron,redeem
撤离,evacuate,vacate,evaluate,ejaculate
无兴趣的,lackadaisical,barrel,personnel,morality
逗留,sojourn,adjourn,move ,to move the capitol 
长诗,ode,oz,code,ooze
暂停,intermission,develop simultaneously,to park,power failure
(治疗过敏的)抗组胺剂,antihistamine,blare,unwitting,headway
故障,malfunction,know ,tail,error 
强索,extort,export,extant,extra
(声音)沙哑的,raucous,man-made,male,gruff
瞎扯,prate,pray,grate,grape
干燥剂,desiccant,desiccate,ensure,tolerable
命令,decree,degree,secrete,decode
