scour	n.擦;除垢剂v.擦掉;擦
goody	n.老妇人;姥姥
outstrip	v.超过;经过
abstemious	adj.简单;有节制的
dudgeon	n.愤怒;柄木
stagger	n.斜罩;摇晃v.摇晃;犹豫
airplane	n.飞机
beaker	n.大口酒怀;烧杯
libretto	n.歌词;剧本
sanitation	n.公共卫生;卫生设备
weir	n.堰堤;鱼梁
lingo	n.特征语;行话
loser	n.输者;遗失者
lug	n.勒索;拖v.硬扯;拖
crate	n.板条箱;一箱的量v.用板条箱装
lung	n.肺;呼吸器官
curd	n.花椰菜心;凝乳v.凝结;凝结
trinity	n.三位一体
confront	v.使面对;迎面遇到
disband	v.分解;分散
reaper	n.收割机;收割者
illegal	adj.不合法的
jostle	n.挤v.挤;搅扰
swag	n.大量;钱财v.偷;垂下
windfall	n.意外之财;被风吹落的果实
cringe	n.卑躬屈膝v.畏缩;蜷缩
pedal	adj.垂足的;脚的n.踏板v.脚蹬;骑车
circa	prep.大约在
inscribe	v.刻;题献
peppermint	n.薄荷;薄荷糖
sedative	adj.镇静的n.镇静药
sewage	n.污水
diphtheria	n.白喉
subheading	n.副标题
offal	n.垃圾;下水
bleat	n.羊的叫声v.胡扯;抱怨
inaugurate	v.开始
leak	n.漏;漏洞v.使渗漏;漏
crusty	adj.像外壳的;有外壳的
sponsor	n.保人;倡议者v.倡议;发起
flashlight	n.闪光;手电筒
phoenix	n.凤凰;完人
mangrove	n.海榄雌;红树
ail	v.使受病痛;处境困难
climber	n.攀缘植物;攀缘者
ochre	adj.赭色的n.钱;赭色
vertebrate	adj.有椎骨的n.脊椎动物
modulation	n.调节;语调
officiate	v.行使;主持
paralyze	v.使麻痹;使无效
modicum	n.少量
bun	n.小圆面包;甜饼
pseudonym	n.假名
suitcase	n.小提箱
jaunt	n.旅行v.作短途旅行
brawn	n.膂力
glower	n.炽热体;怒视v.凝视;怒视
neuralgia	n.神经痛
sprout	n.后裔;新芽v.长出;发芽
aide	n.副官;助手
jurist	n.法学家;律师
elate	adj.兴高采烈的v.使兴奋
sluice	n.泄水管;蓄水;水闸v.冲洗;淘洗
bauble	n.笨伯杖;小玩具;廉价珠宝
converse	adj.颠倒的;相反的n.社交;谈话v.交谈
iota	n.极少量
swap	n.交换v.交换;进行交换
disable	v.使无资格
stub	n.残段;存根v.掐灭;使碰踢
houseboat	n.居住船
optional	adj.随意的
slut	n.荡妇;女郎
iteration	n.叠代;重复
quandary	n.困惑不定的境地
slight	adj.少量的;纤细的n.冷落;轻视v.忽视;看轻
subjugate	v.压住;征服
ventricle	n.腔室;室
combative	adj.好斗的
dulcet	adj.悦耳的
pontoon	n.浮舟;趸船
insomnia	n.失眠
van	n.前卫;翼
encumber	v.妨碍;阻塞
glint	n.光亮;闪光v.擦过;闪闪发光
gloat	n.心满意足v.爱慕地看
matrix	n.基质;母体
portrayal	n.表演;描绘
vertigo	n.迷惘;眩晕
aphorism	n.格言;箴言
borax	n.硼砂
compendium	n.概要;目录
cultivate	v.耕;养殖
daze	n.迷乱v.使发昏;使目眩
haw	n.山楂;树篱v.发呃声;向左转
peck	n.配克;啄v.凿;啄
tripe	n.肚肠;肚子
dredge	n.耙网;挖泥机v.撒;筛
warship	n.军舰
capstan	n.绞盘;主动轮
hello	adv.哈罗;嘿n.喂的招呼声
campfire	n.营火;营火会
loveless	adj.没有爱的
massage	n.按摩;性交v.奉承;修改
stun	n.打昏v.把...打昏;使震惊
whiten	v.使白;变白
imperil	v.使陷于危险
incidence	n.发生;归宿
outgoing	adj.将离职的;友好的
spry	adj.充满活力的
topple	v.使倒塌;倒塌
coppice	n.灌木林
crayon	n.颜色粉笔v.草拟
measurable	adj.不久的;可量的
scapegoat	n.替罪羊
delineate	v.刻划;描述
fidget	n.烦躁状态v.摆弄;坐立不安
gabble	n.废话;咯咯叫声v.咯咯叫;说废话
sensory	adj.感觉的
cog	n.轮齿;雄榫v.吻合;欺骗
hyacinth	n.风信子;红锆石
overshadow	v.给...遮暗
teacup	n.茶杯
baggy	adj.袋装的;鼓出的
consensus	n.合意;一致
duo	n.二重唱;一对
jackass	n.公驴;傻瓜
lancet	n.柳叶刀;桃尖拱
veterinary	adj.兽医的
blend	n.混和;融合v.染黑的毛;协调
niggard	adj.小气的n.小气的人v.行事吝啬
cocoon	n.茧;茧状物v.作茧
quaver	v.声音颤抖
stump	n.残余部分;树墩v.清除...中的根茬
venerate	v.敬重
fag	n.奴仆;香烟v.磨损;辛劳
brat	n.顽童;围裙
leaflet	n.传单;小叶
editorial	adj.编辑的;社论的n.社论
pair	n.一双;一条v.成对;配合
leak	n.漏;漏洞v.使渗漏;漏
nugget	n.天然金块;小块
supervise	v.监督;审阅
sadden	v.使悲伤;悲伤
aesthetic	adj.美的;美学的
crevasse	n.决口;裂隙
lath	n.板条;木板条v.给...钉板条
linguist	n.语言学家
morphine	n.吗啡
underlie	v.位于...之下;引起
cartoon	n.动画片;漫画v.给...绘草图;画漫画
colonist	n.移生动物
scrub	n.擦洗;擦洗者v.擦;擦掉
ideal	adj.观念的;理想的n.理想;努力目标
transplant	n.移植;移植器官v.移植;迁移
vein	n.翅脉;静脉v.使有脉络
apricot	adj.杏黄色的n.杏;杏子
chic	adj.漂亮的;时髦的n.漂亮;时髦
crescendo	adj.渐强的n.渐强v.逐渐增强
desperado	n.暴徒
incest	n.乱伦
aluminium	n.铝
cobra	n.眼镜蛇
cognate	adj.同源的n.亲属;同源词
overtake	v.赶上;追赶
transverse	adj.横吹的;横的n.横肌;横截轴
trend	n.趋向;走向
effusive	adj.喷发的
madhouse	n.精神病院
spittle	n.沫;唾沫
forensic	adj.辩论的;法庭的n.辩论练习;辩论学
nominee	n.被提名者
tights	n.紧身衣
shrimp	n.矮子;虾v.捕虾
cameo	n.多彩浮雕
coconut	n.椰子
jubilation	n.欢腾
studio	n.画室;音乐教室;射影棚
procure	v.取得;引起
herbaceous	adj.草本的;似绿叶的
lush	adj.繁茂的;繁荣的n.酒;酒鬼v.喝;喝酒
steppe	n.大草原;干草原
stilt	n.长脚鹬;高跷v.使踩高跷
tasty	adj.美味的;雅观的
vane	n.舵;翼;风向标
askew	adj.错误的;歪斜地adv.错;轻蔑地
portend	v.表明;预示
firebrand	n.煽动叛乱者
quagmire	n.困境;沼泽地
igneous	adj.火成的;火的
scraggy	adj.粗糙的;瘦的
shrivel	v.使枯萎;枯萎
simulate	v.假装;模仿
absent	adj.不在场的;缺乏的v.使缺席
burrow	n.地洞;住处v.掘出;在...掘洞
chit	n.小孩;芽;短信;单据
demean	v.进行;使表现;贬低
shoemaker	n.制鞋工人
deadlock	n.单闩锁;僵待v.僵持;僵持
reprisal	n.报复;赔偿
rotunda	n.圆形大厅
gaff	n.攀钩;斜桁v.欺骗;赌博
mill	n.磨;磨坊v.磨;碾碎
overdue	adj.过大的;过期的
proximate	adj.将临的;最近的
throw	n.冒险;投掷v.发射;投
complicate	v.并发;使卷入
solstice	n.至;至点
forceps	n.镊子;尾铗
bole	n.树的主干;红玄武土
corset	n.紧身褡;围腰
dub	n.击鼓;一戳v.戳;击
mentor	n.门特
secede	v.使脱离;退出
sedan	n.单舱汽艇
transcend	v.超出;胜过
transitive	adj.过渡的;及物的
departure	n.背离;开始
function	n.功能;官能v.工作;行使职责
appertain	v.属
flaunt	n.夸耀;藐视v.夸耀;藐视
slot	n.翼缝;足迹;空位v.踢入门;跟踪;安置
uninformed	adj.无生气的
cower	v.蹲;蜷缩
glossary	n.词表;专业词汇
ingratiate	v.使得到...的欢心
unlawful	adj.不法的;私生的
dinghy	n.小触板;小船
fend	n.自给的努力v.保护;抵挡
rowdy	adj.好争吵的n.粗暴而又好争吵的人
shank	n.腿肉;胫
solder	n.焊料;接合物v.焊;联结
draper	n.布商;悬挂者
hypnotism	n.催眠;催眠术
oral	adj.口的;口服的n.口试
redden	v.使变红;变红
smirk	n.假笑;傻笑v.假笑;傻笑
synopsis	n.大纲;缩写式
carmine	adj.胭脂红色的n.胭脂红
acclaim	n.欢呼v.宣布;欢呼
chute	n.陡坡;急流
honeycomb	n.蜂巢胃;蜜蜂巢v.变成蜂巢状
analytic	adj.分析的
disavow	v.否认
hump	n.驼背;驼峰v.溜放;隆起
sluggard	adj.懒怠的n.懒怠的人
compose	v.创作;收拾
eschew	v.避免
subside	v.平静;退落
waylay	v.伏击;拦截
convene	v.召集开会;集会
twirl	n.扭转;转动v.捻弄;转动
kimono	n.和服
vim	n.力量
engrave	v.雕刻;镌
rook	n.骗子;车v.骗取...的钱;行骗
upholstery	n.家具装饰用品业
manipulate	v.操纵;操作
rotund	adj.洪亮的;圆形的
callow	adj.羽毛未丰的;年幼的
foible	n.小缺点
vegetarian	adj.吃素的;蔬菜的n.食草动物;素食者
agape	adj.大张着嘴;洞开着adv.大张着嘴;洞开着n.爱筵;兄弟情谊
arterial	adj.动脉的;干线的
compatriot	n.伙伴;同国人
malign	adj.恶性的;恶意的v.诽谤
onlooker	n.旁观者
porpoise	n.海豚;鼠海豚
cash	n.钱;钱箱v.把...兑现;出
quadrant	n.象限仪
cacao	n.可可树
norm	n.标准;准则
reiterate	v.反复做
sunflower	n.向日葵;向日葵黄
hock	n.班房;典v.典
lop	n.小树枝v.剪去;砍
louse	n.虱;书虱v.清除...上的虱子
truism	n.自明之理
paucity	n.量少;小数目
facetious	adj.好开玩笑的
torso	n.躯干
giraffe	n.长颈鹿;鹿豹座
subway	n.地下过道;市区地铁
vaunt	n.夸耀;自吹自擂v.吹嘘
epidemic	adj.流行性的n.流传;流行
brothel	n.妓院
curative	adj.治疗的n.治疗法
trident	adj.三叉的n.三叉线;三叉戟
lode	n.矿脉;水路
amass	v.积聚;聚集
bewitch	v.施魔力于;使着迷
chatty	adj.爱闲聊的;聊天式的
diaphanous	adj.轻柔的;透明的
akimbo	adj.弯曲着adv.弯曲着
syringe	n.喷射器;注射器v.注射
sophist	n.诡辩者;学者
palmy	adj.茂盛的;棕榈的
recast	v.重算;重新浇铸
seasick	adj.晕船的
prosy	adj.沉闷的;散文的
agnostic	adj.不可知论的n.不可知论者
distil	v.蒸馏;渗出
disconcert	v.挫败
obituary	adj.关于死亡的n.讣告
pickpocket	n.扒手
pigtail	n.辫子;柔韧铜辫
python	n.蟒蛇;鬼魂
dour	adj.严厉的;阴郁的
underwear	n.衬衣
ion	n.离子
spoor	n.足迹v.跟踪追赶
zebra	n.斑马
tourism	n.旅游;旅游团
hallow	v.使成为神圣
hussar	n.轻骑兵
landlocked	adj.陆围的
taboo	adj.忌讳的n.忌讳;禁忌v.禁止
tapioca	n.木薯;木薯淀粉
aliment	n.精神养料;食物v.向...提供食物
somersault	n.筋斗v.翻筋斗
begrudge	v.妒忌
gash	adj.有见识的;多余的n.划开v.砍伤
ravish	v.强夺;强奸;陶醉
sear	adj.干枯的n.烙印;暮年v.烧灼;烧焦
befit	v.适合于
judicature	n.司法;司法权
leakage	n.漏;渗漏
hub	n.中心;毂;车轴
smudge	n.污迹;熏烟火堆v.弄脏;用烟熏
aphorism	n.格言;箴言
clout	n.敲击;影响v.猛击;敲击
importune	v.拉;麻烦;强求
scud	n.飞奔;拍v.飞奔;顺风行驶
separable	adj.可分隔的;使分离的
boa	n.蟒
jowl	n.颌;敲
twaddle	n.蠢话v.讲蠢话
vat	n.大桶v.把...盛入大桶
dolt	n.笨蛋
malleable	adj.可变的;易适应的
percussion	n.击发;敲击
achieve	v.达到;完成
consult	v.查阅;考虑
stipulate	v.规定;确定
madcap	adj.鲁莽的n.鲁莽的人
comport	n.行为;高脚果盘v.举动;一致
fumble	n.乱摸;失球v.乱摸;犯大错
retract	v.撤回;缩回
temper	n.性情;脾气v.回火;缓和
bombastic	adj.夸夸其谈的
cajole	v.骗取;劝诱
falsify	v.篡改;歪曲
flaccid	adj.软弱的;萎蔫的
seasonal	adj.季节的
unveil	v.除去面纱
obscenity	n.淫秽
bulkhead	n.舱壁;堤岸
ref	n.参考
upbringing	n.抚育
abysmal	adj.极坏的
fractional	adj.部分的;辅币的
galore	adj.多的
pinafore	n.围裙;围涎
barmaid	n.酒吧间女招待
emission	n.发出;发行
fiasco	n.完全失败;长颈瓶
tendril	n.卷须;卷须状物
gnu	n.牛羚
kidnap	v.绑架;诱拐
mandolin	n.曼陀林
bridesmaid	n.女傧相
lapel	n.翻领
overlap	n.互搭;互搭量v.与...互搭;互搭
primate	n.首领;首主教
blazon	n.描绘;纹章v.宣布;装饰
catarrh	n.卡他
coma	n.怠惰;昏迷
ignoramus	n.浑噩无知的人
jaguar	n.豹牌汽车;美洲豹
per	prep.按照;每
plod	n.吃力的工作v.沉重缓慢地走
buccaneer	n.海盗;冒险家v.当海盗
bra	n.奶罩
roulette	n.滚轮;轮盘赌v.给...滚压骑缝线
tragedian	n.悲剧演员;悲剧作者
broaden	v.使宽;变宽
tag	n.标签;挂襻v.标示;添加
cop	n.抓;顶v.攫;偷
wishful	adj.渴望的
abase	v.垂下;使谦卑
beatific	adj.赐福的;至福的
crease	n.折痕v.使变皱
invert	adj.转化的n.倒转物;仰拱v.倒转;转化
nipple	n.螺纹接套;乳头
synonym	n.换喻词;同义词
agog	adj.渴望着adv.渴望着
classmate	n.同班同学
pitchfork	n.干草叉;音叉v.强行把...推入
vacate	v.撤销;离;腾出
vendor	n.卖主;小贩
arson	n.放火
bombard	n.迫击炮船;射石炮v.轰击;炮击
intoxicate	v.使喝醉;使陶醉
bait	n.打尖;饵v.引诱;装饵于
bookish	adj.迂腐的
carbolic	adj.石炭酸的;用碳制的
itinerary	n.旅程;旅行记录
microwave	n.微波
oust	v.剥夺;驱逐
pyjamas	n.宽松裤;喇叭裤
audit	n.查帐v.查;旁听
laureate	adj.戴桂冠的;获奖者的n.获奖者;讴歌者v.给...戴桂冠
ramshackle	adj.腐败的
statuette	n.小雕像
append	v.附加;盖
crony	n.老朋友
deduct	v.扣除
tooth	n.口味;牙v.给...装齿;相咬
yank	n.突然的猛拉v.猛拉;猛地一拉
abstention	n.戒绝;弃权
electrode	n.电极
flier	n.飞行员
gander	n.蠢人;雄鹅v.看;漫步
hoe	n.锄v.用锄干活
plenary	adj.完全的
underrate	v.对...估计过低
mutable	adj.不定的;会变的
suffocate	v.扼制;窒息
damp	adj.潮湿的;迷乱的n.潮湿;矿井瓦斯v.封;阻尼
hiatus	n.间隙;裂口
machinist	n.机工
milestone	n.里程碑
nullify	v.使无价值;使无效
overdo	v.做得过分
perceptive	adj.感知的;理解的
capillary	adj.毛细管的;毛状的n.毛细管
warranty	n.担保;保修单
free	adj.自由的adv.免费地;松开着v.使摆脱;使自由
deciduous	adj.非永久的;脱落的
diabolic	adj.魔鬼的;凶暴的
fondle	v.爱抚;娇养
gong	n.铃碗;锣
hike	n.长途步行;提高v.拉;提高
physicist	n.物理学家
trestle	n.支架
barrage	n.复赛;火力网;拦河坝v.开火
casino	n.小别墅;赌场
improvise	v.临时做;即兴创作
plumber	n.堵漏人员;管子工
rout	n.溃退;骚乱v.击溃;翻
speciality	n.特点;特殊性
blanch	v.变白;退缩
vascular	adj.维管的;血管的
accumulate	v.堆积;积成堆
bemoan	v.哀悼;悲叹
cherub	n.漂亮的孩子;小天使
pitfall	n.陷阱
rubble	n.毛石;碎石
elope	v.私奔;逃走
linseed	n.亚麻籽
buttock	n.臀部;纵剖线
calabash	n.葫芦;加拉巴木
dandelion	n.蒲公英
ewer	n.大口水壶
objective	adj.客观的;目的的n.宾格;目的
alto	adj.中音部的n.女低音;中音乐器
colossus	n.巨人;巨像
disembark	v.使上岸;上岸
hostel	n.客栈;学生宿舍
controller	n.控制者;审计员
demerit	n.过失;记过
dude	n.城里人;人
flop	adv.砰地一声n.拍;拍击声v.猛击;拍
nudge	n.轻推v.接近;推进
conscript	adj.由应征入伍者组成的v.应用;应召
ovary	n.果心;卵巢
disinherit	v.剥夺...有权继承的遗产
concerto	n.协奏曲
primacy	n.第一位
recession	n.凹处;后退;萧条期
terrorism	n.恐怖统治;恐怖主义
bosh	n.胡说;槽
conscript	adj.由应征入伍者组成的v.应用;应召
dangle	n.悬荡v.炫示;追求
fallible	adj.容易弄错的
heterodox	adj.异教的
belittle	v.轻视
milkman	n.卖牛奶的人
autonomous	adj.自治的
condone	v.抵消;宽恕
mileage	n.英里数
asbestos	n.石棉
celibate	adj.独身的;禁欲的n.独身者;禁欲者
insulation	n.隔离;绝缘
liberal	adj.大量的;慷慨的n.自由主义者
stellar	adj.明星的;星的
satiate	adj.饱足的v.使饱足;使厌腻
baritone	adj.男中音的n.男中音
lumpy	adj.多块的
probate	n.遗嘱检验v.处...以缓刑;检验
bigamy	n.重婚
loot	n.劫掠;钱v.掠夺;抢劫
sextant	n.六分仪;六分周
bitumen	n.柏油路;沥青
copyright	n.版权v.以版权保护
cramp	n.绞痛;痉挛v.把...关住;痉挛
exemplify	v.例示;誊写
rummage	n.翻找v.翻找出;翻找
slogan	n.标语;战斗呐喊
accession	n.就职;添加v.把...登记入册
anodyne	adj.安慰人的;止痛的n.止痛药
lexicon	n.词典;词素
cartel	n.卡特尔;书面协定
purposeful	adj.坚定的;有目的的
appliance	n.器具;器械
lynch	v.以私刑处死
camera	n.暗箱;照相机
stewardess	n.女乘务员;女管家
jaundice	n.猜疑;黄疸v.使妒忌
recant	v.撤回;撤回声明
slipshod	adj.马虎的
cork	n.瓶塞;栓皮v.给...装软木;克制
magenta	adj.品红色的n.品红;品红色
minimize	v.达到最低值
overtime	adj.加班的adv.超时地n.加班;加班费
woodcut	n.木刻;木刻印版
deface	v.涂掉;损毁外观
grannie	n.祖母
wheedle	v.用甜言蜜语骗取
capricious	adj.变化无常的
guano	n.鸟粪
interloper	n.闯入者
absentee	adj.缺席者的n.不在的
acidity	n.尖刻;酸性
unsociable	adj.不合群的;偏僻的
wildcat	n.凶悍的人;野猫v.盲目钻井adj.未经批准的
numeral	adj.数字的n.数词;数字
quire	n.帖;一刀
salty	adj.海洋的;含盐的
ambrosia	n.仙果;珍馐美味
pander	n.迎合他人淫欲者v.迎合;作淫媒
specify	v.具体指定;明确地讲
invoice	n.发票v.开...的发票;托运
offshoot	n.岩枝;支族
witticism	n.妙语
afflict	v.使苦恼
emotional	adj.动感情的;感情的
propulsion	n.推进
ignition	n.点火;燃烧
swivel	n.架环;转体v.使旋转;旋转
override	v.不顾;撤销
presuppose	v.预先假定
duffer	n.笨蛋;小贩
idiomatic	adj.有许多习语的
propel	v.推动;推进
scurry	n.阵雪;小跑v.使急赶;乱转
sloppy	adj.潮湿的;溅湿的
mink	n.水貂毛皮;鼬
truncheon	n.插枝;官杖v.用棍子打
buffer	n.缓冲器;擦拭轮v.缓冲
abject	adj.可鄙的;奴性的;悲惨的
fudge	n.乳脂软糖;胡说v.回避;捏造
beehive	adj.圆锥形蜂窝状的n.蜂箱
coalesce	v.使合并;联合
insidious	adj.阴险的
sunstroke	n.日射病;中暑
engulf	v.大口吞食;吞没
howitzer	n.榴弹炮
starling	n.掠鸟;分水桩
excrement	n.排泄物
theorist	n.理论家
sawmill	n.大型锯机;锯木厂
aquarium	n.水旅馆;养鱼缸
boxer	n.斗拳狗
cryptic	adj.秘密的;隐藏的
grill	n.烤菜餐馆;烤架v.拷问;烤炙
lotion	n.洗液;濯身
palliation	n.缓和物;减轻
traction	n.牵引
whiting	n.牙鳕;垩
grovel	v.沉湎;匍匐
harlequin	n.丑角;诙谐角色
megaphone	n.喇叭筒v.用喇叭筒讲话
