you	pron.你;你这个
publicity	n.宣传品;名声
exist	v.存在;发生
employee	n.女受雇者;受雇者
depend	v.信赖;依靠
cue	n.暗示;角色v.给...提示;排队
crack	n.裂缝;瑕疵v.砸开;变粗
conscious	n.意识;有意的
ally	n.同盟国;助手v.使结盟;联合
ace	adj.第一流的n.纸牌;发球得分v.打败
account	n.记述;解释v.报帐;导致
absurd	adj.荒诞派的;荒谬的n.荒诞
vicious	adj.邪恶的;恶性的n.恶性循环
tool	n.工具v.驾驶;驱车旅行
strong	adj.极大的;强壮的adv.强烈地;强有力地
rap	n.苛责;罪责;轻敲声v.拿走;抢;轻敲
potato	n.甘薯;破洞
invent	v.发明;捏造
hood	n.风帽;暴徒v.加罩于
forbid	v.不许;阻止
direction	n.管理;指示
defendant	adj.防御的;作辩护的n.被告
bare	adj.赤裸的;光秃的v.揭露;使赤裸
announce	v.声称;宣布
screw	n.螺钉;阳螺旋v.操纵;旋
sample	n.实例;样本v.品尝;浏览
salesman	n.售货员;推销员
round	adj.丰满的;圆的n.圆圈;圆形物prep.围绕;向...各处v.变圆;环行
leap	n.跳;跳跃距离v.使跳;跳
ken	n.视野;窝v.看到;认出
injury	n.伤害;损伤
genetic	adj.创始的;历史上的
freak	adj.反常的n.畸形;主意突变v.扰乱;胡闹
fighter	n.好斗者;战士
document	n.公文;证件v.为引证
burden	n.重担;重负v.加重荷于;加重压于
swallow	n.吞;燕v.吞并;吞没
slave	n.奴隶v.使从属;使做奴隶
reveal	v.揭示;启示
religious	adj.宗教的
kidnap	v.绑架;诱拐
gown	n.宽外袍;女裙服v.穿上宽大的长外衣
enter	v.参加;登记
chair	n.椅子;主席v.使入座
wish	n.请求;希望v.但愿;祝
statue	n.雕像;造型游戏
serial	adj.连续的n.连载小说;期刊
sandy	adj.含沙的;沙土色的
punish	v.罚;贪婪地吃
dramatic	adj.戏剧般的;戏剧的
dismiss	v.解雇;去除
criminal	adj.犯罪的;刑事的n.罪犯
blade	n.前舌;叶片
seventh	n.第七;第七日
regret	n.懊悔;道歉v.痛惜;因...懊悔
rap	n.苛责;罪责;轻敲声v.拿走;抢;轻敲
quarter	n.四分之一;一刻钟
produce	n.产品;成果v.生;生产
lamp	n.灯;光
dentist	n.牙科医生
anyway	adv.随随便便地
anonymous	adj.匿名的;无特色的
add	v.添加;做加法
semester	n.半年;学期
risk	n.危险;危险率v.把...作赌注;冒...的危险
regard	n.关系;敬爱v.敬爱;看待
owe	v.欠;欠钱
magazine	n.弹药库;杂志
machine	n.机动车;机器v.使定型
lung	n.肺;呼吸器官
explain	v.讲解;解释
delicate	adj.柔和的;鲜美的
trick	n.诡计;技巧v.打扮;哄骗
eager	adj.敏锐的;热切的
doom	n.命运;判决v.决定;注定
coffin	n.棺材;蹄槽v.把...装进棺材
click	n.棘爪;吸气音v.进行顺利;完全一致
cafe	n.咖啡;咖啡馆
button	n.按钮;钮扣v.圆满完成;装钮扣于
bureau	n.办事处;局
adoption	n.采取;收养
we	pron.我们;人们
surrender	n.放弃;投降v.放弃;屈服
stone	n.界石;磨石v.向...扔石块;用石铺
stab	n.刺;猛的一击v.刺;刺伤
sickness	n.弊病;恶心
scum	n.浮藻;浮渣v.去除;起泡沫
loop	n.环路;圈v.把...打成环;打环
generation	n.产生;代
floating	adj.浮动的;流动的
envelope	n.包裹物;信封
enter	v.参加;登记
chamber	adj.室内的;私人的n.会议厅;室v.装
casino	n.小别墅;赌场
vault	n.洞穴;拱顶v.成穹状;跳跃
sunshine	n.光明;日光
pretend	v.伪称;装扮
plea	n.借口;恳求
photograph	n.照片v.给...拍照;拍照
petty	adj.气量小的;小的
heal	v.调停;愈合
fiancee	n.未婚妻
cascade	n.小瀑布;一连串v.通过;串联
remarkable	adj.非凡的
random	adj.胡乱的n.任意行动
guitar	n.吉他
frog	n.蹄楔;蛙
cabinet	n.顾问团;内阁
brat	n.顽童;围裙
sixth	n.第六;六分之一
scale	n.翅瓣;鳞;天平;标尺v.剥落;生鳞;攀登
privilege	n.特权;特权授予
pencil	n.笔类物;铅笔v.草拟;用铅笔写
passionate	adj.热情的;易怒的
nerve	n.神经;神经质v.使有劲
lawsuit	n.诉讼
kidney	n.个性;肾
disturb	v.搞乱;扰乱
cross	adj.交叉的;相互的adv.横跨地n.十字架v.穿过;交叉
associate	n.伙伴;准会员v.交往;联合
tire	n.疲劳;服装v.厌倦;打扮
shirt	n.衬衫;贴身衣
post	n.柱;岗位v.宣布;押
oven	n.干燥炉;烤炉
order	n.次序;整齐v.命令;整理
mill	n.磨;磨坊v.磨;碾碎
journal	n.日志;议事录
gallery	n.狭长房间;走廊
delay	n.延迟v.耽搁
club	n.大头棒;球棒v.缴纳;捐献
purple	adj.帝王的;紫的n.梅红;紫色
nest	n.鸟巢;窝v.套叠;筑巢
monster	adj.巨大的n.怪兽;怪物
honorable	adj.诚实的;荣誉的
gene	n.基因
electric	adj.充电的;电的n.带电体;电灯
culture	n.耕作;教养v.耕作;培养adj.文化的
breast	n.胸;胸部v.攀登;以胸撞
breakdown	n.拆除;衰竭;故障
attempt	n.攻击;企图v.企图;引诱
conflict	n.冲突;战斗v.冲突;战斗
bald	adj.明显的;秃头的v.成为秃顶
actress	n.女演员
abandon	n.放任;狂放v.放弃;离弃
wisdom	n.明智;知识
steam	n.力量;水汽v.发出;蒸发
scar	n.疤;痕v.在...上结疤;结疤
pole	n.波兰人n.撑竿;杆v.用杆撑;用篙撑船
collar	n.颈圈;马轭v.强留...谈话
worthless	adj.无价值的
suck	n.吸;吸食v.吸;吸食
standard	adj.标准的;普通的n.标准
resource	n.储备力量;资源
photograph	n.照片v.给...拍照;拍照
graduation	n.毕业;刻度
enormous	adj.反常的;巨大的
disturb	v.搞乱;扰乱
disturb	v.搞乱;扰乱
distract	v.使混乱;转移
deal	n.待遇;交易v.发;分配
conclusion	n.结论;结尾
baker	n.面包师傅;轻便烘炉
vodka	n.伏特加
situation	n.情况;位置
require	v.想要;需要
mid	adj.央元音的;中部的
measure	n.尺寸;量度v.打量;量
crawl	n.爬;爬泳v.责备;爬
congress	n.立法机关;下院
briefcase	n.公事包
whistle	n.吹口哨;口哨v.吹口哨;啭鸣
sit	v.骑;坐
roast	adj.烤过的n.烤v.焙烧;烤
pig	n.猪;陶土v.生;生小猪
massive	adj.粗大的;粗而重的
link	n.环;环节v.串连;挽住
flirt	n.调情者;急动v.倏地扔;调情
exist	v.存在;发生
deposit	n.保证金;沉积物v.存放;放下
bottle	n.奶瓶;一束v.把...装入瓶中
unknown	adj.不知道的n.未知的人;未知元
type	n.类型v.翻印;打字
topic	n.标题;题目
robin	n.旅鸫;知更鸟
riot	n.暴乱;骚乱v.发动暴乱;恣意
minimum	adj.最低的n.极小;最低极限
logical	adj.逻辑的
impact	n.冲击;影响v.充满;冲击
hostile	adj.敌人的;怀敌意的n.敌对分子
embarrass	v.妨碍;使窘
casual	adj.非正式的;偶然的
beacon	n.灯塔;烽火v.照亮
altar	n.圣餐台;圣坛
value	n.价格;价值v.夸耀;尊重
ultimate	adj.基本的;极点的n.终点
skinny	adj.不足的;皮的;皮包骨的
maintain	v.赡养;维持
goods	n.货物;衣料
cover	n.书壳;掩蔽v.盖;代替
battery	n.连续猛击;炮台
survival	n.幸存;幸存者
skirt	n.挡板;裙子v.绕开;位于边缘
shave	n.薄片;剃刀v.剃;修剪
prisoner	n.犯人;刑事被告
porch	n.入口处;走廊
ghost	n.鬼;灵魂v.代...作文;当捉刀人
favor	n.得宠;恩惠v.赐与;喜爱
drop	n.滴;微量v.滴
dizzy	adj.困惑的v.使困惑;使头晕
breast	n.胸;胸部v.攀登;以胸撞
advise	v.建议;劝告
strike	n.罢工;打v.打;敲
raw	adj.生的n.擦伤处
peaceful	adj.和平的;平静的
hooker	n.小偷;老式船
heaven	n.上天;天
fortunate	adj.幸运的
fool	n.蠢人;弄臣v.愚弄;玩弄
draft	n.分遣队;挑选v.起草;挑选
citizen	n.公民;平民
cigar	n.雪茄烟
active	adj.活跃的;积极的n.活跃的人;主动态
weakness	n.爱好;弱点;软弱
ski	n.滑橇;雪板v.在...上滑雪;滑雪
ship	n.船;飞船v.用船运;上船
ranch	n.大牧场;饲养场v.在牧场工作
musical	adj.音乐般的;音乐的
movement	n.动;动作
individual	adj.独特的;个别的n.个人;人
home	adv.在家;在家乡n.家;家庭v.回家;有家
examine	v.查讯;检查
document	n.公文;证件v.为引证
crane	n.水鹤;支架v.起吊;伸长
column	n.支柱;纵队
bribe	n.贿赂v.向...行贿;行贿
beer	n.啤酒;汽水
task	n.工作;任务
species	n.种;种类
sail	n.帆;帆船v.驾驶;漂浮
rum	adj.古怪的;困难的n.酒;朗姆酒
resort	n.常去之地;求助v.前往;求助
rash	adj.鲁莽的adv.鲁莽地n.疹
mar	n.污点v.毁坏
hush	adj.寂静的;秘密的n.寂静;海涛v.使安静;使平静
fuzzy	adj.模糊的;细绒毛的
fragile	adj.脆弱的;纤巧的
forensic	adj.辩论的;法庭的n.辩论练习;辩论学
expense	n.花钱;价钱
difference	n.差别;特点
cow	n.母牛;牛v.吓唬;截短
conduct	n.处理;举止v.表现;处理
comic	adj.滑稽的;喜剧的n.滑稽的人;喜剧性
bell	n.钟;钟声v.鸣钟;吼叫
avenue	n.大街;小路
attack	n.攻击;侵蚀v.攻击
assign	n.受让人v.分配;指定
visitor	n.参观者;访问者
suitcase	n.小提箱
source	n.出处;源
scan	n.细看;眼界v.细看;扫描
rod	n.杆;笞鞭
payment	n.报偿;支付
motor	n.发动机;内燃机v.发动;驾驶汽车
mini	n.迷你裙;微型汽车
insecure	adj.不安全的;不可靠的
gamble	n.赌博;投机v.赌掉;赌博
clerk	n.办事员;售货员v.当售货员
wrist	n.腕;腕部
tube	n.管;管身
starter	n.参赛人;发令员
silk	n.丝;丝织品
pump	n.泵;抽运v.用泵抽吸;操作泵
pale	adj.苍白的;浅的n.尖板条;界限v.使苍白;包围
haul	n.拖v.拖;拖运
guardian	n.看守者;院长
dodge	n.躲闪;托词v.躲避;遮挡
demand	n.需要;要求v.强要;询问
boot	n.靴;罩v.猛踢;逐出
art	n.美术;艺术
thumb	n.第一指;拇指v.用拇指揿
limit	n.范围;限度v.限定;限制
lighter	n.点火器;驳船
elder	adj.过去的n.长者;老年人
connection	n.联系;连接
quiet	adj.安静的;寂静的n.安静;安宁v.确认;使安静
pull	n.拉;拉力v.采;拉
lion	n.名人;狮子
idiot	adj.极愚蠢的n.白痴;傻子
factor	n.系数;因素v.代理经营;做代理商
erase	v.擦掉;消除
deny	v.否认;拒绝给予
cox	v.担任舵手
attack	n.攻击;侵蚀v.攻击
ankle	n.踝
amnesia	n.记忆缺失;健忘症
accept	v.承认;接受
ruby	adj.红宝石色的n.红宝石;红宝石色
hunter	n.猎犬;猎人
heartbeat	n.感情;心搏
fry	n.炒杂碎;鱼苗v.油煎;激动
confront	v.使面对;迎面遇到
back	adj.背后的;边远的adv.往回;向后n.背;缸v.使后退;后退
register	n.登记;登记簿v.登记;指示
phrase	n.短语;话语v.措词;分成短句
operation	n.操作;活动
minus	n.不足;负量prep.减;没有
meet	n.集合;集会v.接;遇见
legitimate	adj.合法的
hurricane	n.风暴;飓风
fix	n.方位;困境v.定居;固定
bucket	n.水桶;桶v.催...拼命跑;用桶提
boat	n.船v.用船装运;乘船
auto	n.汽车
arrogant	adj.傲慢的
tuna	n.金枪鱼;鳗鲡
supper	n.晚餐
sin	n.过错;罪v.犯;犯过失
recipe	n.处方;诀窍;菜谱
pier	n.桥墩;支柱
paternity	n.父亲身份;来源
mason	n.石匠v.在...上砌砖石
lamb	n.羔羊;羔羊皮
genuine	adj.真诚的;真诚
catholic	adj.罗马天主教的n.罗马天主教徒adj.广泛的;宽容的n.扒手
snack	n.快餐;一份;零食v.吃快餐;尖刻地说
rational	adj.理性的n.根据
point	n.尖;尖形部件v.显示;指
passport	n.护照
mind	n.头脑;智力v.记住;照料
guess	n.猜测v.猜;想
fiance	n.未婚夫
display	n.展览;展示v.陈列;炫耀
dip	n.浸;涉猎v.浸;舀取
wedding	n.婚礼;结婚
team	n.队;一组马v.结成一队
report	n.报道;报告v.报道;说
close	adj.紧的;近的adv.接近地n.结束;终止v.关;关
banana	n.香蕉;香蕉味
august	adj.威严的
aspirin	n.阿司匹林
academy	n.私立中学;学院
wig	n.假发;要人v.严斥;恼怒
throughout	adv.到处prep.遍及
spray	n.浪花;喷雾v.喷;向...扫射
pick	n.掏;凿v.掏;凿
occur	v.存在;发生
logic	n.逻辑;推理
knight	n.爵士;骑士v.授...以爵士品位
field	n.场地;田v.接;派...上场
equal	adj.平等的;平均的n.匹敌者;同等的人v.比得上;相等
drown	v.淹没;沉没
contact	n.接触;熟人v.使接触;接触
ritual	adj.礼节性的n.程序;仪式
perfume	n.芳香;气氛v.洒香水于;散发香气
hat	n.贿赂;帽子
ham	adj.业余无线电的n.后腿;火腿v.过火地表演
general	adj.笼统的;全体的n.将军;上将
fusion	n.熔化;熔块
error	n.错误;谬见
elect	adj.精选的n.特权集团v.挑选;选举
dock	n.船坞;港池v.剪短;扣
creature	n.人;生物
vision	n.幻觉;看;视觉
thank	v.感谢;谢谢
thankful	adj.感谢的;欣慰的
sock	n.短袜;套子v.储;打
re	prep.关于;兹就...
nineteen	n.第十九;十九
fork	n.叉;叉状物v.叉起;同时攻
comedy	n.喜剧
analysis	n.分析
throw	n.冒险;投掷v.发射;投
teenager	n.青少年
stress	n.压力;应力v.重读;着重
slice	n.薄刀;薄片v.切;切开
shore	n.滨;陆地
roll	n.小圆面包;一卷v.卷;推
require	v.想要;需要
plead	v.承认;恳求
palm	n.手宽;手掌;棕榈树v.把...硬塞给
ladder	n.梯级;梯子
kick	n.踢;踢球v.踢;反冲
ford	n.可涉水而过之处v.涉过;涉水而过
detective	adj.侦查的;侦探器n.发觉者;侦探
widow	n.寡妇;活寡妇v.使成寡妇;为...守寡
tissue	n.薄纱;一套
shallow	adj.薄的;浅的n.浅水处
repay	v.报答;偿还
reject	n.被拒货品;阻放装置v.拒绝;拒纳
permanent	adj.耐久的;永久的
hack	adj.陈腐的;受雇的n.砍痕;劈v.耙;劈
girlfriend	n.女伴;情人
deadly	adj.极有害的;致死的adv.非常;死一般地
comfort	n.安慰;盖被v.安慰;帮助
ceiling	n.天花板;镶板
bonus	n.红利;奖金
verdict	n.裁定;定论
jar	n.罐子;刺激v.震动;震伤
factory	n.代理商行;制造厂
aim	n.瞄准;目的v.制导;打算
triple	adj.三倍的;三部分的n.三倍数;三垒打v.增至三倍
spill	n.溢出;裂片v.摔下;溢出
respect	n.敬意;尊敬v.关于;敬意
recover	v.恢复;追回
messy	adj.肮脏的;棘手的
interrupt	n.隔阂;中断v.打断;中止
entry	n.登记;进入
blond	adj.白皙的;亚麻色的n.极浅的黄棕色
bleed	v.抽干;出血
benefit	n.义演;益处v.有益于;得益
wardrobe	n.服装部;全部服装;衣柜
objective	adj.客观的;目的的n.宾格;目的
murder	n.谋杀;破坏v.扼杀;谋杀
foster	adj.收养的v.抱有;培养
chart	n.地图;图v.制订...的计划
back	adj.背后的;边远的adv.往回;向后n.背;缸v.使后退;后退
airplane	n.飞机
worker	n.工人;工作者
wave	n.波;高潮;挥手;浪v.招手;波动;飘摇
tie	n.带;领带v.系;打结
soccer	n.英式足球
register	n.登记;登记簿v.登记;指示
multiple	adj.多个的;许多的n.倍数;并联
justify	v.证明...无罪;排整齐
harmless	adj.无恶意的;无害的
fold	n.教会;褶v.交叠;收拢
convention	n.会议;召集
attraction	n.吸引;吸引力
arson	n.放火
whack	n.失灵;重击v.击败;砍
wade	n.浅水处v.跋涉;涉水
tit	n.打击;按钮
salary	n.薪金
residence	n.居住;住处
obligation	n.合同;义务
medium	adj.中间的n.媒质;手段;巫师
develop	v.发展
alliance	n.结盟;盟约
vengeance	n.报复;报复心
severe	adj.尖锐的;严肃的
rack	n.架子;爆裂v.变形;调定
puzzle	n.迷惑;难题v.使复杂;苦思
guidance	n.领导;指导
fire	n.电炉;火v.烧制;发热
courtesy	n.好意;谦恭有礼
caller	n.访问者;呼唤者
bounce	n.吹牛;弹回v.反射;跳
wizard	adj.杰出的;神汉的n.术士;神汉
top	adj.顶的;最高的n.顶;盖v.盖;结束
repair	n.修理;前往v.恢复;去
quiz	n.考查;智力竞赛v.对....考查;戏弄
prep	n.试跑;预备学校v.把...准备好;作准备
involve	v.卷;需要
curiosity	n.好奇;奇物
code	n.编号;编码v.为...编码
circle	n.环状物;圆v.绕过;围着
bear	n.玩具熊;熊v.忍;压
barbecue	n.烤全牲;烤肉v.烤炙;整烤
troop	n.军队;一群v.成群结队;作伴
spinning	n.纺纱;旋转
score	n.得分;分;乐谱v.得;赢得
pursue	v.追赶;追
psychotic	adj.精神病的n.精神病患者
group	n.集体;组v.簇射;形成组
cough	n.咳;咳嗽病v.咳;认罪
claim	n.权利;要求v.要求;主张
accusation	n.指控;控告
share	n.股份;一份v.分开;分享
rush	n.冲;匆忙v.猛推;冲
resent	v.对...表示忿恨
laugh	n.笑;笑柄v.开颜;笑
gather	v.收集;积聚
envy	n.妒忌;恶意v.妒忌;感到妒忌
drown	v.淹没;沉没
chemical	adj.化学的n.化学品
branch	n.分部;树枝v.出枝;分支
sofa	n.沙发
scientist	n.科学家
poster	n.招贴;驿马
model	n.模型;原型v.使仿效;做模型
island	n.岛;岛状物
highness	n.殿下;高
drain	n.排水;排水沟v.消耗;滴干
dock	n.船坞;港池v.剪短;扣
welfare	adj.福利的n.福利;福利救济
theirs	pron.他的;他们的
stall	n.货摊;马厩v.熄火;拖延
spot	n.疤点;点子v.使有污渍;玷污
somewhat	adv.有点
solo	adv.以独力n.独奏曲v.单飞;独唱
realize	v.实现;领悟
jazz	n.爵士乐;爵士舞v.交媾;游荡
hawk	n.掠夺者;鹰v.扑击;翱翔
fool	n.蠢人;弄臣v.愚弄;玩弄
finish	n.结束;抛光v.结束;用完
beard	n.胡须;芒v.公然反对;充当掩护
album	n.唱片套;粘贴簿;相册
unable	adj.不能的;赢弱的
treat	n.款待;乐事v.对待;看待
theatre	n.戏剧界;戏院
succeed	v.接替;成功
stir	n.拨动;活跃v.拨动;惊动
relax	v.放宽
gratitude	n.感激之情
faithful	adj.尽职的;忠实的n.忠实信徒;虔诚徒众
bin	n.帆布袋;容器v.把...放入箱中
accent	n.口音;重音;腔调v.着重
zip	n.拉链;尖啸声;撕裂声v.拉开或扣上拉链
wander	n.漫游;漂移v.漫游;蜿蜒
shell	n.蛋壳;壳v.脱壳;剥去;炮轰
regardless	adv.不顾后果地
locate	v.找到;定居
inevitable	adj.照例必有的
deed	n.事情;行为v.立契转让
crush	n.极度拥挤;压碎v.挤;碾碎
western	adj.向西方的n.西部电影
smell	n.气味;嗅觉v.感觉到;嗅
sheep	n.羊;羊皮革
settlement	n.安顿;移民
rocky	adj.岩石的;摇动的
robe	n.长袍;盖毯v.覆盖;穿上长袍
poet	n.诗人
marked	adj.明显的;有标记的
gossip	n.流言蜚语;闲聊v.作...的教父;闲聊
determine	v.决定;确定
cosmetic	adj.化妆品的;整容的n.化妆品的
cent	n.百;分
accident	n.机遇;意外事情
tricky	adj.难以捉摸的
stiff	adj.绷紧的;硬的adv.僵硬地;完全地n.死尸;醉汉
sincere	adj.不搀假的;诚实的
shield	n.保护物;盾v.保护;庇护
rush	n.冲;匆忙v.猛推;冲
rice	n.稻;米
resume	n.简历;摘要v.恢复;取回
report	n.报道;报告v.报道;说
reference	n.参照;引文出处v.提出...作参考
nightmare	n.梦魇;睡魔
hunch	n.厚片;肉峰;直觉v.使弓起;移
fog	n.模糊;雾v.使困惑;使模糊
firework	n.烟火具;炫示
drown	v.淹没;沉没
crown	n.王冠;王位v.给...戴上;露顶
brass	n.黄铜;黄铜器
accurate	adj.准确的
whisper	n.低语;微量v.低声说出;低语
religion	n.宗教;宗教教育
luggage	n.箱笼;行李
lemon	adj.淡黄色的;柠檬味的n.淡黄色;柠檬
hike	n.长途步行;提高v.拉;提高
explore	v.仔细查阅;勘探
emotion	n.动;情感
dragon	n.龙;凶猛的人
creek	n.小河;小湾
crash	n.碰撞;坠毁v.使坠毁;坠毁
contact	n.接触;熟人v.使接触;接触
cherry	n.樱桃;樱桃红
acid	adj.酸的n.尖刻;酸
shin	n.胫;胫骨v.攀;快步走
roll	n.小圆面包;一卷v.卷;推
righteous	adj.正义的;正直的
goody	n.老妇人;姥姥
frighten	v.使惊恐
festival	adj.节日的n.活动节期;节日
ethics	n.伦理学;行为准则
creep	n.爬行;蠕动v.爬行
camp	n.兵营;拘留所v.临时安顿;搞同性恋
assistance	n.帮助;补助
affection	n.属性;影响
vow	n.誓;郑重宣告v.立誓奉献;发誓
protest	n.抗议;申明v.抗议;申明
lodge	n.旅舍;小屋v.搁住;暂住
haircut	n.发式;理发
eternal	adj.永恒的;永久的n.上帝
essay	n.尝试;论说文
chairman	n.系主任;主席
stud	n.饰钉;饰钮;种马v.使散布;装饰
sailor	n.乘船者;水手
respect	n.敬意;尊敬v.关于;敬意
receipt	n.发票;收到
operator	n.操作员;机务员
include	v.包括;包住
hat	n.贿赂;帽子
goat	n.色鬼;山羊
exclusive	adj.独有的;排斥的n.独家新闻;孤傲的人
define	v.规定;解释
defeat	n.废除;击败v.挫败;击败
cheek	n.边柱;面颊v.无礼地向...讲话
adore	v.崇拜
adopt	v.采取;继承
warrior	n.勇士;战士
track	n.轨道;小道v.跟踪;走过
signal	n.标志;导因v.是...的标志;发信号
shorts	n.短裤
remind	v.说...以提醒;提醒
relative	adj.比较的;相对的n.关系代词;亲戚
pond	n.池塘;海洋
floor	n.层;底v.击败
creation	n.产生;创建
continue	v.继续;延伸
barrel	n.桶;圆筒v.把...装桶;装枪管于
tuck	n.抄网;鼓声v.皱起;塞;击
slight	adj.少量的;纤细的n.冷落;轻视v.忽视;看轻
reporter	n.报告人;记者
rear	adj.后部的;后方的n.后部;后方v.抚养;竖起
press	n.按;压力v.按;挤出
pacific	n.太平洋adj.和解的;宁静的
novel	adj.新的n.小说;新附律
newspaper	n.报社;报纸
madame	n.夫人;鸨母
lick	n.舔;一击v.舔;揍
lazy	adj.懒惰的;慢吞吞的
goddess	n.美人;女神
glorious	adj.光荣的;壮丽的
fiancee	n.未婚妻
candidate	n.候选人;投考者
brick	n.砖;砖块状物v.用砖砌;用砖围住
sane	adj.清醒的;无疾病的
previous	adj.过早的;以前的
kingdom	n.君主身份;王国
kindness	n.仁慈
flame	n.光辉;火焰v.变热;发光
sunny	adj.乐观的;像太阳的
mattress	n.柴排;气垫
lounge	n.起居室;休息厅v.闹逛;倚
lobster	n.龙螯虾;真龙虾
lift	n.提;天空v.鼓舞;提
label	n.标签;称号v.把...称为;使示踪
important	adj.重要的;自负的
glove	n.棒球手套;手套v.给...手套
enterprise	n.办企业;企业单位
cemetery	n.墓地
yell	n.叫喊;呐喊v.向...叫喊;叫喊
spoon	n.匙;傻瓜v.使成匙形;用匙舀
screech	n.尖叫;烈酒v.尖叫
request	n.需要;要求v.要求
plant	n.秧苗;植物v.插;种
nun	n.修女
navy	n.海军;海军部
nail	n.钉子;纳尔v.钉;截住
elephant	n.特大品种;象
annual	adj.每年的n.年报
worm	n.寄生虫病;软体虫v.刺探;潜入
tick	n.虱蝇;蜱v.给...标记号;活动
rest	n.长眠;平静v.长眠;休息
primary	adj.初级的;首要的n.居首位的事物
polish	n.波兰语;波兰人n.擦;光滑v.擦;擦去
monkey	n.猴v.嘲弄;模仿
fuss	n.紧张不安;忙乱v.使烦恼;忙乱
fund	n.储备;存款v.积累
defensive	adj.防守的;防御的n.防御物
compete	v.比赛;竞争
bush	n.灌木;衬套v.用耙耙平;加衬套于
balloon	n.气球;气球形物v.大大增加
sail	n.帆;帆船v.驾驶;漂浮
pocket	n.一袋;钱袋v.把...围住;皱起
depression	n.按下;沮丧;洼地
world	n.世界
indicate	v.标示;表明
appear	v.出现;露面
aggressive	adj.侵犯的
trailer	n.拖车;拖曳者
summer	n.夏;大梁v.夏季放牧;过夏天
slam	n.猛关;满贯v.使劲关;闯
retirement	n.退休;引退
pry	n.窥探;撬杠v.窥探;撬动
narrow	adj.勉强的;狭的n.狭谷;狭窄部分v.变狭;缩小
level	adj.平的;一般高的n.基准面;水平面v.击倒;瞄准
inform	v.通知;告发
fee	n.采邑;费
encourage	v.促进;鼓励
delight	n.高兴;可爱性v.使高兴;感到高兴
daylight	n.光明;日光
currently	adv.流畅地;现时
chew	n.咀嚼;咀嚼物v.嚼;深思
aunt	n.阿姨;伯母
wash	n.洗;洗东西处v.洗;洗去
warden	n.典狱长;监护人;冬梨
toss	n.猛举;扔v.扔;甩
temple	n.教堂;圣堂
permit	n.许可证;鲳鱼v.使放手做;允许
mistress	n.主妇
marrow	n.精华;髓
imply	v.暗指;缠绕
hatred	n.仇恨
grill	n.烤菜餐馆;烤架v.拷问;烤炙
formula	n.表白书;惯例;公式
effort	n.努力;全部努力
corpse	n.残骸;躯体
clue	n.提示词语;线索v.为...提供线索
sober	adj.适度的;未醉的v.使冷静;醒酒
relative	adj.比较的;相对的n.关系代词;亲戚
promotion	n.促进;发起
peel	n.揭片;皮v.剥;脱
offend	v.冒犯;违犯
infect	v.传染;污染
humanity	n.人道;人类
electrical	adj.发生电的
chopper	n.斧头;砍者
cart	n.大车;小车v.手提;赶大车
broadcast	n.广播;撒播v.广播;撒播
suspend	v.悬;悬浮
sting	n.刺;灼痛v.刺;灼痛
glue	n.胶;胶粘物v.紧附;用胶粘
gather	v.收集;积聚
deer	n.动物;鹿
content	adj.高兴的;满意的n.内容;满意v.使满意
combat	n.战斗v.与...战斗;战斗
calendar	n.历法;日历
brutal	adj.严酷的;淫荡的
asset	n.所有物;资产
unpleasant	adj.不和的
tan	adj.棕黄色的;鞣革的n.马戏团;鞣料v.硬化;鞣
robot	n.机器人;自动机
pepper	n.胡椒;辣椒v.向...掷;在...上撒
lease	n.租借;租约v.出租;使分经
killer	n.杀灭物;杀人者
grow	v.种;长
flame	n.光辉;火焰v.变热;发光
domestic	adj.非野生的;家的n.国货;家仆
divine	adj.敬神的;神的n.神;神学的v.发现;推测
depress	v.按下;使抑郁
thrill	n.颤动;兴奋;害怕v.刺穿;颤动
terminal	n.端子;末端adj.晚期的
rib	n.肋骨;肋条v.加肋于;戏弄
offer	n.发价;给予v.给予;提出
flush	adj.充裕的;紧接的adv.齐平地;直接地n.冲洗;急流v.发红;涌
exception	n.除外;异议
earring	n.耳环
deadline	n.截稿线;最后期限
corporal	adj.个人的;躯干的n.下士;圣餐布
update	n.更新;新版v.更新
smack	adv.恰好n.含意;少量v.掴;咂
office	n.办公室;处
melt	n.融化;脾v.融化;溶解
eagle	n.雕;鹰像
actor	n.行动者;演员
trip	n.绊;旅行v.将...绊倒;旅行
tender	adj.嫩的;温柔的n.关怀;交付v.交付;提出
sperm	n.精液;精子
specialist	n.专家;专科医生
scientific	adj.科学的;科学性的
pork	n.政治恩惠;猪肉
plane	n.平面;镘v.飞行;刨
gate	n.大门;路v.给...装门;用门控制
esteem	n.价值;看法v.把...看作;尊重
undo	v.毁坏;开
pray	adv.请v.祈望;做
plague	n.天罚;天灾v.使染瘟疫;使痛苦
manipulate	v.操纵;操作
lance	n.捕鲸矛;长矛v.切开;投
insult	n.攻击;损伤v.损害;攻击
detention	n.拘留;扣留
daisy	n.雏菊;雏菊花
chess	n.国际象棋
adjust	v.调节;解决
wreck	n.残骸;沉船v.破坏;损害
ride	n.骑;骑马道v.骑;乘坐
reminder	n.催单;提示
principle	n.原则;准则
monsieur	n.大亲王;先生
fame	n.传闻;名声
faint	adj.微小的;无力的n.昏厥v.变得微弱;昏厥
confusion	n.困惑;骚乱
cloud	n.一大群;云v.覆盖;弄暗
bake	n.烘;烤餐会v.烘;晒热
